frequency,raw
20.00,-13.75
20.20,-13.62
20.40,-13.50
20.61,-13.38
20.81,-13.25
21.02,-13.14
21.23,-13.01
21.44,-12.90
21.66,-12.77
21.87,-12.65
22.09,-12.53
22.31,-12.41
22.54,-12.28
22.76,-12.16
22.99,-12.04
23.22,-11.92
23.45,-11.78
23.69,-11.66
23.92,-11.54
24.16,-11.42
24.40,-11.30
24.65,-11.18
24.89,-11.06
25.14,-10.93
25.39,-10.81
25.65,-10.70
25.91,-10.58
26.16,-10.45
26.43,-10.33
26.69,-10.21
26.96,-10.08
27.23,-9.97
27.50,-9.84
27.77,-9.72
28.05,-9.61
28.33,-9.48
28.62,-9.36
28.90,-9.25
29.19,-9.12
29.48,-9.01
29.78,-8.89
30.08,-8.77
30.38,-8.65
30.68,-8.53
30.99,-8.41
31.30,-8.29
31.61,-8.17
31.93,-8.06
32.24,-7.95
32.57,-7.83
32.89,-7.73
33.22,-7.62
33.55,-7.51
33.89,-7.40
34.23,-7.29
34.57,-7.18
34.92,-7.06
35.27,-6.95
35.62,-6.84
35.97,-6.73
36.33,-6.62
36.70,-6.50
37.06,-6.38
37.43,-6.27
37.81,-6.15
38.19,-6.04
38.57,-5.93
38.95,-5.80
39.34,-5.69
39.74,-5.58
40.14,-5.46
40.54,-5.35
40.94,-5.24
41.35,-5.12
41.76,-5.01
42.18,-4.90
42.60,-4.79
43.03,-4.68
43.46,-4.58
43.90,-4.49
44.33,-4.39
44.78,-4.30
45.23,-4.20
45.68,-4.10
46.13,-4.01
46.60,-3.93
47.06,-3.85
47.53,-3.76
48.01,-3.68
48.49,-3.60
48.97,-3.52
49.46,-3.44
49.96,-3.35
50.46,-3.26
50.96,-3.18
51.47,-3.09
51.99,-3.01
52.51,-2.93
53.03,-2.84
53.56,-2.75
54.10,-2.65
54.64,-2.56
55.18,-2.48
55.74,-2.39
56.29,-2.29
56.86,-2.19
57.42,-2.11
58.00,-2.01
58.58,-1.92
59.16,-1.84
59.76,-1.75
60.35,-1.67
60.96,-1.58
61.57,-1.50
62.18,-1.42
62.80,-1.34
63.43,-1.27
64.07,-1.21
64.71,-1.16
65.35,-1.10
66.01,-1.05
66.67,-1.00
67.33,-0.94
68.01,-0.89
68.69,-0.85
69.37,-0.80
70.07,-0.74
70.77,-0.70
71.48,-0.66
72.19,-0.62
72.91,-0.58
73.64,-0.56
74.38,-0.53
75.12,-0.51
75.87,-0.49
76.63,-0.48
77.40,-0.47
78.17,-0.46
78.95,-0.46
79.74,-0.46
80.54,-0.45
81.35,-0.46
82.16,-0.46
82.98,-0.48
83.81,-0.49
84.65,-0.51
85.50,-0.52
86.35,-0.53
87.22,-0.54
88.09,-0.55
88.97,-0.57
89.86,-0.58
90.76,-0.59
91.66,-0.60
92.58,-0.61
93.51,-0.63
94.44,-0.64
95.39,-0.65
96.34,-0.66
97.30,-0.68
98.28,-0.69
99.26,-0.70
100.25,-0.71
101.25,-0.72
102.27,-0.72
103.29,-0.72
104.32,-0.73
105.37,-0.72
106.42,-0.72
107.48,-0.74
108.56,-0.75
109.64,-0.77
110.74,-0.80
111.85,-0.84
112.97,-0.87
114.10,-0.89
115.24,-0.91
116.39,-0.92
117.55,-0.93
118.73,-0.97
119.92,-1.00
121.12,-1.04
122.33,-1.05
123.55,-1.08
124.79,-1.11
126.03,-1.14
127.29,-1.15
128.57,-1.18
129.85,-1.22
131.15,-1.25
132.46,-1.28
133.79,-1.32
135.12,-1.37
136.48,-1.40
137.84,-1.44
139.22,-1.47
140.61,-1.49
142.02,-1.52
143.44,-1.53
144.87,-1.57
146.32,-1.57
147.78,-1.60
