frequency,raw
20.00,-23.89
20.20,-23.75
20.40,-23.61
20.61,-23.48
20.81,-23.34
21.02,-23.21
21.23,-23.06
21.44,-22.93
21.66,-22.79
21.87,-22.65
22.09,-22.51
22.31,-22.37
22.54,-22.22
22.76,-22.08
22.99,-21.95
23.22,-21.81
23.45,-21.66
23.69,-21.52
23.92,-21.39
24.16,-21.25
24.40,-21.11
24.65,-20.97
24.89,-20.82
25.14,-20.68
25.39,-20.54
25.65,-20.41
25.91,-20.27
26.16,-20.12
26.43,-19.98
26.69,-19.84
26.96,-19.69
27.23,-19.56
27.50,-19.42
27.77,-19.27
28.05,-19.14
28.33,-19.00
28.62,-18.85
28.90,-18.71
29.19,-18.57
29.48,-18.44
29.78,-18.29
30.08,-18.15
30.38,-18.00
30.68,-17.84
30.99,-17.68
31.30,-17.54
31.61,-17.39
31.93,-17.25
32.24,-17.10
32.57,-16.96
32.89,-16.83
33.22,-16.69
33.55,-16.55
33.89,-16.42
34.23,-16.30
34.57,-16.16
34.92,-16.03
35.27,-15.91
35.62,-15.79
35.97,-15.67
36.33,-15.55
36.70,-15.42
37.06,-15.29
37.43,-15.16
37.81,-15.03
38.19,-14.90
38.57,-14.77
38.95,-14.64
39.34,-14.51
39.74,-14.39
40.14,-14.25
40.54,-14.13
40.94,-14.00
41.35,-13.86
41.76,-13.73
42.18,-13.60
42.60,-13.46
43.03,-13.32
43.46,-13.19
43.90,-13.05
44.33,-12.92
44.78,-12.79
45.23,-12.66
45.68,-12.52
46.13,-12.39
46.60,-12.26
47.06,-12.12
47.53,-11.97
48.01,-11.83
48.49,-11.68
48.97,-11.54
49.46,-11.40
49.96,-11.25
50.46,-11.10
50.96,-10.95
51.47,-10.81
51.99,-10.67
52.51,-10.54
53.03,-10.40
53.56,-10.25
54.10,-10.08
54.64,-9.94
55.18,-9.80
55.74,-9.65
56.29,-9.50
56.86,-9.34
57.42,-9.19
58.00,-9.03
58.58,-8.88
59.16,-8.74
59.76,-8.58
60.35,-8.41
60.96,-8.25
61.57,-8.09
62.18,-7.92
62.80,-7.77
63.43,-7.60
64.07,-7.44
64.71,-7.28
65.35,-7.11
66.01,-6.94
66.67,-6.77
67.33,-6.58
68.01,-6.41
68.69,-6.25
69.37,-6.09
70.07,-5.91
70.77,-5.75
71.48,-5.58
72.19,-5.40
72.91,-5.22
73.64,-5.04
74.38,-4.86
75.12,-4.69
75.87,-4.53
76.63,-4.36
77.40,-4.19
78.17,-4.01
78.95,-3.83
79.74,-3.65
80.54,-3.47
81.35,-3.30
82.16,-3.13
82.98,-2.96
83.81,-2.79
84.65,-2.62
85.50,-2.44
86.35,-2.26
87.22,-2.08
88.09,-1.91
88.97,-1.74
89.86,-1.56
90.76,-1.37
91.66,-1.18
92.58,-1.01
93.51,-0.85
94.44,-0.68
95.39,-0.50
96.34,-0.31
97.30,-0.12
98.28,0.09
99.26,0.30
100.25,0.51
101.25,0.71
102.27,0.89
103.29,1.00
104.32,1.13
105.37,1.34
106.42,1.55
107.48,1.76
108.56,1.99
109.64,2.20
110.74,2.41
111.85,2.60
112.97,2.80
114.10,2.99
115.24,3.16
116.39,3.26
117.55,3.41
118.73,3.61
119.92,3.82
121.12,3.99
122.33,4.08
123.55,4.21
124.79,4.37
126.03,4.52
127.29,4.59
128.57,4.69
129.85,4.82
131.15,4.93
132.46,4.97
133.79,5.04
135.12,5.09
136.48,5.12
137.84,5.16
139.22,5.17
140.61,5.20
142.02,5.22
143.44,5.22
144.87,5.22
146.32,5.22
147.78,5.19
149.26,5.16
150.75,5.14
152.26,5.10
153.78,5.05
155.32,5.01
156.88,4.93
158.44,4.86
160.03,4.76
161.63,4.70
163.24,4.62
164.88,4.50
166.53,4.42
168.19,4.33
169.87,4.21
171.57,4.13
173.29,4.04
175.02,3.91
176.77,3.81
178.54,3.74
180.32,3.65
182.13,3.55
183.95,3.42
185.79,3.32
187.65,3.23
189.52,3.15
191.42,3.06
193.33,2.96
195.27,2.88
197.22,2.80
199.19,2.70
201.18,2.62
203.19,2.53
205.23,2.43
207.28,2.35
209.35,2.25
211.44,2.16
213.56,2.07
215.69,1.96
217.85,1.86
220.03,1.80
222.23,1.71
224.45,1.60
226.70,1.50
228.96,1.38
231.25,1.32
233.57,1.22
235.90,1.11
238.26,1.06
240.64,0.97
243.05,0.89
245.48,0.80
247.93,0.71
250.41,0.65
252.92,0.56
255.45,0.50
258.00,0.44
260.58,0.35
263.19,0.27
265.82,0.18
268.48,0.12
271.16,0.06
273.87,-0.04
276.61,-0.11
279.38,-0.18
282.17,-0.25
284.99,-0.31
287.84,-0.38
290.72,-0.42
293.63,-0.48
296.57,-0.52
299.53,-0.55
302.53,-0.60
305.55,-0.63
308.61,-0.66
311.69,-0.69
