frequency,raw
20.00,-21.36
20.20,-21.33
20.40,-21.29
20.61,-21.27
20.81,-21.24
21.02,-21.22
21.23,-21.18
21.44,-21.15
21.66,-21.12
21.87,-21.09
22.09,-21.05
22.31,-21.02
22.54,-20.98
22.76,-20.95
22.99,-20.92
23.22,-20.88
23.45,-20.83
23.69,-20.79
23.92,-20.76
24.16,-20.71
24.40,-20.67
24.65,-20.62
24.89,-20.57
25.14,-20.53
25.39,-20.47
25.65,-20.43
25.91,-20.38
26.16,-20.33
26.43,-20.27
26.69,-20.21
26.96,-20.15
27.23,-20.10
27.50,-20.03
27.77,-19.96
28.05,-19.90
28.33,-19.83
28.62,-19.75
28.90,-19.69
29.19,-19.61
29.48,-19.54
29.78,-19.46
30.08,-19.37
30.38,-19.27
30.68,-19.16
30.99,-19.06
31.30,-18.95
31.61,-18.84
31.93,-18.74
32.24,-18.61
32.57,-18.47
32.89,-18.35
33.22,-18.21
33.55,-18.06
33.89,-17.92
34.23,-17.79
34.57,-17.64
34.92,-17.50
35.27,-17.36
35.62,-17.24
35.97,-17.11
36.33,-16.98
36.70,-16.85
37.06,-16.72
37.43,-16.60
37.81,-16.48
38.19,-16.38
38.57,-16.28
38.95,-16.17
39.34,-16.07
39.74,-15.97
40.14,-15.84
40.54,-15.71
40.94,-15.58
41.35,-15.43
41.76,-15.29
42.18,-15.15
42.60,-15.01
43.03,-14.87
43.46,-14.72
43.90,-14.57
44.33,-14.41
44.78,-14.25
45.23,-14.07
45.68,-13.89
46.13,-13.72
46.60,-13.55
47.06,-13.37
47.53,-13.19
48.01,-13.02
48.49,-12.85
48.97,-12.68
49.46,-12.53
49.96,-12.36
50.46,-12.21
50.96,-12.06
51.47,-11.91
51.99,-11.77
52.51,-11.62
53.03,-11.47
53.56,-11.33
54.10,-11.17
54.64,-11.04
55.18,-10.90
55.74,-10.75
56.29,-10.60
56.86,-10.45
57.42,-10.31
58.00,-10.16
58.58,-10.01
59.16,-9.86
59.76,-9.70
60.35,-9.55
60.96,-9.40
61.57,-9.25
62.18,-9.11
62.80,-8.96
63.43,-8.80
64.07,-8.67
64.71,-8.53
65.35,-8.39
66.01,-8.27
66.67,-8.12
67.33,-7.97
68.01,-7.84
68.69,-7.71
69.37,-7.57
70.07,-7.43
70.77,-7.28
71.48,-7.13
72.19,-6.98
72.91,-6.82
73.64,-6.68
74.38,-6.53
75.12,-6.36
75.87,-6.22
76.63,-6.07
77.40,-5.91
78.17,-5.73
78.95,-5.56
79.74,-5.38
80.54,-5.21
81.35,-5.04
82.16,-4.87
82.98,-4.70
83.81,-4.53
84.65,-4.36
85.50,-4.19
86.35,-4.00
87.22,-3.81
88.09,-3.64
88.97,-3.49
89.86,-3.31
90.76,-3.12
91.66,-2.95
92.58,-2.79
93.51,-2.64
94.44,-2.49
95.39,-2.33
96.34,-2.15
97.30,-1.98
98.28,-1.80
99.26,-1.62
100.25,-1.45
101.25,-1.28
102.27,-1.14
103.29,-1.04
104.32,-0.93
105.37,-0.75
106.42,-0.57
107.48,-0.42
108.56,-0.26
109.64,-0.09
110.74,0.06
111.85,0.23
112.97,0.38
114.10,0.51
115.24,0.66
116.39,0.75
117.55,0.88
118.73,1.03
119.92,1.18
121.12,1.32
122.33,1.40
123.55,1.50
124.79,1.62
126.03,1.73
127.29,1.79
128.57,1.87
129.85,1.97
131.15,2.07
132.46,2.12
133.79,2.19
135.12,2.25
136.48,2.29
137.84,2.36
139.22,2.41
140.61,2.47
142.02,2.56
143.44,2.60
144.87,2.64
146.32,2.68
147.78,2.71
149.26,2.72
150.75,2.72
152.26,2.72
