frequency,raw
20.00,-14.56
20.20,-14.44
20.40,-14.32
20.61,-14.20
20.81,-14.08
21.02,-13.97
21.23,-13.84
21.44,-13.73
21.66,-13.61
21.87,-13.49
22.09,-13.37
22.31,-13.25
22.54,-13.12
22.76,-13.00
22.99,-12.89
23.22,-12.77
23.45,-12.64
23.69,-12.52
23.92,-12.40
24.16,-12.28
24.40,-12.17
24.65,-12.05
24.89,-11.93
25.14,-11.82
25.39,-11.70
25.65,-11.59
25.91,-11.47
26.16,-11.35
26.43,-11.22
26.69,-11.10
26.96,-10.98
27.23,-10.87
27.50,-10.75
27.77,-10.63
28.05,-10.53
28.33,-10.41
28.62,-10.29
28.90,-10.17
29.19,-10.06
29.48,-9.95
29.78,-9.83
30.08,-9.71
30.38,-9.61
30.68,-9.50
30.99,-9.39
31.30,-9.29
31.61,-9.18
31.93,-9.08
32.24,-8.97
32.57,-8.85
32.89,-8.75
33.22,-8.64
33.55,-8.53
33.89,-8.43
34.23,-8.33
34.57,-8.22
34.92,-8.11
35.27,-8.00
35.62,-7.90
35.97,-7.79
36.33,-7.68
36.70,-7.58
37.06,-7.46
37.43,-7.35
37.81,-7.25
38.19,-7.14
38.57,-7.04
38.95,-6.92
39.34,-6.81
39.74,-6.69
40.14,-6.57
40.54,-6.46
40.94,-6.35
41.35,-6.22
41.76,-6.11
42.18,-6.00
42.60,-5.89
43.03,-5.78
43.46,-5.67
43.90,-5.56
44.33,-5.46
44.78,-5.37
45.23,-5.26
45.68,-5.16
46.13,-5.06
46.60,-4.98
47.06,-4.89
47.53,-4.78
48.01,-4.69
48.49,-4.59
48.97,-4.49
49.46,-4.41
49.96,-4.32
50.46,-4.22
50.96,-4.13
51.47,-4.04
51.99,-3.97
52.51,-3.89
53.03,-3.82
53.56,-3.74
54.10,-3.65
54.64,-3.57
55.18,-3.50
55.74,-3.43
56.29,-3.36
56.86,-3.30
57.42,-3.23
58.00,-3.15
58.58,-3.08
59.16,-3.01
59.76,-2.95
60.35,-2.88
60.96,-2.81
61.57,-2.75
62.18,-2.68
62.80,-2.61
63.43,-2.53
64.07,-2.46
64.71,-2.41
65.35,-2.35
66.01,-2.29
66.67,-2.24
67.33,-2.18
68.01,-2.12
68.69,-2.06
69.37,-2.01
70.07,-1.95
70.77,-1.90
71.48,-1.85
72.19,-1.81
72.91,-1.77
73.64,-1.73
74.38,-1.69
75.12,-1.66
75.87,-1.64
76.63,-1.62
77.40,-1.61
78.17,-1.59
