frequency,raw
20.00,-11.01
20.20,-10.93
20.40,-10.85
20.61,-10.78
20.81,-10.70
21.02,-10.63
21.23,-10.55
21.44,-10.48
21.66,-10.39
21.87,-10.32
22.09,-10.24
22.31,-10.17
22.54,-10.08
22.76,-10.00
22.99,-9.93
23.22,-9.86
23.45,-9.77
23.69,-9.69
23.92,-9.61
24.16,-9.54
24.40,-9.46
24.65,-9.38
24.89,-9.32
25.14,-9.24
25.39,-9.15
25.65,-9.06
25.91,-8.99
26.16,-8.91
26.43,-8.82
26.69,-8.73
26.96,-8.65
27.23,-8.58
27.50,-8.50
27.77,-8.42
28.05,-8.36
28.33,-8.28
28.62,-8.21
28.90,-8.15
29.19,-8.07
29.48,-8.01
29.78,-7.95
30.08,-7.89
30.38,-7.84
30.68,-7.77
30.99,-7.71
31.30,-7.66
31.61,-7.60
31.93,-7.55
32.24,-7.51
32.57,-7.45
32.89,-7.39
33.22,-7.34
33.55,-7.29
33.89,-7.26
34.23,-7.22
34.57,-7.18
34.92,-7.14
35.27,-7.10
35.62,-7.06
35.97,-7.03
36.33,-7.00
36.70,-6.97
37.06,-6.92
37.43,-6.88
37.81,-6.84
38.19,-6.80
38.57,-6.77
38.95,-6.73
39.34,-6.69
39.74,-6.64
40.14,-6.58
40.54,-6.54
40.94,-6.50
41.35,-6.44
41.76,-6.40
42.18,-6.36
42.60,-6.31
43.03,-6.27
43.46,-6.21
43.90,-6.16
44.33,-6.10
44.78,-6.07
45.23,-6.03
45.68,-5.98
46.13,-5.92
46.60,-5.87
47.06,-5.82
47.53,-5.78
48.01,-5.75
48.49,-5.69
48.97,-5.64
49.46,-5.60
49.96,-5.56
50.46,-5.52
50.96,-5.48
51.47,-5.42
51.99,-5.38
52.51,-5.34
53.03,-5.29
53.56,-5.24
54.10,-5.18
54.64,-5.12
55.18,-5.06
55.74,-5.01
56.29,-4.95
56.86,-4.89
57.42,-4.83
58.00,-4.76
58.58,-4.70
59.16,-4.64
59.76,-4.59
60.35,-4.53
60.96,-4.47
61.57,-4.41
62.18,-4.36
62.80,-4.31
63.43,-4.24
64.07,-4.18
64.71,-4.13
65.35,-4.08
66.01,-4.03
66.67,-4.00
67.33,-3.95
68.01,-3.93
68.69,-3.91
69.37,-3.89
70.07,-3.86
70.77,-3.83
71.48,-3.80
72.19,-3.77
72.91,-3.74
73.64,-3.73
74.38,-3.70
75.12,-3.67
75.87,-3.66
76.63,-3.64
77.40,-3.62
78.17,-3.59
78.95,-3.59
79.74,-3.59
80.54,-3.59
81.35,-3.59
82.16,-3.59
82.98,-3.60
83.81,-3.59
84.65,-3.58
85.50,-3.57
86.35,-3.55
87.22,-3.53
88.09,-3.51
88.97,-3.50
89.86,-3.48
90.76,-3.46
91.66,-3.44
92.58,-3.43
93.51,-3.43
94.44,-3.42
95.39,-3.42
96.34,-3.43
97.30,-3.45
98.28,-3.46
99.26,-3.48
100.25,-3.50
101.25,-3.51
102.27,-3.52
103.29,-3.52
104.32,-3.53
105.37,-3.53
106.42,-3.53
107.48,-3.54
108.56,-3.53
109.64,-3.52
110.74,-3.51
111.85,-3.51
112.97,-3.50
114.10,-3.49
115.24,-3.50
116.39,-3.51
117.55,-3.52
118.73,-3.54
119.92,-3.56
121.12,-3.59
122.33,-3.61
123.55,-3.64
124.79,-3.67
126.03,-3.70
127.29,-3.73
128.57,-3.76
129.85,-3.78
131.15,-3.79
132.46,-3.81
133.79,-3.81
135.12,-3.81
136.48,-3.81
137.84,-3.80
139.22,-3.80
140.61,-3.79
142.02,-3.79
143.44,-3.79
144.87,-3.79
146.32,-3.78
147.78,-3.78
149.26,-3.78
150.75,-3.77
152.26,-3.77
153.78,-3.77
155.32,-3.76
156.88,-3.76
158.44,-3.76
160.03,-3.75
161.63,-3.74
163.24,-3.74
164.88,-3.73
166.53,-3.72
168.19,-3.71
169.87,-3.70
171.57,-3.68
173.29,-3.66
175.02,-3.64
176.77,-3.63
178.54,-3.62
180.32,-3.62
182.13,-3.63
183.95,-3.64
185.79,-3.65
187.65,-3.66
189.52,-3.67
191.42,-3.68
193.33,-3.70
195.27,-3.71
197.22,-3.71
199.19,-3.71
201.18,-3.71
203.19,-3.71
205.23,-3.70
207.28,-3.68
209.35,-3.66
211.44,-3.62
213.56,-3.58
215.69,-3.56
217.85,-3.53
220.03,-3.50
222.23,-3.48
224.45,-3.45
226.70,-3.43
228.96,-3.41
231.25,-3.39
233.57,-3.37
235.90,-3.36
238.26,-3.34
240.64,-3.33
243.05,-3.32
245.48,-3.31
247.93,-3.30
250.41,-3.29
252.92,-3.28
255.45,-3.27
258.00,-3.27
260.58,-3.26
263.19,-3.26
265.82,-3.24
268.48,-3.21
271.16,-3.19
273.87,-3.16
276.61,-3.12
279.38,-3.09
282.17,-3.05
284.99,-3.01
287.84,-2.97
290.72,-2.92
293.63,-2.88
296.57,-2.84
299.53,-2.80
302.53,-2.77
305.55,-2.73
308.61,-2.71
311.69,-2.68
314.81,-2.67
317.96,-2.66
321.14,-2.64
324.35,-2.64
327.59,-2.62
330.87,-2.62
334.18,-2.60
337.52,-2.59
340.90,-2.58
344.30,-2.56
347.75,-2.53
351.23,-2.49
354.74,-2.46
358.28,-2.42
361.87,-2.37
365.49,-2.32
369.14,-2.27
372.83,-2.23
376.56,-2.18
380.33,-2.13
384.13,-2.09
387.97,-2.06
391.85,-2.02
395.77,-2.00
399.73,-1.98
403.72,-1.95
407.76,-1.91
411.84,-1.89
415.96,-1.86
420.12,-1.83
424.32,-1.78
428.56,-1.73
432.85,-1.68
437.18,-1.63
441.55,-1.58
445.96,-1.55
450.42,-1.51
454.93,-1.47
459.48,-1.45
464.07,-1.44
468.71,-1.44
473.40,-1.46
478.13,-1.50
482.91,-1.54
487.74,-1.60
492.62,-1.65
497.55,-1.72
502.52,-1.81
507.55,-1.88
512.62,-1.97
517.75,-2.06
522.93,-2.16
528.16,-2.25
533.44,-2.34
538.77,-2.42
544.16,-2.53
