frequency,raw
20.00,-0.46
20.20,-0.35
20.40,-0.24
20.61,-0.14
20.81,-0.04
21.02,0.05
21.23,0.15
21.44,0.23
21.66,0.32
21.87,0.40
22.09,0.48
22.31,0.55
22.54,0.61
22.76,0.66
22.99,0.71
23.22,0.77
23.45,0.83
23.69,0.89
23.92,0.95
24.16,1.00
24.40,1.05
24.65,1.10
24.89,1.17
25.14,1.23
25.39,1.30
25.65,1.33
25.91,1.38
26.16,1.43
26.43,1.49
26.69,1.55
26.96,1.60
27.23,1.64
27.50,1.69
27.77,1.75
28.05,1.78
28.33,1.81
28.62,1.83
28.90,1.84
29.19,1.87
29.48,1.88
29.78,1.90
30.08,1.92
30.38,1.94
30.68,1.96
30.99,1.99
31.30,1.99
31.61,2.00
31.93,2.00
32.24,2.02
32.57,2.04
32.89,2.05
33.22,2.06
33.55,2.06
33.89,2.06
34.23,2.05
34.57,2.05
34.92,2.05
35.27,2.05
35.62,2.05
35.97,2.06
36.33,2.08
36.70,2.10
37.06,2.13
37.43,2.15
37.81,2.17
38.19,2.19
38.57,2.21
38.95,2.23
39.34,2.23
39.74,2.23
40.14,2.23
40.54,2.22
40.94,2.22
41.35,2.22
41.76,2.22
42.18,2.23
42.60,2.24
43.03,2.26
43.46,2.28
43.90,2.30
44.33,2.33
44.78,2.34
45.23,2.36
45.68,2.37
46.13,2.39
46.60,2.39
47.06,2.40
47.53,2.40
48.01,2.38
48.49,2.36
48.97,2.33
49.46,2.30
49.96,2.29
50.46,2.29
50.96,2.30
51.47,2.31
51.99,2.31
52.51,2.33
53.03,2.35
53.56,2.37
54.10,2.40
54.64,2.43
55.18,2.44
55.74,2.45
56.29,2.47
56.86,2.49
57.42,2.50
58.00,2.52
58.58,2.54
59.16,2.57
59.76,2.59
60.35,2.61
60.96,2.63
61.57,2.65
62.18,2.67
62.80,2.68
63.43,2.70
64.07,2.70
64.71,2.70
65.35,2.70
66.01,2.69
66.67,2.67
67.33,2.66
68.01,2.63
68.69,2.60
69.37,2.57
70.07,2.56
70.77,2.55
71.48,2.55
72.19,2.55
72.91,2.55
73.64,2.54
74.38,2.53
75.12,2.52
75.87,2.48
76.63,2.45
77.40,2.41
78.17,2.38
78.95,2.33
79.74,2.29
80.54,2.25
81.35,2.22
82.16,2.18
82.98,2.15
83.81,2.13
84.65,2.11
85.50,2.09
86.35,2.08
87.22,2.07
88.09,2.07
88.97,2.05
89.86,2.05
90.76,2.03
91.66,2.01
92.58,2.00
93.51,1.98
94.44,1.98
95.39,1.98
