frequency,raw
20.00,-11.13
20.20,-10.97
20.40,-10.82
20.61,-10.68
20.81,-10.53
21.02,-10.40
21.23,-10.26
21.44,-10.13
21.66,-9.99
21.87,-9.87
22.09,-9.74
22.31,-9.62
22.54,-9.52
22.76,-9.42
22.99,-9.31
23.22,-9.20
23.45,-9.10
23.69,-8.99
23.92,-8.88
24.16,-8.76
24.40,-8.64
24.65,-8.52
24.89,-8.38
25.14,-8.26
25.39,-8.13
25.65,-7.99
25.91,-7.86
26.16,-7.73
26.43,-7.59
26.69,-7.46
26.96,-7.32
27.23,-7.20
27.50,-7.06
27.77,-6.93
28.05,-6.82
28.33,-6.68
28.62,-6.55
28.90,-6.44
29.19,-6.31
29.48,-6.20
29.78,-6.08
30.08,-5.96
30.38,-5.86
30.68,-5.75
30.99,-5.64
31.30,-5.55
31.61,-5.45
31.93,-5.36
32.24,-5.27
32.57,-5.17
32.89,-5.08
33.22,-4.95
33.55,-4.85
33.89,-4.73
34.23,-4.62
34.57,-4.51
34.92,-4.40
35.27,-4.28
35.62,-4.17
35.97,-4.05
36.33,-3.93
36.70,-3.82
37.06,-3.69
37.43,-3.56
37.81,-3.44
38.19,-3.31
38.57,-3.19
38.95,-3.05
39.34,-2.92
39.74,-2.78
40.14,-2.62
40.54,-2.49
40.94,-2.35
41.35,-2.19
41.76,-2.06
42.18,-1.92
42.60,-1.79
43.03,-1.68
43.46,-1.56
43.90,-1.44
44.33,-1.32
44.78,-1.22
45.23,-1.11
45.68,-1.00
46.13,-0.90
46.60,-0.81
47.06,-0.72
47.53,-0.63
48.01,-0.55
48.49,-0.45
48.97,-0.36
49.46,-0.28
49.96,-0.19
50.46,-0.11
50.96,-0.02
51.47,0.05
51.99,0.11
52.51,0.19
53.03,0.26
53.56,0.33
54.10,0.41
54.64,0.48
55.18,0.55
55.74,0.63
56.29,0.71
56.86,0.78
57.42,0.84
58.00,0.92
58.58,0.99
59.16,1.07
59.76,1.16
60.35,1.23
60.96,1.30
61.57,1.35
62.18,1.41
62.80,1.48
63.43,1.55
64.07,1.61
64.71,1.67
65.35,1.73
66.01,1.77
66.67,1.80
67.33,1.82
68.01,1.83
68.69,1.84
69.37,1.84
70.07,1.83
70.77,1.82
71.48,1.81
72.19,1.81
72.91,1.80
73.64,1.77
74.38,1.75
75.12,1.71
75.87,1.66
76.63,1.62
77.40,1.58
78.17,1.56
78.95,1.53
79.74,1.50
80.54,1.46
81.35,1.42
82.16,1.38
82.98,1.34
83.81,1.33
84.65,1.30
85.50,1.27
86.35,1.24
87.22,1.21
88.09,1.18
88.97,1.14
89.86,1.12
90.76,1.09
91.66,1.06
92.58,1.02
93.51,0.98
94.44,0.94
95.39,0.89
96.34,0.85
97.30,0.78
98.28,0.73
99.26,0.69
100.25,0.65
101.25,0.61
102.27,0.56
103.29,0.53
104.32,0.49
105.37,0.45
106.42,0.41
107.48,0.35
108.56,0.30
109.64,0.24
110.74,0.18
111.85,0.13
112.97,0.10
114.10,0.06
115.24,0.02
116.39,-0.03
117.55,-0.09
118.73,-0.14
119.92,-0.19
121.12,-0.23
122.33,-0.27
123.55,-0.32
124.79,-0.37
126.03,-0.43
127.29,-0.49
128.57,-0.54
129.85,-0.58
131.15,-0.62
132.46,-0.66
133.79,-0.70
135.12,-0.75
136.48,-0.80
