frequency,raw
20.00,-0.21
20.20,-0.21
20.40,-0.21
20.61,-0.22
20.81,-0.22
21.02,-0.23
21.23,-0.23
21.44,-0.24
21.66,-0.24
21.87,-0.25
22.09,-0.25
22.31,-0.26
22.54,-0.26
22.76,-0.27
22.99,-0.28
23.22,-0.28
23.45,-0.27
23.69,-0.28
23.92,-0.29
24.16,-0.31
24.40,-0.34
24.65,-0.37
24.89,-0.40
25.14,-0.44
25.39,-0.47
25.65,-0.52
25.91,-0.55
26.16,-0.58
26.43,-0.63
26.69,-0.67
26.96,-0.72
27.23,-0.79
27.50,-0.84
27.77,-0.88
28.05,-0.93
28.33,-0.96
28.62,-1.00
28.90,-1.05
29.19,-1.10
29.48,-1.17
29.78,-1.22
30.08,-1.27
30.38,-1.33
30.68,-1.39
30.99,-1.45
31.30,-1.52
31.61,-1.57
31.93,-1.63
32.24,-1.68
32.57,-1.73
32.89,-1.80
33.22,-1.86
33.55,-1.91
33.89,-1.97
34.23,-2.03
34.57,-2.08
34.92,-2.13
35.27,-2.19
35.62,-2.26
35.97,-2.31
36.33,-2.35
36.70,-2.39
37.06,-2.42
37.43,-2.45
37.81,-2.49
38.19,-2.52
38.57,-2.54
38.95,-2.54
39.34,-2.54
39.74,-2.53
40.14,-2.49
40.54,-2.47
40.94,-2.44
41.35,-2.41
41.76,-2.40
42.18,-2.39
42.60,-2.37
43.03,-2.35
43.46,-2.33
43.90,-2.30
44.33,-2.28
44.78,-2.26
45.23,-2.24
45.68,-2.22
46.13,-2.21
46.60,-2.21
47.06,-2.19
47.53,-2.17
48.01,-2.16
48.49,-2.15
48.97,-2.13
49.46,-2.13
49.96,-2.13
50.46,-2.13
50.96,-2.13
51.47,-2.15
51.99,-2.18
52.51,-2.19
53.03,-2.21
53.56,-2.22
54.10,-2.22
54.64,-2.23
55.18,-2.24
55.74,-2.25
56.29,-2.25
56.86,-2.25
57.42,-2.26
58.00,-2.26
58.58,-2.26
59.16,-2.26
59.76,-2.26
60.35,-2.26
60.96,-2.26
61.57,-2.26
62.18,-2.26
62.80,-2.26
63.43,-2.25
64.07,-2.25
64.71,-2.25
65.35,-2.25
66.01,-2.26
66.67,-2.26
67.33,-2.25
68.01,-2.24
68.69,-2.22
69.37,-2.20
70.07,-2.17
70.77,-2.14
71.48,-2.11
72.19,-2.08
72.91,-2.05
73.64,-2.03
74.38,-2.00
75.12,-1.97
75.87,-1.95
76.63,-1.94
77.40,-1.93
78.17,-1.92
78.95,-1.92
