frequency,raw
20.00,3.07
20.20,3.10
20.40,3.14
20.61,3.16
20.81,3.20
21.02,3.22
21.23,3.26
21.44,3.28
21.66,3.32
21.87,3.34
22.09,3.37
22.31,3.40
22.54,3.43
22.76,3.45
22.99,3.48
23.22,3.50
23.45,3.53
23.69,3.56
23.92,3.58
24.16,3.60
24.40,3.63
24.65,3.65
24.89,3.68
25.14,3.70
25.39,3.72
25.65,3.73
25.91,3.75
26.16,3.77
26.43,3.79
26.69,3.81
26.96,3.83
27.23,3.84
27.50,3.86
27.77,3.88
28.05,3.88
28.33,3.90
28.62,3.92
28.90,3.92
29.19,3.94
29.48,3.94
29.78,3.96
30.08,3.98
30.38,3.98
30.68,3.99
30.99,4.01
31.30,4.01
31.61,4.02
31.93,4.02
32.24,4.02
32.57,4.02
32.89,4.02
33.22,4.02
33.55,4.02
33.89,4.03
34.23,4.02
34.57,4.02
34.92,4.03
35.27,4.03
35.62,4.02
35.97,4.03
36.33,4.04
36.70,4.05
37.06,4.06
37.43,4.06
37.81,4.06
38.19,4.07
38.57,4.07
38.95,4.08
39.34,4.08
39.74,4.09
40.14,4.10
40.54,4.11
40.94,4.11
41.35,4.12
41.76,4.12
42.18,4.12
42.60,4.12
43.03,4.12
43.46,4.12
43.90,4.13
44.33,4.13
44.78,4.13
45.23,4.14
45.68,4.15
46.13,4.15
46.60,4.15
47.06,4.15
47.53,4.15
48.01,4.14
48.49,4.13
48.97,4.12
49.46,4.10
49.96,4.08
50.46,4.06
50.96,4.04
51.47,4.01
51.99,3.97
52.51,3.94
53.03,3.91
53.56,3.89
54.10,3.88
54.64,3.86
55.18,3.83
55.74,3.80
56.29,3.78
56.86,3.76
57.42,3.72
58.00,3.69
58.58,3.66
59.16,3.63
59.76,3.60
60.35,3.57
60.96,3.54
61.57,3.51
62.18,3.48
62.80,3.46
63.43,3.44
64.07,3.42
64.71,3.41
65.35,3.40
66.01,3.39
66.67,3.38
67.33,3.38
68.01,3.37
68.69,3.35
69.37,3.33
70.07,3.33
70.77,3.31
71.48,3.30
72.19,3.29
72.91,3.27
73.64,3.25
74.38,3.23
75.12,3.21
75.87,3.17
76.63,3.14
77.40,3.10
78.17,3.07
78.95,3.04
79.74,3.01
80.54,2.97
81.35,2.94
82.16,2.92
82.98,2.90
83.81,2.89
84.65,2.87
85.50,2.86
86.35,2.86
87.22,2.86
88.09,2.86
88.97,2.85
89.86,2.85
90.76,2.84
91.66,2.82
92.58,2.80
93.51,2.76
94.44,2.73
95.39,2.70
96.34,2.66
97.30,2.61
98.28,2.57
99.26,2.54
100.25,2.50
101.25,2.45
102.27,2.40
103.29,2.38
104.32,2.34
105.37,2.30
106.42,2.27
107.48,2.22
108.56,2.19
109.64,2.14
110.74,2.09
111.85,2.05
112.97,1.99
114.10,1.93
115.24,1.87
116.39,1.84
117.55,1.80
118.73,1.75
119.92,1.70
121.12,1.65
122.33,1.62
123.55,1.57
124.79,1.50
126.03,1.44
127.29,1.41
128.57,1.36
129.85,1.28
131.15,1.21
132.46,1.17
133.79,1.10
135.12,1.03
136.48,0.99
137.84,0.92
139.22,0.86
140.61,0.78
142.02,0.68
143.44,0.64
144.87,0.57
146.32,0.52
147.78,0.44
149.26,0.38
150.75,0.30
152.26,0.24
153.78,0.15
155.32,0.09
156.88,-0.02
158.44,-0.10
160.03,-0.19
161.63,-0.25
163.24,-0.32
164.88,-0.40
166.53,-0.47
168.19,-0.53
169.87,-0.63
171.57,-0.71
173.29,-0.77
175.02,-0.87
176.77,-0.95
178.54,-1.01
180.32,-1.08
182.13,-1.16
183.95,-1.29
185.79,-1.37
187.65,-1.47
189.52,-1.56
191.42,-1.65
193.33,-1.75
195.27,-1.83
197.22,-1.91
199.19,-2.00
201.18,-2.09
203.19,-2.18
205.23,-2.30
207.28,-2.40
209.35,-2.51
211.44,-2.61
213.56,-2.74
215.69,-2.88
217.85,-3.00
220.03,-3.08
222.23,-3.20
224.45,-3.34
226.70,-3.50
228.96,-3.67
231.25,-3.78
233.57,-3.93
235.90,-4.11
238.26,-4.22
240.64,-4.39
243.05,-4.52
245.48,-4.69
247.93,-4.93
250.41,-5.08
252.92,-5.27
255.45,-5.41
