frequency,raw
20.00,0.85
20.20,0.89
20.40,0.93
20.61,0.96
20.81,1.00
21.02,1.03
21.23,1.07
21.44,1.11
21.66,1.15
21.87,1.18
22.09,1.22
22.31,1.24
22.54,1.28
22.76,1.30
22.99,1.33
23.22,1.35
23.45,1.39
23.69,1.41
23.92,1.44
24.16,1.46
24.40,1.48
24.65,1.50
24.89,1.53
25.14,1.55
25.39,1.56
25.65,1.57
25.91,1.59
26.16,1.61
26.43,1.62
26.69,1.64
26.96,1.66
27.23,1.66
27.50,1.67
27.77,1.67
28.05,1.67
28.33,1.68
28.62,1.69
28.90,1.68
29.19,1.69
29.48,1.68
29.78,1.68
30.08,1.68
30.38,1.66
30.68,1.65
30.99,1.64
31.30,1.62
31.61,1.60
31.93,1.58
32.24,1.56
32.57,1.54
32.89,1.51
33.22,1.49
33.55,1.47
33.89,1.44
34.23,1.41
34.57,1.38
34.92,1.34
35.27,1.31
35.62,1.27
35.97,1.24
36.33,1.21
36.70,1.17
37.06,1.14
37.43,1.10
37.81,1.05
38.19,1.00
38.57,0.96
38.95,0.93
39.34,0.89
39.74,0.85
40.14,0.82
40.54,0.79
40.94,0.75
41.35,0.73
41.76,0.70
42.18,0.68
42.60,0.66
43.03,0.65
43.46,0.64
43.90,0.64
44.33,0.65
44.78,0.65
45.23,0.67
45.68,0.69
46.13,0.72
46.60,0.75
47.06,0.79
47.53,0.84
48.01,0.89
48.49,0.96
48.97,1.03
49.46,1.09
49.96,1.16
50.46,1.24
50.96,1.31
51.47,1.40
51.99,1.48
52.51,1.56
53.03,1.65
53.56,1.74
54.10,1.84
54.64,1.92
55.18,2.00
55.74,2.08
56.29,2.16
56.86,2.22
57.42,2.27
58.00,2.32
58.58,2.37
59.16,2.42
59.76,2.46
60.35,2.50
60.96,2.54
61.57,2.57
62.18,2.61
62.80,2.64
63.43,2.68
64.07,2.71
64.71,2.74
65.35,2.77
66.01,2.79
66.67,2.82
67.33,2.85
68.01,2.88
68.69,2.89
69.37,2.91
70.07,2.93
70.77,2.95
71.48,2.96
72.19,2.98
72.91,3.00
73.64,3.00
74.38,3.00
75.12,3.00
75.87,2.99
76.63,2.97
77.40,2.95
78.17,2.95
78.95,2.94
79.74,2.93
80.54,2.92
81.35,2.91
82.16,2.91
82.98,2.91
83.81,2.91
84.65,2.89
85.50,2.88
86.35,2.85
87.22,2.82
88.09,2.79
88.97,2.74
89.86,2.70
90.76,2.66
91.66,2.62
92.58,2.58
93.51,2.53
94.44,2.49
95.39,2.45
96.34,2.42
97.30,2.38
98.28,2.36
99.26,2.34
100.25,2.33
101.25,2.32
102.27,2.32
103.29,2.33
104.32,2.32
105.37,2.32
106.42,2.32
107.48,2.31
108.56,2.32
109.64,2.32
110.74,2.32
111.85,2.32
112.97,2.33
114.10,2.34
115.24,2.34
116.39,2.36
117.55,2.38
118.73,2.38
119.92,2.39
121.12,2.38
122.33,2.38
123.55,2.36
124.79,2.33
126.03,2.30
127.29,2.28
128.57,2.25
129.85,2.20
131.15,2.16
132.46,2.14
133.79,2.11
135.12,2.08
136.48,2.07
137.84,2.04
139.22,2.04
140.61,2.04
142.02,2.04
143.44,2.05
144.87,2.06
146.32,2.07
147.78,2.07
149.26,2.08
150.75,2.10
152.26,2.10
153.78,2.09
155.32,2.09
156.88,2.07
158.44,2.06
160.03,2.03
161.63,2.02
163.24,1.99
164.88,1.96
166.53,1.95
168.19,1.94
169.87,1.91
171.57,1.88
173.29,1.85
175.02,1.82
176.77,1.80
178.54,1.80
180.32,1.80
182.13,1.78
183.95,1.76
185.79,1.74
187.65,1.72
189.52,1.69
191.42,1.66
193.33,1.62
195.27,1.58
197.22,1.54
199.19,1.49
201.18,1.45
203.19,1.40
205.23,1.34
207.28,1.29
209.35,1.22
211.44,1.15
213.56,1.10
215.69,1.03
217.85,0.97
220.03,0.92
222.23,0.85
224.45,0.77
226.70,0.69
228.96,0.61
231.25,0.58
233.57,0.52
235.90,0.44
238.26,0.39
240.64,0.32
243.05,0.28
245.48,0.23
247.93,0.16
250.41,0.14
252.92,0.11
255.45,0.09
258.00,0.07
260.58,0.05
263.19,0.05
265.82,0.03
268.48,0.04
271.16,0.05
273.87,0.07
276.61,0.08
279.38,0.09
282.17,0.09
284.99,0.09
287.84,0.06
290.72,0.05
293.63,0.04
296.57,0.03
299.53,0.01
302.53,-0.02
305.55,-0.04
308.61,-0.08
311.69,-0.11
314.81,-0.14
317.96,-0.17
321.14,-0.21
324.35,-0.26
327.59,-0.31
330.87,-0.37
334.18,-0.43
337.52,-0.51
340.90,-0.58
344.30,-0.67
347.75,-0.76
351.23,-0.87
354.74,-0.97
358.28,-1.07
361.87,-1.18
365.49,-1.31
369.14,-1.43
372.83,-1.56
376.56,-1.73
380.33,-1.89
384.13,-2.05
387.97,-2.24
391.85,-2.42
395.77,-2.63
399.73,-2.85
403.72,-3.09
407.76,-3.32
411.84,-3.56
415.96,-3.82
420.12,-4.10
424.32,-4.35
428.56,-4.56
432.85,-4.78
437.18,-5.01
441.55,-5.19
445.96,-5.40
450.42,-5.61
454.93,-5.76
459.48,-5.93
464.07,-6.07
468.71,-6.18
473.40,-6.32
478.13,-6.45
482.91,-6.54
487.74,-6.65
492.62,-6.75
497.55,-6.86
502.52,-6.97
507.55,-7.08
512.62,-7.19
517.75,-7.28
522.93,-7.36
528.16,-7.44
533.44,-7.51
538.77,-7.55
544.16,-7.58
549.60,-7.59
555.10,-7.58
560.65,-7.54
566.25,-7.50
571.92,-7.41
577.64,-7.31
583.41,-7.20
589.25,-7.04
595.14,-6.85
601.09,-6.65
607.10,-6.43
613.17,-6.22
619.30,-5.98
625.50,-5.69
631.75,-5.41
638.07,-5.13
644.45,-4.87
650.89,-4.58
657.40,-4.31
663.98,-4.03
670.62,-3.80
677.32,-3.57
684.10,-3.37
690.94,-3.15
697.85,-2.99
704.83,-2.83
711.87,-2.66
718.99,-2.53
726.18,-2.38
733.44,-2.24
740.78,-2.14
748.19,-2.03
755.67,-1.94
763.23,-1.84
770.86,-1.73
778.57,-1.63
786.35,-1.53
794.22,-1.45
802.16,-1.37
810.18,-1.31
818.28,-1.24
826.46,-1.19
834.73,-1.14
843.08,-1.10
851.51,-1.05
860.02,-1.01
868.62,-0.97
877.31,-0.94
886.08,-0.91
894.94,-0.90
903.89,-0.88
912.93,-0.86
922.06,-0.83
931.28,-0.81
940.59,-0.79
950.00,-0.74
959.50,-0.71
969.09,-0.69
978.78,-0.67
988.57,-0.64
998.46,-0.62
1008.44,-0.60
1018.53,-0.59
1028.71,-0.59
1039.00,-0.61
1049.39,-0.61
1059.88,-0.62
1070.48,-0.65
1081.19,-0.66
1092.00,-0.70
1102.92,-0.73
1113.95,-0.77
1125.09,-0.80
1136.34,-0.85
1147.70,-0.89
1159.18,-0.92
1170.77,-0.97
1182.48,-1.03
1194.30,-1.09
1206.25,-1.13
1218.31,-1.18
1230.49,-1.24
1242.80,-1.29
1255.22,-1.34
1267.78,-1.40
1280.45,-1.45
1293.26,-1.51
1306.19,-1.55
1319.25,-1.61
1332.45,-1.66
1345.77,-1.70
1359.23,-1.75
1372.82,-1.79
1386.55,-1.83
1400.41,-1.86
1414.42,-1.88
1428.56,-1.91
1442.85,-1.94
1457.28,-1.96
1471.85,-1.97
1486.57,-1.98
1501.43,-1.97
1516.45,-1.97
1531.61,-1.95
1546.93,-1.93
1562.40,-1.89
1578.02,-1.84
1593.80,-1.78
1609.74,-1.72
1625.84,-1.64
1642.10,-1.55
1658.52,-1.45
1675.10,-1.35
1691.85,-1.23
1708.77,-1.10
1725.86,-0.98
1743.12,-0.86
1760.55,-0.73
1778.15,-0.61
1795.94,-0.49
1813.90,-0.38
1832.03,-0.28
1850.36,-0.17
1868.86,-0.08
1887.55,0.01
1906.42,0.11
1925.49,0.19
1944.74,0.25
1964.19,0.31
1983.83,0.37
2003.67,0.43
2023.71,0.47
2043.94,0.51
2064.38,0.54
2085.03,0.56
2105.88,0.59
2126.94,0.62
2148.20,0.64
2169.69,0.64
2191.38,0.65
2213.30,0.66
2235.43,0.65
2257.78,0.66
2280.36,0.66
2303.17,0.67
2326.20,0.67
2349.46,0.68
2372.95,0.70
2396.68,0.74
2420.65,0.76
2444.86,0.81
2469.31,0.88
2494.00,0.96
2518.94,1.05
2544.13,1.18
2569.57,1.34
2595.27,1.50
2621.22,1.69
2647.43,1.92
2673.90,2.17
2700.64,2.45
2727.65,2.75
2754.93,3.08
2782.48,3.42
2810.30,3.77
2838.40,4.13
2866.79,4.50
2895.46,4.86
2924.41,5.19
2953.65,5.50
2983.19,5.77
3013.02,6.01
3043.15,6.21
3073.58,6.37
