frequency,raw
20.00,-10.36
20.20,-10.29
20.40,-10.22
20.61,-10.15
20.81,-10.07
21.02,-10.00
21.23,-9.92
21.44,-9.84
21.66,-9.75
21.87,-9.67
22.09,-9.57
22.31,-9.48
22.54,-9.37
22.76,-9.26
22.99,-9.15
23.22,-9.04
23.45,-8.93
23.69,-8.82
23.92,-8.71
24.16,-8.62
24.40,-8.52
24.65,-8.42
24.89,-8.32
25.14,-8.23
25.39,-8.15
25.65,-8.07
25.91,-7.98
26.16,-7.90
26.43,-7.84
26.69,-7.76
26.96,-7.69
27.23,-7.63
27.50,-7.56
27.77,-7.50
28.05,-7.44
28.33,-7.37
28.62,-7.30
28.90,-7.25
29.19,-7.19
29.48,-7.13
29.78,-7.07
30.08,-7.01
30.38,-6.96
30.68,-6.90
30.99,-6.84
31.30,-6.80
31.61,-6.74
31.93,-6.70
32.24,-6.64
32.57,-6.59
32.89,-6.54
33.22,-6.47
33.55,-6.41
33.89,-6.36
34.23,-6.33
34.57,-6.27
34.92,-6.21
35.27,-6.15
35.62,-6.10
35.97,-6.05
36.33,-6.00
36.70,-5.95
37.06,-5.89
37.43,-5.86
37.81,-5.84
38.19,-5.82
38.57,-5.81
38.95,-5.79
39.34,-5.78
39.74,-5.77
40.14,-5.74
40.54,-5.71
40.94,-5.70
41.35,-5.69
41.76,-5.68
42.18,-5.67
42.60,-5.66
43.03,-5.63
43.46,-5.60
43.90,-5.56
44.33,-5.52
44.78,-5.47
45.23,-5.41
45.68,-5.35
46.13,-5.28
46.60,-5.23
47.06,-5.16
47.53,-5.08
48.01,-5.00
48.49,-4.91
48.97,-4.82
49.46,-4.72
49.96,-4.63
50.46,-4.54
50.96,-4.45
51.47,-4.36
51.99,-4.27
52.51,-4.18
53.03,-4.10
53.56,-4.02
54.10,-3.93
54.64,-3.85
55.18,-3.77
55.74,-3.70
56.29,-3.63
56.86,-3.56
57.42,-3.50
58.00,-3.44
58.58,-3.37
59.16,-3.31
59.76,-3.26
60.35,-3.20
60.96,-3.15
61.57,-3.09
62.18,-3.03
62.80,-2.97
63.43,-2.90
64.07,-2.84
64.71,-2.79
65.35,-2.74
66.01,-2.71
66.67,-2.67
67.33,-2.62
68.01,-2.58
68.69,-2.54
69.37,-2.51
70.07,-2.46
70.77,-2.42
71.48,-2.39
72.19,-2.35
72.91,-2.33
73.64,-2.32
74.38,-2.29
75.12,-2.27
