frequency,raw
20.00,-2.70
20.20,-2.67
20.40,-2.63
20.61,-2.61
20.81,-2.57
21.02,-2.55
21.23,-2.51
21.44,-2.49
21.66,-2.46
21.87,-2.44
22.09,-2.41
22.31,-2.39
22.54,-2.36
22.76,-2.34
22.99,-2.32
23.22,-2.30
23.45,-2.28
23.69,-2.26
23.92,-2.24
24.16,-2.22
24.40,-2.21
24.65,-2.19
24.89,-2.17
25.14,-2.16
25.39,-2.14
25.65,-2.14
25.91,-2.13
26.16,-2.12
26.43,-2.11
26.69,-2.10
26.96,-2.09
27.23,-2.09
27.50,-2.08
27.77,-2.08
28.05,-2.08
28.33,-2.08
28.62,-2.08
28.90,-2.08
29.19,-2.08
29.48,-2.09
29.78,-2.09
30.08,-2.09
30.38,-2.11
30.68,-2.13
30.99,-2.14
31.30,-2.16
31.61,-2.18
31.93,-2.20
32.24,-2.21
32.57,-2.23
32.89,-2.26
33.22,-2.28
33.55,-2.31
33.89,-2.33
34.23,-2.37
34.57,-2.39
34.92,-2.42
35.27,-2.44
35.62,-2.47
35.97,-2.50
36.33,-2.53
36.70,-2.56
37.06,-2.57
37.43,-2.59
37.81,-2.61
38.19,-2.63
38.57,-2.65
38.95,-2.66
39.34,-2.67
39.74,-2.68
40.14,-2.68
40.54,-2.68
40.94,-2.68
41.35,-2.67
41.76,-2.67
42.18,-2.67
42.60,-2.67
43.03,-2.66
43.46,-2.65
43.90,-2.64
44.33,-2.63
44.78,-2.62
45.23,-2.60
45.68,-2.58
46.13,-2.56
46.60,-2.54
47.06,-2.51
47.53,-2.48
48.01,-2.46
48.49,-2.44
48.97,-2.41
49.46,-2.39
49.96,-2.36
50.46,-2.34
50.96,-2.32
51.47,-2.31
51.99,-2.31
52.51,-2.30
53.03,-2.29
53.56,-2.28
54.10,-2.26
54.64,-2.24
55.18,-2.22
55.74,-2.20
56.29,-2.18
56.86,-2.16
57.42,-2.14
58.00,-2.12
58.58,-2.09
59.16,-2.06
59.76,-2.03
60.35,-2.01
60.96,-1.99
61.57,-1.98
62.18,-1.96
62.80,-1.95
63.43,-1.92
64.07,-1.90
64.71,-1.88
65.35,-1.84
66.01,-1.81
66.67,-1.78
67.33,-1.74
68.01,-1.71
68.69,-1.68
