frequency,raw
20.00,-20.14
20.20,-20.00
20.40,-19.86
20.61,-19.73
20.81,-19.60
21.02,-19.47
21.23,-19.33
21.44,-19.20
21.66,-19.06
21.87,-18.93
22.09,-18.79
22.31,-18.66
22.54,-18.51
22.76,-18.38
22.99,-18.25
23.22,-18.11
23.45,-17.97
23.69,-17.84
23.92,-17.71
24.16,-17.57
24.40,-17.43
24.65,-17.30
24.89,-17.16
25.14,-17.03
25.39,-16.89
25.65,-16.77
25.91,-16.63
26.16,-16.50
26.43,-16.36
26.69,-16.23
26.96,-16.09
27.23,-15.97
27.50,-15.83
27.77,-15.70
28.05,-15.57
28.33,-15.44
28.62,-15.30
28.90,-15.18
29.19,-15.05
29.48,-14.92
29.78,-14.79
30.08,-14.66
30.38,-14.54
30.68,-14.41
30.99,-14.29
31.30,-14.17
31.61,-14.03
31.93,-13.91
32.24,-13.78
32.57,-13.65
32.89,-13.53
33.22,-13.39
33.55,-13.25
33.89,-13.12
34.23,-13.00
34.57,-12.87
34.92,-12.74
35.27,-12.62
35.62,-12.50
35.97,-12.38
36.33,-12.27
36.70,-12.15
37.06,-12.03
37.43,-11.92
37.81,-11.82
38.19,-11.72
38.57,-11.63
38.95,-11.52
39.34,-11.43
39.74,-11.34
40.14,-11.23
40.54,-11.13
40.94,-11.04
41.35,-10.93
41.76,-10.84
42.18,-10.74
42.60,-10.64
43.03,-10.54
43.46,-10.45
43.90,-10.35
44.33,-10.26
44.78,-10.17
45.23,-10.07
45.68,-9.97
46.13,-9.88
46.60,-9.79
47.06,-9.70
47.53,-9.60
48.01,-9.51
48.49,-9.42
48.97,-9.34
49.46,-9.26
49.96,-9.17
50.46,-9.08
50.96,-8.99
51.47,-8.90
51.99,-8.82
52.51,-8.73
53.03,-8.64
53.56,-8.56
54.10,-8.46
54.64,-8.36
55.18,-8.27
55.74,-8.18
56.29,-8.08
56.86,-7.98
57.42,-7.90
58.00,-7.80
58.58,-7.71
59.16,-7.62
59.76,-7.53
60.35,-7.43
60.96,-7.34
61.57,-7.25
62.18,-7.17
62.80,-7.09
63.43,-7.00
64.07,-6.93
64.71,-6.85
65.35,-6.75
66.01,-6.67
66.67,-6.60
67.33,-6.51
68.01,-6.42
68.69,-6.34
69.37,-6.25
70.07,-6.15
70.77,-6.06
71.48,-5.97
72.19,-5.88
72.91,-5.79
73.64,-5.71
74.38,-5.62
75.12,-5.51
75.87,-5.43
76.63,-5.34
77.40,-5.25
78.17,-5.16
78.95,-5.08
79.74,-5.02
80.54,-4.95
81.35,-4.89
82.16,-4.84
82.98,-4.79
83.81,-4.75
84.65,-4.72
85.50,-4.69
86.35,-4.68
87.22,-4.68
88.09,-4.68
88.97,-4.70
89.86,-4.71
90.76,-4.72
91.66,-4.74
92.58,-4.76
93.51,-4.79
94.44,-4.80
95.39,-4.81
96.34,-4.82
97.30,-4.84
98.28,-4.85
99.26,-4.86
100.25,-4.87
101.25,-4.88
102.27,-4.89
103.29,-4.89
104.32,-4.90
105.37,-4.91
106.42,-4.92
107.48,-4.93
108.56,-4.90
109.64,-4.88
110.74,-4.87
111.85,-4.84
112.97,-4.80
114.10,-4.75
115.24,-4.69
116.39,-4.65
117.55,-4.59
118.73,-4.53
119.92,-4.46
121.12,-4.40
122.33,-4.36
123.55,-4.31
124.79,-4.24
126.03,-4.19
127.29,-4.17
128.57,-4.14
129.85,-4.07
131.15,-4.01
132.46,-3.97
133.79,-3.91
135.12,-3.86
136.48,-3.82
137.84,-3.76
139.22,-3.71
140.61,-3.67
142.02,-3.61
143.44,-3.60
144.87,-3.58
146.32,-3.56
147.78,-3.54
149.26,-3.51
150.75,-3.46
152.26,-3.44
153.78,-3.42
155.32,-3.40
156.88,-3.38
158.44,-3.37
160.03,-3.36
161.63,-3.35
163.24,-3.35
164.88,-3.33
166.53,-3.33
168.19,-3.33
169.87,-3.35
171.57,-3.37
173.29,-3.40
175.02,-3.45
176.77,-3.48
178.54,-3.49
180.32,-3.49
182.13,-3.50
183.95,-3.50
185.79,-3.52
187.65,-3.53
189.52,-3.55
191.42,-3.57
193.33,-3.59
195.27,-3.61
197.22,-3.61
199.19,-3.63
201.18,-3.65
203.19,-3.68
205.23,-3.71
207.28,-3.74
209.35,-3.78
211.44,-3.82
213.56,-3.86
215.69,-3.91
217.85,-3.95
220.03,-3.96
222.23,-4.00
224.45,-4.04
226.70,-4.11
228.96,-4.19
231.25,-4.22
233.57,-4.27
235.90,-4.33
238.26,-4.37
240.64,-4.45
243.05,-4.50
245.48,-4.56
247.93,-4.63
250.41,-4.68
252.92,-4.74
255.45,-4.77
258.00,-4.79
260.58,-4.81
263.19,-4.84
265.82,-4.87
268.48,-4.87
271.16,-4.89
273.87,-4.93
276.61,-4.95
279.38,-4.97
282.17,-4.99
284.99,-5.01
287.84,-5.04
290.72,-5.07
293.63,-5.10
296.57,-5.10
299.53,-5.11
302.53,-5.10
305.55,-5.06
308.61,-5.03
311.69,-4.97
314.81,-4.93
317.96,-4.87
321.14,-4.81
324.35,-4.77
327.59,-4.71
330.87,-4.69
334.18,-4.65
337.52,-4.61
340.90,-4.59
344.30,-4.55
347.75,-4.52
351.23,-4.48
354.74,-4.45
358.28,-4.40
361.87,-4.36
365.49,-4.31
369.14,-4.27
372.83,-4.22
376.56,-4.16
380.33,-4.10
384.13,-4.04
387.97,-3.99
391.85,-3.93
395.77,-3.88
399.73,-3.83
403.72,-3.78
407.76,-3.72
411.84,-3.66
415.96,-3.60
420.12,-3.53
424.32,-3.44
428.56,-3.38
432.85,-3.31
437.18,-3.23
441.55,-3.16
445.96,-3.10
450.42,-3.02
454.93,-2.94
459.48,-2.84
464.07,-2.75
468.71,-2.67
473.40,-2.58
478.13,-2.51
482.91,-2.42
487.74,-2.34
492.62,-2.25
497.55,-2.17
502.52,-2.10
507.55,-2.02
512.62,-1.95
517.75,-1.86
522.93,-1.80
528.16,-1.73
533.44,-1.66
538.77,-1.56
544.16,-1.50
549.60,-1.42
555.10,-1.34
560.65,-1.26
566.25,-1.21
571.92,-1.15
577.64,-1.11
583.41,-1.08
589.25,-1.02
595.14,-0.96
601.09,-0.90
607.10,-0.86
613.17,-0.83
619.30,-0.79
625.50,-0.74
631.75,-0.70
638.07,-0.65
644.45,-0.62
650.89,-0.58
657.40,-0.54
663.98,-0.52
670.62,-0.50
677.32,-0.49
684.10,-0.49
690.94,-0.50
697.85,-0.50
704.83,-0.50
711.87,-0.48
718.99,-0.48
726.18,-0.47
733.44,-0.48
740.78,-0.49
748.19,-0.49
755.67,-0.50
763.23,-0.51
770.86,-0.51
778.57,-0.53
786.35,-0.53
794.22,-0.53
802.16,-0.53
810.18,-0.53
818.28,-0.53
826.46,-0.55
834.73,-0.55
843.08,-0.56
851.51,-0.56
860.02,-0.56
868.62,-0.55
877.31,-0.56
886.08,-0.56
894.94,-0.57
903.89,-0.56
912.93,-0.57
922.06,-0.57
931.28,-0.59
940.59,-0.60
950.00,-0.60
959.50,-0.60
969.09,-0.60
978.78,-0.60
988.57,-0.61
998.46,-0.61
1008.44,-0.61
1018.53,-0.60
1028.71,-0.56
1039.00,-0.52
1049.39,-0.47
1059.88,-0.41
1070.48,-0.36
1081.19,-0.28
1092.00,-0.20
1102.92,-0.12
1113.95,-0.04
1125.09,0.04
1136.34,0.13
1147.70,0.22
1159.18,0.32
1170.77,0.39
1182.48,0.47
1194.30,0.54
1206.25,0.62
1218.31,0.70
1230.49,0.77
1242.80,0.85
1255.22,0.93
1267.78,0.99
1280.45,1.05
1293.26,1.10
1306.19,1.16
1319.25,1.21
1332.45,1.27
1345.77,1.32
1359.23,1.37
1372.82,1.42
1386.55,1.46
1400.41,1.51
1414.42,1.55
1428.56,1.59
1442.85,1.63
1457.28,1.68
1471.85,1.72
1486.57,1.77
1501.43,1.83
1516.45,1.88
1531.61,1.95
1546.93,2.03
1562.40,2.12
1578.02,2.21
1593.80,2.31
1609.74,2.41
1625.84,2.51
1642.10,2.61
1658.52,2.71
1675.10,2.81
1691.85,2.92
1708.77,3.04
1725.86,3.17
1743.12,3.29
1760.55,3.40
1778.15,3.51
1795.94,3.63
1813.90,3.73
1832.03,3.83
1850.36,3.94
1868.86,4.04
1887.55,4.11
1906.42,4.19
1925.49,4.25
1944.74,4.30
1964.19,4.35
1983.83,4.39
2003.67,4.42
2023.71,4.44
2043.94,4.46
2064.38,4.49
2085.03,4.52
2105.88,4.56
2126.94,4.59
2148.20,4.64
2169.69,4.69
2191.38,4.75
2213.30,4.83
2235.43,4.90
2257.78,5.00
2280.36,5.10
2303.17,5.20
2326.20,5.32
2349.46,5.45
2372.95,5.58
2396.68,5.72
2420.65,5.86
2444.86,6.00
2469.31,6.15
2494.00,6.30
2518.94,6.47
2544.13,6.64
2569.57,6.79
2595.27,6.94
2621.22,7.09
2647.43,7.23
2673.90,7.35
2700.64,7.45
2727.65,7.55
2754.93,7.65
2782.48,7.74
2810.30,7.81
2838.40,7.89
2866.79,7.95
2895.46,8.01
2924.41,8.05
2953.65,8.07
2983.19,8.08
3013.02,8.08
3043.15,8.07
3073.58,8.03
3104.32,7.97
3135.36,7.90
3166.72,7.81
3198.38,7.72
3230.37,7.59
3262.67,7.47
3295.30,7.32
3328.25,7.17
3361.53,7.02
3395.15,6.88
3429.10,6.73
3463.39,6.55
3498.03,6.38
3533.01,6.21
3568.34,6.03
3604.02,5.83
3640.06,5.62
3676.46,5.41
3713.22,5.16
3750.36,4.90
3787.86,4.62
3825.74,4.33
3864.00,4.01
3902.64,3.65
3941.66,3.27
3981.08,2.85
4020.89,2.40
4061.10,1.91
4101.71,1.40
4142.73,0.85
4184.15,0.29
4226.00,-0.26
4268.26,-0.78
4310.94,-1.26
4354.05,-1.66
4397.59,-1.98
4441.56,-2.21
4485.98,-2.35
4530.84,-2.39
4576.15,-2.32
4621.91,-2.17
4668.13,-1.94
4714.81,-1.65
4761.96,-1.33
4809.58,-0.95
4857.67,-0.58
4906.25,-0.22
4955.31,0.13
5004.87,0.42
5054.91,0.71
5105.46,0.95
5156.52,1.19
5208.08,1.39
5260.16,1.56
5312.77,1.73
5365.89,1.88
5419.55,2.00
5473.75,2.11
5528.49,2.19
5583.77,2.28
5639.61,2.35
5696.00,2.41
5752.96,2.46
5810.49,2.50
