frequency,raw
20.00,0.21
20.20,0.22
20.40,0.23
20.61,0.23
20.81,0.24
21.02,0.24
21.23,0.25
21.44,0.25
21.66,0.26
21.87,0.26
22.09,0.26
22.31,0.26
22.54,0.27
22.76,0.27
22.99,0.27
23.22,0.27
23.45,0.28
23.69,0.28
23.92,0.28
24.16,0.27
24.40,0.27
24.65,0.27
24.89,0.27
25.14,0.27
25.39,0.27
25.65,0.26
25.91,0.26
26.16,0.26
26.43,0.25
26.69,0.25
26.96,0.25
27.23,0.24
27.50,0.24
27.77,0.24
28.05,0.23
28.33,0.23
28.62,0.23
28.90,0.22
29.19,0.22
29.48,0.20
29.78,0.20
30.08,0.20
30.38,0.18
30.68,0.18
30.99,0.17
31.30,0.16
31.61,0.16
31.93,0.15
32.24,0.15
32.57,0.15
32.89,0.14
33.22,0.14
33.55,0.14
33.89,0.15
34.23,0.14
34.57,0.14
34.92,0.14
35.27,0.14
35.62,0.12
35.97,0.12
36.33,0.12
36.70,0.11
37.06,0.12
37.43,0.12
37.81,0.12
38.19,0.11
38.57,0.10
38.95,0.10
39.34,0.09
39.74,0.08
40.14,0.08
40.54,0.06
40.94,0.05
41.35,0.05
41.76,0.03
42.18,0.02
42.60,0.01
43.03,-0.00
43.46,-0.01
43.90,-0.02
44.33,-0.03
44.78,-0.05
45.23,-0.06
45.68,-0.07
46.13,-0.08
46.60,-0.10
47.06,-0.11
47.53,-0.12
48.01,-0.14
48.49,-0.15
48.97,-0.16
49.46,-0.18
49.96,-0.19
50.46,-0.20
50.96,-0.21
51.47,-0.22
51.99,-0.24
52.51,-0.25
53.03,-0.26
53.56,-0.27
54.10,-0.27
54.64,-0.28
55.18,-0.29
55.74,-0.30
56.29,-0.30
56.86,-0.30
57.42,-0.31
58.00,-0.31
58.58,-0.31
59.16,-0.31
59.76,-0.31
60.35,-0.31
60.96,-0.31
61.57,-0.31
62.18,-0.31
62.80,-0.31
63.43,-0.30
64.07,-0.30
64.71,-0.30
65.35,-0.29
66.01,-0.29
66.67,-0.29
67.33,-0.28
68.01,-0.28
68.69,-0.28
69.37,-0.28
70.07,-0.27
70.77,-0.27
71.48,-0.27
72.19,-0.27
72.91,-0.27
73.64,-0.28
74.38,-0.28
75.12,-0.28
75.87,-0.29
76.63,-0.30
77.40,-0.31
78.17,-0.30
78.95,-0.30
79.74,-0.31
80.54,-0.33
81.35,-0.34
82.16,-0.36
82.98,-0.39
83.81,-0.41
84.65,-0.44
85.50,-0.48
86.35,-0.52
87.22,-0.56
88.09,-0.59
88.97,-0.65
89.86,-0.69
90.76,-0.72
91.66,-0.76
92.58,-0.79
93.51,-0.83
94.44,-0.85
95.39,-0.87
96.34,-0.88
97.30,-0.90
98.28,-0.90
99.26,-0.90
100.25,-0.91
101.25,-0.92
102.27,-0.93
103.29,-0.93
104.32,-0.94
105.37,-0.94
106.42,-0.94
107.48,-0.95
108.56,-0.94
109.64,-0.94
110.74,-0.94
111.85,-0.94
112.97,-0.93
114.10,-0.92
115.24,-0.92
116.39,-0.91
117.55,-0.90
118.73,-0.90
119.92,-0.88
121.12,-0.87
122.33,-0.85
123.55,-0.86
124.79,-0.87
126.03,-0.88
127.29,-0.89
128.57,-0.92
129.85,-0.96
131.15,-0.99
132.46,-1.02
133.79,-1.05
135.12,-1.08
136.48,-1.10
137.84,-1.13
139.22,-1.15
