frequency,raw
20.00,10.38
20.20,10.44
20.40,10.51
20.61,10.56
20.81,10.63
21.02,10.68
21.23,10.74
21.44,10.79
21.66,10.85
21.87,10.90
22.09,10.96
22.31,11.01
22.54,11.07
22.76,11.12
22.99,11.18
23.22,11.23
23.45,11.27
23.69,11.31
23.92,11.35
24.16,11.39
24.40,11.43
24.65,11.47
24.89,11.52
25.14,11.58
25.39,11.63
25.65,11.66
25.91,11.68
26.16,11.70
26.43,11.74
26.69,11.78
26.96,11.81
27.23,11.83
27.50,11.86
27.77,11.89
28.05,11.91
28.33,11.94
28.62,11.96
28.90,11.96
29.19,11.96
29.48,11.96
29.78,11.98
30.08,12.01
30.38,12.03
30.68,12.06
30.99,12.09
31.30,12.10
31.61,12.11
31.93,12.11
32.24,12.12
32.57,12.14
32.89,12.16
33.22,12.20
33.55,12.24
33.89,12.27
34.23,12.30
34.57,12.33
34.92,12.36
35.27,12.38
35.62,12.38
35.97,12.39
36.33,12.41
36.70,12.42
37.06,12.44
37.43,12.45
37.81,12.45
38.19,12.44
38.57,12.43
38.95,12.42
39.34,12.40
39.74,12.39
40.14,12.39
40.54,12.38
40.94,12.37
41.35,12.37
41.76,12.36
42.18,12.35
42.60,12.34
43.03,12.33
43.46,12.32
43.90,12.31
44.33,12.30
44.78,12.28
45.23,12.27
45.68,12.26
46.13,12.25
46.60,12.23
47.06,12.22
47.53,12.21
48.01,12.19
48.49,12.19
48.97,12.19
49.46,12.17
49.96,12.16
50.46,12.13
50.96,12.11
51.47,12.08
51.99,12.04
52.51,12.01
53.03,11.98
53.56,11.93
54.10,11.89
54.64,11.85
55.18,11.80
55.74,11.74
56.29,11.69
56.86,11.64
57.42,11.57
58.00,11.52
58.58,11.46
59.16,11.40
59.76,11.33
60.35,11.26
60.96,11.19
61.57,11.10
62.18,11.01
62.80,10.92
63.43,10.85
64.07,10.75
64.71,10.65
65.35,10.56
66.01,10.44
66.67,10.32
67.33,10.21
68.01,10.09
68.69,9.97
69.37,9.85
70.07,9.73
70.77,9.60
71.48,9.47
72.19,9.35
72.91,9.22
73.64,9.08
74.38,8.97
75.12,8.85
75.87,8.73
76.63,8.61
77.40,8.50
78.17,8.40
78.95,8.30
79.74,8.19
80.54,8.10
81.35,8.02
82.16,7.94
82.98,7.88
83.81,7.83
84.65,7.78
85.50,7.74
86.35,7.71
87.22,7.68
88.09,7.66
88.97,7.63
89.86,7.61
90.76,7.61
91.66,7.62
92.58,7.63
93.51,7.62
94.44,7.62
95.39,7.63
96.34,7.65
97.30,7.67
98.28,7.71
99.26,7.75
100.25,7.79
101.25,7.84
102.27,7.89
103.29,7.94
104.32,7.98
105.37,8.03
106.42,8.07
107.48,8.10
108.56,8.14
109.64,8.16
110.74,8.18
111.85,8.19
112.97,8.21
114.10,8.21
115.24,8.18
116.39,8.16
117.55,8.13
118.73,8.08
119.92,8.03
121.12,7.98
122.33,7.92
123.55,7.84
124.79,7.76
126.03,7.67
127.29,7.57
128.57,7.48
129.85,7.37
131.15,7.27
132.46,7.17
133.79,7.07
135.12,6.97
136.48,6.87
137.84,6.76
139.22,6.65
140.61,6.54
142.02,6.43
143.44,6.33
144.87,6.22
146.32,6.11
147.78,6.01
149.26,5.91
150.75,5.81
152.26,5.69
153.78,5.58
155.32,5.48
156.88,5.37
158.44,5.25
160.03,5.14
161.63,5.02
163.24,4.89
164.88,4.76
166.53,4.61
168.19,4.46
169.87,4.30
171.57,4.13
173.29,3.95
175.02,3.78
176.77,3.59
178.54,3.39
180.32,3.18
182.13,2.95
183.95,2.73
185.79,2.50
187.65,2.26
189.52,2.02
191.42,1.79
193.33,1.54
195.27,1.30
197.22,1.07
199.19,0.83
201.18,0.58
203.19,0.34
205.23,0.10
207.28,-0.12
209.35,-0.34
211.44,-0.54
213.56,-0.75
215.69,-0.97
217.85,-1.16
220.03,-1.34
222.23,-1.54
224.45,-1.73
226.70,-1.91
228.96,-2.08
231.25,-2.24
233.57,-2.40
235.90,-2.55
238.26,-2.70
240.64,-2.84
243.05,-2.98
245.48,-3.10
247.93,-3.22
250.41,-3.34
252.92,-3.45
255.45,-3.55
258.00,-3.63
260.58,-3.71
263.19,-3.80
265.82,-3.88
268.48,-3.94
271.16,-3.99
273.87,-4.05
276.61,-4.11
279.38,-4.18
282.17,-4.24
284.99,-4.29
287.84,-4.34
290.72,-4.39
293.63,-4.44
296.57,-4.49
299.53,-4.54
302.53,-4.59
305.55,-4.63
308.61,-4.69
311.69,-4.73
314.81,-4.77
317.96,-4.79
321.14,-4.81
324.35,-4.84
327.59,-4.85
330.87,-4.86
334.18,-4.85
337.52,-4.84
340.90,-4.85
344.30,-4.83
347.75,-4.82
351.23,-4.79
354.74,-4.77
358.28,-4.74
361.87,-4.72
365.49,-4.70
369.14,-4.68
372.83,-4.67
376.56,-4.66
380.33,-4.65
384.13,-4.63
387.97,-4.62
391.85,-4.59
395.77,-4.57
399.73,-4.54
403.72,-4.50
407.76,-4.46
411.84,-4.42
415.96,-4.38
420.12,-4.34
424.32,-4.29
428.56,-4.25
432.85,-4.21
437.18,-4.16
441.55,-4.13
445.96,-4.11
450.42,-4.08
454.93,-4.04
459.48,-4.01
464.07,-3.98
468.71,-3.95
473.40,-3.91
478.13,-3.89
482.91,-3.85
487.74,-3.81
492.62,-3.76
497.55,-3.72
502.52,-3.66
507.55,-3.60
512.62,-3.54
517.75,-3.47
522.93,-3.42
528.16,-3.35
533.44,-3.30
538.77,-3.25
544.16,-3.21
549.60,-3.16
555.10,-3.10
560.65,-3.03
566.25,-2.97
571.92,-2.90
577.64,-2.84
583.41,-2.78
589.25,-2.72
595.14,-2.69
601.09,-2.65
607.10,-2.62
613.17,-2.57
619.30,-2.53
625.50,-2.47
631.75,-2.42
638.07,-2.37
644.45,-2.33
650.89,-2.28
657.40,-2.24
663.98,-2.23
670.62,-2.23
677.32,-2.19
684.10,-2.16
690.94,-2.12
697.85,-2.08
704.83,-2.04
711.87,-1.99
718.99,-1.96
726.18,-1.91
733.44,-1.88
740.78,-1.86
748.19,-1.82
755.67,-1.79
763.23,-1.73
770.86,-1.67
778.57,-1.61
786.35,-1.54
794.22,-1.48
802.16,-1.41
810.18,-1.36
818.28,-1.31
826.46,-1.27
834.73,-1.21
843.08,-1.16
851.51,-1.11
860.02,-1.06
868.62,-1.01
877.31,-0.97
886.08,-0.93
894.94,-0.90
903.89,-0.87
912.93,-0.85
922.06,-0.83
931.28,-0.82
940.59,-0.80
950.00,-0.77
959.50,-0.74
969.09,-0.72
978.78,-0.69
988.57,-0.65
998.46,-0.62
1008.44,-0.59
1018.53,-0.55
1028.71,-0.51
1039.00,-0.48
1049.39,-0.44
1059.88,-0.40
1070.48,-0.37
1081.19,-0.33
1092.00,-0.29
1102.92,-0.25
1113.95,-0.22
1125.09,-0.18
1136.34,-0.14
1147.70,-0.10
1159.18,-0.05
1170.77,-0.01
1182.48,0.04
1194.30,0.08
1206.25,0.13
1218.31,0.18
1230.49,0.23
1242.80,0.28
1255.22,0.32
1267.78,0.37
1280.45,0.42
1293.26,0.48
1306.19,0.55
1319.25,0.62
1332.45,0.70
1345.77,0.79
1359.23,0.88
1372.82,0.98
1386.55,1.07
1400.41,1.16
1414.42,1.26
1428.56,1.36
1442.85,1.45
1457.28,1.56
1471.85,1.68
1486.57,1.80
1501.43,1.93
1516.45,2.04
1531.61,2.15
1546.93,2.26
1562.40,2.35
1578.02,2.45
1593.80,2.54
1609.74,2.64
1625.84,2.74
1642.10,2.83
1658.52,2.92
1675.10,3.01
1691.85,3.12
1708.77,3.22
1725.86,3.31
1743.12,3.39
1760.55,3.47
1778.15,3.56
1795.94,3.67
1813.90,3.77
1832.03,3.88
1850.36,3.98
1868.86,4.07
1887.55,4.14
1906.42,4.21
1925.49,4.27
1944.74,4.33
1964.19,4.38
1983.83,4.43
2003.67,4.47
2023.71,4.50
2043.94,4.52
2064.38,4.55
2085.03,4.59
2105.88,4.64
2126.94,4.70
2148.20,4.76
2169.69,4.82
2191.38,4.91
2213.30,5.03
2235.43,5.15
2257.78,5.29
2280.36,5.44
2303.17,5.60
2326.20,5.78
2349.46,5.98
2372.95,6.20
2396.68,6.45
2420.65,6.70
2444.86,6.97
2469.31,7.25
2494.00,7.51
2518.94,7.79
2544.13,8.09
2569.57,8.38
2595.27,8.68
2621.22,8.98
2647.43,9.27
2673.90,9.56
2700.64,9.84
2727.65,10.13
2754.93,10.39
2782.48,10.64
2810.30,10.90
2838.40,11.13
2866.79,11.35
2895.46,11.55
2924.41,11.73
2953.65,11.90
2983.19,12.07
3013.02,12.21
3043.15,12.34
3073.58,12.44
3104.32,12.54
3135.36,12.63
3166.72,12.71
3198.38,12.80
3230.37,12.87
3262.67,12.95
3295.30,13.03
3328.25,13.10
3361.53,13.17
3395.15,13.24
3429.10,13.32
3463.39,13.39
3498.03,13.46
3533.01,13.50
3568.34,13.53
3604.02,13.53
3640.06,13.51
3676.46,13.47
3713.22,13.40
3750.36,13.30
3787.86,13.19
3825.74,13.06
3864.00,12.90
3902.64,12.70
3941.66,12.48
3981.08,12.21
4020.89,11.91
4061.10,11.59
4101.71,11.24
4142.73,10.88
4184.15,10.54
4226.00,10.20
4268.26,9.89
4310.94,9.60
4354.05,9.36
4397.59,9.14
4441.56,8.97
4485.98,8.85
4530.84,8.78
4576.15,8.78
4621.91,8.80
4668.13,8.86
4714.81,8.96
4761.96,9.07
4809.58,9.20
4857.67,9.31
4906.25,9.40
4955.31,9.48
5004.87,9.52
5054.91,9.57
5105.46,9.57
5156.52,9.56
5208.08,9.53
5260.16,9.47
5312.77,9.40
5365.89,9.30
5419.55,9.18
5473.75,9.05
5528.49,8.88
5583.77,8.71
5639.61,8.51
5696.00,8.31
5752.96,8.09
5810.49,7.86
5868.60,7.63
5927.28,7.40
5986.56,7.15
6046.42,6.92
6106.89,6.69
6167.96,6.48
6229.64,6.29
6291.93,6.11
6354.85,5.97
6418.40,5.84
6482.58,5.74
6547.41,5.64
6612.88,5.55
6679.01,5.47
6745.80,5.42
6813.26,5.38
6881.39,5.33
6950.21,5.30
7019.71,5.29
7089.91,5.29
7160.81,5.29
7232.41,5.27
7304.74,5.23
7377.79,5.18
7451.56,5.09
7526.08,4.95
7601.34,4.75
7677.35,4.49
7754.13,4.14
7831.67,3.70
7909.98,3.19
7989.08,2.56
8068.98,1.83
8149.67,1.02
8231.16,0.17
8313.47,-0.70
8396.61,-1.55
8480.57,-2.38
8565.38,-3.12
8651.03,-3.77
8737.54,-4.29
8824.92,-4.69
8913.17,-4.98
9002.30,-5.12
9092.32,-5.16
9183.25,-5.09
9275.08,-4.93
9367.83,-4.69
9461.51,-4.39
9556.12,-4.05
9651.68,-3.72
9748.20,-3.39
9845.68,-3.10
9944.14,-2.85
10043.58,-2.64
10144.02,-2.49
10245.46,-2.39
10347.91,-2.35
10451.39,-2.36
10555.91,-2.43
10661.46,-2.56
