frequency,raw
20.00,1.61
20.20,1.67
20.40,1.73
20.61,1.78
20.81,1.84
21.02,1.88
21.23,1.94
21.44,1.98
21.66,2.03
21.87,2.07
22.09,2.12
22.31,2.16
22.54,2.22
22.76,2.25
22.99,2.28
23.22,2.29
23.45,2.33
23.69,2.37
23.92,2.41
24.16,2.45
24.40,2.48
24.65,2.51
24.89,2.53
25.14,2.57
25.39,2.60
25.65,2.63
25.91,2.67
26.16,2.70
26.43,2.73
26.69,2.76
26.96,2.79
27.23,2.81
27.50,2.84
27.77,2.87
28.05,2.90
28.33,2.92
28.62,2.95
28.90,2.97
29.19,3.00
29.48,3.02
29.78,3.06
30.08,3.10
30.38,3.13
30.68,3.16
30.99,3.19
31.30,3.22
31.61,3.26
31.93,3.29
32.24,3.32
32.57,3.34
32.89,3.34
33.22,3.34
33.55,3.35
33.89,3.36
34.23,3.37
34.57,3.39
34.92,3.40
35.27,3.42
35.62,3.42
35.97,3.43
36.33,3.44
36.70,3.47
37.06,3.50
37.43,3.52
37.81,3.53
38.19,3.55
38.57,3.56
38.95,3.58
39.34,3.58
39.74,3.58
40.14,3.58
40.54,3.56
40.94,3.54
41.35,3.54
41.76,3.52
42.18,3.51
42.60,3.50
43.03,3.49
43.46,3.48
43.90,3.47
44.33,3.46
44.78,3.44
45.23,3.43
45.68,3.42
46.13,3.41
46.60,3.39
47.06,3.38
47.53,3.37
48.01,3.34
48.49,3.32
48.97,3.31
49.46,3.30
49.96,3.30
50.46,3.31
50.96,3.33
51.47,3.34
51.99,3.35
52.51,3.37
53.03,3.39
53.56,3.41
54.10,3.44
54.64,3.46
55.18,3.48
55.74,3.48
56.29,3.50
56.86,3.51
57.42,3.51
58.00,3.52
58.58,3.53
59.16,3.54
59.76,3.56
60.35,3.58
60.96,3.61
61.57,3.64
62.18,3.67
62.80,3.70
63.43,3.74
64.07,3.77
64.71,3.80
65.35,3.83
66.01,3.85
66.67,3.87
67.33,3.88
68.01,3.89
68.69,3.88
69.37,3.87
70.07,3.88
70.77,3.87
71.48,3.87
72.19,3.87
72.91,3.87
73.64,3.86
74.38,3.86
75.12,3.86
75.87,3.85
76.63,3.84
77.40,3.83
78.17,3.83
78.95,3.82
79.74,3.81
80.54,3.80
81.35,3.79
82.16,3.78
82.98,3.77
83.81,3.77
84.65,3.76
85.50,3.75
86.35,3.74
87.22,3.73
88.09,3.72
88.97,3.70
89.86,3.69
90.76,3.69
91.66,3.69
92.58,3.68
93.51,3.66
94.44,3.65
95.39,3.63
96.34,3.61
97.30,3.57
98.28,3.53
99.26,3.50
100.25,3.46
101.25,3.42
102.27,3.37
103.29,3.34
104.32,3.30
105.37,3.28
106.42,3.26
107.48,3.24
108.56,3.23
109.64,3.22
110.74,3.20
111.85,3.19
112.97,3.18
114.10,3.17
115.24,3.15
116.39,3.14
117.55,3.12
118.73,3.09
119.92,3.06
121.12,3.03
122.33,3.02
123.55,2.99
124.79,2.97
126.03,2.95
127.29,2.93
128.57,2.92
129.85,2.93
131.15,2.94
132.46,2.96
133.79,2.96
135.12,2.96
136.48,2.95
137.84,2.93
139.22,2.90
140.61,2.88
142.02,2.85
143.44,2.82
144.87,2.79
146.32,2.77
147.78,2.74
149.26,2.71
150.75,2.69
152.26,2.68
153.78,2.66
155.32,2.66
156.88,2.65
158.44,2.64
160.03,2.64
161.63,2.64
163.24,2.62
164.88,2.61
166.53,2.59
168.19,2.57
169.87,2.55
171.57,2.53
173.29,2.51
175.02,2.50
176.77,2.50
178.54,2.50
180.32,2.50
182.13,2.49
183.95,2.49
185.79,2.49
187.65,2.49
189.52,2.50
191.42,2.50
193.33,2.48
195.27,2.47
197.22,2.47
199.19,2.46
201.18,2.45
203.19,2.44
205.23,2.43
207.28,2.44
209.35,2.45
211.44,2.46
213.56,2.49
215.69,2.51
217.85,2.55
220.03,2.59
222.23,2.62
224.45,2.66
226.70,2.68
228.96,2.70
231.25,2.72
233.57,2.72
235.90,2.72
238.26,2.71
240.64,2.70
243.05,2.68
245.48,2.66
247.93,2.64
250.41,2.62
252.92,2.60
255.45,2.58
258.00,2.56
260.58,2.55
263.19,2.54
265.82,2.53
268.48,2.54
271.16,2.55
273.87,2.56
276.61,2.57
279.38,2.59
282.17,2.61
284.99,2.62
287.84,2.63
290.72,2.64
293.63,2.65
296.57,2.67
299.53,2.68
302.53,2.69
305.55,2.71
308.61,2.72
311.69,2.74
314.81,2.75
317.96,2.77
321.14,2.80
324.35,2.82
327.59,2.84
330.87,2.85
334.18,2.86
337.52,2.87
340.90,2.87
344.30,2.88
347.75,2.87
351.23,2.86
354.74,2.83
358.28,2.80
361.87,2.78
365.49,2.76
369.14,2.73
372.83,2.68
376.56,2.64
380.33,2.60
384.13,2.57
387.97,2.52
391.85,2.48
395.77,2.44
399.73,2.39
403.72,2.36
407.76,2.32
411.84,2.27
415.96,2.22
420.12,2.18
424.32,2.14
428.56,2.08
432.85,2.02
437.18,1.97
441.55,1.91
445.96,1.84
450.42,1.79
454.93,1.74
459.48,1.67
464.07,1.60
468.71,1.53
473.40,1.46
478.13,1.39
482.91,1.33
487.74,1.25
492.62,1.20
497.55,1.14
502.52,1.09
507.55,1.05
512.62,0.99
517.75,0.96
522.93,0.91
528.16,0.88
533.44,0.86
538.77,0.86
544.16,0.84
549.60,0.84
555.10,0.86
560.65,0.88
566.25,0.89
571.92,0.90
577.64,0.90
583.41,0.90
589.25,0.91
595.14,0.90
601.09,0.91
607.10,0.90
613.17,0.91
619.30,0.89
625.50,0.87
631.75,0.84
638.07,0.81
644.45,0.78
650.89,0.75
657.40,0.72
663.98,0.67
670.62,0.62
677.32,0.58
684.10,0.54
690.94,0.50
697.85,0.45
704.83,0.39
711.87,0.33
718.99,0.27
726.18,0.22
733.44,0.18
740.78,0.14
748.19,0.11
755.67,0.06
763.23,0.03
770.86,0.01
778.57,-0.02
786.35,-0.05
794.22,-0.08
802.16,-0.10
810.18,-0.14
818.28,-0.17
826.46,-0.20
834.73,-0.22
843.08,-0.25
851.51,-0.27
860.02,-0.31
868.62,-0.34
877.31,-0.38
886.08,-0.39
894.94,-0.42
903.89,-0.43
912.93,-0.46
922.06,-0.48
931.28,-0.52
940.59,-0.55
950.00,-0.55
959.50,-0.55
969.09,-0.57
978.78,-0.59
988.57,-0.60
998.46,-0.61
1008.44,-0.62
1018.53,-0.61
1028.71,-0.61
1039.00,-0.63
1049.39,-0.64
1059.88,-0.65
1070.48,-0.66
1081.19,-0.67
1092.00,-0.68
1102.92,-0.70
1113.95,-0.73
1125.09,-0.75
1136.34,-0.77
1147.70,-0.80
1159.18,-0.82
1170.77,-0.83
1182.48,-0.84
1194.30,-0.86
1206.25,-0.89
1218.31,-0.92
1230.49,-0.95
1242.80,-0.97
1255.22,-0.97
1267.78,-0.98
1280.45,-0.98
1293.26,-0.99
1306.19,-0.98
1319.25,-0.99
1332.45,-0.98
1345.77,-0.98
1359.23,-0.97
1372.82,-0.95
1386.55,-0.92
1400.41,-0.88
1414.42,-0.85
1428.56,-0.80
1442.85,-0.74
1457.28,-0.67
1471.85,-0.61
1486.57,-0.55
1501.43,-0.47
1516.45,-0.41
1531.61,-0.33
1546.93,-0.26
1562.40,-0.18
1578.02,-0.11
1593.80,-0.05
1609.74,0.01
1625.84,0.07
1642.10,0.13
1658.52,0.21
1675.10,0.29
1691.85,0.38
1708.77,0.48
1725.86,0.59
1743.12,0.71
1760.55,0.85
1778.15,0.99
1795.94,1.17
1813.90,1.35
1832.03,1.54
1850.36,1.73
1868.86,1.92
1887.55,2.10
1906.42,2.29
1925.49,2.48
1944.74,2.66
1964.19,2.83
1983.83,3.00
2003.67,3.18
2023.71,3.37
