frequency,raw
20.00,-4.58
20.20,-4.46
20.40,-4.34
20.61,-4.22
20.81,-4.10
21.02,-3.99
21.23,-3.86
21.44,-3.75
21.66,-3.63
21.87,-3.51
22.09,-3.39
22.31,-3.27
22.54,-3.15
22.76,-3.03
22.99,-2.92
23.22,-2.80
23.45,-2.67
23.69,-2.55
23.92,-2.43
24.16,-2.31
24.40,-2.19
24.65,-2.07
24.89,-1.95
25.14,-1.83
25.39,-1.71
25.65,-1.60
25.91,-1.48
26.16,-1.36
26.43,-1.23
26.69,-1.11
26.96,-0.99
27.23,-0.88
27.50,-0.76
27.77,-0.64
28.05,-0.53
28.33,-0.40
28.62,-0.28
28.90,-0.17
29.19,-0.04
29.48,0.07
29.78,0.19
30.08,0.31
30.38,0.39
30.68,0.48
30.99,0.58
31.30,0.67
31.61,0.77
31.93,0.86
32.24,0.97
32.57,1.08
32.89,1.18
33.22,1.29
33.55,1.41
33.89,1.52
34.23,1.63
34.57,1.76
34.92,1.89
35.27,2.02
35.62,2.14
35.97,2.28
36.33,2.41
36.70,2.55
37.06,2.70
37.43,2.84
37.81,2.97
38.19,3.12
38.57,3.27
38.95,3.43
39.34,3.58
39.74,3.73
40.14,3.88
40.54,4.03
40.94,4.17
41.35,4.32
41.76,4.46
42.18,4.60
42.60,4.74
43.03,4.87
43.46,4.99
43.90,5.12
44.33,5.23
44.78,5.34
45.23,5.45
45.68,5.56
46.13,5.67
46.60,5.77
47.06,5.88
47.53,5.98
48.01,6.08
48.49,6.18
48.97,6.28
49.46,6.38
49.96,6.48
50.46,6.58
50.96,6.67
51.47,6.77
51.99,6.87
52.51,6.97
53.03,7.08
53.56,7.18
54.10,7.29
54.64,7.39
55.18,7.50
55.74,7.60
56.29,7.72
56.86,7.82
57.42,7.92
58.00,8.03
58.58,8.14
59.16,8.25
59.76,8.36
60.35,8.46
60.96,8.56
61.57,8.66
62.18,8.76
62.80,8.85
63.43,8.95
64.07,9.04
64.71,9.13
65.35,9.22
66.01,9.30
66.67,9.37
67.33,9.46
68.01,9.53
68.69,9.59
69.37,9.64
70.07,9.70
70.77,9.75
71.48,9.78
72.19,9.82
72.91,9.86
73.64,9.86
74.38,9.87
75.12,9.87
75.87,9.88
76.63,9.88
77.40,9.89
78.17,9.90
78.95,9.91
79.74,9.91
80.54,9.90
81.35,9.89
82.16,9.89
82.98,9.88
83.81,9.89
84.65,9.88
85.50,9.87
86.35,9.86
87.22,9.85
88.09,9.83
88.97,9.81
89.86,9.80
90.76,9.79
91.66,9.77
92.58,9.73
93.51,9.68
94.44,9.64
95.39,9.60
96.34,9.58
97.30,9.54
98.28,9.51
99.26,9.46
100.25,9.41
101.25,9.34
102.27,9.28
103.29,9.26
104.32,9.21
105.37,9.16
106.42,9.11
107.48,9.07
108.56,9.04
109.64,9.00
110.74,8.97
111.85,8.92
112.97,8.87
114.10,8.84
115.24,8.80
116.39,8.79
117.55,8.78
118.73,8.76
119.92,8.73
121.12,8.70
122.33,8.68
123.55,8.64
124.79,8.60
126.03,8.57
127.29,8.55
128.57,8.53
129.85,8.49
131.15,8.44
132.46,8.40
133.79,8.35
135.12,8.28
136.48,8.23
137.84,8.16
139.22,8.12
140.61,8.06
142.02,7.98
143.44,7.93
144.87,7.85
146.32,7.81
147.78,7.74
149.26,7.67
150.75,7.60
152.26,7.55
153.78,7.47
155.32,7.43
156.88,7.36
158.44,7.31
160.03,7.25
161.63,7.22
163.24,7.18
164.88,7.12
166.53,7.08
168.19,7.05
169.87,6.99
171.57,6.93
173.29,6.88
175.02,6.83
176.77,6.80
178.54,6.77
180.32,6.75
182.13,6.72
183.95,6.66
185.79,6.64
187.65,6.62
189.52,6.60
191.42,6.58
193.33,6.55
195.27,6.54
197.22,6.55
199.19,6.55
201.18,6.55
203.19,6.54
205.23,6.53
207.28,6.52
209.35,6.51
211.44,6.50
213.56,6.49
215.69,6.47
217.85,6.45
220.03,6.44
222.23,6.40
224.45,6.35
226.70,6.28
228.96,6.20
231.25,6.16
233.57,6.09
235.90,5.99
238.26,5.96
240.64,5.88
243.05,5.82
245.48,5.73
247.93,5.64
250.41,5.57
252.92,5.47
255.45,5.40
258.00,5.32
260.58,5.22
263.19,5.14
265.82,5.02
268.48,4.95
271.16,4.88
273.87,4.77
276.61,4.70
279.38,4.64
282.17,4.59
284.99,4.54
287.84,4.48
290.72,4.45
293.63,4.44
296.57,4.44
299.53,4.47
302.53,4.49
305.55,4.53
308.61,4.58
311.69,4.65
314.81,4.70
317.96,4.75
321.14,4.80
324.35,4.84
327.59,4.87
330.87,4.89
334.18,4.92
337.52,4.93
340.90,4.92
344.30,4.91
347.75,4.89
351.23,4.86
354.74,4.83
358.28,4.78
361.87,4.72
365.49,4.65
369.14,4.60
372.83,4.54
376.56,4.45
380.33,4.38
384.13,4.30
387.97,4.20
391.85,4.12
395.77,4.03
399.73,3.95
403.72,3.88
407.76,3.84
411.84,3.79
415.96,3.75
420.12,3.73
424.32,3.74
428.56,3.74
432.85,3.75
437.18,3.77
441.55,3.80
445.96,3.82
450.42,3.86
454.93,3.87
459.48,3.87
464.07,3.87
468.71,3.87
473.40,3.85
478.13,3.84
482.91,3.82
487.74,3.80
492.62,3.79
497.55,3.76
502.52,3.75
507.55,3.75
512.62,3.75
517.75,3.75
522.93,3.75
528.16,3.76
533.44,3.77
538.77,3.78
544.16,3.77
549.60,3.76
555.10,3.74
560.65,3.71
566.25,3.67
571.92,3.62
577.64,3.57
583.41,3.52
589.25,3.48
595.14,3.41
601.09,3.36
607.10,3.31
613.17,3.28
619.30,3.23
625.50,3.18
631.75,3.11
638.07,3.04
644.45,2.99
650.89,2.92
657.40,2.84
663.98,2.75
670.62,2.68
677.32,2.60
684.10,2.50
690.94,2.38
697.85,2.27
704.83,2.17
711.87,2.06
718.99,1.94
726.18,1.82
733.44,1.70
740.78,1.56
748.19,1.44
755.67,1.31
763.23,1.18
770.86,1.06
778.57,0.92
786.35,0.79
794.22,0.66
802.16,0.53
810.18,0.40
818.28,0.26
826.46,0.12
834.73,0.00
843.08,-0.13
851.51,-0.26
860.02,-0.39
868.62,-0.50
877.31,-0.62
886.08,-0.71
894.94,-0.80
903.89,-0.88
912.93,-0.94
922.06,-0.96
931.28,-0.97
940.59,-0.98
950.00,-0.96
959.50,-0.91
969.09,-0.87
978.78,-0.81
988.57,-0.72
998.46,-0.63
1008.44,-0.53
1018.53,-0.41
1028.71,-0.29
1039.00,-0.17
1049.39,-0.05
1059.88,0.07
1070.48,0.19
1081.19,0.31
1092.00,0.43
1102.92,0.57
1113.95,0.71
1125.09,0.85
1136.34,0.98
1147.70,1.11
1159.18,1.25
1170.77,1.39
1182.48,1.52
1194.30,1.64
1206.25,1.79
1218.31,1.93
1230.49,2.07
1242.80,2.21
1255.22,2.36
1267.78,2.50
1280.45,2.65
1293.26,2.79
1306.19,2.94
1319.25,3.09
1332.45,3.26
1345.77,3.42
1359.23,3.59
1372.82,3.75
1386.55,3.90
1400.41,4.06
1414.42,4.20
1428.56,4.35
1442.85,4.47
1457.28,4.59
1471.85,4.70
1486.57,4.81
1501.43,4.92
1516.45,5.01
1531.61,5.11
1546.93,5.21
1562.40,5.29
1578.02,5.37
1593.80,5.45
1609.74,5.53
1625.84,5.61
1642.10,5.69
1658.52,5.75
1675.10,5.79
1691.85,5.84
