frequency,raw
20.00,-21.99
20.20,-21.68
20.40,-21.39
20.61,-21.12
20.81,-20.84
21.02,-20.59
21.23,-20.34
21.44,-20.11
21.66,-19.89
21.87,-19.68
22.09,-19.47
22.31,-19.29
22.54,-19.15
22.76,-19.02
22.99,-18.90
23.22,-18.79
23.45,-18.65
23.69,-18.52
23.92,-18.36
24.16,-18.20
24.40,-18.03
24.65,-17.85
24.89,-17.66
25.14,-17.47
25.39,-17.29
25.65,-17.12
25.91,-16.94
26.16,-16.77
26.43,-16.60
26.69,-16.44
26.96,-16.29
27.23,-16.14
27.50,-15.97
27.77,-15.79
28.05,-15.62
28.33,-15.45
28.62,-15.27
28.90,-15.11
29.19,-14.94
29.48,-14.78
29.78,-14.62
30.08,-14.48
30.38,-14.36
30.68,-14.24
30.99,-14.13
31.30,-14.04
31.61,-13.94
31.93,-13.85
32.24,-13.73
32.57,-13.61
32.89,-13.49
33.22,-13.35
33.55,-13.20
33.89,-13.03
34.23,-12.86
34.57,-12.68
34.92,-12.52
35.27,-12.36
35.62,-12.21
35.97,-12.06
36.33,-11.92
36.70,-11.79
37.06,-11.65
37.43,-11.53
37.81,-11.41
38.19,-11.30
38.57,-11.19
38.95,-11.07
39.34,-10.95
39.74,-10.81
40.14,-10.66
40.54,-10.52
40.94,-10.35
41.35,-10.16
41.76,-9.99
42.18,-9.81
42.60,-9.63
43.03,-9.45
43.46,-9.28
43.90,-9.10
44.33,-8.91
44.78,-8.75
45.23,-8.58
45.68,-8.42
46.13,-8.26
46.60,-8.12
47.06,-7.98
47.53,-7.84
48.01,-7.73
48.49,-7.62
48.97,-7.52
49.46,-7.43
49.96,-7.33
50.46,-7.23
50.96,-7.13
51.47,-7.05
51.99,-6.99
52.51,-6.93
53.03,-6.88
53.56,-6.83
54.10,-6.78
54.64,-6.74
55.18,-6.70
55.74,-6.67
56.29,-6.63
56.86,-6.60
57.42,-6.57
58.00,-6.52
58.58,-6.48
59.16,-6.44
59.76,-6.40
60.35,-6.35
60.96,-6.30
61.57,-6.25
62.18,-6.19
62.80,-6.12
63.43,-6.04
64.07,-5.98
64.71,-5.92
65.35,-5.85
66.01,-5.78
66.67,-5.69
67.33,-5.60
68.01,-5.52
68.69,-5.46
69.37,-5.39
70.07,-5.32
70.77,-5.24
71.48,-5.17
72.19,-5.10
72.91,-5.05
73.64,-5.02
74.38,-4.96
75.12,-4.91
75.87,-4.88
76.63,-4.84
77.40,-4.80
78.17,-4.75
78.95,-4.71
79.74,-4.68
80.54,-4.65
81.35,-4.62
82.16,-4.60
82.98,-4.58
83.81,-4.54
84.65,-4.52
85.50,-4.50
