frequency,raw
20.00,3.23
20.20,3.31
20.40,3.39
20.61,3.46
20.81,3.53
21.02,3.60
21.23,3.67
21.44,3.73
21.66,3.80
21.87,3.86
22.09,3.93
22.31,3.99
22.54,4.05
22.76,4.10
22.99,4.14
23.22,4.19
23.45,4.26
23.69,4.32
23.92,4.37
24.16,4.41
24.40,4.45
24.65,4.50
24.89,4.56
25.14,4.61
25.39,4.66
25.65,4.69
25.91,4.73
26.16,4.78
26.43,4.82
26.69,4.86
26.96,4.91
27.23,4.95
27.50,5.00
27.77,5.04
28.05,5.07
28.33,5.09
28.62,5.12
28.90,5.14
29.19,5.18
29.48,5.21
29.78,5.24
30.08,5.26
30.38,5.28
30.68,5.30
30.99,5.33
31.30,5.34
31.61,5.36
31.93,5.38
32.24,5.40
32.57,5.44
32.89,5.47
33.22,5.50
33.55,5.54
33.89,5.56
34.23,5.58
34.57,5.59
34.92,5.60
35.27,5.60
35.62,5.60
35.97,5.60
36.33,5.61
36.70,5.63
37.06,5.65
37.43,5.65
37.81,5.66
38.19,5.67
38.57,5.68
38.95,5.71
39.34,5.73
39.74,5.76
40.14,5.79
40.54,5.80
40.94,5.82
41.35,5.85
41.76,5.86
42.18,5.87
42.60,5.88
43.03,5.87
43.46,5.84
43.90,5.81
44.33,5.77
44.78,5.73
45.23,5.69
45.68,5.66
46.13,5.62
46.60,5.56
47.06,5.52
47.53,5.48
48.01,5.43
48.49,5.40
48.97,5.36
49.46,5.32
49.96,5.30
50.46,5.28
50.96,5.27
51.47,5.27
51.99,5.27
52.51,5.27
53.03,5.25
53.56,5.23
54.10,5.21
54.64,5.18
55.18,5.15
55.74,5.13
56.29,5.10
56.86,5.07
57.42,5.02
58.00,4.98
58.58,4.93
59.16,4.88
59.76,4.84
60.35,4.80
60.96,4.76
61.57,4.71
62.18,4.66
62.80,4.63
63.43,4.60
64.07,4.56
64.71,4.51
65.35,4.46
66.01,4.41
66.67,4.35
67.33,4.30
68.01,4.24
68.69,4.19
69.37,4.13
70.07,4.08
70.77,4.01
71.48,3.94
72.19,3.87
72.91,3.80
73.64,3.73
74.38,3.67
75.12,3.61
75.87,3.53
76.63,3.47
77.40,3.41
78.17,3.37
78.95,3.32
79.74,3.28
80.54,3.24
81.35,3.21
82.16,3.19
82.98,3.17
83.81,3.16
84.65,3.15
85.50,3.14
86.35,3.14
87.22,3.14
88.09,3.13
88.97,3.11
89.86,3.10
90.76,3.09
91.66,3.08
92.58,3.07
93.51,3.05
94.44,3.04
95.39,3.03
96.34,3.02
97.30,3.00
98.28,2.99
99.26,2.98
100.25,2.97
101.25,2.96
102.27,2.95
103.29,2.95
104.32,2.95
105.37,2.95
106.42,2.96
107.48,2.96
108.56,2.96
109.64,2.95
110.74,2.93
111.85,2.91
112.97,2.89
114.10,2.88
115.24,2.85
116.39,2.83
117.55,2.81
118.73,2.79
119.92,2.78
121.12,2.75
122.33,2.72
123.55,2.69
124.79,2.65
126.03,2.62
127.29,2.60
128.57,2.58
129.85,2.56
131.15,2.53
132.46,2.49
133.79,2.44
135.12,2.39
136.48,2.35
137.84,2.31
139.22,2.26
140.61,2.21
142.02,2.15
143.44,2.10
144.87,2.06
146.32,2.03
147.78,1.99
149.26,1.95
150.75,1.92
152.26,1.87
153.78,1.82
155.32,1.79
156.88,1.75
158.44,1.71
160.03,1.68
161.63,1.65
163.24,1.61
164.88,1.58
166.53,1.54
168.19,1.51
169.87,1.48
171.57,1.45
173.29,1.41
175.02,1.38
176.77,1.35
178.54,1.33
180.32,1.32
182.13,1.31
183.95,1.32
185.79,1.31
187.65,1.31
189.52,1.32
191.42,1.33
193.33,1.33
195.27,1.36
197.22,1.40
199.19,1.44
201.18,1.47
203.19,1.49
205.23,1.50
207.28,1.52
209.35,1.54
211.44,1.55
213.56,1.56
215.69,1.55
217.85,1.54
220.03,1.53
222.23,1.50
224.45,1.48
226.70,1.43
228.96,1.38
231.25,1.30
233.57,1.22
235.90,1.12
238.26,1.03
240.64,0.90
243.05,0.77
245.48,0.62
247.93,0.47
250.41,0.29
252.92,0.10
255.45,-0.10
258.00,-0.29
260.58,-0.49
263.19,-0.69
265.82,-0.90
268.48,-1.10
271.16,-1.31
273.87,-1.50
276.61,-1.69
279.38,-1.88
282.17,-2.06
284.99,-2.24
287.84,-2.42
290.72,-2.59
293.63,-2.73
296.57,-2.87
299.53,-3.01
302.53,-3.14
305.55,-3.25
308.61,-3.37
311.69,-3.47
314.81,-3.57
317.96,-3.64
321.14,-3.70
324.35,-3.76
327.59,-3.80
330.87,-3.84
334.18,-3.86
337.52,-3.86
340.90,-3.88
344.30,-3.88
347.75,-3.88
351.23,-3.86
354.74,-3.85
358.28,-3.83
361.87,-3.79
365.49,-3.73
369.14,-3.67
372.83,-3.62
376.56,-3.57
380.33,-3.50
384.13,-3.42
387.97,-3.34
391.85,-3.26
395.77,-3.19
399.73,-3.10
403.72,-3.01
407.76,-2.91
411.84,-2.82
415.96,-2.74
420.12,-2.67
424.32,-2.58
428.56,-2.50
432.85,-2.42
437.18,-2.33
441.55,-2.25
445.96,-2.18
450.42,-2.10
454.93,-2.03
459.48,-1.96
464.07,-1.89
468.71,-1.83
473.40,-1.76
478.13,-1.70
482.91,-1.63
487.74,-1.59
492.62,-1.52
497.55,-1.48
502.52,-1.44
507.55,-1.40
512.62,-1.37
517.75,-1.33
522.93,-1.29
528.16,-1.23
533.44,-1.18
538.77,-1.11
544.16,-1.06
549.60,-1.00
555.10,-0.95
560.65,-0.90
566.25,-0.85
571.92,-0.79
577.64,-0.73
583.41,-0.69
589.25,-0.63
595.14,-0.60
601.09,-0.56
607.10,-0.54
613.17,-0.52
619.30,-0.51
625.50,-0.49
631.75,-0.48
638.07,-0.48
644.45,-0.48
650.89,-0.49
657.40,-0.50
663.98,-0.51
670.62,-0.53
677.32,-0.54
684.10,-0.57
690.94,-0.61
697.85,-0.65
704.83,-0.68
711.87,-0.71
718.99,-0.76
726.18,-0.80
733.44,-0.85
740.78,-0.90
748.19,-0.93
755.67,-0.97
763.23,-1.00
770.86,-1.02
778.57,-1.05
786.35,-1.08
794.22,-1.12
802.16,-1.15
810.18,-1.19
818.28,-1.22
826.46,-1.25
834.73,-1.27
843.08,-1.29
851.51,-1.30
860.02,-1.31
868.62,-1.29
877.31,-1.26
886.08,-1.23
894.94,-1.20
903.89,-1.16
912.93,-1.11
922.06,-1.05
931.28,-1.00
940.59,-0.94
950.00,-0.88
959.50,-0.81
969.09,-0.77
978.78,-0.72
988.57,-0.66
998.46,-0.62
1008.44,-0.59
1018.53,-0.55
1028.71,-0.52
1039.00,-0.50
1049.39,-0.46
1059.88,-0.41
1070.48,-0.37
1081.19,-0.33
1092.00,-0.29
1102.92,-0.26
1113.95,-0.24
1125.09,-0.22
1136.34,-0.21
1147.70,-0.18
1159.18,-0.15
1170.77,-0.14
1182.48,-0.12
1194.30,-0.12
1206.25,-0.12
1218.31,-0.12
1230.49,-0.11
1242.80,-0.10
1255.22,-0.08
1267.78,-0.08
1280.45,-0.07
1293.26,-0.06
1306.19,-0.04
1319.25,-0.03
1332.45,-0.01
1345.77,0.00
1359.23,0.01
1372.82,0.02
1386.55,0.02
1400.41,0.04
1414.42,0.06
1428.56,0.10
1442.85,0.13
1457.28,0.17
1471.85,0.21
1486.57,0.25
1501.43,0.30
1516.45,0.34
1531.61,0.40
1546.93,0.45
1562.40,0.50
1578.02,0.54
1593.80,0.60
1609.74,0.66
1625.84,0.73
1642.10,0.81
1658.52,0.89
1675.10,0.96
1691.85,1.05
1708.77,1.14
1725.86,1.24
1743.12,1.35
1760.55,1.46
1778.15,1.59
1795.94,1.73
1813.90,1.86
1832.03,1.98
1850.36,2.11
1868.86,2.23
1887.55,2.34
1906.42,2.46
1925.49,2.57
1944.74,2.67
1964.19,2.76
1983.83,2.85
2003.67,2.94
2023.71,3.04
2043.94,3.14
2064.38,3.24
2085.03,3.34
2105.88,3.46
2126.94,3.59
2148.20,3.72
2169.69,3.84
2191.38,3.97
2213.30,4.09
2235.43,4.21
2257.78,4.32
2280.36,4.44
2303.17,4.56
2326.20,4.66
2349.46,4.75
2372.95,4.82
2396.68,4.91
2420.65,4.95
2444.86,4.98
2469.31,5.02
2494.00,5.03
2518.94,5.04
2544.13,5.05
2569.57,5.04
2595.27,5.02
2621.22,4.99
2647.43,4.95
2673.90,4.88
2700.64,4.79
2727.65,4.70
2754.93,4.61
2782.48,4.52
2810.30,4.45
2838.40,4.38
2866.79,4.30
2895.46,4.22
2924.41,4.14
2953.65,4.07
2983.19,4.01
3013.02,3.95
3043.15,3.90
3073.58,3.86
3104.32,3.83
3135.36,3.80
3166.72,3.78
3198.38,3.77
3230.37,3.74
3262.67,3.73
3295.30,3.69
3328.25,3.67
3361.53,3.63
3395.15,3.60
3429.10,3.58
3463.39,3.55
3498.03,3.53
3533.01,3.50
3568.34,3.45
3604.02,3.39
3640.06,3.33
3676.46,3.27
3713.22,3.21
3750.36,3.15
3787.86,3.10
3825.74,3.04
3864.00,2.97
3902.64,2.89
3941.66,2.82
3981.08,2.74
4020.89,2.67
4061.10,2.60
4101.71,2.52
4142.73,2.45
4184.15,2.38
4226.00,2.32
4268.26,2.28
4310.94,2.23
4354.05,2.20
4397.59,2.15
4441.56,2.10
4485.98,2.05
4530.84,2.00
4576.15,1.96
4621.91,1.92
4668.13,1.87
4714.81,1.82
4761.96,1.76
4809.58,1.70
4857.67,1.65
4906.25,1.60
4955.31,1.58
5004.87,1.57
5054.91,1.58
5105.46,1.59
5156.52,1.63
5208.08,1.67
5260.16,1.74
5312.77,1.82
5365.89,1.92
5419.55,2.01
5473.75,2.11
5528.49,2.21
5583.77,2.31
5639.61,2.38
5696.00,2.44
5752.96,2.48
5810.49,2.48
5868.60,2.47
5927.28,2.43
5986.56,2.36
6046.42,2.27
6106.89,2.15
6167.96,2.01
6229.64,1.86
6291.93,1.69
6354.85,1.53
6418.40,1.37
6482.58,1.21
6547.41,1.06
6612.88,0.90
6679.01,0.74
6745.80,0.60
6813.26,0.47
6881.39,0.35
6950.21,0.25
7019.71,0.17
7089.91,0.12
7160.81,0.09
7232.41,0.11
7304.74,0.14
7377.79,0.20
7451.56,0.27
7526.08,0.34
7601.34,0.42
7677.35,0.50
7754.13,0.57
7831.67,0.62
7909.98,0.66
7989.08,0.65
8068.98,0.61
8149.67,0.52
8231.16,0.37
8313.47,0.17
8396.61,-0.07
8480.57,-0.37
8565.38,-0.70
8651.03,-1.05
8737.54,-1.42
8824.92,-1.81
8913.17,-2.21
9002.30,-2.61
9092.32,-3.02
9183.25,-3.42
9275.08,-3.80
9367.83,-4.16
9461.51,-4.47
9556.12,-4.74
9651.68,-4.98
9748.20,-5.17
9845.68,-5.32
9944.14,-5.41
10043.58,-5.49
10144.02,-5.59
10245.46,-5.68
10347.91,-5.80
10451.39,-5.94
10555.91,-6.12
10661.46,-6.33
10768.08,-6.60
10875.76,-6.90
10984.52,-7.26
11094.36,-7.63
11205.31,-8.03
11317.36,-8.40
11430.53,-8.73
11544.84,-9.00
11660.29,-9.19
11776.89,-9.29
11894.66,-9.30
12013.60,-9.24
12133.74,-9.09
12255.08,-8.90
12377.63,-8.70
12501.41,-8.49
12626.42,-8.29
12752.68,-8.11
12880.21,-7.97
13009.01,-7.86
13139.10,-7.81
13270.49,-7.80
13403.20,-7.86
13537.23,-7.97
13672.60,-8.15
13809.33,-8.37
13947.42,-8.62
14086.90,-8.87
14227.77,-9.13
14370.04,-9.38
