frequency,raw
20.00,-18.52
20.20,-18.42
20.40,-18.31
20.61,-18.22
20.81,-18.11
21.02,-18.02
21.23,-17.91
21.44,-17.82
21.66,-17.71
21.87,-17.61
22.09,-17.50
22.31,-17.40
22.54,-17.29
22.76,-17.19
22.99,-17.09
23.22,-16.98
23.45,-16.87
23.69,-16.77
23.92,-16.67
24.16,-16.56
24.40,-16.46
24.65,-16.35
24.89,-16.25
25.14,-16.14
25.39,-16.03
25.65,-15.93
25.91,-15.82
26.16,-15.71
26.43,-15.61
26.69,-15.50
26.96,-15.39
27.23,-15.29
27.50,-15.18
27.77,-15.07
28.05,-14.97
28.33,-14.86
28.62,-14.74
28.90,-14.64
29.19,-14.53
29.48,-14.42
29.78,-14.30
30.08,-14.19
30.38,-14.08
30.68,-13.96
30.99,-13.85
31.30,-13.74
31.61,-13.62
31.93,-13.51
32.24,-13.40
32.57,-13.28
32.89,-13.18
33.22,-13.06
33.55,-12.95
33.89,-12.83
34.23,-12.73
34.57,-12.61
34.92,-12.50
35.27,-12.38
35.62,-12.28
35.97,-12.16
36.33,-12.04
36.70,-11.92
37.06,-11.80
37.43,-11.69
37.81,-11.58
38.19,-11.47
38.57,-11.36
38.95,-11.23
39.34,-11.12
39.74,-11.01
40.14,-10.89
40.54,-10.77
40.94,-10.66
41.35,-10.54
41.76,-10.43
42.18,-10.32
42.60,-10.20
43.03,-10.09
43.46,-9.98
43.90,-9.87
44.33,-9.77
44.78,-9.68
45.23,-9.57
45.68,-9.46
46.13,-9.35
46.60,-9.25
47.06,-9.15
47.53,-9.05
48.01,-8.96
48.49,-8.86
48.97,-8.76
49.46,-8.68
49.96,-8.59
50.46,-8.50
50.96,-8.42
51.47,-8.33
51.99,-8.26
52.51,-8.18
53.03,-8.10
53.56,-8.02
54.10,-7.92
54.64,-7.84
55.18,-7.76
55.74,-7.67
56.29,-7.56
56.86,-7.45
57.42,-7.34
58.00,-7.23
58.58,-7.10
59.16,-6.97
59.76,-6.84
60.35,-6.71
60.96,-6.57
61.57,-6.43
62.18,-6.29
62.80,-6.14
63.43,-5.98
64.07,-5.83
64.71,-5.69
65.35,-5.54
66.01,-5.40
66.67,-5.26
67.33,-5.12
68.01,-4.99
68.69,-4.86
69.37,-4.74
70.07,-4.62
70.77,-4.50
71.48,-4.39
72.19,-4.28
72.91,-4.18
73.64,-4.09
74.38,-3.99
75.12,-3.91
75.87,-3.83
76.63,-3.76
77.40,-3.69
78.17,-3.60
78.95,-3.52
79.74,-3.45
80.54,-3.39
81.35,-3.32
82.16,-3.26
82.98,-3.19
83.81,-3.12
