frequency,raw
20.00,-4.15
20.20,-4.10
20.40,-4.06
20.61,-4.01
20.81,-3.96
21.02,-3.91
21.23,-3.86
21.44,-3.81
21.66,-3.76
21.87,-3.71
22.09,-3.66
22.31,-3.61
22.54,-3.55
22.76,-3.49
22.99,-3.43
23.22,-3.37
23.45,-3.32
23.69,-3.26
23.92,-3.20
24.16,-3.15
24.40,-3.10
24.65,-3.04
24.89,-2.98
25.14,-2.92
25.39,-2.86
25.65,-2.80
25.91,-2.74
26.16,-2.68
26.43,-2.61
26.69,-2.55
26.96,-2.49
27.23,-2.43
27.50,-2.37
27.77,-2.32
28.05,-2.25
28.33,-2.20
28.62,-2.15
28.90,-2.09
29.19,-2.04
29.48,-1.98
29.78,-1.94
30.08,-1.88
30.38,-1.85
30.68,-1.80
30.99,-1.75
31.30,-1.71
31.61,-1.66
31.93,-1.62
32.24,-1.57
32.57,-1.53
32.89,-1.47
33.22,-1.43
33.55,-1.37
33.89,-1.32
34.23,-1.27
34.57,-1.23
34.92,-1.18
35.27,-1.13
35.62,-1.07
35.97,-1.02
36.33,-0.98
36.70,-0.92
37.06,-0.88
37.43,-0.83
37.81,-0.78
38.19,-0.74
38.57,-0.69
38.95,-0.64
39.34,-0.59
39.74,-0.55
40.14,-0.50
40.54,-0.47
40.94,-0.42
41.35,-0.38
41.76,-0.34
42.18,-0.31
42.60,-0.27
43.03,-0.24
43.46,-0.22
43.90,-0.20
44.33,-0.17
44.78,-0.15
45.23,-0.11
45.68,-0.08
46.13,-0.05
46.60,-0.03
47.06,-0.01
47.53,0.02
48.01,0.04
48.49,0.06
48.97,0.08
49.46,0.10
49.96,0.12
50.46,0.13
50.96,0.15
51.47,0.17
51.99,0.19
52.51,0.20
53.03,0.21
53.56,0.23
54.10,0.24
54.64,0.25
55.18,0.26
55.74,0.27
56.29,0.29
56.86,0.30
57.42,0.32
58.00,0.35
58.58,0.38
59.16,0.41
59.76,0.44
60.35,0.46
60.96,0.50
61.57,0.52
62.18,0.54
62.80,0.57
63.43,0.60
64.07,0.63
64.71,0.66
65.35,0.69
66.01,0.72
66.67,0.74
67.33,0.76
68.01,0.77
68.69,0.78
69.37,0.79
70.07,0.79
70.77,0.79
71.48,0.77
72.19,0.77
72.91,0.77
73.64,0.77
74.38,0.77
75.12,0.77
75.87,0.78
76.63,0.79
77.40,0.82
78.17,0.84
78.95,0.85
79.74,0.87
80.54,0.89
81.35,0.91
82.16,0.92
82.98,0.94
83.81,0.94
84.65,0.95
85.50,0.94
86.35,0.93
87.22,0.92
88.09,0.90
88.97,0.87
89.86,0.84
90.76,0.82
91.66,0.81
92.58,0.79
93.51,0.78
94.44,0.76
95.39,0.75
96.34,0.74
97.30,0.74
98.28,0.73
99.26,0.73
100.25,0.73
101.25,0.74
102.27,0.74
103.29,0.74
104.32,0.75
105.37,0.76
106.42,0.76
107.48,0.77
108.56,0.78
109.64,0.78
110.74,0.79
111.85,0.79
112.97,0.80
114.10,0.80
115.24,0.80
116.39,0.80
117.55,0.79
118.73,0.79
119.92,0.78
121.12,0.77
122.33,0.76
123.55,0.75
124.79,0.73
126.03,0.72
127.29,0.71
128.57,0.69
129.85,0.69
131.15,0.69
132.46,0.68
133.79,0.66
135.12,0.64
136.48,0.61
137.84,0.58
139.22,0.55
140.61,0.52
142.02,0.47
143.44,0.45
144.87,0.42
146.32,0.39
147.78,0.36
149.26,0.31
150.75,0.26
152.26,0.23
153.78,0.20
155.32,0.18
156.88,0.14
158.44,0.11
160.03,0.06
161.63,0.02
163.24,-0.02
164.88,-0.10
166.53,-0.16
168.19,-0.22
169.87,-0.30
171.57,-0.36
173.29,-0.40
175.02,-0.47
176.77,-0.53
178.54,-0.59
180.32,-0.65
182.13,-0.72
183.95,-0.82
185.79,-0.88
187.65,-0.94
189.52,-1.02
191.42,-1.11
193.33,-1.18
195.27,-1.26
197.22,-1.33
199.19,-1.40
201.18,-1.49
203.19,-1.57
205.23,-1.64
207.28,-1.72
209.35,-1.80
211.44,-1.88
213.56,-1.95
215.69,-2.03
217.85,-2.11
220.03,-2.16
222.23,-2.23
224.45,-2.30
226.70,-2.36
228.96,-2.42
231.25,-2.47
233.57,-2.52
235.90,-2.58
238.26,-2.62
240.64,-2.67
243.05,-2.70
245.48,-2.75
247.93,-2.81
250.41,-2.85
252.92,-2.91
255.45,-2.95
258.00,-3.00
260.58,-3.06
263.19,-3.11
265.82,-3.17
268.48,-3.24
271.16,-3.29
273.87,-3.37
276.61,-3.46
279.38,-3.52
282.17,-3.60
284.99,-3.68
287.84,-3.82
290.72,-3.93
293.63,-4.04
296.57,-4.15
299.53,-4.28
302.53,-4.42
305.55,-4.55
308.61,-4.68
311.69,-4.84
314.81,-4.97
317.96,-5.13
321.14,-5.32
324.35,-5.52
327.59,-5.71
330.87,-5.89
334.18,-6.10
337.52,-6.35
340.90,-6.55
344.30,-6.79
347.75,-6.99
351.23,-7.23
354.74,-7.43
358.28,-7.66
361.87,-7.85
365.49,-8.05
369.14,-8.21
372.83,-8.36
376.56,-8.51
380.33,-8.62
384.13,-8.71
387.97,-8.79
391.85,-8.84
395.77,-8.89
399.73,-8.92
403.72,-8.95
407.76,-8.96
411.84,-8.96
415.96,-8.96
420.12,-8.96
424.32,-8.95
428.56,-8.92
432.85,-8.89
437.18,-8.86
441.55,-8.83
445.96,-8.79
450.42,-8.74
454.93,-8.68
459.48,-8.62
464.07,-8.54
468.71,-8.48
473.40,-8.38
478.13,-8.29
482.91,-8.21
487.74,-8.12
492.62,-8.02
497.55,-7.93
502.52,-7.83
507.55,-7.73
512.62,-7.63
517.75,-7.52
522.93,-7.40
528.16,-7.27
533.44,-7.17
538.77,-7.05
544.16,-6.92
549.60,-6.82
555.10,-6.70
560.65,-6.59
566.25,-6.47
571.92,-6.35
577.64,-6.23
583.41,-6.13
589.25,-6.01
595.14,-5.89
601.09,-5.76
607.10,-5.64
613.17,-5.53
619.30,-5.40
625.50,-5.27
631.75,-5.14
638.07,-5.01
644.45,-4.89
650.89,-4.78
657.40,-4.67
663.98,-4.57
670.62,-4.45
677.32,-4.35
684.10,-4.25
690.94,-4.13
697.85,-4.03
704.83,-3.92
711.87,-3.81
718.99,-3.71
726.18,-3.61
733.44,-3.48
740.78,-3.37
748.19,-3.25
755.67,-3.14
763.23,-3.02
770.86,-2.91
778.57,-2.78
786.35,-2.66
794.22,-2.55
802.16,-2.43
810.18,-2.31
818.28,-2.19
826.46,-2.07
834.73,-1.95
843.08,-1.84
851.51,-1.73
860.02,-1.63
868.62,-1.53
877.31,-1.42
886.08,-1.32
894.94,-1.21
903.89,-1.11
912.93,-1.02
922.06,-0.94
931.28,-0.84
940.59,-0.77
950.00,-0.69
959.50,-0.63
969.09,-0.55
978.78,-0.48
988.57,-0.40
998.46,-0.31
1008.44,-0.22
1018.53,-0.14
1028.71,-0.06
1039.00,-0.00
1049.39,0.07
1059.88,0.13
1070.48,0.22
1081.19,0.30
1092.00,0.39
1102.92,0.47
1113.95,0.55
1125.09,0.63
1136.34,0.70
1147.70,0.76
1159.18,0.82
1170.77,0.90
1182.48,0.99
1194.30,1.09
1206.25,1.18
1218.31,1.28
1230.49,1.37
1242.80,1.47
1255.22,1.57
1267.78,1.67
1280.45,1.78
1293.26,1.90
1306.19,2.02
1319.25,2.14
1332.45,2.26
1345.77,2.38
1359.23,2.48
1372.82,2.59
1386.55,2.68
1400.41,2.78
1414.42,2.87
1428.56,2.98
1442.85,3.07
1457.28,3.16
1471.85,3.23
1486.57,3.32
1501.43,3.41
1516.45,3.50
1531.61,3.58
1546.93,3.67
1562.40,3.74
1578.02,3.81
1593.80,3.88
1609.74,3.93
1625.84,3.98
1642.10,4.01
1658.52,4.05
1675.10,4.08
1691.85,4.10
1708.77,4.12
1725.86,4.13
1743.12,4.14
1760.55,4.14
1778.15,4.14
1795.94,4.15
1813.90,4.14
1832.03,4.14
1850.36,4.11
1868.86,4.08
1887.55,4.05
1906.42,4.02
1925.49,3.99
1944.74,3.94
1964.19,3.90
1983.83,3.87
2003.67,3.83
2023.71,3.80
2043.94,3.77
2064.38,3.75
2085.03,3.73
2105.88,3.72
2126.94,3.70
2148.20,3.71
2169.69,3.71
2191.38,3.73
2213.30,3.75
2235.43,3.78
2257.78,3.82
2280.36,3.86
2303.17,3.90
2326.20,3.97
2349.46,4.04
2372.95,4.12
2396.68,4.22
2420.65,4.33
2444.86,4.46
2469.31,4.59
2494.00,4.74
2518.94,4.89
2544.13,5.05
2569.57,5.22
2595.27,5.40
2621.22,5.58
2647.43,5.77
2673.90,5.97
2700.64,6.17
2727.65,6.38
2754.93,6.59
2782.48,6.81
2810.30,7.05
2838.40,7.30
2866.79,7.56
2895.46,7.85
2924.41,8.13
2953.65,8.41
2983.19,8.68
3013.02,8.95
3043.15,9.22
