frequency,raw
20.00,-21.34
20.20,-21.23
20.40,-21.13
20.61,-21.02
20.81,-20.91
21.02,-20.80
21.23,-20.69
21.44,-20.58
21.66,-20.47
21.87,-20.35
22.09,-20.24
22.31,-20.13
22.54,-20.00
22.76,-19.88
22.99,-19.77
23.22,-19.64
23.45,-19.53
23.69,-19.41
23.92,-19.28
24.16,-19.17
24.40,-19.04
24.65,-18.92
24.89,-18.79
25.14,-18.66
25.39,-18.54
25.65,-18.40
25.91,-18.27
26.16,-18.14
26.43,-18.01
26.69,-17.88
26.96,-17.75
27.23,-17.62
27.50,-17.49
27.77,-17.36
28.05,-17.23
28.33,-17.11
28.62,-16.98
28.90,-16.85
29.19,-16.72
29.48,-16.59
29.78,-16.47
30.08,-16.34
30.38,-16.23
30.68,-16.11
30.99,-15.99
31.30,-15.86
31.61,-15.74
31.93,-15.62
32.24,-15.49
32.57,-15.37
32.89,-15.24
33.22,-15.12
33.55,-14.99
33.89,-14.87
34.23,-14.75
34.57,-14.63
34.92,-14.50
35.27,-14.38
35.62,-14.25
35.97,-14.13
36.33,-14.00
36.70,-13.86
37.06,-13.74
37.43,-13.61
37.81,-13.48
38.19,-13.36
38.57,-13.23
38.95,-13.09
39.34,-12.95
39.74,-12.82
40.14,-12.67
40.54,-12.54
40.94,-12.39
41.35,-12.26
41.76,-12.12
42.18,-11.98
42.60,-11.83
43.03,-11.67
43.46,-11.53
43.90,-11.39
44.33,-11.24
44.78,-11.10
45.23,-10.95
45.68,-10.81
46.13,-10.65
46.60,-10.51
47.06,-10.35
47.53,-10.20
48.01,-10.05
48.49,-9.90
48.97,-9.77
49.46,-9.62
49.96,-9.46
50.46,-9.32
50.96,-9.17
51.47,-9.03
51.99,-8.89
52.51,-8.75
53.03,-8.60
53.56,-8.46
54.10,-8.32
54.64,-8.18
55.18,-8.03
55.74,-7.89
56.29,-7.75
56.86,-7.61
57.42,-7.47
58.00,-7.33
58.58,-7.19
59.16,-7.04
59.76,-6.90
60.35,-6.77
60.96,-6.62
61.57,-6.49
62.18,-6.35
62.80,-6.22
63.43,-6.09
64.07,-5.97
64.71,-5.85
65.35,-5.73
66.01,-5.62
66.67,-5.51
67.33,-5.40
68.01,-5.32
68.69,-5.22
69.37,-5.12
70.07,-5.03
70.77,-4.95
71.48,-4.87
72.19,-4.78
72.91,-4.70
73.64,-4.62
74.38,-4.54
75.12,-4.45
75.87,-4.37
76.63,-4.29
77.40,-4.21
78.17,-4.13
78.95,-4.04
79.74,-3.96
80.54,-3.87
81.35,-3.79
82.16,-3.71
82.98,-3.63
83.81,-3.57
84.65,-3.50
85.50,-3.44
86.35,-3.37
87.22,-3.31
88.09,-3.24
88.97,-3.18
89.86,-3.14
90.76,-3.09
91.66,-3.03
92.58,-2.97
93.51,-2.91
94.44,-2.87
95.39,-2.83
96.34,-2.78
97.30,-2.71
98.28,-2.64
99.26,-2.57
100.25,-2.51
101.25,-2.45
102.27,-2.40
103.29,-2.37
104.32,-2.33
105.37,-2.27
106.42,-2.20
107.48,-2.12
108.56,-2.05
109.64,-2.00
110.74,-1.95
111.85,-1.91
112.97,-1.85
114.10,-1.83
115.24,-1.80
116.39,-1.78
117.55,-1.76
118.73,-1.71
119.92,-1.67
121.12,-1.64
122.33,-1.63
123.55,-1.62
124.79,-1.61
126.03,-1.58
127.29,-1.57
128.57,-1.56
129.85,-1.54
131.15,-1.54
132.46,-1.55
133.79,-1.56
135.12,-1.57
136.48,-1.57
137.84,-1.56
139.22,-1.56
140.61,-1.53
142.02,-1.50
143.44,-1.47
144.87,-1.43
146.32,-1.41
147.78,-1.37
149.26,-1.35
150.75,-1.32
152.26,-1.30
153.78,-1.27
155.32,-1.26
156.88,-1.26
158.44,-1.26
160.03,-1.27
161.63,-1.28
163.24,-1.28
164.88,-1.29
166.53,-1.29
168.19,-1.29
169.87,-1.29
171.57,-1.30
173.29,-1.30
175.02,-1.31
176.77,-1.32
178.54,-1.33
180.32,-1.34
182.13,-1.35
183.95,-1.36
185.79,-1.37
187.65,-1.38
189.52,-1.40
191.42,-1.40
193.33,-1.39
195.27,-1.40
197.22,-1.42
199.19,-1.43
201.18,-1.46
203.19,-1.48
205.23,-1.51
207.28,-1.56
209.35,-1.59
211.44,-1.63
213.56,-1.66
215.69,-1.70
217.85,-1.74
220.03,-1.76
222.23,-1.78
224.45,-1.80
226.70,-1.80
228.96,-1.80
231.25,-1.79
233.57,-1.77
235.90,-1.76
238.26,-1.76
240.64,-1.75
243.05,-1.74
245.48,-1.72
247.93,-1.71
250.41,-1.69
252.92,-1.68
255.45,-1.68
258.00,-1.69
260.58,-1.71
263.19,-1.73
265.82,-1.76
268.48,-1.78
271.16,-1.80
273.87,-1.84
276.61,-1.87
279.38,-1.88
282.17,-1.90
284.99,-1.92
287.84,-1.93
290.72,-1.92
293.63,-1.91
296.57,-1.90
299.53,-1.90
302.53,-1.90
305.55,-1.89
308.61,-1.91
311.69,-1.93
314.81,-1.94
317.96,-1.98
321.14,-2.00
324.35,-2.02
327.59,-2.05
330.87,-2.07
334.18,-2.09
337.52,-2.12
340.90,-2.13
344.30,-2.14
347.75,-2.13
351.23,-2.12
354.74,-2.11
358.28,-2.11
361.87,-2.11
365.49,-2.11
369.14,-2.11
372.83,-2.11
