frequency,raw
20.00,-1.05
20.20,-1.06
20.40,-1.09
20.61,-1.10
20.81,-1.11
21.02,-1.13
21.23,-1.14
21.44,-1.15
21.66,-1.16
21.87,-1.17
22.09,-1.18
22.31,-1.20
22.54,-1.20
22.76,-1.20
22.99,-1.21
23.22,-1.22
23.45,-1.23
23.69,-1.24
23.92,-1.24
24.16,-1.26
24.40,-1.26
24.65,-1.27
24.89,-1.27
25.14,-1.28
25.39,-1.28
25.65,-1.28
25.91,-1.28
26.16,-1.29
26.43,-1.29
26.69,-1.30
26.96,-1.30
27.23,-1.30
27.50,-1.30
27.77,-1.31
28.05,-1.31
28.33,-1.33
28.62,-1.34
28.90,-1.34
29.19,-1.35
29.48,-1.36
29.78,-1.37
30.08,-1.37
30.38,-1.39
30.68,-1.40
30.99,-1.41
31.30,-1.43
31.61,-1.44
31.93,-1.45
32.24,-1.47
32.57,-1.48
32.89,-1.49
33.22,-1.50
33.55,-1.50
33.89,-1.51
34.23,-1.52
34.57,-1.53
34.92,-1.53
35.27,-1.54
35.62,-1.54
35.97,-1.54
36.33,-1.55
36.70,-1.54
37.06,-1.55
37.43,-1.55
37.81,-1.55
38.19,-1.56
38.57,-1.56
38.95,-1.55
39.34,-1.54
39.74,-1.53
40.14,-1.51
40.54,-1.50
40.94,-1.48
41.35,-1.48
41.76,-1.46
42.18,-1.45
42.60,-1.44
43.03,-1.42
43.46,-1.40
43.90,-1.38
44.33,-1.35
44.78,-1.33
45.23,-1.31
45.68,-1.29
46.13,-1.26
46.60,-1.24
47.06,-1.22
47.53,-1.20
48.01,-1.19
48.49,-1.18
48.97,-1.17
49.46,-1.16
49.96,-1.14
50.46,-1.14
50.96,-1.13
51.47,-1.12
51.99,-1.10
52.51,-1.09
53.03,-1.07
53.56,-1.04
54.10,-1.02
54.64,-1.00
55.18,-0.97
55.74,-0.96
56.29,-0.93
56.86,-0.91
57.42,-0.89
58.00,-0.87
58.58,-0.84
59.16,-0.80
59.76,-0.77
60.35,-0.74
60.96,-0.70
61.57,-0.68
62.18,-0.65
62.80,-0.62
63.43,-0.60
64.07,-0.58
64.71,-0.56
65.35,-0.55
66.01,-0.55
66.67,-0.56
67.33,-0.58
68.01,-0.61
68.69,-0.61
69.37,-0.62
70.07,-0.63
70.77,-0.63
71.48,-0.64
72.19,-0.64
72.91,-0.63
73.64,-0.62
74.38,-0.61
75.12,-0.59
75.87,-0.57
76.63,-0.55
77.40,-0.53
78.17,-0.51
78.95,-0.49
79.74,-0.47
80.54,-0.46
81.35,-0.45
82.16,-0.45
82.98,-0.45
83.81,-0.46
84.65,-0.46
85.50,-0.47
86.35,-0.48
87.22,-0.49
88.09,-0.49
88.97,-0.49
89.86,-0.49
90.76,-0.49
91.66,-0.47
92.58,-0.46
93.51,-0.42
94.44,-0.40
95.39,-0.37
96.34,-0.32
97.30,-0.28
98.28,-0.25
99.26,-0.20
100.25,-0.17
101.25,-0.13
102.27,-0.12
103.29,-0.10
104.32,-0.07
105.37,-0.04
106.42,-0.02
107.48,0.01
108.56,0.03
109.64,0.03
110.74,0.03
111.85,0.02
112.97,0.03
114.10,0.03
115.24,0.03
116.39,0.03
117.55,0.02
118.73,0.02
119.92,0.01
121.12,0.00
122.33,-0.01
123.55,-0.02
124.79,-0.04
126.03,-0.05
127.29,-0.06
128.57,-0.08
129.85,-0.09
131.15,-0.10
132.46,-0.11
133.79,-0.12
135.12,-0.13
136.48,-0.14
137.84,-0.14
139.22,-0.15
140.61,-0.15
142.02,-0.16
143.44,-0.16
144.87,-0.16
146.32,-0.16
147.78,-0.16
149.26,-0.16
150.75,-0.15
152.26,-0.15
153.78,-0.16
155.32,-0.17
156.88,-0.19
158.44,-0.20
160.03,-0.24
161.63,-0.26
163.24,-0.29
164.88,-0.35
166.53,-0.37
168.19,-0.40
169.87,-0.45
171.57,-0.48
173.29,-0.49
175.02,-0.52
176.77,-0.54
178.54,-0.55
180.32,-0.57
182.13,-0.59
183.95,-0.62
185.79,-0.65
187.65,-0.68
189.52,-0.73
191.42,-0.78
193.33,-0.80
195.27,-0.84
197.22,-0.87
199.19,-0.90
201.18,-0.95
203.19,-0.98
205.23,-1.02
207.28,-1.07
209.35,-1.09
211.44,-1.11
213.56,-1.14
215.69,-1.17
217.85,-1.22
220.03,-1.25
222.23,-1.29
224.45,-1.35
226.70,-1.39
228.96,-1.44
231.25,-1.47
233.57,-1.49
235.90,-1.51
238.26,-1.52
240.64,-1.53
243.05,-1.55
245.48,-1.57
247.93,-1.61
250.41,-1.63
252.92,-1.65
255.45,-1.66
258.00,-1.68
260.58,-1.70
263.19,-1.73
265.82,-1.77
268.48,-1.79
271.16,-1.81
273.87,-1.83
276.61,-1.85
279.38,-1.85
282.17,-1.83
284.99,-1.81
287.84,-1.79
290.72,-1.77
293.63,-1.78
296.57,-1.79
299.53,-1.80
302.53,-1.82
305.55,-1.83
308.61,-1.85
311.69,-1.88
314.81,-1.89
317.96,-1.91
321.14,-1.93
324.35,-1.95
327.59,-1.98
330.87,-2.01
334.18,-2.03
337.52,-2.07
340.90,-2.08
344.30,-2.09
347.75,-2.10
351.23,-2.14
354.74,-2.18
358.28,-2.23
361.87,-2.28
365.49,-2.33
369.14,-2.36
372.83,-2.40
376.56,-2.44
380.33,-2.48
384.13,-2.51
387.97,-2.55
391.85,-2.59
395.77,-2.64
399.73,-2.69
403.72,-2.75
407.76,-2.80
411.84,-2.85
415.96,-2.88
420.12,-2.93
424.32,-2.97
428.56,-3.01
432.85,-3.07
437.18,-3.13
441.55,-3.16
445.96,-3.20
