frequency,raw
20.00,-15.44
20.20,-15.40
20.40,-15.37
20.61,-15.33
20.81,-15.29
21.02,-15.25
21.23,-15.21
21.44,-15.17
21.66,-15.13
21.87,-15.08
22.09,-15.04
22.31,-14.99
22.54,-14.94
22.76,-14.88
22.99,-14.83
23.22,-14.78
23.45,-14.73
23.69,-14.67
23.92,-14.61
24.16,-14.56
24.40,-14.50
24.65,-14.44
24.89,-14.37
25.14,-14.31
25.39,-14.25
25.65,-14.17
25.91,-14.11
26.16,-14.04
26.43,-13.96
26.69,-13.90
26.96,-13.82
27.23,-13.75
27.50,-13.66
27.77,-13.59
28.05,-13.51
28.33,-13.44
28.62,-13.36
28.90,-13.28
29.19,-13.20
29.48,-13.12
29.78,-13.04
30.08,-12.95
30.38,-12.87
30.68,-12.78
30.99,-12.70
31.30,-12.61
31.61,-12.52
31.93,-12.43
32.24,-12.33
32.57,-12.23
32.89,-12.12
33.22,-12.02
33.55,-11.92
33.89,-11.81
34.23,-11.71
34.57,-11.60
34.92,-11.49
35.27,-11.38
35.62,-11.25
35.97,-11.14
36.33,-11.03
36.70,-10.90
37.06,-10.79
37.43,-10.66
37.81,-10.53
38.19,-10.41
38.57,-10.28
38.95,-10.14
39.34,-10.00
39.74,-9.87
40.14,-9.73
40.54,-9.60
40.94,-9.45
41.35,-9.32
41.76,-9.19
42.18,-9.06
42.60,-8.93
43.03,-8.79
43.46,-8.68
43.90,-8.56
44.33,-8.44
44.78,-8.32
45.23,-8.20
45.68,-8.08
46.13,-7.97
46.60,-7.87
47.06,-7.76
47.53,-7.65
48.01,-7.54
48.49,-7.44
48.97,-7.36
49.46,-7.26
49.96,-7.16
50.46,-7.08
50.96,-7.00
51.47,-6.91
51.99,-6.82
52.51,-6.75
53.03,-6.67
53.56,-6.59
54.10,-6.52
54.64,-6.45
55.18,-6.37
55.74,-6.29
56.29,-6.21
56.86,-6.14
57.42,-6.06
58.00,-5.98
58.58,-5.91
59.16,-5.82
59.76,-5.75
60.35,-5.67
60.96,-5.58
61.57,-5.51
62.18,-5.43
62.80,-5.34
63.43,-5.27
64.07,-5.19
64.71,-5.12
65.35,-5.04
66.01,-4.98
66.67,-4.91
67.33,-4.83
68.01,-4.77
68.69,-4.70
69.37,-4.65
70.07,-4.59
70.77,-4.53
71.48,-4.49
72.19,-4.43
72.91,-4.38
73.64,-4.32
74.38,-4.27
75.12,-4.21
75.87,-4.15
76.63,-4.11
77.40,-4.06
78.17,-4.03
78.95,-3.99
79.74,-3.95
80.54,-3.91
81.35,-3.87
82.16,-3.84
82.98,-3.81
83.81,-3.79
84.65,-3.77
85.50,-3.76
86.35,-3.74
87.22,-3.73
88.09,-3.73
88.97,-3.73
89.86,-3.73
90.76,-3.72
91.66,-3.69
92.58,-3.68
93.51,-3.66
94.44,-3.66
95.39,-3.65
96.34,-3.63
97.30,-3.60
98.28,-3.57
99.26,-3.52
100.25,-3.47
101.25,-3.40
102.27,-3.34
103.29,-3.31
104.32,-3.26
105.37,-3.18
106.42,-3.12
107.48,-3.06
108.56,-3.00
109.64,-2.93
110.74,-2.85
111.85,-2.78
112.97,-2.71
114.10,-2.67
115.24,-2.62
116.39,-2.60
117.55,-2.56
118.73,-2.50
119.92,-2.45
121.12,-2.42
122.33,-2.40
123.55,-2.36
124.79,-2.33
126.03,-2.28
127.29,-2.27
128.57,-2.27
129.85,-2.25
131.15,-2.25
132.46,-2.25
133.79,-2.24
135.12,-2.24
136.48,-2.24
137.84,-2.22
139.22,-2.22
140.61,-2.20
142.02,-2.17
143.44,-2.15
144.87,-2.11
146.32,-2.08
147.78,-2.05
149.26,-2.03
150.75,-2.00
152.26,-1.98
153.78,-1.96
155.32,-1.96
156.88,-1.95
158.44,-1.95
160.03,-1.95
161.63,-1.94
163.24,-1.92
164.88,-1.90
166.53,-1.87
168.19,-1.84
169.87,-1.80
171.57,-1.79
173.29,-1.77
175.02,-1.74
176.77,-1.72
178.54,-1.71
180.32,-1.69
182.13,-1.67
183.95,-1.64
185.79,-1.62
187.65,-1.61
189.52,-1.61
191.42,-1.59
193.33,-1.55
195.27,-1.53
197.22,-1.51
199.19,-1.49
201.18,-1.48
203.19,-1.46
205.23,-1.44
207.28,-1.45
209.35,-1.46
211.44,-1.47
213.56,-1.48
215.69,-1.48
217.85,-1.50
220.03,-1.51
222.23,-1.51
224.45,-1.50
226.70,-1.48
228.96,-1.45
231.25,-1.43
233.57,-1.40
235.90,-1.35
238.26,-1.32
240.64,-1.28
243.05,-1.23
245.48,-1.19
247.93,-1.15
250.41,-1.12
252.92,-1.08
255.45,-1.06
258.00,-1.05
260.58,-1.04
263.19,-1.05
265.82,-1.04
268.48,-1.04
271.16,-1.02
273.87,-1.01
276.61,-1.02
279.38,-1.02
282.17,-1.03
284.99,-1.04
287.84,-1.07
290.72,-1.08
293.63,-1.11
296.57,-1.13
299.53,-1.15
302.53,-1.18
305.55,-1.19
308.61,-1.21
311.69,-1.22
314.81,-1.22
317.96,-1.23
321.14,-1.22
324.35,-1.20
327.59,-1.18
330.87,-1.18
334.18,-1.17
337.52,-1.17
340.90,-1.17
344.30,-1.17
347.75,-1.16
351.23,-1.16
354.74,-1.16
358.28,-1.16
361.87,-1.15
365.49,-1.14
369.14,-1.13
372.83,-1.14
376.56,-1.14
380.33,-1.15
384.13,-1.17
387.97,-1.19
391.85,-1.21
395.77,-1.23
399.73,-1.25
403.72,-1.28
407.76,-1.31
411.84,-1.34
415.96,-1.38
420.12,-1.42
424.32,-1.45
428.56,-1.48
432.85,-1.51
437.18,-1.52
441.55,-1.52
445.96,-1.51
450.42,-1.54
454.93,-1.55
459.48,-1.57
464.07,-1.59
468.71,-1.62
473.40,-1.64
478.13,-1.66
482.91,-1.67
487.74,-1.68
492.62,-1.70
497.55,-1.72
502.52,-1.73
507.55,-1.74
512.62,-1.76
517.75,-1.76
522.93,-1.78
528.16,-1.78
533.44,-1.79
538.77,-1.81
544.16,-1.83
549.60,-1.86
555.10,-1.88
560.65,-1.90
566.25,-1.94
571.92,-1.98
577.64,-2.01
583.41,-2.05
589.25,-2.08
595.14,-2.13
601.09,-2.17
607.10,-2.21
613.17,-2.25
619.30,-2.29
625.50,-2.32
631.75,-2.38
638.07,-2.42
644.45,-2.47
650.89,-2.52
657.40,-2.58
663.98,-2.65
670.62,-2.70
677.32,-2.75
684.10,-2.80
690.94,-2.83
697.85,-2.85
704.83,-2.85
711.87,-2.83
718.99,-2.83
726.18,-2.81
733.44,-2.78
740.78,-2.74
748.19,-2.71
755.67,-2.66
763.23,-2.59
770.86,-2.52
778.57,-2.44
786.35,-2.36
794.22,-2.29
802.16,-2.22
810.18,-2.16
818.28,-2.10
826.46,-2.03
834.73,-1.94
843.08,-1.84
851.51,-1.74
860.02,-1.64
868.62,-1.55
877.31,-1.46
886.08,-1.37
894.94,-1.28
903.89,-1.20
912.93,-1.10
922.06,-1.01
931.28,-0.91
940.59,-0.83
950.00,-0.74
959.50,-0.65
969.09,-0.56
978.78,-0.48
988.57,-0.40
998.46,-0.31
1008.44,-0.21
1018.53,-0.12
1028.71,-0.04
1039.00,0.05
1049.39,0.13
1059.88,0.20
1070.48,0.28
1081.19,0.37
1092.00,0.47
1102.92,0.56
1113.95,0.63
1125.09,0.71
1136.34,0.78
1147.70,0.84
1159.18,0.92
1170.77,1.02
1182.48,1.10
1194.30,1.19
1206.25,1.28
1218.31,1.38
1230.49,1.46
1242.80,1.57
1255.22,1.67
1267.78,1.78
1280.45,1.90
1293.26,2.01
1306.19,2.13
1319.25,2.23
1332.45,2.34
1345.77,2.45
1359.23,2.55
1372.82,2.66
1386.55,2.77
1400.41,2.89
1414.42,3.01
1428.56,3.14
1442.85,3.26
1457.28,3.39
1471.85,3.52
1486.57,3.67
1501.43,3.81
1516.45,3.98
1531.61,4.14
1546.93,4.32
1562.40,4.49
1578.02,4.66
1593.80,4.83
1609.74,5.01
1625.84,5.22
1642.10,5.41
1658.52,5.63
1675.10,5.83
1691.85,6.06
1708.77,6.30
1725.86,6.53
1743.12,6.76
1760.55,6.99
1778.15,7.23
1795.94,7.46
1813.90,7.69
1832.03,7.93
1850.36,8.16
1868.86,8.37
1887.55,8.58
1906.42,8.79
1925.49,8.99
1944.74,9.19
1964.19,9.38
1983.83,9.56
2003.67,9.73
2023.71,9.89
2043.94,10.05
2064.38,10.18
2085.03,10.31
2105.88,10.43
2126.94,10.53
2148.20,10.64
2169.69,10.71
2191.38,10.78
2213.30,10.83
2235.43,10.88
2257.78,10.91
2280.36,10.93
2303.17,10.95
2326.20,10.97
2349.46,10.99
2372.95,11.00
2396.68,10.99
2420.65,10.96
2444.86,10.94
2469.31,10.90
2494.00,10.85
2518.94,10.79
2544.13,10.73
2569.57,10.65
2595.27,10.54
2621.22,10.42
2647.43,10.29
2673.90,10.14
2700.64,9.99
2727.65,9.81
2754.93,9.63
2782.48,9.43
2810.30,9.24
2838.40,9.06
2866.79,8.87
2895.46,8.69
2924.41,8.49
2953.65,8.28
2983.19,8.08
3013.02,7.89
3043.15,7.70
3073.58,7.49
3104.32,7.30
3135.36,7.12
3166.72,6.93
3198.38,6.77
3230.37,6.60
3262.67,6.44
3295.30,6.28
3328.25,6.12
3361.53,5.98
3395.15,5.83
3429.10,5.70
3463.39,5.56
3498.03,5.44
3533.01,5.32
3568.34,5.21
3604.02,5.10
3640.06,5.02
3676.46,4.93
3713.22,4.85
3750.36,4.78
3787.86,4.73
3825.74,4.69
3864.00,4.68
3902.64,4.69
3941.66,4.71
3981.08,4.73
4020.89,4.77
4061.10,4.82
4101.71,4.87
4142.73,4.93
4184.15,4.99
4226.00,5.05
4268.26,5.09
4310.94,5.15
4354.05,5.21
4397.59,5.27
4441.56,5.34
4485.98,5.40
4530.84,5.45
4576.15,5.50
4621.91,5.57
4668.13,5.65
4714.81,5.76
4761.96,5.87
4809.58,5.98
4857.67,6.11
4906.25,6.25
4955.31,6.42
5004.87,6.60
5054.91,6.80
5105.46,7.00
5156.52,7.20
5208.08,7.43
5260.16,7.67
5312.77,7.92
5365.89,8.19
5419.55,8.45
5473.75,8.70
5528.49,8.94
5583.77,9.19
5639.61,9.43
5696.00,9.64
5752.96,9.83
5810.49,9.99
5868.60,10.15
5927.28,10.30
5986.56,10.43
6046.42,10.55
6106.89,10.67
6167.96,10.77
6229.64,10.88
6291.93,10.96
6354.85,11.04
6418.40,11.12
6482.58,11.18
6547.41,11.24
6612.88,11.27
6679.01,11.29
6745.80,11.31
6813.26,11.31
6881.39,11.27
6950.21,11.21
7019.71,11.13
7089.91,11.05
7160.81,10.95
7232.41,10.84
7304.74,10.73
7377.79,10.62
7451.56,10.51
7526.08,10.40
7601.34,10.28
7677.35,10.16
7754.13,10.03
7831.67,9.87
7909.98,9.68
7989.08,9.43
8068.98,9.08
8149.67,8.66
8231.16,8.13
8313.47,7.49
8396.61,6.74
8480.57,5.87
8565.38,4.92
8651.03,3.90
8737.54,2.82
8824.92,1.73
8913.17,0.66
9002.30,-0.36
9092.32,-1.31
9183.25,-2.14
9275.08,-2.84
9367.83,-3.38
9461.51,-3.76
9556.12,-3.98
9651.68,-4.04
9748.20,-3.98
9845.68,-3.80
9944.14,-3.54
10043.58,-3.25
10144.02,-2.95
10245.46,-2.66
10347.91,-2.42
10451.39,-2.25
10555.91,-2.15
10661.46,-2.12
10768.08,-2.15
10875.76,-2.24
10984.52,-2.40
11094.36,-2.57
11205.31,-2.76
11317.36,-2.95
11430.53,-3.12
11544.84,-3.27
11660.29,-3.37
11776.89,-3.42
11894.66,-3.41
12013.60,-3.38
12133.74,-3.33
12255.08,-3.27
12377.63,-3.23
12501.41,-3.22
12626.42,-3.24
12752.68,-3.33
12880.21,-3.46
13009.01,-3.62
13139.10,-3.78
13270.49,-3.95
13403.20,-4.12
13537.23,-4.27
13672.60,-4.43
13809.33,-4.60
13947.42,-4.76
14086.90,-4.92
14227.77,-5.03
14370.04,-5.09
14513.74,-5.11
14658.88,-5.08
14805.47,-4.98
14953.52,-4.82
15103.06,-4.62
15254.09,-4.39
15406.63,-4.14
15560.70,-3.88
15716.30,-3.65
15873.47,-3.44
16032.20,-3.26
16192.52,-3.13
16354.45,-3.07
16517.99,-3.07
16683.17,-3.14
16850.01,-3.30
17018.51,-3.52
17188.69,-3.81
17360.58,-4.18
17534.18,-4.60
17709.53,-5.08
17886.62,-5.59
18065.49,-6.05
18246.14,-6.56
18428.60,-7.10
18612.89,-7.68
18799.02,-8.29
18987.01,-8.94
19176.88,-9.62
19368.65,-10.33
19562.33,-11.08
19757.96,-11.87
19955.54,-12.69
