frequency,raw
20.00,-22.16
20.20,-22.05
20.40,-21.95
20.61,-21.84
20.81,-21.73
21.02,-21.62
21.23,-21.51
21.44,-21.40
21.66,-21.29
21.87,-21.17
22.09,-21.06
22.31,-20.95
22.54,-20.82
22.76,-20.70
22.99,-20.59
23.22,-20.46
23.45,-20.35
23.69,-20.22
23.92,-20.09
24.16,-19.98
24.40,-19.85
24.65,-19.73
24.89,-19.60
25.14,-19.47
25.39,-19.35
25.65,-19.21
25.91,-19.08
26.16,-18.95
26.43,-18.82
26.69,-18.69
26.96,-18.56
27.23,-18.43
27.50,-18.29
27.77,-18.17
28.05,-18.03
28.33,-17.91
28.62,-17.78
28.90,-17.65
29.19,-17.52
29.48,-17.39
29.78,-17.26
30.08,-17.13
30.38,-17.02
30.68,-16.90
30.99,-16.78
31.30,-16.65
31.61,-16.52
31.93,-16.40
32.24,-16.27
32.57,-16.14
32.89,-16.00
33.22,-15.88
33.55,-15.75
33.89,-15.62
34.23,-15.50
34.57,-15.37
34.92,-15.25
35.27,-15.11
35.62,-14.97
35.97,-14.84
36.33,-14.72
36.70,-14.58
37.06,-14.46
37.43,-14.33
37.81,-14.20
38.19,-14.08
38.57,-13.95
38.95,-13.82
39.34,-13.70
39.74,-13.58
40.14,-13.45
40.54,-13.34
40.94,-13.22
41.35,-13.11
41.76,-13.00
42.18,-12.91
42.60,-12.80
43.03,-12.70
43.46,-12.61
43.90,-12.51
44.33,-12.42
44.78,-12.34
45.23,-12.25
45.68,-12.16
46.13,-12.08
46.60,-12.00
47.06,-11.92
47.53,-11.84
48.01,-11.77
48.49,-11.68
48.97,-11.60
49.46,-11.52
49.96,-11.44
50.46,-11.36
50.96,-11.28
51.47,-11.18
51.99,-11.09
52.51,-11.01
53.03,-10.91
53.56,-10.82
54.10,-10.72
54.64,-10.61
55.18,-10.49
55.74,-10.38
56.29,-10.26
56.86,-10.14
57.42,-10.01
58.00,-9.88
58.58,-9.74
59.16,-9.59
59.76,-9.45
60.35,-9.32
60.96,-9.17
61.57,-9.04
62.18,-8.90
62.80,-8.78
63.43,-8.64
64.07,-8.51
64.71,-8.38
65.35,-8.25
66.01,-8.15
66.67,-8.04
67.33,-7.93
68.01,-7.83
68.69,-7.73
69.37,-7.64
70.07,-7.56
70.77,-7.48
71.48,-7.41
72.19,-7.33
72.91,-7.26
73.64,-7.20
74.38,-7.13
75.12,-7.05
75.87,-6.98
76.63,-6.91
77.40,-6.83
78.17,-6.76
78.95,-6.70
79.74,-6.65
80.54,-6.60
81.35,-6.54
82.16,-6.49
82.98,-6.44
83.81,-6.39
84.65,-6.35
85.50,-6.33
86.35,-6.30
87.22,-6.28
88.09,-6.25
88.97,-6.22
89.86,-6.19
90.76,-6.15
91.66,-6.12
92.58,-6.10
93.51,-6.08
94.44,-6.06
95.39,-6.02
96.34,-5.98
97.30,-5.93
98.28,-5.90
99.26,-5.87
100.25,-5.82
101.25,-5.77
102.27,-5.72
103.29,-5.70
104.32,-5.66
105.37,-5.61
106.42,-5.56
107.48,-5.51
108.56,-5.45
109.64,-5.39
110.74,-5.32
111.85,-5.26
112.97,-5.20
114.10,-5.15
115.24,-5.10
116.39,-5.08
117.55,-5.05
118.73,-4.99
119.92,-4.94
121.12,-4.91
122.33,-4.89
123.55,-4.86
124.79,-4.82
126.03,-4.78
127.29,-4.77
128.57,-4.76
129.85,-4.75
131.15,-4.73
132.46,-4.71
133.79,-4.68
135.12,-4.64
136.48,-4.62
137.84,-4.58
139.22,-4.57
140.61,-4.54
142.02,-4.51
143.44,-4.49
144.87,-4.45
146.32,-4.43
147.78,-4.40
149.26,-4.40
150.75,-4.38
152.26,-4.38
153.78,-4.38
155.32,-4.39
156.88,-4.41
158.44,-4.42
160.03,-4.42
161.63,-4.41
163.24,-4.40
164.88,-4.38
166.53,-4.36
168.19,-4.33
169.87,-4.29
171.57,-4.27
173.29,-4.24
175.02,-4.21
176.77,-4.18
178.54,-4.17
180.32,-4.16
182.13,-4.15
183.95,-4.14
185.79,-4.16
187.65,-4.17
189.52,-4.20
191.42,-4.21
193.33,-4.20
195.27,-4.20
197.22,-4.18
199.19,-4.15
201.18,-4.13
203.19,-4.10
205.23,-4.06
207.28,-4.02
209.35,-3.98
211.44,-3.96
213.56,-3.94
215.69,-3.94
217.85,-3.96
220.03,-3.97
222.23,-4.00
224.45,-4.04
226.70,-4.07
228.96,-4.12
231.25,-4.14
233.57,-4.15
235.90,-4.17
238.26,-4.19
240.64,-4.22
243.05,-4.24
245.48,-4.26
247.93,-4.29
250.41,-4.30
252.92,-4.33
255.45,-4.34
258.00,-4.37
260.58,-4.40
263.19,-4.42
265.82,-4.45
268.48,-4.47
271.16,-4.47
273.87,-4.48
276.61,-4.49
279.38,-4.47
282.17,-4.45
284.99,-4.43
287.84,-4.39
290.72,-4.34
293.63,-4.30
296.57,-4.26
299.53,-4.22
302.53,-4.18
305.55,-4.12
308.61,-4.08
311.69,-4.04
314.81,-4.01
317.96,-3.99
321.14,-3.96
324.35,-3.93
327.59,-3.92
330.87,-3.93
334.18,-3.93
337.52,-3.96
340.90,-3.96
344.30,-3.95
347.75,-3.93
351.23,-3.92
354.74,-3.89
358.28,-3.86
361.87,-3.83
365.49,-3.80
369.14,-3.76
372.83,-3.73
376.56,-3.68
380.33,-3.66
384.13,-3.63
387.97,-3.61
391.85,-3.58
395.77,-3.56
399.73,-3.55
403.72,-3.55
407.76,-3.55
411.84,-3.55
415.96,-3.54
420.12,-3.53
424.32,-3.52
428.56,-3.50
432.85,-3.49
437.18,-3.47
441.55,-3.45
445.96,-3.43
450.42,-3.42
454.93,-3.40
459.48,-3.38
464.07,-3.36
468.71,-3.35
473.40,-3.33
478.13,-3.32
482.91,-3.30
487.74,-3.29
492.62,-3.28
497.55,-3.27
502.52,-3.26
507.55,-3.25
512.62,-3.25
517.75,-3.24
522.93,-3.24
528.16,-3.23
533.44,-3.23
538.77,-3.23
544.16,-3.23
549.60,-3.24
555.10,-3.25
560.65,-3.25
566.25,-3.25
571.92,-3.24
577.64,-3.21
583.41,-3.20
589.25,-3.17
595.14,-3.14
601.09,-3.09
607.10,-3.04
613.17,-3.00
619.30,-2.96
625.50,-2.91
631.75,-2.88
638.07,-2.83
644.45,-2.80
650.89,-2.79
657.40,-2.78
663.98,-2.80
670.62,-2.82
677.32,-2.83
684.10,-2.84
690.94,-2.83
697.85,-2.81
704.83,-2.79
711.87,-2.75
718.99,-2.73
726.18,-2.69
733.44,-2.63
740.78,-2.58
748.19,-2.53
755.67,-2.47
763.23,-2.41
770.86,-2.37
778.57,-2.30
786.35,-2.23
794.22,-2.17
802.16,-2.11
810.18,-2.04
818.28,-1.98
826.46,-1.90
834.73,-1.84
843.08,-1.76
851.51,-1.68
860.02,-1.58
868.62,-1.49
877.31,-1.39
886.08,-1.30
894.94,-1.21
903.89,-1.14
912.93,-1.06
922.06,-1.00
931.28,-0.93
940.59,-0.85
950.00,-0.75
959.50,-0.66
969.09,-0.56
978.78,-0.47
988.57,-0.39
998.46,-0.31
1008.44,-0.23
1018.53,-0.16
1028.71,-0.09
1039.00,-0.01
1049.39,0.07
1059.88,0.13
1070.48,0.19
1081.19,0.24
1092.00,0.28
1102.92,0.31
1113.95,0.34
1125.09,0.39
1136.34,0.43
1147.70,0.47
1159.18,0.51
1170.77,0.56
1182.48,0.60
1194.30,0.65
1206.25,0.71
1218.31,0.78
1230.49,0.83
1242.80,0.91
1255.22,0.96
1267.78,1.00
1280.45,1.06
1293.26,1.10
1306.19,1.15
1319.25,1.20
1332.45,1.23
1345.77,1.27
1359.23,1.29
1372.82,1.31
1386.55,1.32
1400.41,1.34
1414.42,1.33
1428.56,1.33
1442.85,1.32
1457.28,1.33
1471.85,1.32
1486.57,1.32
1501.43,1.30
1516.45,1.28
1531.61,1.25
