frequency,raw
20.00,-31.71
20.20,-31.61
20.40,-31.53
20.61,-31.43
20.81,-31.33
21.02,-31.24
21.23,-31.14
21.44,-31.04
21.66,-30.94
21.87,-30.84
22.09,-30.74
22.31,-30.64
22.54,-30.53
22.76,-30.42
22.99,-30.32
23.22,-30.21
23.45,-30.10
23.69,-29.99
23.92,-29.88
24.16,-29.78
24.40,-29.66
24.65,-29.55
24.89,-29.44
25.14,-29.32
25.39,-29.21
25.65,-29.09
25.91,-28.98
26.16,-28.86
26.43,-28.74
26.69,-28.62
26.96,-28.49
27.23,-28.38
27.50,-28.26
27.77,-28.14
28.05,-28.02
28.33,-27.91
28.62,-27.80
28.90,-27.67
29.19,-27.56
29.48,-27.44
29.78,-27.32
30.08,-27.20
30.38,-27.10
30.68,-26.99
30.99,-26.88
31.30,-26.76
31.61,-26.64
31.93,-26.52
32.24,-26.41
32.57,-26.29
32.89,-26.16
33.22,-26.04
33.55,-25.91
33.89,-25.79
34.23,-25.67
34.57,-25.55
34.92,-25.42
35.27,-25.30
35.62,-25.17
35.97,-25.05
36.33,-24.94
36.70,-24.81
37.06,-24.70
37.43,-24.58
37.81,-24.46
38.19,-24.36
38.57,-24.24
38.95,-24.11
39.34,-23.99
39.74,-23.88
40.14,-23.76
40.54,-23.65
40.94,-23.53
41.35,-23.42
41.76,-23.31
42.18,-23.21
42.60,-23.11
43.03,-23.00
43.46,-22.90
43.90,-22.80
44.33,-22.69
44.78,-22.60
45.23,-22.50
45.68,-22.39
46.13,-22.29
46.60,-22.22
47.06,-22.13
47.53,-22.03
48.01,-21.93
48.49,-21.83
48.97,-21.75
49.46,-21.66
49.96,-21.57
50.46,-21.49
50.96,-21.40
51.47,-21.30
51.99,-21.20
52.51,-21.11
53.03,-21.01
53.56,-20.91
54.10,-20.80
54.64,-20.70
55.18,-20.58
55.74,-20.47
56.29,-20.36
56.86,-20.26
57.42,-20.15
58.00,-20.03
58.58,-19.91
59.16,-19.78
59.76,-19.68
60.35,-19.57
60.96,-19.44
61.57,-19.32
62.18,-19.20
62.80,-19.09
63.43,-18.99
64.07,-18.89
64.71,-18.78
65.35,-18.68
66.01,-18.60
66.67,-18.53
67.33,-18.45
68.01,-18.38
68.69,-18.31
69.37,-18.25
70.07,-18.19
70.77,-18.14
71.48,-18.10
72.19,-18.04
72.91,-17.98
73.64,-17.93
74.38,-17.88
75.12,-17.81
75.87,-17.75
76.63,-17.69
77.40,-17.62
78.17,-17.56
78.95,-17.49
79.74,-17.42
80.54,-17.35
81.35,-17.28
82.16,-17.20
82.98,-17.13
83.81,-17.08
84.65,-17.01
85.50,-16.95
86.35,-16.88
87.22,-16.82
88.09,-16.76
88.97,-16.70
89.86,-16.64
90.76,-16.57
91.66,-16.50
92.58,-16.44
93.51,-16.38
94.44,-16.32
95.39,-16.25
96.34,-16.18
97.30,-16.10
98.28,-16.03
99.26,-15.95
100.25,-15.87
101.25,-15.78
102.27,-15.72
103.29,-15.68
104.32,-15.62
105.37,-15.53
106.42,-15.45
107.48,-15.37
108.56,-15.29
109.64,-15.21
110.74,-15.12
111.85,-15.03
112.97,-14.95
114.10,-14.89
115.24,-14.82
116.39,-14.79
117.55,-14.74
118.73,-14.67
119.92,-14.61
121.12,-14.55
122.33,-14.53
123.55,-14.49
124.79,-14.45
126.03,-14.40
127.29,-14.38
128.57,-14.35
129.85,-14.30
131.15,-14.23
132.46,-14.20
133.79,-14.13
135.12,-14.07
136.48,-14.04
137.84,-14.00
139.22,-13.97
140.61,-13.91
142.02,-13.84
143.44,-13.80
144.87,-13.74
146.32,-13.71
147.78,-13.68
149.26,-13.65
150.75,-13.61
152.26,-13.57
153.78,-13.54
155.32,-13.50
156.88,-13.44
158.44,-13.39
160.03,-13.33
161.63,-13.30
163.24,-13.27
164.88,-13.24
166.53,-13.21
168.19,-13.18
169.87,-13.13
171.57,-13.09
173.29,-13.05
175.02,-13.00
176.77,-12.98
178.54,-12.98
180.32,-12.98
182.13,-12.97
183.95,-12.93
185.79,-12.90
187.65,-12.88
189.52,-12.87
191.42,-12.84
193.33,-12.81
195.27,-12.80
197.22,-12.78
199.19,-12.75
201.18,-12.74
203.19,-12.71
205.23,-12.69
207.28,-12.67
209.35,-12.64
211.44,-12.62
213.56,-12.59
215.69,-12.56
217.85,-12.55
220.03,-12.53
222.23,-12.50
224.45,-12.46
226.70,-12.41
228.96,-12.38
231.25,-12.36
233.57,-12.32
235.90,-12.29
238.26,-12.28
240.64,-12.26
243.05,-12.26
245.48,-12.26
247.93,-12.28
250.41,-12.27
252.92,-12.25
255.45,-12.22
258.00,-12.21
260.58,-12.17
263.19,-12.14
265.82,-12.09
268.48,-12.06
271.16,-12.02
273.87,-11.96
276.61,-11.93
279.38,-11.90
282.17,-11.87
284.99,-11.84
287.84,-11.81
290.72,-11.78
293.63,-11.78
296.57,-11.78
299.53,-11.77
302.53,-11.75
305.55,-11.73
308.61,-11.72
311.69,-11.71
314.81,-11.71
317.96,-11.73
321.14,-11.74
324.35,-11.76
327.59,-11.79
330.87,-11.82
334.18,-11.84
337.52,-11.88
340.90,-11.91
344.30,-11.94
347.75,-11.96
351.23,-11.98
354.74,-12.00
358.28,-12.01
361.87,-12.02
365.49,-12.01
369.14,-12.00
372.83,-11.99
376.56,-11.98
380.33,-11.98
384.13,-11.98
387.97,-11.98
391.85,-11.96
395.77,-11.95
399.73,-11.94
403.72,-11.95
407.76,-11.95
411.84,-11.95
415.96,-11.97
420.12,-11.99
424.32,-12.01
428.56,-12.02
432.85,-12.05
437.18,-12.06
441.55,-12.08
445.96,-12.09
450.42,-12.11
454.93,-12.11
459.48,-12.11
464.07,-12.10
468.71,-12.09
473.40,-12.06
478.13,-12.04
482.91,-12.02
487.74,-12.01
