frequency,raw
20.00,-26.69
20.20,-26.66
20.40,-26.65
20.61,-26.62
20.81,-26.59
21.02,-26.56
21.23,-26.53
21.44,-26.50
21.66,-26.47
21.87,-26.44
22.09,-26.41
22.31,-26.37
22.54,-26.33
22.76,-26.29
22.99,-26.25
23.22,-26.21
23.45,-26.17
23.69,-26.12
23.92,-26.08
24.16,-26.04
24.40,-25.99
24.65,-25.94
24.89,-25.89
25.14,-25.84
25.39,-25.79
25.65,-25.72
25.91,-25.67
26.16,-25.62
26.43,-25.56
26.69,-25.50
26.96,-25.44
27.23,-25.38
27.50,-25.31
27.77,-25.25
28.05,-25.18
28.33,-25.12
28.62,-25.06
28.90,-24.99
29.19,-24.93
29.48,-24.86
29.78,-24.80
30.08,-24.72
30.38,-24.66
30.68,-24.58
30.99,-24.50
31.30,-24.42
31.61,-24.34
31.93,-24.26
32.24,-24.17
32.57,-24.08
32.89,-23.99
33.22,-23.90
33.55,-23.80
33.89,-23.71
34.23,-23.62
34.57,-23.53
34.92,-23.44
35.27,-23.34
35.62,-23.24
35.97,-23.15
36.33,-23.06
36.70,-22.96
37.06,-22.87
37.43,-22.77
37.81,-22.67
38.19,-22.59
38.57,-22.49
38.95,-22.38
39.34,-22.29
39.74,-22.19
40.14,-22.09
40.54,-22.00
40.94,-21.90
41.35,-21.82
41.76,-21.72
42.18,-21.64
42.60,-21.55
43.03,-21.46
43.46,-21.38
43.90,-21.29
44.33,-21.20
44.78,-21.12
45.23,-21.03
45.68,-20.94
46.13,-20.86
46.60,-20.79
47.06,-20.71
47.53,-20.62
48.01,-20.54
48.49,-20.47
48.97,-20.40
49.46,-20.33
49.96,-20.26
50.46,-20.20
50.96,-20.13
51.47,-20.06
51.99,-19.99
52.51,-19.93
53.03,-19.87
53.56,-19.80
54.10,-19.74
54.64,-19.68
55.18,-19.61
55.74,-19.54
56.29,-19.47
56.86,-19.41
57.42,-19.34
58.00,-19.27
58.58,-19.20
59.16,-19.12
59.76,-19.05
60.35,-18.97
60.96,-18.89
61.57,-18.82
62.18,-18.73
62.80,-18.66
63.43,-18.58
64.07,-18.50
64.71,-18.43
65.35,-18.35
66.01,-18.29
66.67,-18.22
67.33,-18.15
68.01,-18.09
68.69,-18.02
69.37,-17.96
70.07,-17.89
70.77,-17.83
71.48,-17.78
72.19,-17.72
72.91,-17.65
73.64,-17.59
74.38,-17.52
75.12,-17.45
75.87,-17.37
76.63,-17.29
77.40,-17.21
78.17,-17.13
78.95,-17.06
79.74,-16.99
80.54,-16.92
81.35,-16.85
82.16,-16.78
82.98,-16.71
83.81,-16.66
84.65,-16.61
85.50,-16.57
86.35,-16.51
87.22,-16.46
88.09,-16.42
88.97,-16.38
89.86,-16.35
90.76,-16.31
91.66,-16.25
92.58,-16.22
93.51,-16.17
94.44,-16.13
95.39,-16.07
96.34,-16.01
97.30,-15.94
98.28,-15.89
99.26,-15.83
100.25,-15.76
101.25,-15.69
102.27,-15.63
103.29,-15.60
104.32,-15.55
105.37,-15.48
106.42,-15.42
107.48,-15.36
108.56,-15.29
109.64,-15.22
110.74,-15.15
111.85,-15.10
112.97,-15.03
114.10,-14.97
115.24,-14.90
116.39,-14.86
117.55,-14.82
118.73,-14.75
119.92,-14.69
121.12,-14.66
122.33,-14.64
123.55,-14.59
124.79,-14.53
126.03,-14.48
127.29,-14.46
128.57,-14.45
129.85,-14.41
131.15,-14.36
132.46,-14.33
133.79,-14.29
135.12,-14.25
136.48,-14.22
137.84,-14.18
139.22,-14.16
140.61,-14.11
142.02,-14.06
143.44,-14.03
144.87,-13.99
146.32,-13.95
147.78,-13.89
149.26,-13.86
150.75,-13.81
152.26,-13.78
153.78,-13.75
155.32,-13.73
156.88,-13.69
158.44,-13.66
160.03,-13.60
161.63,-13.57
163.24,-13.53
164.88,-13.49
166.53,-13.47
168.19,-13.45
169.87,-13.43
171.57,-13.42
173.29,-13.38
175.02,-13.34
176.77,-13.31
178.54,-13.29
180.32,-13.27
182.13,-13.25
183.95,-13.22
185.79,-13.20
187.65,-13.19
189.52,-13.18
191.42,-13.17
193.33,-13.15
195.27,-13.14
197.22,-13.13
199.19,-13.12
201.18,-13.12
203.19,-13.11
205.23,-13.09
207.28,-13.09
209.35,-13.06
211.44,-13.02
213.56,-12.99
215.69,-12.95
217.85,-12.92
220.03,-12.90
222.23,-12.87
224.45,-12.85
226.70,-12.82
228.96,-12.82
231.25,-12.82
233.57,-12.81
235.90,-12.79
238.26,-12.78
240.64,-12.75
243.05,-12.72
245.48,-12.68
247.93,-12.64
250.41,-12.60
252.92,-12.56
255.45,-12.53
258.00,-12.51
260.58,-12.47
263.19,-12.44
265.82,-12.38
268.48,-12.36
271.16,-12.32
273.87,-12.29
276.61,-12.27
279.38,-12.24
282.17,-12.19
284.99,-12.14
287.84,-12.07
290.72,-12.01
293.63,-11.96
296.57,-11.89
299.53,-11.82
302.53,-11.76
305.55,-11.69
308.61,-11.64
311.69,-11.58
314.81,-11.52
317.96,-11.45
321.14,-11.38
324.35,-11.30
327.59,-11.24
330.87,-11.19
334.18,-11.13
337.52,-11.07
340.90,-11.02
344.30,-10.95
347.75,-10.89
351.23,-10.83
354.74,-10.78
358.28,-10.71
361.87,-10.64
365.49,-10.56
369.14,-10.49
372.83,-10.43
376.56,-10.34
380.33,-10.26
384.13,-10.20
387.97,-10.12
391.85,-10.04
395.77,-9.97
399.73,-9.89
403.72,-9.80
407.76,-9.70
411.84,-9.60
415.96,-9.50
420.12,-9.39
424.32,-9.29
428.56,-9.18
432.85,-9.08
437.18,-8.96
441.55,-8.85
445.96,-8.73
450.42,-8.61
454.93,-8.50
459.48,-8.36
464.07,-8.25
468.71,-8.15
473.40,-8.01
478.13,-7.90
482.91,-7.79
487.74,-7.68
492.62,-7.56
497.55,-7.46
502.52,-7.35
507.55,-7.24
512.62,-7.14
517.75,-7.04
522.93,-6.94
528.16,-6.82
533.44,-6.73
538.77,-6.62
544.16,-6.49
549.60,-6.38
555.10,-6.24
560.65,-6.12
566.25,-6.00
571.92,-5.87
577.64,-5.73
583.41,-5.60
589.25,-5.47
595.14,-5.33
601.09,-5.18
607.10,-5.06
613.17,-4.93
619.30,-4.80
625.50,-4.65
631.75,-4.52
638.07,-4.37
644.45,-4.24
650.89,-4.11
657.40,-3.99
663.98,-3.87
670.62,-3.75
677.32,-3.63
684.10,-3.52
690.94,-3.41
697.85,-3.31
704.83,-3.20
711.87,-3.07
718.99,-2.97
726.18,-2.86
733.44,-2.74
740.78,-2.64
748.19,-2.55
755.67,-2.44
763.23,-2.33
770.86,-2.24
778.57,-2.13
786.35,-2.04
794.22,-1.95
802.16,-1.88
810.18,-1.79
818.28,-1.71
826.46,-1.61
834.73,-1.51
843.08,-1.43
851.51,-1.33
860.02,-1.23
868.62,-1.13
877.31,-1.04
886.08,-0.96
894.94,-0.88
903.89,-0.81
912.93,-0.74
922.06,-0.68
931.28,-0.60
940.59,-0.55
950.00,-0.49
959.50,-0.46
969.09,-0.42
978.78,-0.39
988.57,-0.35
998.46,-0.30
1008.44,-0.25
1018.53,-0.21
1028.71,-0.16
1039.00,-0.11
1049.39,-0.06
1059.88,-0.02
1070.48,0.03
1081.19,0.07
1092.00,0.12
1102.92,0.16
1113.95,0.20
1125.09,0.25
1136.34,0.29
1147.70,0.33
1159.18,0.37
1170.77,0.42
1182.48,0.46
1194.30,0.51
1206.25,0.56
1218.31,0.62
1230.49,0.67
1242.80,0.74
1255.22,0.80
1267.78,0.86
1280.45,0.93
1293.26,0.99
1306.19,1.06
1319.25,1.13
1332.45,1.20
1345.77,1.27
1359.23,1.34
1372.82,1.42
1386.55,1.49
1400.41,1.57
1414.42,1.64
1428.56,1.72
1442.85,1.80
1457.28,1.89
1471.85,1.97
1486.57,2.06
1501.43,2.14
1516.45,2.23
1531.61,2.31
1546.93,2.39
1562.40,2.47
1578.02,2.56
1593.80,2.67
1609.74,2.76
1625.84,2.86
1642.10,2.97
1658.52,3.09
1675.10,3.23
1691.85,3.37
1708.77,3.52
1725.86,3.67
1743.12,3.84
1760.55,4.01
1778.15,4.18
1795.94,4.35
1813.90,4.53
1832.03,4.71
1850.36,4.89
1868.86,5.05
1887.55,5.21
1906.42,5.38
1925.49,5.56
1944.74,5.72
1964.19,5.88
1983.83,6.04
2003.67,6.18
2023.71,6.33
2043.94,6.48
2064.38,6.62
2085.03,6.75
2105.88,6.89
2126.94,7.02
2148.20,7.14
2169.69,7.26
2191.38,7.37
2213.30,7.48
2235.43,7.58
2257.78,7.68
2280.36,7.78
2303.17,7.87
2326.20,7.98
2349.46,8.08
2372.95,8.16
2396.68,8.23
2420.65,8.29
2444.86,8.35
2469.31,8.41
2494.00,8.48
2518.94,8.54
2544.13,8.59
2569.57,8.63
2595.27,8.66
2621.22,8.67
2647.43,8.67
2673.90,8.67
2700.64,8.66
2727.65,8.62
2754.93,8.59
2782.48,8.55
2810.30,8.50
2838.40,8.45
2866.79,8.39
2895.46,8.33
2924.41,8.24
2953.65,8.15
2983.19,8.06
3013.02,7.96
3043.15,7.85
3073.58,7.72
3104.32,7.58
3135.36,7.44
3166.72,7.27
3198.38,7.09
3230.37,6.89
3262.67,6.69
3295.30,6.46
3328.25,6.23
3361.53,5.97
