frequency,raw
20.00,-21.08
20.20,-20.96
20.40,-20.84
20.61,-20.72
20.81,-20.60
21.02,-20.47
21.23,-20.35
21.44,-20.23
21.66,-20.10
21.87,-19.98
22.09,-19.86
22.31,-19.73
22.54,-19.59
22.76,-19.45
22.99,-19.33
23.22,-19.19
23.45,-19.06
23.69,-18.92
23.92,-18.78
24.16,-18.65
24.40,-18.51
24.65,-18.37
24.89,-18.23
25.14,-18.09
25.39,-17.94
25.65,-17.79
25.91,-17.65
26.16,-17.50
26.43,-17.35
26.69,-17.21
26.96,-17.06
27.23,-16.92
27.50,-16.77
27.77,-16.63
28.05,-16.48
28.33,-16.33
28.62,-16.19
28.90,-16.04
29.19,-15.90
29.48,-15.75
29.78,-15.61
30.08,-15.47
30.38,-15.34
30.68,-15.20
30.99,-15.06
31.30,-14.92
31.61,-14.77
31.93,-14.63
32.24,-14.49
32.57,-14.35
32.89,-14.20
33.22,-14.06
33.55,-13.91
33.89,-13.76
34.23,-13.63
34.57,-13.48
34.92,-13.34
35.27,-13.19
35.62,-13.04
35.97,-12.89
36.33,-12.75
36.70,-12.59
37.06,-12.45
37.43,-12.30
37.81,-12.15
38.19,-12.01
38.57,-11.86
38.95,-11.70
39.34,-11.55
39.74,-11.40
40.14,-11.24
40.54,-11.09
40.94,-10.93
41.35,-10.79
41.76,-10.63
42.18,-10.48
42.60,-10.32
43.03,-10.16
43.46,-10.02
43.90,-9.87
44.33,-9.72
44.78,-9.58
45.23,-9.44
45.68,-9.29
46.13,-9.15
46.60,-9.01
47.06,-8.86
47.53,-8.72
48.01,-8.58
48.49,-8.43
48.97,-8.30
49.46,-8.16
49.96,-8.02
50.46,-7.90
50.96,-7.76
51.47,-7.62
51.99,-7.48
52.51,-7.36
53.03,-7.22
53.56,-7.10
54.10,-6.98
54.64,-6.85
55.18,-6.72
55.74,-6.61
56.29,-6.48
56.86,-6.37
57.42,-6.25
58.00,-6.13
58.58,-6.02
59.16,-5.89
59.76,-5.77
60.35,-5.66
60.96,-5.53
61.57,-5.41
62.18,-5.29
62.80,-5.17
63.43,-5.06
64.07,-4.95
64.71,-4.85
65.35,-4.74
66.01,-4.64
66.67,-4.53
67.33,-4.43
68.01,-4.35
68.69,-4.24
69.37,-4.14
70.07,-4.05
70.77,-3.96
71.48,-3.88
72.19,-3.79
72.91,-3.70
73.64,-3.62
74.38,-3.54
75.12,-3.46
75.87,-3.39
76.63,-3.32
77.40,-3.24
78.17,-3.16
78.95,-3.09
79.74,-3.02
80.54,-2.96
81.35,-2.90
82.16,-2.85
82.98,-2.79
83.81,-2.75
84.65,-2.70
85.50,-2.67
86.35,-2.63
87.22,-2.60
88.09,-2.57
88.97,-2.54
89.86,-2.52
90.76,-2.49
91.66,-2.45
92.58,-2.42
93.51,-2.37
94.44,-2.35
95.39,-2.32
96.34,-2.29
97.30,-2.25
98.28,-2.22
99.26,-2.20
100.25,-2.18
101.25,-2.14
102.27,-2.11
