frequency,raw
20.00,-25.61
20.20,-25.51
20.40,-25.41
20.61,-25.31
20.81,-25.20
21.02,-25.09
21.23,-24.98
21.44,-24.87
21.66,-24.76
21.87,-24.65
22.09,-24.54
22.31,-24.43
22.54,-24.32
22.76,-24.20
22.99,-24.09
23.22,-23.96
23.45,-23.85
23.69,-23.73
23.92,-23.60
24.16,-23.49
24.40,-23.37
24.65,-23.25
24.89,-23.13
25.14,-23.01
25.39,-22.88
25.65,-22.75
25.91,-22.63
26.16,-22.51
26.43,-22.37
26.69,-22.25
26.96,-22.12
27.23,-21.99
27.50,-21.86
27.77,-21.74
28.05,-21.61
28.33,-21.49
28.62,-21.37
28.90,-21.24
29.19,-21.13
29.48,-21.00
29.78,-20.88
30.08,-20.75
30.38,-20.64
30.68,-20.52
30.99,-20.40
31.30,-20.28
31.61,-20.16
31.93,-20.04
32.24,-19.93
32.57,-19.81
32.89,-19.68
33.22,-19.56
33.55,-19.43
33.89,-19.31
34.23,-19.20
34.57,-19.07
34.92,-18.95
35.27,-18.84
35.62,-18.71
35.97,-18.59
36.33,-18.48
36.70,-18.35
37.06,-18.24
37.43,-18.12
37.81,-18.00
38.19,-17.90
38.57,-17.78
38.95,-17.65
39.34,-17.54
39.74,-17.42
40.14,-17.30
40.54,-17.19
40.94,-17.08
41.35,-16.97
41.76,-16.85
42.18,-16.74
42.60,-16.61
43.03,-16.49
43.46,-16.39
43.90,-16.28
44.33,-16.17
44.78,-16.07
45.23,-15.96
45.68,-15.85
46.13,-15.75
46.60,-15.66
47.06,-15.56
47.53,-15.45
48.01,-15.34
48.49,-15.23
48.97,-15.14
49.46,-15.03
49.96,-14.93
50.46,-14.83
50.96,-14.73
51.47,-14.63
51.99,-14.52
52.51,-14.43
53.03,-14.32
53.56,-14.23
54.10,-14.13
54.64,-14.03
55.18,-13.93
55.74,-13.83
56.29,-13.72
56.86,-13.63
57.42,-13.53
58.00,-13.43
58.58,-13.33
59.16,-13.21
59.76,-13.11
60.35,-13.01
60.96,-12.91
61.57,-12.82
62.18,-12.71
