frequency,raw
20.00,-6.24
20.20,-5.87
20.40,-5.50
20.61,-5.15
20.81,-4.75
21.02,-4.38
21.23,-4.01
21.44,-3.64
21.66,-3.29
21.87,-2.89
22.09,-2.55
22.31,-2.17
22.54,-1.84
22.76,-1.46
22.99,-1.10
23.22,-0.74
23.45,-0.40
23.69,-0.06
23.92,0.31
24.16,0.65
24.40,1.01
24.65,1.33
24.89,1.69
25.14,2.00
25.39,2.35
25.65,2.66
25.91,2.97
26.16,3.31
26.43,3.60
26.69,3.91
26.96,4.23
27.23,4.51
27.50,4.80
27.77,5.09
28.05,5.37
28.33,5.63
28.62,5.88
28.90,6.15
29.19,6.39
29.48,6.63
29.78,6.86
30.08,7.08
30.38,7.26
30.68,7.45
30.99,7.64
31.30,7.80
31.61,7.95
31.93,8.11
32.24,8.24
32.57,8.36
32.89,8.49
33.22,8.59
33.55,8.69
33.89,8.79
34.23,8.86
34.57,8.92
34.92,8.99
35.27,9.03
35.62,9.08
35.97,9.12
36.33,9.13
36.70,9.16
37.06,9.17
37.43,9.18
37.81,9.19
38.19,9.18
38.57,9.18
38.95,9.18
39.34,9.16
39.74,9.15
40.14,9.14
40.54,9.11
40.94,9.10
41.35,9.07
41.76,9.05
42.18,9.02
42.60,9.00
43.03,8.98
43.46,8.95
43.90,8.93
44.33,8.90
44.78,8.87
45.23,8.85
45.68,8.83
46.13,8.80
46.60,8.77
47.06,8.75
47.53,8.73
48.01,8.72
48.49,8.70
48.97,8.67
49.46,8.66
49.96,8.65
50.46,8.63
50.96,8.62
51.47,8.62
51.99,8.62
52.51,8.63
53.03,8.64
53.56,8.66
54.10,8.69
54.64,8.72
55.18,8.77
55.74,8.82
56.29,8.88
56.86,8.94
57.42,9.00
58.00,9.06
58.58,9.13
59.16,9.21
59.76,9.28
60.35,9.36
60.96,9.45
61.57,9.54
62.18,9.63
62.80,9.72
63.43,9.79
64.07,9.87
64.71,9.93
65.35,9.99
66.01,10.04
66.67,10.10
67.33,10.16
68.01,10.20
68.69,10.24
69.37,10.27
70.07,10.30
70.77,10.34
71.48,10.36
72.19,10.41
72.91,10.45
73.64,10.49
74.38,10.52
75.12,10.57
75.87,10.59
76.63,10.62
77.40,10.66
78.17,10.69
78.95,10.74
79.74,10.79
80.54,10.84
81.35,10.88
82.16,10.92
82.98,10.96
83.81,10.97
84.65,11.00
85.50,11.02
86.35,11.03
87.22,11.05
88.09,11.05
88.97,11.04
89.86,11.04
90.76,11.03
91.66,11.03
92.58,11.02
93.51,11.00
94.44,10.98
95.39,10.96
96.34,10.95
97.30,10.96
98.28,10.95
99.26,10.95
100.25,10.94
101.25,10.93
102.27,10.91
103.29,10.90
104.32,10.89
105.37,10.87
106.42,10.83
107.48,10.81
108.56,10.78
109.64,10.74
110.74,10.72
111.85,10.69
112.97,10.68
114.10,10.67
115.24,10.68
116.39,10.68
117.55,10.67
118.73,10.66
119.92,10.64
121.12,10.60
122.33,10.57
123.55,10.53
124.79,10.48
126.03,10.42
127.29,10.39
128.57,10.35
129.85,10.30
131.15,10.27
132.46,10.24
133.79,10.20
135.12,10.15
136.48,10.12
137.84,10.09
139.22,10.07
140.61,10.04
142.02,9.99
143.44,9.98
144.87,9.94
146.32,9.92
147.78,9.89
149.26,9.86
150.75,9.82
152.26,9.79
153.78,9.76
155.32,9.74
156.88,9.70
158.44,9.69
160.03,9.64
161.63,9.62
163.24,9.61
164.88,9.56
166.53,9.54
168.19,9.52
169.87,9.48
171.57,9.45
173.29,9.43
175.02,9.38
176.77,9.34
178.54,9.31
180.32,9.28
182.13,9.24
183.95,9.20
185.79,9.16
187.65,9.13
189.52,9.08
191.42,9.03
193.33,9.00
195.27,8.96
197.22,8.93
199.19,8.90
201.18,8.87
203.19,8.84
205.23,8.80
207.28,8.76
209.35,8.74
211.44,8.72
213.56,8.70
215.69,8.69
217.85,8.67
220.03,8.66
222.23,8.65
224.45,8.63
226.70,8.61
228.96,8.58
231.25,8.55
233.57,8.53
235.90,8.50
238.26,8.47
240.64,8.45
243.05,8.44
245.48,8.42
247.93,8.40
250.41,8.40
252.92,8.41
255.45,8.43
258.00,8.43
260.58,8.45
263.19,8.45
265.82,8.46
268.48,8.46
271.16,8.47
273.87,8.48
276.61,8.48
279.38,8.49
282.17,8.50
284.99,8.51
287.84,8.53
290.72,8.56
293.63,8.57
296.57,8.58
299.53,8.58
302.53,8.57
305.55,8.57
308.61,8.55
311.69,8.54
314.81,8.54
317.96,8.51
321.14,8.49
324.35,8.45
327.59,8.41
330.87,8.36
334.18,8.33
337.52,8.29
340.90,8.24
344.30,8.20
347.75,8.17
351.23,8.11
354.74,8.07
358.28,8.01
361.87,7.97
365.49,7.92
369.14,7.88
372.83,7.83
376.56,7.79
380.33,7.75
384.13,7.71
387.97,7.67
391.85,7.64
395.77,7.60
399.73,7.57
403.72,7.54
407.76,7.51
411.84,7.49
415.96,7.46
420.12,7.42
424.32,7.39
428.56,7.36
432.85,7.32
437.18,7.27
441.55,7.24
445.96,7.20
450.42,7.12
454.93,7.07
459.48,7.00
464.07,6.93
468.71,6.86
473.40,6.78
478.13,6.70
482.91,6.63
487.74,6.55
492.62,6.45
497.55,6.36
502.52,6.27
507.55,6.18
512.62,6.07
517.75,5.97
522.93,5.85
528.16,5.73
533.44,5.62
538.77,5.51
544.16,5.39
549.60,5.29
555.10,5.18
560.65,5.07
566.25,4.95
571.92,4.83
577.64,4.71
583.41,4.59
589.25,4.49
595.14,4.35
601.09,4.22
607.10,4.10
613.17,3.99
619.30,3.86
625.50,3.74
631.75,3.60
638.07,3.47
644.45,3.35
650.89,3.21
657.40,3.08
663.98,2.94
670.62,2.82
677.32,2.69
684.10,2.56
690.94,2.42
697.85,2.29
704.83,2.16
711.87,2.06
718.99,1.95
726.18,1.83
733.44,1.73
740.78,1.63
748.19,1.54
755.67,1.43
763.23,1.36
770.86,1.27
778.57,1.18
786.35,1.09
794.22,1.00
802.16,0.90
810.18,0.80
818.28,0.69
826.46,0.60
834.73,0.52
843.08,0.42
851.51,0.31
860.02,0.22
868.62,0.15
877.31,0.06
886.08,-0.01
894.94,-0.07
903.89,-0.14
912.93,-0.19
922.06,-0.23
931.28,-0.25
940.59,-0.27
950.00,-0.28
959.50,-0.30
969.09,-0.30
978.78,-0.31
988.57,-0.31
998.46,-0.29
1008.44,-0.29
1018.53,-0.30
1028.71,-0.29
1039.00,-0.27
1049.39,-0.27
1059.88,-0.29
1070.48,-0.30
1081.19,-0.32
1092.00,-0.34
1102.92,-0.36
1113.95,-0.36
1125.09,-0.36
1136.34,-0.38
1147.70,-0.42
1159.18,-0.45
1170.77,-0.47
1182.48,-0.49
1194.30,-0.48
1206.25,-0.48
1218.31,-0.45
1230.49,-0.43
1242.80,-0.35
1255.22,-0.26
1267.78,-0.15
1280.45,-0.03
1293.26,0.11
1306.19,0.29
1319.25,0.49
1332.45,0.73
1345.77,0.99
1359.23,1.27
1372.82,1.55
1386.55,1.84
1400.41,2.14
1414.42,2.46
1428.56,2.80
1442.85,3.13
1457.28,3.47
1471.85,3.80
1486.57,4.14
1501.43,4.47
1516.45,4.80
1531.61,5.13
1546.93,5.45
1562.40,5.75
1578.02,6.05
1593.80,6.35
1609.74,6.62
1625.84,6.89
1642.10,7.12
1658.52,7.33
1675.10,7.52
1691.85,7.70
1708.77,7.87
1725.86,8.03
1743.12,8.18
1760.55,8.31
1778.15,8.41
1795.94,8.50
1813.90,8.59
1832.03,8.68
1850.36,8.75
1868.86,8.80
1887.55,8.86
1906.42,8.91
1925.49,8.95
1944.74,8.98
