frequency,raw
20.00,-46.59
20.20,-46.41
20.40,-46.24
20.61,-46.05
20.81,-45.87
21.02,-45.69
21.23,-45.51
21.44,-45.33
21.66,-45.14
21.87,-44.96
22.09,-44.78
22.31,-44.61
22.54,-44.42
22.76,-44.24
22.99,-44.06
23.22,-43.88
23.45,-43.71
23.69,-43.52
23.92,-43.34
24.16,-43.17
24.40,-43.00
24.65,-42.83
24.89,-42.65
25.14,-42.48
25.39,-42.31
25.65,-42.13
25.91,-41.97
26.16,-41.80
26.43,-41.64
26.69,-41.48
26.96,-41.31
27.23,-41.16
27.50,-41.00
27.77,-40.85
28.05,-40.70
28.33,-40.56
28.62,-40.43
28.90,-40.28
29.19,-40.15
29.48,-40.02
29.78,-39.89
30.08,-39.77
30.38,-39.67
30.68,-39.56
30.99,-39.46
31.30,-39.36
31.61,-39.27
31.93,-39.18
32.24,-39.10
32.57,-39.03
32.89,-38.95
33.22,-38.89
33.55,-38.83
33.89,-38.77
34.23,-38.72
34.57,-38.67
34.92,-38.62
35.27,-38.57
35.62,-38.52
35.97,-38.48
36.33,-38.45
36.70,-38.40
37.06,-38.37
37.43,-38.32
37.81,-38.27
38.19,-38.23
38.57,-38.17
38.95,-38.11
39.34,-38.04
39.74,-37.98
40.14,-37.90
40.54,-37.84
40.94,-37.76
41.35,-37.68
41.76,-37.58
42.18,-37.49
42.60,-37.38
43.03,-37.26
43.46,-37.14
43.90,-37.00
44.33,-36.86
44.78,-36.72
45.23,-36.57
45.68,-36.41
46.13,-36.25
46.60,-36.08
47.06,-35.90
47.53,-35.71
48.01,-35.52
48.49,-35.33
48.97,-35.16
49.46,-34.96
49.96,-34.77
50.46,-34.58
50.96,-34.39
51.47,-34.19
51.99,-34.00
52.51,-33.81
53.03,-33.62
53.56,-33.43
54.10,-33.25
54.64,-33.07
55.18,-32.88
55.74,-32.71
56.29,-32.53
56.86,-32.35
57.42,-32.17
58.00,-31.99
58.58,-31.81
59.16,-31.63
59.76,-31.46
60.35,-31.29
60.96,-31.10
61.57,-30.93
62.18,-30.75
62.80,-30.58
63.43,-30.41
64.07,-30.24
64.71,-30.07
65.35,-29.90
66.01,-29.73
66.67,-29.56
67.33,-29.39
68.01,-29.24
68.69,-29.07
69.37,-28.92
70.07,-28.76
70.77,-28.60
71.48,-28.44
72.19,-28.26
72.91,-28.09
73.64,-27.93
74.38,-27.76
75.12,-27.59
75.87,-27.42
76.63,-27.25
77.40,-27.07
78.17,-26.90
78.95,-26.72
79.74,-26.53
80.54,-26.35
81.35,-26.18
82.16,-26.01
82.98,-25.84
83.81,-25.68
84.65,-25.50
85.50,-25.33
86.35,-25.16
87.22,-25.00
88.09,-24.84
88.97,-24.70
89.86,-24.54
90.76,-24.37
91.66,-24.19
92.58,-24.03
93.51,-23.86
94.44,-23.71
95.39,-23.53
96.34,-23.34
97.30,-23.14
98.28,-22.96
99.26,-22.77
100.25,-22.58
101.25,-22.38
102.27,-22.23
103.29,-22.13
104.32,-22.00
105.37,-21.82
106.42,-21.65
107.48,-21.48
108.56,-21.32
109.64,-21.17
110.74,-21.01
111.85,-20.85
112.97,-20.67
114.10,-20.51
115.24,-20.36
116.39,-20.28
117.55,-20.17
118.73,-19.98
119.92,-19.83
121.12,-19.67
122.33,-19.58
123.55,-19.46
124.79,-19.32
126.03,-19.18
127.29,-19.10
128.57,-19.00
129.85,-18.84
131.15,-18.69
132.46,-18.61
133.79,-18.48
135.12,-18.32
136.48,-18.24
137.84,-18.09
139.22,-18.00
