frequency,raw
20.00,-5.02
20.20,-4.97
20.40,-4.93
20.61,-4.89
20.81,-4.84
21.02,-4.79
21.23,-4.74
21.44,-4.70
21.66,-4.65
21.87,-4.61
22.09,-4.56
22.31,-4.52
22.54,-4.46
22.76,-4.41
22.99,-4.36
23.22,-4.31
23.45,-4.27
23.69,-4.21
23.92,-4.16
24.16,-4.12
24.40,-4.07
24.65,-4.02
24.89,-3.97
25.14,-3.92
25.39,-3.87
25.65,-3.81
25.91,-3.76
26.16,-3.71
26.43,-3.66
26.69,-3.61
26.96,-3.55
27.23,-3.51
27.50,-3.46
27.77,-3.42
28.05,-3.37
28.33,-3.33
28.62,-3.29
28.90,-3.25
29.19,-3.21
29.48,-3.16
29.78,-3.13
30.08,-3.09
30.38,-3.07
30.68,-3.04
30.99,-3.01
31.30,-2.99
31.61,-2.96
31.93,-2.93
32.24,-2.91
32.57,-2.88
32.89,-2.85
33.22,-2.83
33.55,-2.80
33.89,-2.77
34.23,-2.75
34.57,-2.73
34.92,-2.70
35.27,-2.68
35.62,-2.65
35.97,-2.63
36.33,-2.62
36.70,-2.59
37.06,-2.57
37.43,-2.55
37.81,-2.54
38.19,-2.53
38.57,-2.51
38.95,-2.48
39.34,-2.47
39.74,-2.46
40.14,-2.44
40.54,-2.43
40.94,-2.41
41.35,-2.41
41.76,-2.39
42.18,-2.39
42.60,-2.38
43.03,-2.37
43.46,-2.37
43.90,-2.36
44.33,-2.36
44.78,-2.36
45.23,-2.36
45.68,-2.36
46.13,-2.36
46.60,-2.37
47.06,-2.37
47.53,-2.37
48.01,-2.37
48.49,-2.37
48.97,-2.39
49.46,-2.39
49.96,-2.40
50.46,-2.41
50.96,-2.41
51.47,-2.41
51.99,-2.41
52.51,-2.43
53.03,-2.43
53.56,-2.44
54.10,-2.44
54.64,-2.45
55.18,-2.44
55.74,-2.43
56.29,-2.42
56.86,-2.41
57.42,-2.39
58.00,-2.37
58.58,-2.35
59.16,-2.32
59.76,-2.29
60.35,-2.26
60.96,-2.22
61.57,-2.19
62.18,-2.15
62.80,-2.12
63.43,-2.09
64.07,-2.06
64.71,-2.02
65.35,-1.99
66.01,-1.97
66.67,-1.95
67.33,-1.93
68.01,-1.93
68.69,-1.92
69.37,-1.92
70.07,-1.92
70.77,-1.92
71.48,-1.94
72.19,-1.95
72.91,-1.98
73.64,-2.00
74.38,-2.01
75.12,-2.01
75.87,-2.02
76.63,-2.03
77.40,-2.03
78.17,-2.04
78.95,-2.05
79.74,-2.05
80.54,-2.06
81.35,-2.07
82.16,-2.08
82.98,-2.09
83.81,-2.11
84.65,-2.12
85.50,-2.14
86.35,-2.16
87.22,-2.18
88.09,-2.20
88.97,-2.22
89.86,-2.24
90.76,-2.26
91.66,-2.27
92.58,-2.29
93.51,-2.30
94.44,-2.32
95.39,-2.33
96.34,-2.34
97.30,-2.34
98.28,-2.35
99.26,-2.35
100.25,-2.36
101.25,-2.36
102.27,-2.36
103.29,-2.35
104.32,-2.33
105.37,-2.30
106.42,-2.28
107.48,-2.25
108.56,-2.20
109.64,-2.16
110.74,-2.11
111.85,-2.07
112.97,-2.01
114.10,-1.98
115.24,-1.96
116.39,-1.95
117.55,-1.96
118.73,-1.97
119.92,-2.02
121.12,-2.07
122.33,-2.11
123.55,-2.15
124.79,-2.21
126.03,-2.26
127.29,-2.30
128.57,-2.34
129.85,-2.39
131.15,-2.41
132.46,-2.43
133.79,-2.45
135.12,-2.45
136.48,-2.46
137.84,-2.45
139.22,-2.46
140.61,-2.46
142.02,-2.46
143.44,-2.45
144.87,-2.45
146.32,-2.45
147.78,-2.46
149.26,-2.48
150.75,-2.49
152.26,-2.50
153.78,-2.53
155.32,-2.56
156.88,-2.59
158.44,-2.61
160.03,-2.64
161.63,-2.66
163.24,-2.69
164.88,-2.76
166.53,-2.79
168.19,-2.83
169.87,-2.88
171.57,-2.93
173.29,-2.96
175.02,-3.01
176.77,-3.05
178.54,-3.09
180.32,-3.12
182.13,-3.16
183.95,-3.20
185.79,-3.23
187.65,-3.25
189.52,-3.27
191.42,-3.27
193.33,-3.27
195.27,-3.27
197.22,-3.28
199.19,-3.29
201.18,-3.31
203.19,-3.31
205.23,-3.30
207.28,-3.30
209.35,-3.29
211.44,-3.26
213.56,-3.23
215.69,-3.19
217.85,-3.17
220.03,-3.16
222.23,-3.13
224.45,-3.10
226.70,-3.05
228.96,-3.00
231.25,-2.97
233.57,-2.92
235.90,-2.86
238.26,-2.84
240.64,-2.80
243.05,-2.77
245.48,-2.74
247.93,-2.70
250.41,-2.67
252.92,-2.63
255.45,-2.60
258.00,-2.57
260.58,-2.52
263.19,-2.49
265.82,-2.45
268.48,-2.43
271.16,-2.40
273.87,-2.35
276.61,-2.32
279.38,-2.28
282.17,-2.24
284.99,-2.21
287.84,-2.16
290.72,-2.13
293.63,-2.11
296.57,-2.10
299.53,-2.10
302.53,-2.10
305.55,-2.08
308.61,-2.07
311.69,-2.06
314.81,-2.05
317.96,-2.05
321.14,-2.04
324.35,-2.03
327.59,-2.01
330.87,-2.01
334.18,-1.99
337.52,-1.99
340.90,-2.00
344.30,-2.02
347.75,-2.02
351.23,-2.05
354.74,-2.08
358.28,-2.11
361.87,-2.14
365.49,-2.17
369.14,-2.20
372.83,-2.22
376.56,-2.25
380.33,-2.27
384.13,-2.31
387.97,-2.34
391.85,-2.36
395.77,-2.38
399.73,-2.39
403.72,-2.40
407.76,-2.43
411.84,-2.46
415.96,-2.49
420.12,-2.53
424.32,-2.57
428.56,-2.60
432.85,-2.65
437.18,-2.69
441.55,-2.72
445.96,-2.76
450.42,-2.80
454.93,-2.85
459.48,-2.94
464.07,-3.01
468.71,-3.09
473.40,-3.19
478.13,-3.29
482.91,-3.38
487.74,-3.49
492.62,-3.62
497.55,-3.78
502.52,-3.94
507.55,-4.11
512.62,-4.30
517.75,-4.48
522.93,-4.67
528.16,-4.86
533.44,-5.03
538.77,-5.22
544.16,-5.41
549.60,-5.57
555.10,-5.74
560.65,-5.86
566.25,-5.95
571.92,-6.01
577.64,-6.03
583.41,-6.02
589.25,-5.98
595.14,-5.90
601.09,-5.80
607.10,-5.67
613.17,-5.53
619.30,-5.36
625.50,-5.15
631.75,-4.96
638.07,-4.77
644.45,-4.60
650.89,-4.43
657.40,-4.29
663.98,-4.18
670.62,-4.06
677.32,-3.95
684.10,-3.85
690.94,-3.75
697.85,-3.67
704.83,-3.59
711.87,-3.50
718.99,-3.43
726.18,-3.34
733.44,-3.24
740.78,-3.13
748.19,-3.05
755.67,-2.95
763.23,-2.86
770.86,-2.79
778.57,-2.72
786.35,-2.66
794.22,-2.59
802.16,-2.53
810.18,-2.47
818.28,-2.40
826.46,-2.31
834.73,-2.21
843.08,-2.13
851.51,-2.03
860.02,-1.92
868.62,-1.81
877.31,-1.68
886.08,-1.56
894.94,-1.43
903.89,-1.32
912.93,-1.20
922.06,-1.10
931.28,-1.01
940.59,-0.93
950.00,-0.84
959.50,-0.74
969.09,-0.64
978.78,-0.55
988.57,-0.44
998.46,-0.31
1008.44,-0.18
1018.53,-0.05
1028.71,0.08
1039.00,0.21
1049.39,0.35
1059.88,0.47
1070.48,0.59
1081.19,0.70
1092.00,0.81
1102.92,0.88
1113.95,0.96
1125.09,1.04
1136.34,1.09
1147.70,1.13
1159.18,1.17
1170.77,1.20
1182.48,1.22
1194.30,1.23
1206.25,1.24
1218.31,1.25
1230.49,1.25
1242.80,1.25
1255.22,1.23
1267.78,1.21
1280.45,1.19
1293.26,1.15
1306.19,1.11
1319.25,1.07
1332.45,1.02
1345.77,0.98
1359.23,0.93
1372.82,0.87
1386.55,0.80
1400.41,0.72
1414.42,0.64
1428.56,0.56
1442.85,0.48
1457.28,0.41
1471.85,0.31
1486.57,0.21
1501.43,0.12
1516.45,0.03
1531.61,-0.05
1546.93,-0.14
1562.40,-0.23
1578.02,-0.31
1593.80,-0.40
1609.74,-0.49
1625.84,-0.55
1642.10,-0.61
1658.52,-0.67
1675.10,-0.72
1691.85,-0.76
1708.77,-0.81
1725.86,-0.86
1743.12,-0.87
1760.55,-0.89
1778.15,-0.89
1795.94,-0.88
1813.90,-0.87
1832.03,-0.84
1850.36,-0.82
1868.86,-0.78
1887.55,-0.76
1906.42,-0.73
1925.49,-0.70
1944.74,-0.65
1964.19,-0.59
1983.83,-0.52
2003.67,-0.43
2023.71,-0.33
2043.94,-0.23
2064.38,-0.14
2085.03,-0.06
2105.88,0.04
2126.94,0.12
2148.20,0.21
2169.69,0.29
2191.38,0.36
2213.30,0.41
2235.43,0.47
2257.78,0.53
2280.36,0.59
2303.17,0.63
2326.20,0.68
2349.46,0.72
2372.95,0.76
2396.68,0.80
2420.65,0.84
2444.86,0.88
2469.31,0.90
2494.00,0.92
2518.94,0.91
2544.13,0.90
2569.57,0.89
2595.27,0.87
2621.22,0.85
2647.43,0.83
2673.90,0.80
2700.64,0.79
2727.65,0.80
2754.93,0.81
2782.48,0.83
2810.30,0.88
2838.40,0.93
2866.79,0.98
2895.46,1.07
2924.41,1.18
2953.65,1.29
2983.19,1.40
3013.02,1.51
3043.15,1.63
3073.58,1.73
3104.32,1.83
3135.36,1.92
3166.72,1.97
3198.38,2.04
3230.37,2.06
3262.67,2.06
3295.30,2.04
3328.25,1.99
3361.53,1.92
3395.15,1.82
3429.10,1.69
3463.39,1.51
3498.03,1.30
3533.01,1.04
3568.34,0.72
3604.02,0.38
3640.06,-0.02
3676.46,-0.43
3713.22,-0.84
3750.36,-1.24
3787.86,-1.61
3825.74,-1.92
3864.00,-2.15
3902.64,-2.28
3941.66,-2.35
3981.08,-2.33
4020.89,-2.21
4061.10,-2.02
4101.71,-1.76
4142.73,-1.46
4184.15,-1.13
4226.00,-0.82
4268.26,-0.53
4310.94,-0.26
4354.05,-0.01
4397.59,0.19
4441.56,0.36
4485.98,0.49
4530.84,0.58
4576.15,0.63
4621.91,0.68
4668.13,0.71
4714.81,0.74
4761.96,0.76
4809.58,0.75
4857.67,0.75
4906.25,0.73
4955.31,0.72
5004.87,0.71
5054.91,0.69
5105.46,0.66
5156.52,0.65
5208.08,0.66
5260.16,0.70
5312.77,0.74
5365.89,0.79
5419.55,0.86
5473.75,0.93
5528.49,1.00
5583.77,1.08
5639.61,1.14
5696.00,1.19
5752.96,1.22
5810.49,1.19
5868.60,1.17
5927.28,1.10
5986.56,1.00
6046.42,0.87
6106.89,0.69
6167.96,0.48
6229.64,0.24
6291.93,-0.01
6354.85,-0.28
6418.40,-0.58
6482.58,-0.90
6547.41,-1.22
6612.88,-1.55
6679.01,-1.88
6745.80,-2.19
6813.26,-2.48
6881.39,-2.75
6950.21,-3.01
7019.71,-3.21
7089.91,-3.39
7160.81,-3.52
7232.41,-3.61
7304.74,-3.66
7377.79,-3.66
7451.56,-3.61
7526.08,-3.52
7601.34,-3.39
7677.35,-3.23
7754.13,-3.06
7831.67,-2.88
7909.98,-2.72
7989.08,-2.58
8068.98,-2.50
8149.67,-2.47
8231.16,-2.50
8313.47,-2.63
8396.61,-2.85
8480.57,-3.17
8565.38,-3.57
8651.03,-4.05
8737.54,-4.61
8824.92,-5.21
8913.17,-5.85
9002.30,-6.51
9092.32,-7.15
9183.25,-7.72
9275.08,-8.24
9367.83,-8.67
9461.51,-9.00
9556.12,-9.23
9651.68,-9.34
9748.20,-9.36
9845.68,-9.29
9944.14,-9.16
10043.58,-8.99
10144.02,-8.83
10245.46,-8.67
10347.91,-8.55
10451.39,-8.46
10555.91,-8.44
10661.46,-8.44
10768.08,-8.49
10875.76,-8.56
10984.52,-8.66
11094.36,-8.75
11205.31,-8.85
11317.36,-8.92
11430.53,-8.96
11544.84,-8.94
11660.29,-8.87
11776.89,-8.74
11894.66,-8.57
12013.60,-8.36
12133.74,-8.13
12255.08,-7.90
12377.63,-7.73
12501.41,-7.61
12626.42,-7.55
12752.68,-7.55
12880.21,-7.62
13009.01,-7.79
13139.10,-8.02
13270.49,-8.33
13403.20,-8.71
13537.23,-9.16
13672.60,-9.69
13809.33,-10.30
13947.42,-10.96
14086.90,-11.64
14227.77,-12.32
14370.04,-12.96
14513.74,-13.54
14658.88,-14.01
14805.47,-14.42
14953.52,-14.70
15103.06,-14.89
15254.09,-14.98
15406.63,-14.98
15560.70,-14.91
15716.30,-14.85
15873.47,-14.79
16032.20,-14.74
16192.52,-14.74
16354.45,-14.83
16517.99,-15.03
16683.17,-15.35
16850.01,-15.79
17018.51,-16.35
17188.69,-16.99
17360.58,-17.73
17534.18,-18.52
17709.53,-19.39
17886.62,-20.30
18065.49,-21.15
18246.14,-21.98
18428.60,-22.82
18612.89,-23.68
18799.02,-24.54
18987.01,-25.45
19176.88,-26.35
19368.65,-27.28
19562.33,-28.22
19757.96,-29.18
19955.54,-30.16
