frequency,raw
20.00,-12.71
20.20,-12.61
20.40,-12.52
20.61,-12.42
20.81,-12.32
21.02,-12.23
21.23,-12.12
21.44,-12.02
21.66,-11.92
21.87,-11.82
22.09,-11.71
22.31,-11.61
22.54,-11.50
22.76,-11.38
22.99,-11.28
23.22,-11.16
23.45,-11.05
23.69,-10.94
23.92,-10.82
24.16,-10.71
24.40,-10.59
24.65,-10.48
24.89,-10.36
25.14,-10.24
25.39,-10.12
25.65,-10.00
25.91,-9.88
26.16,-9.76
26.43,-9.63
26.69,-9.51
26.96,-9.38
27.23,-9.26
27.50,-9.13
27.77,-9.01
28.05,-8.88
28.33,-8.76
28.62,-8.64
28.90,-8.51
29.19,-8.39
29.48,-8.26
29.78,-8.14
30.08,-8.01
30.38,-7.90
30.68,-7.77
30.99,-7.65
31.30,-7.53
31.61,-7.41
31.93,-7.29
32.24,-7.17
32.57,-7.05
32.89,-6.92
33.22,-6.80
33.55,-6.67
33.89,-6.54
34.23,-6.42
34.57,-6.29
34.92,-6.17
35.27,-6.04
35.62,-5.90
35.97,-5.77
36.33,-5.64
36.70,-5.50
37.06,-5.37
37.43,-5.24
37.81,-5.10
38.19,-4.98
38.57,-4.84
38.95,-4.70
39.34,-4.56
39.74,-4.43
40.14,-4.29
40.54,-4.16
40.94,-4.02
41.35,-3.89
41.76,-3.75
42.18,-3.62
42.60,-3.49
43.03,-3.35
43.46,-3.23
43.90,-3.10
44.33,-2.97
44.78,-2.85
45.23,-2.72
45.68,-2.59
46.13,-2.46
46.60,-2.35
47.06,-2.22
47.53,-2.10
48.01,-1.97
48.49,-1.85
48.97,-1.74
49.46,-1.62
49.96,-1.50
50.46,-1.39
50.96,-1.27
51.47,-1.16
51.99,-1.05
52.51,-0.94
53.03,-0.82
53.56,-0.71
54.10,-0.59
54.64,-0.48
55.18,-0.36
55.74,-0.25
56.29,-0.14
56.86,-0.04
57.42,0.08
58.00,0.20
58.58,0.33
59.16,0.46
59.76,0.57
60.35,0.68
60.96,0.80
61.57,0.92
62.18,1.04
62.80,1.14
63.43,1.25
64.07,1.35
64.71,1.46
65.35,1.56
66.01,1.65
66.67,1.73
67.33,1.81
68.01,1.88
68.69,1.96
69.37,2.04
70.07,2.11
70.77,2.17
71.48,2.21
72.19,2.27
72.91,2.33
73.64,2.39
74.38,2.44
75.12,2.50
75.87,2.56
76.63,2.60
77.40,2.66
78.17,2.70
78.95,2.74
79.74,2.78
80.54,2.83
81.35,2.87
82.16,2.91
82.98,2.93
83.81,2.96
84.65,2.99
85.50,3.01
86.35,3.04
87.22,3.07
88.09,3.11
88.97,3.15
89.86,3.17
90.76,3.20
91.66,3.22
92.58,3.24
93.51,3.28
94.44,3.30
95.39,3.34
96.34,3.36
97.30,3.40
98.28,3.43
99.26,3.48
100.25,3.52
101.25,3.57
102.27,3.59
103.29,3.61
104.32,3.64
105.37,3.67
106.42,3.70
107.48,3.73
108.56,3.76
109.64,3.78
110.74,3.79
111.85,3.78
112.97,3.78
114.10,3.77
115.24,3.77
116.39,3.77
117.55,3.76
118.73,3.76
119.92,3.75
121.12,3.74
122.33,3.73
123.55,3.72
124.79,3.70
126.03,3.69
127.29,3.68
128.57,3.66
129.85,3.65
131.15,3.64
132.46,3.63
133.79,3.63
135.12,3.63
136.48,3.62
137.84,3.63
139.22,3.61
140.61,3.60
142.02,3.57
143.44,3.55
144.87,3.51
146.32,3.49
147.78,3.46
149.26,3.41
150.75,3.38
152.26,3.35
153.78,3.32
155.32,3.31
156.88,3.28
158.44,3.26
160.03,3.23
161.63,3.21
163.24,3.20
164.88,3.17
166.53,3.15
168.19,3.14
169.87,3.10
171.57,3.04
173.29,3.00
175.02,2.92
176.77,2.87
178.54,2.81
180.32,2.76
182.13,2.71
183.95,2.63
185.79,2.58
187.65,2.53
189.52,2.46
191.42,2.40
193.33,2.36
195.27,2.31
197.22,2.27
199.19,2.24
201.18,2.19
203.19,2.16
205.23,2.11
207.28,2.05
209.35,2.01
211.44,1.98
213.56,1.95
215.69,1.92
217.85,1.88
220.03,1.85
222.23,1.80
224.45,1.75
226.70,1.71
228.96,1.66
231.25,1.64
233.57,1.62
235.90,1.60
238.26,1.58
240.64,1.54
243.05,1.51
245.48,1.47
247.93,1.41
250.41,1.40
252.92,1.37
255.45,1.36
258.00,1.34
260.58,1.31
263.19,1.26
265.82,1.22
268.48,1.18
271.16,1.14
273.87,1.10
276.61,1.08
279.38,1.07
282.17,1.07
284.99,1.05
287.84,1.01
290.72,0.99
293.63,0.96
296.57,0.94
299.53,0.91
302.53,0.91
305.55,0.90
308.61,0.88
311.69,0.85
314.81,0.82
317.96,0.77
321.14,0.72
324.35,0.68
327.59,0.65
330.87,0.62
334.18,0.61
337.52,0.57
340.90,0.55
344.30,0.51
347.75,0.48
351.23,0.43
354.74,0.39
358.28,0.35
361.87,0.33
365.49,0.30
369.14,0.28
372.83,0.26
376.56,0.23
380.33,0.19
384.13,0.15
387.97,0.11
391.85,0.08
395.77,0.05
399.73,0.04
403.72,0.02
407.76,0.01
411.84,-0.01
415.96,-0.04
420.12,-0.07
424.32,-0.10
428.56,-0.12
432.85,-0.15
437.18,-0.16
441.55,-0.16
445.96,-0.16
450.42,-0.18
454.93,-0.18
459.48,-0.20
464.07,-0.22
468.71,-0.25
473.40,-0.27
478.13,-0.30
482.91,-0.31
487.74,-0.33
492.62,-0.35
497.55,-0.36
502.52,-0.37
507.55,-0.38
512.62,-0.41
517.75,-0.44
522.93,-0.47
528.16,-0.49
533.44,-0.52
538.77,-0.55
544.16,-0.57
549.60,-0.59
555.10,-0.62
560.65,-0.65
566.25,-0.67
571.92,-0.70
577.64,-0.72
583.41,-0.75
589.25,-0.78
595.14,-0.81
601.09,-0.84
607.10,-0.85
613.17,-0.86
619.30,-0.88
625.50,-0.89
631.75,-0.92
638.07,-0.95
644.45,-0.96
650.89,-0.99
657.40,-0.99
663.98,-1.00
670.62,-1.01
677.32,-1.01
684.10,-1.02
690.94,-1.04
697.85,-1.06
704.83,-1.08
711.87,-1.11
718.99,-1.14
726.18,-1.16
733.44,-1.18
740.78,-1.19
748.19,-1.20
755.67,-1.20
763.23,-1.19
770.86,-1.17
778.57,-1.14
786.35,-1.10
794.22,-1.06
802.16,-1.01
810.18,-0.94
818.28,-0.89
826.46,-0.84
834.73,-0.79
843.08,-0.75
851.51,-0.72
860.02,-0.69
868.62,-0.66
877.31,-0.64
886.08,-0.62
894.94,-0.60
903.89,-0.60
912.93,-0.58
922.06,-0.57
931.28,-0.55
940.59,-0.54
950.00,-0.52
959.50,-0.49
969.09,-0.45
978.78,-0.41
988.57,-0.36
998.46,-0.30
1008.44,-0.24
1018.53,-0.20
1028.71,-0.15
1039.00,-0.11
1049.39,-0.06
1059.88,-0.03
1070.48,0.01
1081.19,0.05
1092.00,0.11
1102.92,0.17
1113.95,0.23
1125.09,0.30
1136.34,0.37
1147.70,0.44
1159.18,0.52
1170.77,0.60
1182.48,0.68
1194.30,0.76
1206.25,0.84
1218.31,0.93
1230.49,1.00
1242.80,1.09
1255.22,1.15
1267.78,1.21
1280.45,1.27
1293.26,1.32
1306.19,1.38
1319.25,1.44
1332.45,1.51
1345.77,1.58
1359.23,1.67
1372.82,1.76
1386.55,1.85
1400.41,1.96
1414.42,2.06
1428.56,2.17
1442.85,2.28
1457.28,2.40
1471.85,2.50
1486.57,2.63
1501.43,2.75
1516.45,2.88
1531.61,3.01
1546.93,3.14
1562.40,3.25
1578.02,3.36
1593.80,3.47
1609.74,3.57
1625.84,3.71
1642.10,3.85
1658.52,3.98
1675.10,4.11
1691.85,4.26
1708.77,4.41
1725.86,4.54
1743.12,4.69
1760.55,4.84
1778.15,4.99
1795.94,5.16
