frequency,raw
20.00,-3.37
20.20,-3.33
20.40,-3.31
20.61,-3.27
20.81,-3.24
21.02,-3.20
21.23,-3.17
21.44,-3.14
21.66,-3.10
21.87,-3.07
22.09,-3.04
22.31,-3.01
22.54,-2.96
22.76,-2.92
22.99,-2.89
23.22,-2.86
23.45,-2.83
23.69,-2.79
23.92,-2.75
24.16,-2.73
24.40,-2.70
24.65,-2.66
24.89,-2.63
25.14,-2.60
25.39,-2.57
25.65,-2.53
25.91,-2.51
26.16,-2.48
26.43,-2.45
26.69,-2.43
26.96,-2.40
27.23,-2.38
27.50,-2.36
27.77,-2.34
28.05,-2.32
28.33,-2.31
28.62,-2.30
28.90,-2.28
29.19,-2.27
29.48,-2.26
29.78,-2.26
30.08,-2.26
30.38,-2.28
30.68,-2.29
30.99,-2.30
31.30,-2.32
31.61,-2.33
31.93,-2.34
32.24,-2.36
32.57,-2.38
32.89,-2.39
33.22,-2.42
33.55,-2.43
33.89,-2.44
34.23,-2.47
34.57,-2.50
34.92,-2.52
35.27,-2.55
35.62,-2.56
35.97,-2.59
36.33,-2.62
36.70,-2.64
37.06,-2.67
37.43,-2.71
37.81,-2.74
38.19,-2.78
38.57,-2.82
38.95,-2.85
39.34,-2.89
39.74,-2.94
40.14,-2.97
40.54,-3.02
40.94,-3.06
41.35,-3.12
41.76,-3.17
42.18,-3.23
42.60,-3.28
43.03,-3.33
43.46,-3.40
43.90,-3.47
44.33,-3.53
44.78,-3.60
45.23,-3.66
45.68,-3.73
46.13,-3.80
46.60,-3.87
47.06,-3.94
47.53,-3.99
48.01,-4.05
48.49,-4.11
48.97,-4.18
49.46,-4.23
49.96,-4.28
50.46,-4.33
50.96,-4.37
51.47,-4.39
51.99,-4.42
52.51,-4.42
53.03,-4.42
53.56,-4.41
54.10,-4.39
54.64,-4.36
55.18,-4.31
55.74,-4.26
56.29,-4.19
56.86,-4.13
57.42,-4.04
58.00,-3.95
58.58,-3.85
59.16,-3.73
59.76,-3.62
60.35,-3.51
60.96,-3.38
61.57,-3.25
62.18,-3.12
62.80,-2.99
63.43,-2.86
64.07,-2.73
64.71,-2.59
65.35,-2.46
66.01,-2.36
66.67,-2.25
67.33,-2.15
68.01,-2.05
68.69,-1.95
69.37,-1.85
70.07,-1.76
70.77,-1.68
71.48,-1.62
72.19,-1.56
72.91,-1.49
73.64,-1.44
74.38,-1.38
75.12,-1.31
75.87,-1.27
76.63,-1.22
77.40,-1.17
78.17,-1.13
78.95,-1.08
79.74,-1.04
80.54,-1.01
81.35,-0.99
82.16,-0.97
82.98,-0.95
83.81,-0.95
84.65,-0.93
85.50,-0.94
86.35,-0.94
87.22,-0.95
88.09,-0.96
88.97,-0.97
89.86,-0.98
90.76,-1.01
91.66,-1.03
92.58,-1.06
93.51,-1.07
94.44,-1.09
95.39,-1.10
96.34,-1.11
97.30,-1.11
98.28,-1.12
99.26,-1.12
100.25,-1.12
101.25,-1.11
102.27,-1.11
103.29,-1.11
104.32,-1.10
105.37,-1.08
106.42,-1.07
107.48,-1.06
108.56,-1.05
109.64,-1.06
110.74,-1.07
111.85,-1.10
112.97,-1.12
114.10,-1.15
115.24,-1.18
116.39,-1.19
117.55,-1.23
118.73,-1.27
119.92,-1.33
121.12,-1.39
122.33,-1.43
123.55,-1.47
124.79,-1.52
126.03,-1.58
127.29,-1.62
128.57,-1.67
129.85,-1.72
131.15,-1.79
132.46,-1.84
133.79,-1.92
135.12,-2.00
136.48,-2.05
137.84,-2.12
139.22,-2.18
140.61,-2.24
142.02,-2.36
143.44,-2.41
144.87,-2.51
146.32,-2.58
147.78,-2.69
149.26,-2.78
150.75,-2.90
152.26,-3.01
153.78,-3.15
155.32,-3.26
156.88,-3.41
158.44,-3.52
160.03,-3.70
161.63,-3.81
163.24,-3.92
164.88,-4.09
166.53,-4.22
168.19,-4.33
169.87,-4.52
171.57,-4.64
173.29,-4.75
175.02,-4.92
176.77,-5.04
178.54,-5.15
180.32,-5.27
182.13,-5.38
183.95,-5.52
185.79,-5.61
187.65,-5.69
189.52,-5.77
191.42,-5.84
193.33,-5.89
195.27,-5.92
197.22,-5.95
199.19,-5.96
201.18,-5.96
203.19,-5.95
205.23,-5.92
207.28,-5.87
209.35,-5.80
211.44,-5.70
213.56,-5.60
215.69,-5.48
217.85,-5.34
220.03,-5.23
222.23,-5.07
224.45,-4.86
226.70,-4.63
228.96,-4.39
231.25,-4.22
233.57,-3.97
235.90,-3.67
238.26,-3.46
240.64,-3.18
243.05,-2.94
245.48,-2.65
247.93,-2.33
250.41,-2.10
252.92,-1.80
255.45,-1.57
258.00,-1.35
260.58,-1.05
263.19,-0.84
265.82,-0.57
268.48,-0.37
271.16,-0.17
273.87,0.09
276.61,0.26
279.38,0.44
282.17,0.61
284.99,0.77
287.84,0.97
290.72,1.13
293.63,1.26
296.57,1.38
299.53,1.49
302.53,1.59
305.55,1.71
308.61,1.80
311.69,1.90
314.81,1.98
317.96,2.04
321.14,2.11
324.35,2.18
327.59,2.27
330.87,2.32
334.18,2.39
337.52,2.45
340.90,2.50
344.30,2.57
347.75,2.63
351.23,2.70
354.74,2.76
358.28,2.83
361.87,2.89
365.49,2.94
369.14,2.99
372.83,3.04
376.56,3.09
380.33,3.12
384.13,3.15
387.97,3.15
391.85,3.16
395.77,3.15
399.73,3.15
403.72,3.11
407.76,3.08
411.84,3.04
415.96,3.00
420.12,2.95
424.32,2.89
428.56,2.85
432.85,2.78
437.18,2.71
441.55,2.65
