frequency,raw
20.00,-6.77
20.20,-6.71
20.40,-6.66
20.61,-6.61
20.81,-6.55
21.02,-6.49
21.23,-6.43
21.44,-6.37
21.66,-6.31
21.87,-6.25
22.09,-6.19
22.31,-6.13
22.54,-6.06
22.76,-5.99
22.99,-5.94
23.22,-5.87
23.45,-5.81
23.69,-5.74
23.92,-5.67
24.16,-5.61
24.40,-5.54
24.65,-5.47
24.89,-5.40
25.14,-5.33
25.39,-5.26
25.65,-5.19
25.91,-5.12
26.16,-5.05
26.43,-4.97
26.69,-4.91
26.96,-4.83
27.23,-4.76
27.50,-4.68
27.77,-4.62
28.05,-4.54
28.33,-4.48
28.62,-4.42
28.90,-4.34
29.19,-4.28
29.48,-4.21
29.78,-4.15
30.08,-4.09
30.38,-4.04
30.68,-3.98
30.99,-3.91
31.30,-3.86
31.61,-3.80
31.93,-3.74
32.24,-3.68
32.57,-3.63
32.89,-3.56
33.22,-3.50
33.55,-3.44
33.89,-3.37
34.23,-3.31
34.57,-3.25
34.92,-3.19
35.27,-3.13
35.62,-3.05
35.97,-2.99
36.33,-2.93
36.70,-2.86
37.06,-2.81
37.43,-2.74
37.81,-2.67
38.19,-2.61
38.57,-2.55
38.95,-2.47
39.34,-2.41
39.74,-2.35
40.14,-2.27
40.54,-2.21
40.94,-2.13
41.35,-2.07
41.76,-2.00
42.18,-1.94
42.60,-1.87
43.03,-1.80
43.46,-1.74
43.90,-1.68
44.33,-1.61
44.78,-1.55
45.23,-1.49
45.68,-1.42
46.13,-1.36
46.60,-1.31
47.06,-1.25
47.53,-1.20
48.01,-1.14
48.49,-1.10
48.97,-1.06
49.46,-1.02
49.96,-0.98
50.46,-0.96
50.96,-0.93
51.47,-0.91
51.99,-0.89
52.51,-0.88
53.03,-0.87
53.56,-0.86
54.10,-0.86
54.64,-0.85
55.18,-0.83
55.74,-0.84
56.29,-0.83
56.86,-0.84
57.42,-0.83
58.00,-0.83
58.58,-0.84
59.16,-0.83
59.76,-0.84
60.35,-0.83
60.96,-0.82
61.57,-0.82
62.18,-0.80
62.80,-0.81
63.43,-0.80
64.07,-0.79
64.71,-0.76
65.35,-0.72
66.01,-0.69
66.67,-0.65
67.33,-0.62
68.01,-0.60
68.69,-0.56
69.37,-0.53
70.07,-0.51
70.77,-0.47
71.48,-0.43
72.19,-0.38
72.91,-0.34
73.64,-0.29
74.38,-0.25
