frequency,raw
20.00,-11.73
20.20,-11.67
20.40,-11.62
20.61,-11.57
20.81,-11.51
21.02,-11.45
21.23,-11.39
21.44,-11.33
21.66,-11.27
21.87,-11.21
22.09,-11.15
22.31,-11.10
22.54,-11.03
22.76,-10.96
22.99,-10.90
23.22,-10.84
23.45,-10.78
23.69,-10.71
23.92,-10.64
24.16,-10.59
24.40,-10.52
24.65,-10.45
24.89,-10.39
25.14,-10.32
25.39,-10.26
25.65,-10.19
25.91,-10.13
26.16,-10.06
26.43,-9.99
26.69,-9.93
26.96,-9.86
27.23,-9.80
27.50,-9.73
27.77,-9.67
28.05,-9.60
28.33,-9.55
28.62,-9.50
28.90,-9.43
29.19,-9.38
29.48,-9.32
29.78,-9.27
30.08,-9.21
30.38,-9.18
30.68,-9.14
30.99,-9.09
31.30,-9.05
31.61,-9.01
31.93,-8.97
32.24,-8.93
32.57,-8.88
32.89,-8.83
33.22,-8.80
33.55,-8.75
33.89,-8.70
34.23,-8.67
34.57,-8.62
34.92,-8.58
35.27,-8.53
35.62,-8.48
35.97,-8.44
36.33,-8.41
36.70,-8.36
37.06,-8.32
37.43,-8.27
37.81,-8.23
38.19,-8.19
38.57,-8.14
38.95,-8.09
39.34,-8.04
39.74,-8.00
40.14,-7.95
40.54,-7.91
40.94,-7.86
41.35,-7.81
41.76,-7.75
42.18,-7.71
42.60,-7.65
43.03,-7.60
43.46,-7.55
43.90,-7.50
44.33,-7.45
44.78,-7.40
45.23,-7.34
45.68,-7.29
46.13,-7.23
46.60,-7.18
47.06,-7.12
47.53,-7.07
48.01,-7.01
48.49,-6.95
48.97,-6.90
49.46,-6.84
49.96,-6.79
50.46,-6.73
50.96,-6.67
51.47,-6.62
51.99,-6.56
52.51,-6.50
53.03,-6.44
53.56,-6.37
54.10,-6.31
54.64,-6.26
55.18,-6.19
55.74,-6.13
56.29,-6.06
56.86,-6.00
57.42,-5.92
58.00,-5.84
58.58,-5.77
59.16,-5.69
59.76,-5.62
60.35,-5.55
60.96,-5.46
61.57,-5.39
62.18,-5.31
62.80,-5.24
63.43,-5.17
64.07,-5.10
64.71,-5.04
65.35,-4.98
66.01,-4.93
66.67,-4.88
67.33,-4.84
68.01,-4.80
68.69,-4.74
69.37,-4.70
70.07,-4.67
70.77,-4.63
71.48,-4.62
72.19,-4.59
72.91,-4.57
73.64,-4.55
74.38,-4.52
75.12,-4.49
75.87,-4.46
76.63,-4.42
77.40,-4.38
78.17,-4.35
78.95,-4.33
79.74,-4.29
80.54,-4.27
81.35,-4.25
82.16,-4.22
82.98,-4.20
83.81,-4.19
84.65,-4.17
85.50,-4.16
86.35,-4.14
87.22,-4.12
88.09,-4.10
88.97,-4.08
89.86,-4.08
90.76,-4.08
91.66,-4.08
92.58,-4.07
93.51,-4.04
94.44,-4.02
95.39,-3.99
96.34,-3.96
97.30,-3.92
98.28,-3.89
99.26,-3.86
100.25,-3.84
101.25,-3.81
102.27,-3.80
103.29,-3.78
104.32,-3.75
105.37,-3.71
106.42,-3.67
107.48,-3.63
108.56,-3.58
109.64,-3.55
110.74,-3.51
111.85,-3.48
112.97,-3.43
114.10,-3.40
115.24,-3.37
116.39,-3.35
117.55,-3.34
118.73,-3.32
119.92,-3.31
121.12,-3.31
122.33,-3.33
123.55,-3.34
124.79,-3.38
126.03,-3.40
127.29,-3.42
128.57,-3.44
129.85,-3.44
131.15,-3.43
132.46,-3.43
133.79,-3.41
135.12,-3.39
136.48,-3.37
137.84,-3.33
139.22,-3.32
140.61,-3.29
142.02,-3.24
143.44,-3.21
144.87,-3.17
146.32,-3.16
147.78,-3.14
149.26,-3.16
150.75,-3.18
152.26,-3.20
153.78,-3.24
155.32,-3.28
156.88,-3.32
158.44,-3.34
160.03,-3.39
161.63,-3.41
163.24,-3.44
164.88,-3.49
166.53,-3.51
168.19,-3.52
169.87,-3.54
171.57,-3.55
173.29,-3.54
175.02,-3.54
176.77,-3.55
178.54,-3.55
180.32,-3.56
182.13,-3.57
183.95,-3.58
185.79,-3.59
187.65,-3.60
189.52,-3.62
191.42,-3.63
193.33,-3.63
195.27,-3.64
197.22,-3.65
199.19,-3.65
201.18,-3.66
203.19,-3.66
205.23,-3.66
207.28,-3.67
209.35,-3.67
211.44,-3.67
213.56,-3.67
215.69,-3.67
217.85,-3.68
220.03,-3.68
222.23,-3.68
224.45,-3.68
226.70,-3.67
228.96,-3.67
231.25,-3.67
233.57,-3.66
235.90,-3.65
238.26,-3.65
240.64,-3.64
243.05,-3.63
245.48,-3.62
247.93,-3.62
250.41,-3.61
252.92,-3.60
255.45,-3.59
258.00,-3.59
260.58,-3.58
263.19,-3.58
265.82,-3.57
268.48,-3.57
271.16,-3.56
273.87,-3.55
276.61,-3.55
279.38,-3.54
282.17,-3.53
284.99,-3.52
287.84,-3.51
290.72,-3.49
293.63,-3.48
296.57,-3.47
299.53,-3.46
302.53,-3.45
305.55,-3.43
308.61,-3.42
311.69,-3.41
314.81,-3.40
317.96,-3.40
321.14,-3.39
324.35,-3.38
327.59,-3.37
330.87,-3.37
334.18,-3.36
337.52,-3.36
340.90,-3.36
344.30,-3.36
347.75,-3.35
351.23,-3.35
354.74,-3.35
358.28,-3.35
361.87,-3.35
365.49,-3.35
369.14,-3.35
372.83,-3.35
376.56,-3.34
380.33,-3.34
384.13,-3.34
387.97,-3.34
391.85,-3.33
395.77,-3.33
399.73,-3.32
403.72,-3.32
407.76,-3.31
411.84,-3.30
415.96,-3.29
420.12,-3.28
424.32,-3.27
428.56,-3.25
432.85,-3.24
437.18,-3.22
441.55,-3.20
445.96,-3.18
450.42,-3.17
454.93,-3.15
459.48,-3.13
464.07,-3.11
468.71,-3.10
473.40,-3.08
478.13,-3.07
482.91,-3.05
487.74,-3.04
492.62,-3.03
497.55,-3.02
502.52,-3.01
507.55,-3.00
512.62,-3.00
517.75,-2.99
