frequency,raw
20.00,-7.98
20.20,-7.94
20.40,-7.90
20.61,-7.86
20.81,-7.81
21.02,-7.77
21.23,-7.73
21.44,-7.68
21.66,-7.64
21.87,-7.59
22.09,-7.55
22.31,-7.50
22.54,-7.45
22.76,-7.39
22.99,-7.34
23.22,-7.29
23.45,-7.24
23.69,-7.19
23.92,-7.13
24.16,-7.09
24.40,-7.03
24.65,-6.98
24.89,-6.93
25.14,-6.88
25.39,-6.82
25.65,-6.76
25.91,-6.70
26.16,-6.65
26.43,-6.59
26.69,-6.54
26.96,-6.47
27.23,-6.42
27.50,-6.36
27.77,-6.31
28.05,-6.25
28.33,-6.21
28.62,-6.16
28.90,-6.10
29.19,-6.05
29.48,-5.99
29.78,-5.95
30.08,-5.89
30.38,-5.85
30.68,-5.80
30.99,-5.74
31.30,-5.70
31.61,-5.65
31.93,-5.61
32.24,-5.57
32.57,-5.52
32.89,-5.47
33.22,-5.43
33.55,-5.38
33.89,-5.33
34.23,-5.30
34.57,-5.25
34.92,-5.21
35.27,-5.16
35.62,-5.11
35.97,-5.07
36.33,-5.03
36.70,-4.97
37.06,-4.93
37.43,-4.88
37.81,-4.82
38.19,-4.78
38.57,-4.72
38.95,-4.66
39.34,-4.61
39.74,-4.56
40.14,-4.50
40.54,-4.47
40.94,-4.43
41.35,-4.38
41.76,-4.33
42.18,-4.29
42.60,-4.24
43.03,-4.19
43.46,-4.14
43.90,-4.09
44.33,-4.05
44.78,-4.01
45.23,-3.97
45.68,-3.94
46.13,-3.90
46.60,-3.87
47.06,-3.83
47.53,-3.80
48.01,-3.77
48.49,-3.75
48.97,-3.73
49.46,-3.72
49.96,-3.71
50.46,-3.72
50.96,-3.71
51.47,-3.71
51.99,-3.72
52.51,-3.75
53.03,-3.76
53.56,-3.79
54.10,-3.82
54.64,-3.86
55.18,-3.90
55.74,-3.95
56.29,-3.99
56.86,-4.05
57.42,-4.09
58.00,-4.14
58.58,-4.19
59.16,-4.24
59.76,-4.30
60.35,-4.36
60.96,-4.41
61.57,-4.46
62.18,-4.49
62.80,-4.52
63.43,-4.55
64.07,-4.57
64.71,-4.59
65.35,-4.59
66.01,-4.60
66.67,-4.60
67.33,-4.60
68.01,-4.61
68.69,-4.60
69.37,-4.58
70.07,-4.56
70.77,-4.53
71.48,-4.51
72.19,-4.48
72.91,-4.44
73.64,-4.41
74.38,-4.38
75.12,-4.33
75.87,-4.31
76.63,-4.28
77.40,-4.24
78.17,-4.22
78.95,-4.20
79.74,-4.19
80.54,-4.18
81.35,-4.18
82.16,-4.17
82.98,-4.16
83.81,-4.17
84.65,-4.17
85.50,-4.19
86.35,-4.22
87.22,-4.25
88.09,-4.28
88.97,-4.30
89.86,-4.32
90.76,-4.32
91.66,-4.32
92.58,-4.34
93.51,-4.36
94.44,-4.38
95.39,-4.41
96.34,-4.45
97.30,-4.47
98.28,-4.51
99.26,-4.54
100.25,-4.58
101.25,-4.60
102.27,-4.63
