frequency,raw
20.00,-0.01
20.20,0.07
20.40,0.14
20.61,0.22
20.81,0.30
21.02,0.38
21.23,0.46
21.44,0.54
21.66,0.62
21.87,0.70
22.09,0.78
22.31,0.86
22.54,0.95
22.76,1.04
22.99,1.12
23.22,1.21
23.45,1.29
23.69,1.38
23.92,1.47
24.16,1.54
24.40,1.63
24.65,1.71
24.89,1.80
25.14,1.88
25.39,1.97
25.65,2.06
25.91,2.14
26.16,2.23
26.43,2.31
26.69,2.39
26.96,2.48
27.23,2.56
27.50,2.65
27.77,2.72
28.05,2.81
28.33,2.88
28.62,2.95
28.90,3.03
29.19,3.10
29.48,3.18
29.78,3.24
30.08,3.31
30.38,3.36
30.68,3.42
30.99,3.49
31.30,3.54
31.61,3.60
31.93,3.65
32.24,3.70
32.57,3.76
32.89,3.82
33.22,3.88
33.55,3.94
33.89,4.00
34.23,4.05
34.57,4.10
34.92,4.15
35.27,4.20
35.62,4.26
35.97,4.31
36.33,4.35
36.70,4.40
37.06,4.44
37.43,4.49
37.81,4.53
38.19,4.56
38.57,4.60
38.95,4.65
39.34,4.68
39.74,4.71
40.14,4.75
40.54,4.78
40.94,4.81
41.35,4.83
41.76,4.86
42.18,4.88
42.60,4.89
43.03,4.91
43.46,4.92
43.90,4.94
44.33,4.94
44.78,4.94
45.23,4.94
45.68,4.94
46.13,4.94
46.60,4.94
47.06,4.94
47.53,4.93
48.01,4.93
48.49,4.93
48.97,4.92
49.46,4.92
49.96,4.91
50.46,4.89
50.96,4.88
51.47,4.88
51.99,4.88
52.51,4.87
53.03,4.87
53.56,4.87
54.10,4.87
54.64,4.87
55.18,4.88
55.74,4.88
56.29,4.89
56.86,4.89
57.42,4.90
58.00,4.91
58.58,4.92
59.16,4.94
59.76,4.95
60.35,4.96
60.96,4.99
61.57,5.01
62.18,5.03
62.80,5.05
63.43,5.06
64.07,5.07
64.71,5.07
65.35,5.08
66.01,5.07
66.67,5.06
67.33,5.04
68.01,5.01
68.69,4.99
69.37,4.96
70.07,4.94
70.77,4.91
71.48,4.87
72.19,4.84
72.91,4.80
73.64,4.76
74.38,4.72
75.12,4.69
75.87,4.65
76.63,4.60
77.40,4.57
78.17,4.53
78.95,4.49
79.74,4.46
80.54,4.42
81.35,4.39
82.16,4.35
82.98,4.31
83.81,4.24
84.65,4.18
85.50,4.11
86.35,4.04
87.22,3.96
88.09,3.88
88.97,3.80
89.86,3.72
90.76,3.64
91.66,3.57
92.58,3.48
93.51,3.40
94.44,3.30
95.39,3.22
96.34,3.15
97.30,3.08
98.28,3.00
99.26,2.91
100.25,2.83
101.25,2.77
102.27,2.72
103.29,2.69
104.32,2.66
105.37,2.61
106.42,2.54
107.48,2.49
108.56,2.44
109.64,2.38
110.74,2.34
111.85,2.30
112.97,2.25
114.10,2.20
115.24,2.15
116.39,2.12
117.55,2.08
118.73,2.02
119.92,1.94
121.12,1.86
122.33,1.81
123.55,1.76
124.79,1.70
126.03,1.63
127.29,1.57
128.57,1.50
129.85,1.42
131.15,1.35
132.46,1.30
133.79,1.24
135.12,1.16
136.48,1.11
137.84,1.04
139.22,0.98
140.61,0.93
142.02,0.84
143.44,0.79
144.87,0.70
146.32,0.66
147.78,0.59
149.26,0.54
150.75,0.49
152.26,0.44
153.78,0.36
155.32,0.31
156.88,0.25
158.44,0.22
160.03,0.16
161.63,0.11
163.24,0.07
164.88,-0.01
166.53,-0.06
168.19,-0.10
169.87,-0.16
171.57,-0.23
173.29,-0.27
175.02,-0.35
176.77,-0.38
178.54,-0.40
180.32,-0.41
182.13,-0.42
183.95,-0.42
185.79,-0.40
187.65,-0.39
189.52,-0.36
191.42,-0.33
193.33,-0.29
195.27,-0.27
197.22,-0.25
199.19,-0.23
201.18,-0.22
203.19,-0.20
205.23,-0.18
207.28,-0.19
209.35,-0.20
211.44,-0.21
213.56,-0.20
215.69,-0.19
217.85,-0.20
220.03,-0.21
222.23,-0.22
224.45,-0.23
226.70,-0.25
228.96,-0.28
231.25,-0.31
233.57,-0.34
235.90,-0.38
238.26,-0.43
240.64,-0.49
243.05,-0.54
245.48,-0.60
247.93,-0.70
250.41,-0.75
252.92,-0.84
255.45,-0.89
258.00,-0.95
260.58,-1.01
263.19,-1.08
265.82,-1.17
268.48,-1.25
271.16,-1.29
273.87,-1.36
276.61,-1.41
279.38,-1.47
282.17,-1.51
284.99,-1.55
287.84,-1.62
290.72,-1.65
293.63,-1.70
296.57,-1.75
299.53,-1.80
302.53,-1.84
305.55,-1.89
