frequency,raw
20.00,-43.03
20.20,-43.49
20.40,-43.83
20.61,-44.04
20.81,-44.02
21.02,-43.93
21.23,-43.75
21.44,-43.52
21.66,-43.24
21.87,-42.98
22.09,-42.70
22.31,-42.45
22.54,-42.19
22.76,-41.89
22.99,-41.55
23.22,-41.17
23.45,-40.76
23.69,-40.36
23.92,-39.97
24.16,-39.63
24.40,-39.40
24.65,-39.26
24.89,-39.18
25.14,-39.16
25.39,-39.16
25.65,-39.15
25.91,-39.11
26.16,-39.00
26.43,-38.86
26.69,-38.67
26.96,-38.44
27.23,-38.17
27.50,-37.86
27.77,-37.46
28.05,-37.04
28.33,-36.60
28.62,-36.14
28.90,-35.72
29.19,-35.37
29.48,-35.10
29.78,-34.95
30.08,-34.90
30.38,-34.94
30.68,-35.05
30.99,-35.15
31.30,-35.23
31.61,-35.23
31.93,-35.17
32.24,-35.06
32.57,-34.88
32.89,-34.72
33.22,-34.54
33.55,-34.38
33.89,-34.21
34.23,-34.04
34.57,-33.89
34.92,-33.74
35.27,-33.60
35.62,-33.48
35.97,-33.40
36.33,-33.31
36.70,-33.25
37.06,-33.22
37.43,-33.19
37.81,-33.17
38.19,-33.14
38.57,-33.13
38.95,-33.09
39.34,-33.06
39.74,-33.04
40.14,-33.02
40.54,-33.03
40.94,-33.05
41.35,-33.10
41.76,-33.16
42.18,-33.25
42.60,-33.37
43.03,-33.50
43.46,-33.67
43.90,-33.87
44.33,-34.11
44.78,-34.41
45.23,-34.73
45.68,-35.08
46.13,-35.43
46.60,-35.76
47.06,-36.05
47.53,-36.31
48.01,-36.48
48.49,-36.59
48.97,-36.66
49.46,-36.65
49.96,-36.61
50.46,-36.55
50.96,-36.45
51.47,-36.34
51.99,-36.22
52.51,-36.07
53.03,-35.88
53.56,-35.66
54.10,-35.40
54.64,-35.13
55.18,-34.82
55.74,-34.48
56.29,-34.10
56.86,-33.70
57.42,-33.29
58.00,-32.88
58.58,-32.45
59.16,-32.02
59.76,-31.60
60.35,-31.16
60.96,-30.72
61.57,-30.28
62.18,-29.85
62.80,-29.43
63.43,-29.02
64.07,-28.63
64.71,-28.28
65.35,-27.97
66.01,-27.75
66.67,-27.57
67.33,-27.45
68.01,-27.42
68.69,-27.42
69.37,-27.46
70.07,-27.53
70.77,-27.60
71.48,-27.65
72.19,-27.70
72.91,-27.68
73.64,-27.63
74.38,-27.56
75.12,-27.39
75.87,-27.20
76.63,-26.99
77.40,-26.73
78.17,-26.47
78.95,-26.19
79.74,-25.91
80.54,-25.64
81.35,-25.38
82.16,-25.12
82.98,-24.88
83.81,-24.66
84.65,-24.46
85.50,-24.26
86.35,-24.08
87.22,-23.92
88.09,-23.76
88.97,-23.62
89.86,-23.49
90.76,-23.37
91.66,-23.25
92.58,-23.13
93.51,-23.03
94.44,-22.91
95.39,-22.80
96.34,-22.69
97.30,-22.57
98.28,-22.45
99.26,-22.31
100.25,-22.17
101.25,-22.03
102.27,-21.87
103.29,-21.71
104.32,-21.53
105.37,-21.35
106.42,-21.16
107.48,-20.96
108.56,-20.73
109.64,-20.50
110.74,-20.27
111.85,-20.01
112.97,-19.75
114.10,-19.45
115.24,-19.14
116.39,-18.80
117.55,-18.45
118.73,-18.08
119.92,-17.68
121.12,-17.27
122.33,-16.84
123.55,-16.41
124.79,-15.98
126.03,-15.53
127.29,-15.09
128.57,-14.65
129.85,-14.21
131.15,-13.79
132.46,-13.37
133.79,-12.96
135.12,-12.56
136.48,-12.18
137.84,-11.80
139.22,-11.44
140.61,-11.09
142.02,-10.75
143.44,-10.43
144.87,-10.11
146.32,-9.80
147.78,-9.52
149.26,-9.22
150.75,-8.96
152.26,-8.69
153.78,-8.44
155.32,-8.19
156.88,-7.96
158.44,-7.74
160.03,-7.51
161.63,-7.31
163.24,-7.11
164.88,-6.91
166.53,-6.73
168.19,-6.56
169.87,-6.39
171.57,-6.23
173.29,-6.07
175.02,-5.91
176.77,-5.77
178.54,-5.63
180.32,-5.50
182.13,-5.37
183.95,-5.24
185.79,-5.12
187.65,-5.00
189.52,-4.89
191.42,-4.78
193.33,-4.68
195.27,-4.58
197.22,-4.48
199.19,-4.39
201.18,-4.30
203.19,-4.22
205.23,-4.13
207.28,-4.05
209.35,-3.97
211.44,-3.89
213.56,-3.82
215.69,-3.75
217.85,-3.68
220.03,-3.61
222.23,-3.54
224.45,-3.48
226.70,-3.42
228.96,-3.35
231.25,-3.30
233.57,-3.23
235.90,-3.17
238.26,-3.11
240.64,-3.05
243.05,-2.99
245.48,-2.94
247.93,-2.89
250.41,-2.83
252.92,-2.76
255.45,-2.72
258.00,-2.66
260.58,-2.60
263.19,-2.56
265.82,-2.50
268.48,-2.45
271.16,-2.40
273.87,-2.36
276.61,-2.31
279.38,-2.27
282.17,-2.23
284.99,-2.18
287.84,-2.14
290.72,-2.09
293.63,-2.06
296.57,-2.02
299.53,-1.98
302.53,-1.96
305.55,-1.93
308.61,-1.91
311.69,-1.89
314.81,-1.88
317.96,-1.89
321.14,-1.90
324.35,-1.91
327.59,-1.95
330.87,-1.98
334.18,-2.03
337.52,-2.07
340.90,-2.11
344.30,-2.15
347.75,-2.16
351.23,-2.16
354.74,-2.12
358.28,-1.93
361.87,-1.76
365.49,-1.62
369.14,-1.54
