frequency,raw
20.00,7.81
20.20,7.83
20.40,7.86
20.61,7.88
20.81,7.91
21.02,7.92
21.23,7.94
21.44,7.96
21.66,7.99
21.87,8.01
22.09,8.04
22.31,8.06
22.54,8.09
22.76,8.12
22.99,8.14
23.22,8.17
23.45,8.19
23.69,8.21
23.92,8.25
24.16,8.27
24.40,8.28
24.65,8.31
24.89,8.34
25.14,8.36
25.39,8.39
25.65,8.42
25.91,8.44
26.16,8.47
26.43,8.49
26.69,8.53
26.96,8.56
27.23,8.59
27.50,8.61
27.77,8.64
28.05,8.68
28.33,8.71
28.62,8.74
28.90,8.77
29.19,8.81
29.48,8.83
29.78,8.88
30.08,8.91
30.38,8.94
30.68,8.97
30.99,9.00
31.30,9.03
31.61,9.06
31.93,9.09
32.24,9.13
32.57,9.17
32.89,9.20
33.22,9.24
33.55,9.27
33.89,9.32
34.23,9.36
34.57,9.41
34.92,9.45
35.27,9.50
35.62,9.55
35.97,9.59
36.33,9.64
36.70,9.70
37.06,9.76
37.43,9.81
37.81,9.87
38.19,9.92
38.57,9.97
38.95,10.02
39.34,10.08
39.74,10.13
40.14,10.19
40.54,10.23
40.94,10.29
41.35,10.34
41.76,10.39
42.18,10.44
42.60,10.49
43.03,10.55
43.46,10.60
43.90,10.66
44.33,10.70
44.78,10.75
45.23,10.81
45.68,10.87
46.13,10.93
46.60,10.99
47.06,11.06
47.53,11.12
48.01,11.18
48.49,11.25
48.97,11.32
49.46,11.38
49.96,11.46
50.46,11.52
50.96,11.60
51.47,11.67
51.99,11.75
52.51,11.82
53.03,11.88
53.56,11.96
54.10,12.04
54.64,12.11
55.18,12.19
55.74,12.25
56.29,12.32
56.86,12.40
57.42,12.48
58.00,12.56
58.58,12.64
59.16,12.71
59.76,12.80
60.35,12.88
60.96,12.97
61.57,13.05
62.18,13.13
62.80,13.23
63.43,13.31
64.07,13.40
64.71,13.49
65.35,13.56
66.01,13.65
66.67,13.74
67.33,13.81
68.01,13.90
68.69,13.99
69.37,14.07
70.07,14.15
70.77,14.23
71.48,14.33
72.19,14.40
72.91,14.49
73.64,14.56
74.38,14.63
75.12,14.71
75.87,14.79
76.63,14.87
77.40,14.94
78.17,15.02
78.95,15.08
79.74,15.16
80.54,15.23
81.35,15.29
82.16,15.36
82.98,15.42
83.81,15.48
84.65,15.55
85.50,15.60
86.35,15.66
87.22,15.70
88.09,15.76
88.97,15.80
89.86,15.85
90.76,15.88
91.66,15.92
92.58,15.96
93.51,15.99
94.44,16.02
95.39,16.04
96.34,16.07
97.30,16.08
98.28,16.10
99.26,16.12
100.25,16.13
101.25,16.13
102.27,16.14
103.29,16.13
104.32,16.13
105.37,16.11
106.42,16.09
107.48,16.06
108.56,16.04
109.64,15.99
110.74,15.95
111.85,15.92
112.97,15.87
114.10,15.82
115.24,15.75
116.39,15.71
117.55,15.65
118.73,15.59
119.92,15.53
121.12,15.47
122.33,15.41
123.55,15.35
124.79,15.28
126.03,15.21
127.29,15.14
128.57,15.07
129.85,14.98
131.15,14.90
132.46,14.80
133.79,14.71
135.12,14.61
136.48,14.51
137.84,14.42
139.22,14.31
140.61,14.19
142.02,14.09
143.44,13.99
144.87,13.87
146.32,13.77
147.78,13.65
149.26,13.54
150.75,13.43
152.26,13.33
153.78,13.22
155.32,13.12
156.88,13.00
158.44,12.90
160.03,12.80
161.63,12.69
163.24,12.59
164.88,12.49
166.53,12.39
168.19,12.28
169.87,12.18
171.57,12.07
173.29,11.98
175.02,11.87
176.77,11.76
178.54,11.66
180.32,11.55
182.13,11.44
183.95,11.33
185.79,11.22
187.65,11.12
189.52,11.00
191.42,10.89
193.33,10.78
195.27,10.66
197.22,10.55
199.19,10.42
201.18,10.31
203.19,10.20
205.23,10.08
207.28,9.96
209.35,9.84
211.44,9.73
213.56,9.61
215.69,9.49
217.85,9.37
220.03,9.25
222.23,9.14
224.45,9.02
226.70,8.89
228.96,8.78
231.25,8.66
233.57,8.54
235.90,8.43
238.26,8.30
240.64,8.19
243.05,8.08
245.48,7.96
247.93,7.84
250.41,7.73
252.92,7.62
255.45,7.51
258.00,7.40
260.58,7.30
263.19,7.19
265.82,7.09
268.48,6.98
271.16,6.88
273.87,6.77
276.61,6.67
279.38,6.56
282.17,6.46
284.99,6.36
287.84,6.26
290.72,6.17
293.63,6.06
296.57,5.96
299.53,5.86
302.53,5.74
305.55,5.65
308.61,5.54
311.69,5.43
314.81,5.34
317.96,5.23
321.14,5.13
324.35,5.03
327.59,4.92
330.87,4.83
334.18,4.73
337.52,4.62
340.90,4.53
344.30,4.43
347.75,4.33
351.23,4.25
354.74,4.16
358.28,4.05
361.87,3.97
365.49,3.88
369.14,3.79
372.83,3.71
376.56,3.61
380.33,3.53
384.13,3.44
387.97,3.36
391.85,3.27
395.77,3.19
399.73,3.10
403.72,3.01
407.76,2.93
411.84,2.85
415.96,2.77
420.12,2.68
424.32,2.60
428.56,2.52
432.85,2.44
437.18,2.35
441.55,2.28
445.96,2.21
450.42,2.13
454.93,2.05
459.48,1.98
464.07,1.91
468.71,1.84
473.40,1.77
478.13,1.71
482.91,1.65
487.74,1.58
492.62,1.51
497.55,1.45
502.52,1.39
507.55,1.33
512.62,1.28
517.75,1.23
522.93,1.16
528.16,1.12
533.44,1.07
538.77,1.02
544.16,0.97
549.60,0.91
555.10,0.88
560.65,0.83
566.25,0.78
571.92,0.74
577.64,0.70
583.41,0.65
589.25,0.62
595.14,0.57
601.09,0.54
607.10,0.50
613.17,0.45
619.30,0.42
625.50,0.38
631.75,0.35
638.07,0.32
644.45,0.28
650.89,0.25
657.40,0.21
663.98,0.17
670.62,0.14
677.32,0.10
684.10,0.07
690.94,0.04
697.85,0.00
704.83,-0.04
711.87,-0.07
718.99,-0.11
726.18,-0.15
733.44,-0.19
740.78,-0.22
748.19,-0.25
755.67,-0.29
763.23,-0.32
770.86,-0.35
778.57,-0.38
786.35,-0.41
794.22,-0.44
802.16,-0.47
810.18,-0.50
818.28,-0.54
826.46,-0.55
834.73,-0.58
843.08,-0.60
851.51,-0.62
860.02,-0.62
868.62,-0.64
877.31,-0.65
886.08,-0.64
894.94,-0.64
903.89,-0.63
912.93,-0.61
922.06,-0.57
931.28,-0.55
940.59,-0.51
950.00,-0.46
959.50,-0.41
969.09,-0.36
978.78,-0.31
988.57,-0.25
998.46,-0.17
1008.44,-0.10
1018.53,-0.02
1028.71,0.06
1039.00,0.12
1049.39,0.18
1059.88,0.24
1070.48,0.27
1081.19,0.29
1092.00,0.30
1102.92,0.30
1113.95,0.31
1125.09,0.31
1136.34,0.34
1147.70,0.37
1159.18,0.42
1170.77,0.49
1182.48,0.57
1194.30,0.65
1206.25,0.75
1218.31,0.84
1230.49,0.94
1242.80,1.04
1255.22,1.13
1267.78,1.20
1280.45,1.29
1293.26,1.36
1306.19,1.42
1319.25,1.49
1332.45,1.55
1345.77,1.61
1359.23,1.67
1372.82,1.73
1386.55,1.79
1400.41,1.86
1414.42,1.91
1428.56,1.97
1442.85,2.02
1457.28,2.10
1471.85,2.16
1486.57,2.21
1501.43,2.28
1516.45,2.34
1531.61,2.41
1546.93,2.48
1562.40,2.55
1578.02,2.61
1593.80,2.67
1609.74,2.74
1625.84,2.81
1642.10,2.87
1658.52,2.93
1675.10,2.99
1691.85,3.07
1708.77,3.13
1725.86,3.19
1743.12,3.26
1760.55,3.32
1778.15,3.40
1795.94,3.46
1813.90,3.55
1832.03,3.61
1850.36,3.69
1868.86,3.78
1887.55,3.85
1906.42,3.95
1925.49,4.03
1944.74,4.12
1964.19,4.22
1983.83,4.32
2003.67,4.42
2023.71,4.52
2043.94,4.63
2064.38,4.73
2085.03,4.83
2105.88,4.95
2126.94,5.06
2148.20,5.17
2169.69,5.29
2191.38,5.41
2213.30,5.53
2235.43,5.67
2257.78,5.81
2280.36,5.94
2303.17,6.08
2326.20,6.21
2349.46,6.36
2372.95,6.50
2396.68,6.66
2420.65,6.80
2444.86,6.96
2469.31,7.11
2494.00,7.27
2518.94,7.42
2544.13,7.58
2569.57,7.75
2595.27,7.88
2621.22,8.04
2647.43,8.20
2673.90,8.37
2700.64,8.52
2727.65,8.67
2754.93,8.83
2782.48,8.98
2810.30,9.11
2838.40,9.25
2866.79,9.39
2895.46,9.51
2924.41,9.63
2953.65,9.73
2983.19,9.83
3013.02,9.91
3043.15,10.00
3073.58,10.05
3104.32,10.11
3135.36,10.13
3166.72,10.15
3198.38,10.15
3230.37,10.14
3262.67,10.11
3295.30,10.06
3328.25,10.02
3361.53,9.94
3395.15,9.86
3429.10,9.77
3463.39,9.67
3498.03,9.55
3533.01,9.43
3568.34,9.31
3604.02,9.16
3640.06,9.02
3676.46,8.88
3713.22,8.73
3750.36,8.58
3787.86,8.43
3825.74,8.29
3864.00,8.14
3902.64,8.00
3941.66,7.86
3981.08,7.71
4020.89,7.58
4061.10,7.45
4101.71,7.32
4142.73,7.22
4184.15,7.11
4226.00,7.01
4268.26,6.92
4310.94,6.85
4354.05,6.79
4397.59,6.73
4441.56,6.68
4485.98,6.65
4530.84,6.62
4576.15,6.60
4621.91,6.59
4668.13,6.60
4714.81,6.61
4761.96,6.63
4809.58,6.65
4857.67,6.69
4906.25,6.74
4955.31,6.79
5004.87,6.85
5054.91,6.91
5105.46,7.00
5156.52,7.09
5208.08,7.18
5260.16,7.30
5312.77,7.42
5365.89,7.55
5419.55,7.71
5473.75,7.88
5528.49,8.06
5583.77,8.25
5639.61,8.46
5696.00,8.69
5752.96,8.95
5810.49,9.20
5868.60,9.49
5927.28,9.78
5986.56,10.08
6046.42,10.41
6106.89,10.72
6167.96,11.04
6229.64,11.37
6291.93,11.66
6354.85,11.95
6418.40,12.20
6482.58,12.42
6547.41,12.61
6612.88,12.71
6679.01,12.79
6745.80,12.82
6813.26,12.78
6881.39,12.68
6950.21,12.56
7019.71,12.37
7089.91,12.13
7160.81,11.87
7232.41,11.55
7304.74,11.22
7377.79,10.84
7451.56,10.42
7526.08,9.99
7601.34,9.52
7677.35,9.03
7754.13,8.51
7831.67,7.96
7909.98,7.41
7989.08,6.84
8068.98,6.28
8149.67,5.72
8231.16,5.17
8313.47,4.63
8396.61,4.11
8480.57,3.60
8565.38,3.14
8651.03,2.69
8737.54,2.27
8824.92,1.88
8913.17,1.54
9002.30,1.22
9092.32,0.92
9183.25,0.66
9275.08,0.43
9367.83,0.21
9461.51,0.00
9556.12,-0.20
9651.68,-0.39
9748.20,-0.60
9845.68,-0.81
9944.14,-1.02
10043.58,-1.28
10144.02,-1.55
10245.46,-1.83
10347.91,-2.15
10451.39,-2.48
10555.91,-2.85
10661.46,-3.23
10768.08,-3.65
10875.76,-4.06
10984.52,-4.50
11094.36,-4.94
11205.31,-5.37
11317.36,-5.80
11430.53,-6.20
11544.84,-6.59
11660.29,-6.96
11776.89,-7.27
11894.66,-7.55
12013.60,-7.77
12133.74,-7.93
12255.08,-8.03
12377.63,-8.10
12501.41,-8.11
12626.42,-8.05
12752.68,-7.96
12880.21,-7.81
13009.01,-7.63
13139.10,-7.40
