frequency,raw
20.00,15.08
20.20,15.09
20.40,15.11
20.61,15.12
20.81,15.14
21.02,15.15
21.23,15.15
21.44,15.16
21.66,15.18
21.87,15.18
22.09,15.20
22.31,15.20
22.54,15.21
22.76,15.22
22.99,15.22
23.22,15.23
23.45,15.24
23.69,15.24
23.92,15.25
24.16,15.25
24.40,15.24
24.65,15.24
24.89,15.25
25.14,15.25
25.39,15.25
25.65,15.25
25.91,15.24
26.16,15.24
26.43,15.24
26.69,15.24
26.96,15.24
27.23,15.23
27.50,15.22
27.77,15.22
28.05,15.22
28.33,15.21
28.62,15.21
28.90,15.21
29.19,15.21
29.48,15.19
29.78,15.20
30.08,15.19
30.38,15.18
30.68,15.18
30.99,15.17
31.30,15.17
31.61,15.15
31.93,15.14
32.24,15.14
32.57,15.13
32.89,15.12
33.22,15.11
33.55,15.09
33.89,15.08
34.23,15.07
34.57,15.06
34.92,15.05
35.27,15.04
35.62,15.03
35.97,15.00
36.33,14.99
36.70,14.98
37.06,14.97
37.43,14.95
37.81,14.94
38.19,14.92
38.57,14.90
38.95,14.88
39.34,14.86
39.74,14.84
40.14,14.82
40.54,14.78
40.94,14.76
41.35,14.73
41.76,14.69
42.18,14.66
42.60,14.62
43.03,14.60
43.46,14.56
43.90,14.53
44.33,14.47
44.78,14.44
45.23,14.40
45.68,14.35
46.13,14.32
46.60,14.28
47.06,14.25
47.53,14.21
48.01,14.17
48.49,14.14
48.97,14.10
49.46,14.06
49.96,14.03
50.46,13.98
50.96,13.95
51.47,13.91
51.99,13.88
52.51,13.84
53.03,13.80
53.56,13.76
54.10,13.72
54.64,13.67
55.18,13.63
55.74,13.57
56.29,13.53
56.86,13.47
57.42,13.43
58.00,13.38
58.58,13.33
59.16,13.27
59.76,13.22
60.35,13.16
60.96,13.12
61.57,13.06
62.18,13.00
62.80,12.96
63.43,12.90
64.07,12.85
64.71,12.79
65.35,12.72
66.01,12.66
66.67,12.60
67.33,12.53
68.01,12.47
68.69,12.40
69.37,12.33
70.07,12.26
70.77,12.19
71.48,12.12
72.19,12.04
72.91,11.97
73.64,11.89
74.38,11.80
75.12,11.73
75.87,11.65
76.63,11.57
77.40,11.49
78.17,11.41
78.95,11.32
79.74,11.24
80.54,11.15
81.35,11.07
82.16,10.98
82.98,10.90
83.81,10.82
84.65,10.75
85.50,10.67
86.35,10.61
87.22,10.54
88.09,10.49
88.97,10.43
89.86,10.39
90.76,10.35
91.66,10.31
92.58,10.29
93.51,10.26
94.44,10.24
95.39,10.23
96.34,10.23
97.30,10.23
98.28,10.25
99.26,10.26
100.25,10.28
101.25,10.28
102.27,10.29
103.29,10.29
104.32,10.28
105.37,10.26
106.42,10.21
107.48,10.16
108.56,10.11
109.64,10.04
110.74,9.95
111.85,9.89
112.97,9.80
114.10,9.72
115.24,9.62
116.39,9.54
117.55,9.46
118.73,9.37
119.92,9.29
121.12,9.21
122.33,9.14
123.55,9.06
124.79,8.99
126.03,8.92
127.29,8.84
128.57,8.77
129.85,8.69
131.15,8.61
132.46,8.51
133.79,8.42
135.12,8.33
136.48,8.23
137.84,8.14
139.22,8.04
140.61,7.93
142.02,7.83
143.44,7.73
144.87,7.62
146.32,7.52
147.78,7.40
149.26,7.30
150.75,7.19
152.26,7.09
153.78,6.98
155.32,6.87
156.88,6.76
158.44,6.65
160.03,6.54
161.63,6.42
163.24,6.31
164.88,6.19
166.53,6.06
168.19,5.93
169.87,5.81
171.57,5.67
173.29,5.55
175.02,5.41
176.77,5.27
178.54,5.14
180.32,5.00
182.13,4.85
183.95,4.71
185.79,4.57
187.65,4.42
189.52,4.27
191.42,4.11
193.33,3.95
195.27,3.79
197.22,3.63
199.19,3.45
201.18,3.29
203.19,3.12
205.23,2.95
207.28,2.78
209.35,2.60
211.44,2.43
213.56,2.26
215.69,2.08
217.85,1.91
220.03,1.74
222.23,1.57
224.45,1.40
226.70,1.23
228.96,1.07
231.25,0.93
233.57,0.78
235.90,0.64
238.26,0.51
240.64,0.39
243.05,0.28
245.48,0.17
247.93,0.07
250.41,-0.02
252.92,-0.09
255.45,-0.17
258.00,-0.23
260.58,-0.27
263.19,-0.32
265.82,-0.35
268.48,-0.39
