frequency,raw
20.00,11.79
20.20,11.79
20.40,11.79
20.61,11.78
20.81,11.79
21.02,11.78
21.23,11.77
21.44,11.76
21.66,11.76
21.87,11.76
22.09,11.76
22.31,11.75
22.54,11.74
22.76,11.74
22.99,11.73
23.22,11.73
23.45,11.71
23.69,11.70
23.92,11.70
24.16,11.70
24.40,11.68
24.65,11.67
24.89,11.67
25.14,11.66
25.39,11.65
25.65,11.65
25.91,11.64
26.16,11.63
26.43,11.63
26.69,11.63
26.96,11.62
27.23,11.62
27.50,11.60
27.77,11.60
28.05,11.61
28.33,11.59
28.62,11.59
28.90,11.59
29.19,11.58
29.48,11.57
29.78,11.57
30.08,11.56
30.38,11.54
30.68,11.53
30.99,11.52
31.30,11.51
31.61,11.48
31.93,11.47
32.24,11.46
32.57,11.45
32.89,11.44
33.22,11.43
33.55,11.41
33.89,11.40
34.23,11.40
34.57,11.39
34.92,11.38
35.27,11.38
35.62,11.38
35.97,11.36
36.33,11.36
36.70,11.37
37.06,11.36
37.43,11.36
37.81,11.36
38.19,11.35
38.57,11.34
38.95,11.34
39.34,11.33
39.74,11.32
40.14,11.31
40.54,11.29
40.94,11.28
41.35,11.26
41.76,11.24
42.18,11.23
42.60,11.21
43.03,11.20
43.46,11.18
43.90,11.16
44.33,11.13
44.78,11.11
45.23,11.09
45.68,11.06
46.13,11.05
46.60,11.02
47.06,11.01
47.53,10.98
48.01,10.96
48.49,10.95
48.97,10.93
49.46,10.91
49.96,10.90
50.46,10.87
50.96,10.86
51.47,10.84
51.99,10.83
52.51,10.81
53.03,10.78
53.56,10.77
54.10,10.75
54.64,10.72
55.18,10.70
55.74,10.66
56.29,10.64
56.86,10.61
57.42,10.58
58.00,10.56
58.58,10.54
59.16,10.50
59.76,10.48
60.35,10.45
60.96,10.43
61.57,10.40
62.18,10.37
62.80,10.36
63.43,10.32
64.07,10.30
64.71,10.27
65.35,10.24
66.01,10.21
66.67,10.18
67.33,10.14
68.01,10.11
68.69,10.08
69.37,10.04
70.07,10.01
70.77,9.97
71.48,9.95
72.19,9.91
72.91,9.87
73.64,9.83
74.38,9.78
75.12,9.75
75.87,9.71
76.63,9.67
77.40,9.63
78.17,9.59
78.95,9.55
79.74,9.51
80.54,9.46
81.35,9.42
82.16,9.37
82.98,9.33
83.81,9.28
84.65,9.23
85.50,9.18
86.35,9.13
87.22,9.08
88.09,9.04
88.97,8.97
89.86,8.93
90.76,8.87
91.66,8.82
92.58,8.77
93.51,8.71
94.44,8.65
95.39,8.60
96.34,8.54
97.30,8.49
98.28,8.44
99.26,8.38
100.25,8.33
101.25,8.26
102.27,8.21
103.29,8.16
104.32,8.10
105.37,8.04
106.42,7.98
107.48,7.91
108.56,7.86
109.64,7.79
110.74,7.72
111.85,7.67
112.97,7.60
114.10,7.54
115.24,7.46
116.39,7.42
117.55,7.36
118.73,7.29
119.92,7.23
121.12,7.18
122.33,7.12
123.55,7.06
124.79,7.01
126.03,6.95
127.29,6.89
128.57,6.83
129.85,6.76
131.15,6.69
132.46,6.61
133.79,6.54
135.12,6.46
136.48,6.38
137.84,6.30
139.22,6.21
140.61,6.12
142.02,6.03
143.44,5.94
144.87,5.85
146.32,5.76
147.78,5.66
149.26,5.56
150.75,5.45
152.26,5.36
153.78,5.25
155.32,5.15
156.88,5.04
158.44,4.93
160.03,4.82
161.63,4.70
163.24,4.58
164.88,4.46
166.53,4.34
168.19,4.21
169.87,4.09
171.57,3.96
173.29,3.84
175.02,3.71
176.77,3.58
178.54,3.45
180.32,3.32
182.13,3.18
183.95,3.06
185.79,2.93
187.65,2.80
189.52,2.67
191.42,2.54
193.33,2.42
195.27,2.30
197.22,2.18
199.19,2.05
201.18,1.94
203.19,1.83
205.23,1.72
207.28,1.61
209.35,1.49
211.44,1.39
213.56,1.28
215.69,1.17
217.85,1.06
220.03,0.96
222.23,0.85
224.45,0.74
226.70,0.64
228.96,0.54
231.25,0.45
233.57,0.36
235.90,0.28
238.26,0.20
240.64,0.13
243.05,0.07
245.48,-0.00
247.93,-0.05
250.41,-0.10
252.92,-0.13
255.45,-0.17
258.00,-0.20
260.58,-0.21
263.19,-0.22
265.82,-0.22
268.48,-0.24
271.16,-0.23
273.87,-0.24
276.61,-0.23
279.38,-0.23
282.17,-0.21
284.99,-0.19
287.84,-0.17
290.72,-0.14
293.63,-0.13
296.57,-0.11
299.53,-0.08
302.53,-0.07
305.55,-0.04
308.61,-0.03
311.69,-0.01
314.81,0.02
317.96,0.03
321.14,0.05
324.35,0.06
327.59,0.08
330.87,0.09
334.18,0.11
337.52,0.11
340.90,0.13
344.30,0.13
347.75,0.15
351.23,0.17
354.74,0.18
358.28,0.17
361.87,0.19
365.49,0.19
369.14,0.19
372.83,0.20
376.56,0.20
380.33,0.20
384.13,0.20
387.97,0.20
391.85,0.19
395.77,0.19
399.73,0.19
403.72,0.17
407.76,0.17
411.84,0.16
415.96,0.16
420.12,0.14
424.32,0.13
428.56,0.12
432.85,0.11
437.18,0.09
441.55,0.08
445.96,0.07
450.42,0.05
454.93,0.03
459.48,0.02
464.07,-0.00
468.71,-0.01
473.40,-0.03
478.13,-0.05
482.91,-0.06
487.74,-0.09
492.62,-0.12
497.55,-0.14
502.52,-0.17
507.55,-0.19
512.62,-0.21
517.75,-0.24
522.93,-0.28
528.16,-0.30
533.44,-0.33
538.77,-0.36
544.16,-0.39
549.60,-0.44
555.10,-0.46
560.65,-0.50
566.25,-0.54
571.92,-0.58
577.64,-0.62
583.41,-0.67
589.25,-0.70
595.14,-0.74
601.09,-0.77
607.10,-0.81
613.17,-0.86
619.30,-0.89
625.50,-0.93
631.75,-0.96
638.07,-0.99
644.45,-1.03
650.89,-1.06
657.40,-1.10
663.98,-1.14
670.62,-1.17
677.32,-1.21
684.10,-1.25
690.94,-1.28
697.85,-1.32
704.83,-1.36
711.87,-1.39
718.99,-1.43
726.18,-1.47
733.44,-1.50
740.78,-1.53
748.19,-1.57
755.67,-1.59
763.23,-1.62
770.86,-1.64
778.57,-1.65
786.35,-1.67
794.22,-1.68
802.16,-1.67
810.18,-1.67
818.28,-1.67
826.46,-1.64
834.73,-1.60
843.08,-1.57
851.51,-1.51
860.02,-1.44
868.62,-1.38
877.31,-1.30
886.08,-1.21
894.94,-1.13
903.89,-1.04
912.93,-0.94
922.06,-0.84
931.28,-0.75
940.59,-0.66
950.00,-0.57
959.50,-0.48
969.09,-0.40
978.78,-0.33
988.57,-0.26
998.46,-0.17
1008.44,-0.10
1018.53,-0.03
1028.71,0.05
1039.00,0.11
1049.39,0.17
1059.88,0.25
1070.48,0.31
1081.19,0.38
1092.00,0.45
1102.92,0.50
1113.95,0.58
1125.09,0.64
1136.34,0.71
1147.70,0.78
1159.18,0.84
1170.77,0.90
1182.48,0.97
1194.30,1.01
1206.25,1.08
1218.31,1.13
1230.49,1.19
1242.80,1.26
1255.22,1.31
1267.78,1.37
1280.45,1.43
1293.26,1.49
1306.19,1.54
1319.25,1.61
1332.45,1.67
1345.77,1.73
1359.23,1.80
1372.82,1.86
1386.55,1.93
1400.41,2.00
1414.42,2.06
1428.56,2.13
1442.85,2.18
1457.28,2.26
1471.85,2.32
1486.57,2.38
1501.43,2.44
1516.45,2.50
1531.61,2.57
1546.93,2.64
1562.40,2.70
1578.02,2.77
1593.80,2.83
1609.74,2.89
1625.84,2.97
1642.10,3.04
1658.52,3.10
1675.10,3.17
1691.85,3.25
1708.77,3.32
1725.86,3.40
1743.12,3.48
1760.55,3.55
1778.15,3.64
1795.94,3.72
1813.90,3.82
1832.03,3.90
1850.36,3.99
1868.86,4.10
1887.55,4.19
1906.42,4.30
1925.49,4.40
1944.74,4.51
1964.19,4.62
1983.83,4.74
2003.67,4.86
2023.71,4.97
2043.94,5.09
2064.38,5.21
2085.03,5.33
2105.88,5.46
2126.94,5.59
2148.20,5.72
2169.69,5.85
2191.38,5.98
2213.30,6.13
2235.43,6.28
2257.78,6.43
2280.36,6.58
2303.17,6.73
2326.20,6.88
2349.46,7.04
2372.95,7.19
2396.68,7.35
2420.65,7.49
2444.86,7.65
