frequency,raw
20.00,13.54
20.20,13.51
20.40,13.49
20.61,13.47
20.81,13.45
21.02,13.42
21.23,13.40
21.44,13.37
21.66,13.36
21.87,13.33
22.09,13.31
22.31,13.29
22.54,13.26
22.76,13.25
22.99,13.22
23.22,13.20
23.45,13.18
23.69,13.15
23.92,13.13
24.16,13.09
24.40,13.05
24.65,13.02
24.89,13.00
25.14,12.97
25.39,12.93
25.65,12.90
25.91,12.87
26.16,12.84
26.43,12.81
26.69,12.79
26.96,12.76
27.23,12.73
27.50,12.69
27.77,12.67
28.05,12.66
28.33,12.63
28.62,12.61
28.90,12.59
29.19,12.57
29.48,12.55
29.78,12.54
30.08,12.53
30.38,12.51
30.68,12.50
30.99,12.49
31.30,12.48
31.61,12.46
31.93,12.46
32.24,12.46
32.57,12.46
32.89,12.46
33.22,12.46
33.55,12.45
33.89,12.45
34.23,12.46
34.57,12.46
34.92,12.47
35.27,12.48
35.62,12.49
35.97,12.48
36.33,12.49
36.70,12.50
37.06,12.51
37.43,12.52
37.81,12.53
38.19,12.53
38.57,12.53
38.95,12.55
39.34,12.56
39.74,12.56
40.14,12.57
40.54,12.56
40.94,12.57
41.35,12.57
41.76,12.57
42.18,12.58
42.60,12.57
43.03,12.58
43.46,12.58
43.90,12.59
44.33,12.58
44.78,12.58
45.23,12.59
45.68,12.59
46.13,12.61
46.60,12.61
47.06,12.63
47.53,12.64
48.01,12.64
48.49,12.66
48.97,12.67
49.46,12.68
49.96,12.70
50.46,12.69
50.96,12.71
51.47,12.73
51.99,12.75
52.51,12.76
53.03,12.77
53.56,12.79
54.10,12.81
54.64,12.82
55.18,12.84
55.74,12.84
56.29,12.86
56.86,12.88
57.42,12.91
58.00,12.94
58.58,12.96
59.16,12.97
59.76,12.99
60.35,13.00
60.96,13.01
61.57,13.01
62.18,13.00
62.80,13.01
63.43,13.00
64.07,13.01
64.71,13.01
65.35,12.99
66.01,12.99
66.67,12.98
67.33,12.95
68.01,12.93
68.69,12.91
69.37,12.88
70.07,12.85
70.77,12.82
71.48,12.79
72.19,12.74
72.91,12.70
73.64,12.65
74.38,12.58
75.12,12.53
75.87,12.47
76.63,12.41
77.40,12.34
78.17,12.28
78.95,12.20
79.74,12.13
80.54,12.05
81.35,11.96
82.16,11.87
82.98,11.78
83.81,11.68
84.65,11.58
85.50,11.47
86.35,11.36
87.22,11.25
88.09,11.14
88.97,11.00
89.86,10.89
90.76,10.75
91.66,10.62
92.58,10.49
93.51,10.34
94.44,10.20
95.39,10.06
96.34,9.91
97.30,9.76
98.28,9.62
99.26,9.47
100.25,9.33
101.25,9.18
102.27,9.05
103.29,8.90
104.32,8.77
105.37,8.63
106.42,8.48
107.48,8.34
108.56,8.20
109.64,8.05
110.74,7.90
111.85,7.77
112.97,7.62
114.10,7.48
115.24,7.31
116.39,7.18
117.55,7.04
118.73,6.89
119.92,6.76
121.12,6.64
122.33,6.51
123.55,6.39
124.79,6.27
126.03,6.14
127.29,6.02
128.57,5.90
129.85,5.77
131.15,5.63
132.46,5.49
133.79,5.35
135.12,5.21
136.48,5.07
137.84,4.93
139.22,4.79
140.61,4.63
142.02,4.50
143.44,4.36
144.87,4.21
146.32,4.08
147.78,3.93
149.26,3.79
150.75,3.66
152.26,3.54
153.78,3.41
155.32,3.29
156.88,3.16
158.44,3.04
160.03,2.92
161.63,2.79
163.24,2.67
164.88,2.54
166.53,2.40
168.19,2.26
169.87,2.13
171.57,1.99
173.29,1.87
175.02,1.74
176.77,1.61
178.54,1.49
180.32,1.36
182.13,1.24
183.95,1.12
185.79,1.00
187.65,0.88
189.52,0.75
191.42,0.62
193.33,0.50
195.27,0.38
197.22,0.27
199.19,0.13
201.18,0.02
203.19,-0.08
205.23,-0.19
207.28,-0.29
209.35,-0.41
211.44,-0.51
213.56,-0.61
215.69,-0.72
217.85,-0.83
220.03,-0.94
222.23,-1.05
224.45,-1.17
226.70,-1.29
228.96,-1.39
231.25,-1.50
233.57,-1.61
235.90,-1.72
238.26,-1.83
240.64,-1.92
243.05,-2.01
245.48,-2.11
247.93,-2.20
250.41,-2.27
252.92,-2.34
255.45,-2.41
258.00,-2.48
260.58,-2.53
263.19,-2.59
265.82,-2.64
268.48,-2.70
271.16,-2.75
273.87,-2.82
276.61,-2.86
279.38,-2.93
282.17,-2.97
284.99,-3.02
287.84,-3.07
290.72,-3.11
293.63,-3.16
296.57,-3.21
299.53,-3.26
302.53,-3.31
305.55,-3.35
308.61,-3.41
311.69,-3.46
314.81,-3.49
317.96,-3.54
321.14,-3.58
324.35,-3.62
327.59,-3.66
330.87,-3.70
334.18,-3.73
337.52,-3.77
340.90,-3.79
344.30,-3.84
347.75,-3.85
351.23,-3.87
354.74,-3.89
358.28,-3.94
361.87,-3.96
365.49,-3.99
369.14,-4.02
372.83,-4.03
376.56,-4.06
380.33,-4.07
384.13,-4.09
387.97,-4.10
391.85,-4.11
395.77,-4.12
399.73,-4.12
403.72,-4.14
407.76,-4.14
411.84,-4.13
415.96,-4.13
420.12,-4.14
424.32,-4.13
428.56,-4.12
432.85,-4.11
437.18,-4.11
441.55,-4.10
445.96,-4.08
450.42,-4.07
454.93,-4.06
459.48,-4.03
464.07,-4.02
468.71,-4.00
473.40,-3.98
478.13,-3.95
482.91,-3.93
487.74,-3.91
492.62,-3.90
497.55,-3.87
502.52,-3.85
507.55,-3.83
512.62,-3.80
517.75,-3.78
522.93,-3.76
528.16,-3.73
533.44,-3.70
538.77,-3.68
544.16,-3.65
549.60,-3.63
555.10,-3.60
560.65,-3.57
566.25,-3.55
571.92,-3.52
577.64,-3.49
583.41,-3.46
589.25,-3.41
595.14,-3.38
601.09,-3.32
607.10,-3.28
613.17,-3.23
619.30,-3.17
625.50,-3.11
631.75,-3.04
638.07,-2.99
644.45,-2.93
650.89,-2.86
657.40,-2.79
663.98,-2.73
670.62,-2.65
677.32,-2.57
684.10,-2.49
690.94,-2.40
697.85,-2.33
704.83,-2.25
711.87,-2.17
718.99,-2.10
726.18,-2.02
733.44,-1.93
740.78,-1.85
748.19,-1.77
755.67,-1.68
763.23,-1.60
770.86,-1.52
778.57,-1.45
786.35,-1.37
794.22,-1.31
802.16,-1.23
810.18,-1.17
818.28,-1.11
826.46,-1.05
834.73,-0.99
843.08,-0.94
851.51,-0.90
860.02,-0.84
868.62,-0.82
877.31,-0.79
886.08,-0.77
894.94,-0.76
903.89,-0.75
912.93,-0.75
922.06,-0.74
931.28,-0.75
940.59,-0.73
