frequency,raw
20.00,8.10
20.20,8.09
20.40,8.09
20.61,8.08
20.81,8.08
21.02,8.07
21.23,8.06
21.44,8.05
21.66,8.06
21.87,8.05
22.09,8.06
22.31,8.05
22.54,8.04
22.76,8.05
22.99,8.04
23.22,8.04
23.45,8.03
23.69,8.02
23.92,8.02
24.16,8.01
24.40,7.99
24.65,7.98
24.89,7.98
25.14,7.97
25.39,7.96
25.65,7.95
25.91,7.94
26.16,7.93
26.43,7.92
26.69,7.92
26.96,7.91
27.23,7.90
27.50,7.88
27.77,7.88
28.05,7.88
28.33,7.86
28.62,7.85
28.90,7.85
29.19,7.84
29.48,7.82
29.78,7.83
30.08,7.81
30.38,7.79
30.68,7.78
30.99,7.77
31.30,7.75
31.61,7.73
31.93,7.72
32.24,7.70
32.57,7.69
32.89,7.68
33.22,7.66
33.55,7.64
33.89,7.63
34.23,7.63
34.57,7.61
34.92,7.60
35.27,7.60
35.62,7.59
35.97,7.57
36.33,7.56
36.70,7.56
37.06,7.56
37.43,7.55
37.81,7.54
38.19,7.53
38.57,7.51
38.95,7.51
39.34,7.50
39.74,7.48
40.14,7.47
40.54,7.44
40.94,7.43
41.35,7.40
41.76,7.38
42.18,7.36
42.60,7.33
43.03,7.32
43.46,7.29
43.90,7.27
44.33,7.23
44.78,7.21
45.23,7.19
45.68,7.16
46.13,7.14
46.60,7.10
47.06,7.08
47.53,7.05
48.01,7.02
48.49,7.01
48.97,6.98
49.46,6.95
49.96,6.94
50.46,6.90
50.96,6.88
51.47,6.86
51.99,6.84
52.51,6.82
53.03,6.78
53.56,6.76
54.10,6.74
54.64,6.70
55.18,6.68
55.74,6.63
56.29,6.60
56.86,6.57
57.42,6.54
58.00,6.51
58.58,6.47
59.16,6.43
59.76,6.40
60.35,6.36
60.96,6.34
61.57,6.31
62.18,6.27
62.80,6.25
63.43,6.21
64.07,6.18
64.71,6.15
65.35,6.10
66.01,6.07
66.67,6.04
67.33,5.99
68.01,5.95
68.69,5.92
69.37,5.87
70.07,5.83
70.77,5.79
71.48,5.76
72.19,5.72
72.91,5.68
73.64,5.63
74.38,5.58
75.12,5.54
75.87,5.50
76.63,5.45
77.40,5.40
78.17,5.36
78.95,5.31
79.74,5.27
80.54,5.21
81.35,5.16
82.16,5.11
82.98,5.06
83.81,5.01
84.65,4.96
85.50,4.90
86.35,4.85
87.22,4.79
88.09,4.74
88.97,4.67
89.86,4.63
90.76,4.56
91.66,4.51
92.58,4.45
93.51,4.39
94.44,4.34
95.39,4.28
96.34,4.22
97.30,4.17
98.28,4.12
99.26,4.06
100.25,4.01
101.25,3.94
102.27,3.89
103.29,3.83
104.32,3.78
105.37,3.72
106.42,3.66
107.48,3.60
108.56,3.55
109.64,3.49
110.74,3.43
111.85,3.39
112.97,3.33
114.10,3.29
115.24,3.22
116.39,3.19
117.55,3.15
118.73,3.10
119.92,3.07
121.12,3.03
122.33,3.00
123.55,2.97
124.79,2.94
126.03,2.91
127.29,2.87
128.57,2.84
129.85,2.80
131.15,2.76
132.46,2.70
133.79,2.65
135.12,2.61
136.48,2.55
137.84,2.50
139.22,2.44
140.61,2.37
142.02,2.31
143.44,2.25
144.87,2.19
146.32,2.13
147.78,2.06
149.26,1.99
150.75,1.92
152.26,1.87
153.78,1.80
155.32,1.74
156.88,1.67
158.44,1.61
160.03,1.55
161.63,1.48
163.24,1.42
164.88,1.36
166.53,1.29
168.19,1.22
169.87,1.16
171.57,1.09
173.29,1.03
175.02,0.97
176.77,0.90
178.54,0.84
180.32,0.77
182.13,0.70
183.95,0.64
185.79,0.58
187.65,0.52
189.52,0.45
191.42,0.38
193.33,0.33
195.27,0.26
197.22,0.21
199.19,0.14
201.18,0.08
203.19,0.03
205.23,-0.03
207.28,-0.08
209.35,-0.14
211.44,-0.19
213.56,-0.24
215.69,-0.29
217.85,-0.35
220.03,-0.40
222.23,-0.45
224.45,-0.50
226.70,-0.56
228.96,-0.60
231.25,-0.65
233.57,-0.69
235.90,-0.74
238.26,-0.78
240.64,-0.82
243.05,-0.86
245.48,-0.91
247.93,-0.95
250.41,-0.99
252.92,-1.02
255.45,-1.06
258.00,-1.10
260.58,-1.13
263.19,-1.17
265.82,-1.19
268.48,-1.23
271.16,-1.25
273.87,-1.29
276.61,-1.31
279.38,-1.35
282.17,-1.36
284.99,-1.38
287.84,-1.40
290.72,-1.41
293.63,-1.44
296.57,-1.45
299.53,-1.47
302.53,-1.49
305.55,-1.50
308.61,-1.53
311.69,-1.54
314.81,-1.55
317.96,-1.57
321.14,-1.58
324.35,-1.59
327.59,-1.60
330.87,-1.61
334.18,-1.61
337.52,-1.63
340.90,-1.62
344.30,-1.64
347.75,-1.64
351.23,-1.62
354.74,-1.62
358.28,-1.63
361.87,-1.62
365.49,-1.61
369.14,-1.61
372.83,-1.60
376.56,-1.59
380.33,-1.58
384.13,-1.57
387.97,-1.56
391.85,-1.55
395.77,-1.54
399.73,-1.52
403.72,-1.52
407.76,-1.50
411.84,-1.48
415.96,-1.46
420.12,-1.45
424.32,-1.44
428.56,-1.41
432.85,-1.39
437.18,-1.38
441.55,-1.35
445.96,-1.33
450.42,-1.31
454.93,-1.29
459.48,-1.27
464.07,-1.25
468.71,-1.23
473.40,-1.20
478.13,-1.18
482.91,-1.15
487.74,-1.14
492.62,-1.13
497.55,-1.10
502.52,-1.09
507.55,-1.07
512.62,-1.05
517.75,-1.04
522.93,-1.03
528.16,-1.01
533.44,-1.00
538.77,-0.99
544.16,-0.99
549.60,-0.99
555.10,-0.98
560.65,-0.98
566.25,-0.98
571.92,-0.98
577.64,-0.99
583.41,-1.00
589.25,-1.00
595.14,-1.01
601.09,-1.01
607.10,-1.02
613.17,-1.04
619.30,-1.04
625.50,-1.05
631.75,-1.05
638.07,-1.07
644.45,-1.08
650.89,-1.09
657.40,-1.11
663.98,-1.14
670.62,-1.15
677.32,-1.17
684.10,-1.20
690.94,-1.21
697.85,-1.25
704.83,-1.28
711.87,-1.31
718.99,-1.35
726.18,-1.39
733.44,-1.42
740.78,-1.45
748.19,-1.49
755.67,-1.53
763.23,-1.56
770.86,-1.60
778.57,-1.63
786.35,-1.67
794.22,-1.70
802.16,-1.73
810.18,-1.76
818.28,-1.79
826.46,-1.80
834.73,-1.81
843.08,-1.81
851.51,-1.80
860.02,-1.76
868.62,-1.74
877.31,-1.69
886.08,-1.62
894.94,-1.56
903.89,-1.47
912.93,-1.37
922.06,-1.25
931.28,-1.13
940.59,-1.00
950.00,-0.87
959.50,-0.73
969.09,-0.60
978.78,-0.47
988.57,-0.33
998.46,-0.18
1008.44,-0.04
1018.53,0.09
1028.71,0.23
1039.00,0.35
1049.39,0.47
1059.88,0.61
1070.48,0.72
1081.19,0.84
1092.00,0.96
1102.92,1.06
1113.95,1.19
1125.09,1.29
1136.34,1.41
1147.70,1.51
1159.18,1.61
1170.77,1.71
1182.48,1.81
1194.30,1.89
1206.25,1.99
1218.31,2.08
1230.49,2.16
1242.80,2.26
1255.22,2.34
1267.78,2.42
1280.45,2.51
1293.26,2.59
1306.19,2.65
1319.25,2.74
1332.45,2.80
1345.77,2.88
1359.23,2.96
1372.82,3.02
1386.55,3.10
1400.41,3.17
1414.42,3.23
1428.56,3.30
1442.85,3.36
1457.28,3.44
1471.85,3.50
1486.57,3.55
1501.43,3.62
1516.45,3.68
1531.61,3.74
1546.93,3.80
1562.40,3.86
1578.02,3.92
1593.80,3.98
1609.74,4.04
1625.84,4.11
1642.10,4.17
1658.52,4.23
1675.10,4.29
1691.85,4.36
1708.77,4.42
1725.86,4.49
1743.12,4.56
1760.55,4.63
1778.15,4.71
1795.94,4.78
1813.90,4.87
1832.03,4.94
1850.36,5.03
1868.86,5.13
1887.55,5.21
1906.42,5.32
1925.49,5.42
1944.74,5.52
