frequency,raw
20.00,14.16
20.20,14.17
20.40,14.19
20.61,14.20
20.81,14.22
21.02,14.23
21.23,14.24
21.44,14.25
21.66,14.27
21.87,14.28
22.09,14.30
22.31,14.31
22.54,14.32
22.76,14.34
22.99,14.34
23.22,14.36
23.45,14.37
23.69,14.38
23.92,14.40
24.16,14.40
24.40,14.40
24.65,14.41
24.89,14.43
25.14,14.43
25.39,14.44
25.65,14.45
25.91,14.46
26.16,14.46
26.43,14.47
26.69,14.48
26.96,14.49
27.23,14.50
27.50,14.49
27.77,14.50
28.05,14.52
28.33,14.52
28.62,14.53
28.90,14.54
29.19,14.55
29.48,14.54
29.78,14.56
30.08,14.56
30.38,14.56
30.68,14.57
30.99,14.57
31.30,14.57
31.61,14.57
31.93,14.57
32.24,14.57
32.57,14.58
32.89,14.58
33.22,14.58
33.55,14.58
33.89,14.59
34.23,14.60
34.57,14.60
34.92,14.61
35.27,14.62
35.62,14.63
35.97,14.62
36.33,14.63
36.70,14.65
37.06,14.66
37.43,14.67
37.81,14.68
38.19,14.69
38.57,14.69
38.95,14.70
39.34,14.71
39.74,14.71
40.14,14.71
40.54,14.70
40.94,14.71
41.35,14.70
41.76,14.70
42.18,14.70
42.60,14.69
43.03,14.69
43.46,14.68
43.90,14.68
44.33,14.66
44.78,14.65
45.23,14.65
45.68,14.63
46.13,14.63
46.60,14.62
47.06,14.62
47.53,14.60
48.01,14.60
48.49,14.60
48.97,14.59
49.46,14.58
49.96,14.59
50.46,14.57
50.96,14.57
51.47,14.56
51.99,14.57
52.51,14.56
53.03,14.54
53.56,14.54
54.10,14.54
54.64,14.52
55.18,14.51
55.74,14.48
56.29,14.47
56.86,14.46
57.42,14.45
58.00,14.44
58.58,14.42
59.16,14.40
59.76,14.39
60.35,14.37
60.96,14.37
61.57,14.36
62.18,14.34
62.80,14.34
63.43,14.32
64.07,14.31
64.71,14.30
65.35,14.27
66.01,14.26
66.67,14.25
67.33,14.22
68.01,14.20
68.69,14.19
69.37,14.16
70.07,14.14
70.77,14.13
71.48,14.12
72.19,14.09
72.91,14.07
73.64,14.05
74.38,14.01
75.12,13.99
75.87,13.97
76.63,13.94
77.40,13.92
78.17,13.90
78.95,13.86
79.74,13.84
80.54,13.81
81.35,13.78
82.16,13.75
82.98,13.72
83.81,13.69
84.65,13.66
85.50,13.63
86.35,13.60
87.22,13.56
88.09,13.53
88.97,13.49
89.86,13.47
90.76,13.42
91.66,13.39
92.58,13.36
93.51,13.32
94.44,13.29
95.39,13.25
96.34,13.22
97.30,13.18
98.28,13.16
99.26,13.12
100.25,13.10
101.25,13.05
102.27,13.03
103.29,12.99
104.32,12.97
105.37,12.93
106.42,12.89
107.48,12.86
108.56,12.83
109.64,12.79
110.74,12.74
111.85,12.72
112.97,12.68
114.10,12.65
115.24,12.60
116.39,12.58
117.55,12.55
118.73,12.51
119.92,12.48
121.12,12.46
122.33,12.44
123.55,12.42
124.79,12.39
126.03,12.37
127.29,12.35
128.57,12.33
129.85,12.29
131.15,12.26
132.46,12.22
133.79,12.18
135.12,12.14
136.48,12.09
137.84,12.05
139.22,12.00
140.61,11.94
142.02,11.90
143.44,11.85
144.87,11.79
146.32,11.74
147.78,11.67
149.26,11.62
150.75,11.56
152.26,11.51
153.78,11.45
155.32,11.39
156.88,11.33
158.44,11.28
160.03,11.22
161.63,11.15
163.24,11.09
164.88,11.04
166.53,10.97
168.19,10.90
169.87,10.84
171.57,10.77
173.29,10.71
175.02,10.64
176.77,10.57
178.54,10.51
180.32,10.44
182.13,10.37
183.95,10.31
185.79,10.25
187.65,10.19
189.52,10.13
191.42,10.07
193.33,10.02
195.27,9.97
197.22,9.92
199.19,9.86
201.18,9.82
203.19,9.78
205.23,9.73
207.28,9.70
209.35,9.66
211.44,9.63
213.56,9.61
215.69,9.59
217.85,9.57
220.03,9.55
222.23,9.54
224.45,9.52
226.70,9.49
228.96,9.48
231.25,9.45
233.57,9.43
235.90,9.40
238.26,9.36
240.64,9.33
243.05,9.29
245.48,9.24
247.93,9.18
250.41,9.13
252.92,9.08
255.45,9.02
258.00,8.95
260.58,8.90
263.19,8.83
265.82,8.77
268.48,8.69
271.16,8.63
273.87,8.55
276.61,8.48
279.38,8.40
282.17,8.34
284.99,8.27
287.84,8.20
290.72,8.14
293.63,8.06
296.57,7.99
299.53,7.91
302.53,7.83
305.55,7.77
308.61,7.68
311.69,7.61
314.81,7.54
317.96,7.46
321.14,7.38
324.35,7.31
327.59,7.23
330.87,7.16
334.18,7.09
337.52,7.00
340.90,6.94
344.30,6.86
347.75,6.79
351.23,6.73
354.74,6.66
358.28,6.57
361.87,6.51
365.49,6.44
369.14,6.37
372.83,6.31
376.56,6.23
380.33,6.17
384.13,6.10
387.97,6.02
391.85,5.95
395.77,5.88
399.73,5.81
403.72,5.73
407.76,5.66
411.84,5.59
415.96,5.53
420.12,5.45
424.32,5.38
428.56,5.31
432.85,5.24
437.18,5.16
441.55,5.10
445.96,5.03
450.42,4.96
454.93,4.88
459.48,4.82
464.07,4.74
468.71,4.67
473.40,4.60
478.13,4.53
482.91,4.47
487.74,4.39
492.62,4.31
497.55,4.24
502.52,4.16
507.55,4.09
512.62,4.02
517.75,3.95
522.93,3.87
528.16,3.80
533.44,3.72
538.77,3.65
544.16,3.57
549.60,3.48
555.10,3.41
560.65,3.33
566.25,3.25
571.92,3.17
577.64,3.09
583.41,3.01
589.25,2.94
595.14,2.86
601.09,2.79
607.10,2.71
613.17,2.62
619.30,2.55
625.50,2.48
631.75,2.41
638.07,2.34
644.45,2.26
650.89,2.20
657.40,2.12
663.98,2.04
670.62,1.97
677.32,1.89
684.10,1.81
690.94,1.74
697.85,1.65
704.83,1.57
711.87,1.49
718.99,1.40
726.18,1.31
733.44,1.23
740.78,1.16
748.19,1.08
755.67,1.00
763.23,0.93
770.86,0.86
778.57,0.79
786.35,0.72
794.22,0.66
802.16,0.60
810.18,0.54
818.28,0.48
826.46,0.44
834.73,0.39
843.08,0.34
851.51,0.30
860.02,0.28
868.62,0.24
877.31,0.19
886.08,0.15
894.94,0.09
903.89,0.04
912.93,-0.01
922.06,-0.05
931.28,-0.09
940.59,-0.12
950.00,-0.14
959.50,-0.16
969.09,-0.17
978.78,-0.18
988.57,-0.18
998.46,-0.16
1008.44,-0.15
1018.53,-0.14
1028.71,-0.11
1039.00,-0.10
1049.39,-0.07
1059.88,-0.03
1070.48,0.00
1081.19,0.05
1092.00,0.09
1102.92,0.14
1113.95,0.20
1125.09,0.25
1136.34,0.31
1147.70,0.36
1159.18,0.41
1170.77,0.46
1182.48,0.52
1194.30,0.55
1206.25,0.61
1218.31,0.65
1230.49,0.69
1242.80,0.75
1255.22,0.79
1267.78,0.82
1280.45,0.86
1293.26,0.90
1306.19,0.92
1319.25,0.96
1332.45,0.99
1345.77,1.02
1359.23,1.06
1372.82,1.09
1386.55,1.13
1400.41,1.18
1414.42,1.21
1428.56,1.26
1442.85,1.30
1457.28,1.36
1471.85,1.41
1486.57,1.45
1501.43,1.51
1516.45,1.56
1531.61,1.61
1546.93,1.67
1562.40,1.72
1578.02,1.78
1593.80,1.83
1609.74,1.89
1625.84,1.96
1642.10,2.02
1658.52,2.08
1675.10,2.14
1691.85,2.21
1708.77,2.27
1725.86,2.34
1743.12,2.42
1760.55,2.48
1778.15,2.56
1795.94,2.63
1813.90,2.72
1832.03,2.79
1850.36,2.87
1868.86,2.96
1887.55,3.04
1906.42,3.13
1925.49,3.21
1944.74,3.29
1964.19,3.38
1983.83,3.48
2003.67,3.57
2023.71,3.65
2043.94,3.74
2064.38,3.82
2085.03,3.90
2105.88,3.99
2126.94,4.07
2148.20,4.14
2169.69,4.22
2191.38,4.29
2213.30,4.37
2235.43,4.46
2257.78,4.54
2280.36,4.61
2303.17,4.68
2326.20,4.75
2349.46,4.82
2372.95,4.88
2396.68,4.95
2420.65,5.00
2444.86,5.06
2469.31,5.11
2494.00,5.17
2518.94,5.21
2544.13,5.26
2569.57,5.31
2595.27,5.32
2621.22,5.36
2647.43,5.39
2673.90,5.42
2700.64,5.45
2727.65,5.46
2754.93,5.48
2782.48,5.50
2810.30,5.50
2838.40,5.51
2866.79,5.53
2895.46,5.53
2924.41,5.53
2953.65,5.53
2983.19,5.53
3013.02,5.52
3043.15,5.52
3073.58,5.52
3104.32,5.51
3135.36,5.49
3166.72,5.49
3198.38,5.47
3230.37,5.45
3262.67,5.44
3295.30,5.42
3328.25,5.42
3361.53,5.39
3395.15,5.37
3429.10,5.36
3463.39,5.34
3498.03,5.32
3533.01,5.30
3568.34,5.29
3604.02,5.27
3640.06,5.26
3676.46,5.24
3713.22,5.22
3750.36,5.22
3787.86,5.21
3825.74,5.21
3864.00,5.21
3902.64,5.21
3941.66,5.23
3981.08,5.23
4020.89,5.26
4061.10,5.28
4101.71,5.31
4142.73,5.37
4184.15,5.42
4226.00,5.48
4268.26,5.56
4310.94,5.65
4354.05,5.75
4397.59,5.86
4441.56,5.97
4485.98,6.11
4530.84,6.25
4576.15,6.39
4621.91,6.56
4668.13,6.73
4714.81,6.91
4761.96,7.08
4809.58,7.26
4857.67,7.45
4906.25,7.64
4955.31,7.82
5004.87,8.00
5054.91,8.17
5105.46,8.34
5156.52,8.48
5208.08,8.60
5260.16,8.69
5312.77,8.74
5365.89,8.76
5419.55,8.75
5473.75,8.65
5528.49,8.53
5583.77,8.37
5639.61,8.12
5696.00,7.85
5752.96,7.55
5810.49,7.18
5868.60,6.80
5927.28,6.39
5986.56,5.96
6046.42,5.53
6106.89,5.07
6167.96,4.62
6229.64,4.19
6291.93,3.74
6354.85,3.31
6418.40,2.90
6482.58,2.51
6547.41,2.14
6612.88,1.78
6679.01,1.45
6745.80,1.15
6813.26,0.87
6881.39,0.61
6950.21,0.37
7019.71,0.14
7089.91,-0.09
7160.81,-0.30
7232.41,-0.55
7304.74,-0.77
7377.79,-1.03
7451.56,-1.32
7526.08,-1.60
7601.34,-1.92
7677.35,-2.26
7754.13,-2.62
7831.67,-3.01
7909.98,-3.39
