frequency,raw
20.00,14.09
20.20,14.22
20.40,14.35
20.61,14.48
20.81,14.61
21.02,14.74
21.23,14.86
21.44,14.98
21.66,15.11
21.87,15.23
22.09,15.35
22.31,15.47
22.54,15.58
22.76,15.69
22.99,15.80
23.22,15.91
23.45,16.01
23.69,16.10
23.92,16.20
24.16,16.28
24.40,16.35
24.65,16.42
24.89,16.50
25.14,16.57
25.39,16.63
25.65,16.69
25.91,16.74
26.16,16.79
26.43,16.84
26.69,16.89
26.96,16.93
27.23,16.96
27.50,16.99
27.77,17.01
28.05,17.05
28.33,17.06
28.62,17.07
28.90,17.09
29.19,17.10
29.48,17.09
29.78,17.11
30.08,17.10
30.38,17.09
30.68,17.08
30.99,17.07
31.30,17.05
31.61,17.02
31.93,17.00
32.24,16.98
32.57,16.95
32.89,16.91
33.22,16.88
33.55,16.83
33.89,16.79
34.23,16.75
34.57,16.71
34.92,16.66
35.27,16.61
35.62,16.56
35.97,16.49
36.33,16.43
36.70,16.38
37.06,16.31
37.43,16.25
37.81,16.18
38.19,16.10
38.57,16.02
38.95,15.95
39.34,15.88
39.74,15.79
40.14,15.71
40.54,15.61
40.94,15.53
41.35,15.44
41.76,15.34
42.18,15.25
42.60,15.15
43.03,15.06
43.46,14.96
43.90,14.86
44.33,14.75
44.78,14.66
45.23,14.56
45.68,14.46
46.13,14.37
46.60,14.27
47.06,14.18
47.53,14.09
48.01,13.99
48.49,13.91
48.97,13.81
49.46,13.72
49.96,13.63
50.46,13.53
50.96,13.45
51.47,13.36
51.99,13.28
52.51,13.19
53.03,13.10
53.56,13.02
54.10,12.94
54.64,12.85
55.18,12.78
55.74,12.68
56.29,12.62
56.86,12.55
57.42,12.49
58.00,12.43
58.58,12.37
59.16,12.30
59.76,12.23
60.35,12.16
60.96,12.10
61.57,12.03
62.18,11.95
62.80,11.89
63.43,11.82
64.07,11.77
64.71,11.71
65.35,11.65
66.01,11.60
66.67,11.54
67.33,11.48
68.01,11.43
68.69,11.37
69.37,11.31
70.07,11.26
70.77,11.21
71.48,11.17
72.19,11.12
72.91,11.08
73.64,11.02
74.38,10.96
75.12,10.92
75.87,10.88
76.63,10.85
77.40,10.81
78.17,10.77
78.95,10.73
79.74,10.71
80.54,10.67
81.35,10.64
82.16,10.60
82.98,10.57
83.81,10.53
84.65,10.50
85.50,10.46
86.35,10.43
87.22,10.39
88.09,10.36
88.97,10.32
89.86,10.29
90.76,10.24
91.66,10.21
92.58,10.17
93.51,10.12
94.44,10.08
95.39,10.04
96.34,10.00
97.30,9.96
98.28,9.93
99.26,9.89
100.25,9.86
101.25,9.82
102.27,9.79
103.29,9.76
104.32,9.74
105.37,9.70
106.42,9.67
107.48,9.63
108.56,9.61
109.64,9.57
110.74,9.53
111.85,9.51
112.97,9.47
114.10,9.43
115.24,9.38
116.39,9.36
117.55,9.32
118.73,9.28
119.92,9.26
121.12,9.24
122.33,9.23
123.55,9.21
124.79,9.19
126.03,9.18
127.29,9.17
128.57,9.15
129.85,9.12
131.15,9.09
132.46,9.05
133.79,9.01
135.12,8.97
136.48,8.92
137.84,8.89
139.22,8.83
140.61,8.78
142.02,8.73
143.44,8.69
144.87,8.63
146.32,8.59
147.78,8.53
149.26,8.48
150.75,8.42
152.26,8.39
153.78,8.35
155.32,8.31
156.88,8.26
158.44,8.22
160.03,8.18
161.63,8.13
163.24,8.08
164.88,8.04
166.53,7.98
168.19,7.93
169.87,7.88
171.57,7.82
173.29,7.77
175.02,7.73
176.77,7.68
178.54,7.64
180.32,7.59
182.13,7.54
183.95,7.51
185.79,7.46
187.65,7.42
189.52,7.37
191.42,7.32
193.33,7.27
195.27,7.22
197.22,7.18
199.19,7.11
201.18,7.06
203.19,7.03
205.23,6.98
207.28,6.94
209.35,6.89
211.44,6.85
213.56,6.82
215.69,6.77
217.85,6.73
220.03,6.68
222.23,6.63
224.45,6.58
226.70,6.52
228.96,6.47
231.25,6.42
233.57,6.36
235.90,6.31
238.26,6.25
240.64,6.19
243.05,6.14
245.48,6.08
247.93,6.01
250.41,5.95
252.92,5.90
255.45,5.84
258.00,5.78
260.58,5.73
263.19,5.67
265.82,5.61
268.48,5.54
271.16,5.48
273.87,5.40
276.61,5.34
279.38,5.26
282.17,5.20
284.99,5.13
287.84,5.06
290.72,4.99
293.63,4.91
296.57,4.83
299.53,4.75
302.53,4.66
305.55,4.59
308.61,4.49
311.69,4.41
314.81,4.34
317.96,4.24
321.14,4.16
324.35,4.08
327.59,4.00
330.87,3.93
334.18,3.85
337.52,3.77
340.90,3.70
344.30,3.61
347.75,3.54
351.23,3.48
354.74,3.40
358.28,3.31
361.87,3.25
365.49,3.17
369.14,3.09
372.83,3.02
376.56,2.95
380.33,2.89
384.13,2.83
387.97,2.77
391.85,2.71
395.77,2.65
399.73,2.60
403.72,2.53
407.76,2.46
411.84,2.40
415.96,2.34
420.12,2.27
424.32,2.22
428.56,2.17
432.85,2.12
437.18,2.07
441.55,2.04
445.96,2.02
450.42,2.00
454.93,1.98
459.48,1.97
464.07,1.97
468.71,1.96
473.40,1.97
478.13,1.97
482.91,1.98
487.74,1.99
492.62,1.99
497.55,2.01
502.52,2.02
507.55,2.04
512.62,2.05
517.75,2.07
522.93,2.07
528.16,2.10
533.44,2.11
538.77,2.12
544.16,2.14
549.60,2.14
555.10,2.16
560.65,2.17
566.25,2.17
571.92,2.18
577.64,2.18
583.41,2.19
589.25,2.21
595.14,2.21
601.09,2.23
607.10,2.24
613.17,2.25
619.30,2.27
625.50,2.27
631.75,2.29
638.07,2.28
644.45,2.28
650.89,2.28
657.40,2.26
663.98,2.23
670.62,2.21
677.32,2.18
684.10,2.15
690.94,2.11
697.85,2.04
704.83,1.97
711.87,1.90
718.99,1.82
726.18,1.73
733.44,1.63
740.78,1.54
748.19,1.43
755.67,1.32
763.23,1.21
770.86,1.09
778.57,0.96
786.35,0.84
794.22,0.70
802.16,0.58
810.18,0.45
818.28,0.31
826.46,0.21
834.73,0.10
843.08,-0.02
851.51,-0.11
860.02,-0.19
868.62,-0.28
877.31,-0.35
886.08,-0.40
894.94,-0.45
903.89,-0.48
912.93,-0.50
922.06,-0.50
931.28,-0.49
940.59,-0.47
950.00,-0.44
959.50,-0.41
969.09,-0.36
978.78,-0.32
988.57,-0.26
998.46,-0.17
1008.44,-0.09
1018.53,-0.00
1028.71,0.10
1039.00,0.20
1049.39,0.31
1059.88,0.44
1070.48,0.56
1081.19,0.69
1092.00,0.83
1102.92,0.96
1113.95,1.11
1125.09,1.25
1136.34,1.41
1147.70,1.57
1159.18,1.73
1170.77,1.88
1182.48,2.04
1194.30,2.17
1206.25,2.32
1218.31,2.45
1230.49,2.59
1242.80,2.73
1255.22,2.87
1267.78,3.00
1280.45,3.15
1293.26,3.28
1306.19,3.39
1319.25,3.52
1332.45,3.64
1345.77,3.76
1359.23,3.89
1372.82,4.00
1386.55,4.11
1400.41,4.22
1414.42,4.31
1428.56,4.41
1442.85,4.49
1457.28,4.60
1471.85,4.69
1486.57,4.78
1501.43,4.88
1516.45,4.99
1531.61,5.10
1546.93,5.22
1562.40,5.34
1578.02,5.46
1593.80,5.58
1609.74,5.71
1625.84,5.86
1642.10,6.01
1658.52,6.16
1675.10,6.31
1691.85,6.49
1708.77,6.66
1725.86,6.85
1743.12,7.04
1760.55,7.23
1778.15,7.44
1795.94,7.65
1813.90,7.88
1832.03,8.10
1850.36,8.34
1868.86,8.59
1887.55,8.82
1906.42,9.08
1925.49,9.31
1944.74,9.55
1964.19,9.77
1983.83,9.99
2003.67,10.21
2023.71,10.41
2043.94,10.59
2064.38,10.75
2085.03,10.90
2105.88,11.03
2126.94,11.14
2148.20,11.22
2169.69,11.29
2191.38,11.35
2213.30,11.40
2235.43,11.44
2257.78,11.47
2280.36,11.48
2303.17,11.49
2326.20,11.50
2349.46,11.52
2372.95,11.54
2396.68,11.57
2420.65,11.60
2444.86,11.67
2469.31,11.74
2494.00,11.84
2518.94,11.94
2544.13,12.06
2569.57,12.18
2595.27,12.27
2621.22,12.35
2647.43,12.41
2673.90,12.46
2700.64,12.48
2727.65,12.48
2754.93,12.47
2782.48,12.44
2810.30,12.34
2838.40,12.23
2866.79,12.10
2895.46,11.95
2924.41,11.80
2953.65,11.65
2983.19,11.51
3013.02,11.37
3043.15,11.25
3073.58,11.15
3104.32,11.07
3135.36,11.00
3166.72,10.96
3198.38,10.91
3230.37,10.87
3262.67,10.83
3295.30,10.78
3328.25,10.74
3361.53,10.65
3395.15,10.55
3429.10,10.43
3463.39,10.28
3498.03,10.10
3533.01,9.91
3568.34,9.73
3604.02,9.53
3640.06,9.36
3676.46,9.20
3713.22,9.08
3750.36,9.02
3787.86,8.99
3825.74,9.02
3864.00,9.09
3902.64,9.20
3941.66,9.35
3981.08,9.53
4020.89,9.73
4061.10,9.94
4101.71,10.14
4142.73,10.35
4184.15,10.55
4226.00,10.71
4268.26,10.85
4310.94,10.97
4354.05,11.05
4397.59,11.10
4441.56,11.12
4485.98,11.14
4530.84,11.13
4576.15,11.11
4621.91,11.10
4668.13,11.07
4714.81,11.03
4761.96,10.96
4809.58,10.83
4857.67,10.66
4906.25,10.48
4955.31,10.24
5004.87,10.00
5054.91,9.75
5105.46,9.54
5156.52,9.34
5208.08,9.15
5260.16,8.99
5312.77,8.84
5365.89,8.67
5419.55,8.51
5473.75,8.28
5528.49,8.04
5583.77,7.77
5639.61,7.47
5696.00,7.20
5752.96,6.94
5810.49,6.69
5868.60,6.49
5927.28,6.29
5986.56,6.13
6046.42,5.99
6106.89,5.86
6167.96,5.77
6229.64,5.74
6291.93,5.74
6354.85,5.80
6418.40,5.99
6482.58,6.26
6547.41,6.62
6612.88,7.08
6679.01,7.61
6745.80,8.17
6813.26,8.74
6881.39,9.28
6950.21,9.80
7019.71,10.21
7089.91,10.47
7160.81,10.60
7232.41,10.55
7304.74,10.29
7377.79,9.88
7451.56,9.31
7526.08,8.58
7601.34,7.77
7677.35,6.90
7754.13,5.99
7831.67,5.06
7909.98,4.15
7989.08,3.25
8068.98,2.38
8149.67,1.51
8231.16,0.67
8313.47,-0.17
8396.61,-0.98
8480.57,-1.78
8565.38,-2.53
8651.03,-3.23
8737.54,-3.88
8824.92,-4.41
8913.17,-4.81
9002.30,-5.14
9092.32,-5.34
9183.25,-5.43
9275.08,-5.39
9367.83,-5.21
9461.51,-4.85
9556.12,-4.37
9651.68,-3.74
9748.20,-2.98
9845.68,-2.13
9944.14,-1.20
10043.58,-0.27
10144.02,0.62
10245.46,1.41
10347.91,1.92
10451.39,2.16
10555.91,2.15
10661.46,1.82
10768.08,1.31
10875.76,0.70
10984.52,-0.06
11094.36,-0.90
11205.31,-1.72
11317.36,-2.51
11430.53,-3.17
11544.84,-3.81
11660.29,-4.41
11776.89,-4.96
11894.66,-5.49
12013.60,-5.97
12133.74,-6.45
12255.08,-6.93
12377.63,-7.40
12501.41,-7.81
12626.42,-8.16
12752.68,-8.54
12880.21,-8.99
13009.01,-9.62
13139.10,-10.25
13270.49,-10.85
13403.20,-11.33
13537.23,-11.83
13672.60,-12.37
13809.33,-13.32
13947.42,-14.34
14086.90,-15.45
14227.77,-17.00
14370.04,-18.95
14513.74,-21.26
14658.88,-24.10
14805.47,-27.54
14953.52,-31.27
15103.06,-35.26
15254.09,-39.02
15406.63,-42.70
15560.70,-46.36
15716.30,-49.42
15873.47,-52.00
16032.20,-54.11
16192.52,-55.62
16354.45,-56.77
