frequency,raw
20.00,13.75
20.20,13.73
20.40,13.73
20.61,13.71
20.81,13.70
21.02,13.68
21.23,13.66
21.44,13.64
21.66,13.64
21.87,13.62
22.09,13.61
22.31,13.59
22.54,13.57
22.76,13.56
22.99,13.54
23.22,13.53
23.45,13.51
23.69,13.49
23.92,13.48
24.16,13.46
24.40,13.43
24.65,13.41
24.89,13.40
25.14,13.38
25.39,13.36
25.65,13.33
25.91,13.31
26.16,13.29
26.43,13.26
26.69,13.25
26.96,13.23
27.23,13.20
27.50,13.17
27.77,13.15
28.05,13.14
28.33,13.11
28.62,13.09
28.90,13.07
29.19,13.05
29.48,13.02
29.78,13.01
30.08,12.98
30.38,12.95
30.68,12.93
30.99,12.90
31.30,12.88
31.61,12.85
31.93,12.82
32.24,12.80
32.57,12.78
32.89,12.75
33.22,12.73
33.55,12.70
33.89,12.68
34.23,12.66
34.57,12.64
34.92,12.62
35.27,12.61
35.62,12.59
35.97,12.56
36.33,12.54
36.70,12.54
37.06,12.52
37.43,12.50
37.81,12.49
38.19,12.47
38.57,12.45
38.95,12.43
39.34,12.42
39.74,12.39
40.14,12.37
40.54,12.34
40.94,12.32
41.35,12.29
41.76,12.26
42.18,12.24
42.60,12.20
43.03,12.18
43.46,12.15
43.90,12.13
44.33,12.08
44.78,12.05
45.23,12.02
45.68,11.98
46.13,11.96
46.60,11.92
47.06,11.90
47.53,11.87
48.01,11.84
48.49,11.81
48.97,11.78
49.46,11.76
49.96,11.74
50.46,11.70
50.96,11.68
51.47,11.65
51.99,11.63
52.51,11.60
53.03,11.56
53.56,11.53
54.10,11.51
54.64,11.47
55.18,11.44
55.74,11.39
56.29,11.36
56.86,11.33
57.42,11.29
58.00,11.26
58.58,11.23
59.16,11.19
59.76,11.15
60.35,11.12
60.96,11.09
61.57,11.06
62.18,11.02
62.80,11.00
63.43,10.96
64.07,10.93
64.71,10.90
65.35,10.85
66.01,10.82
66.67,10.78
67.33,10.74
68.01,10.70
68.69,10.67
69.37,10.63
70.07,10.59
70.77,10.55
71.48,10.52
72.19,10.48
72.91,10.44
73.64,10.40
74.38,10.34
75.12,10.31
75.87,10.27
76.63,10.23
77.40,10.19
78.17,10.15
78.95,10.10
79.74,10.06
80.54,10.02
81.35,9.97
82.16,9.93
82.98,9.88
83.81,9.84
84.65,9.79
85.50,9.75
86.35,9.70
87.22,9.65
88.09,9.61
88.97,9.56
89.86,9.52
90.76,9.47
91.66,9.42
92.58,9.38
93.51,9.33
94.44,9.29
95.39,9.24
96.34,9.20
97.30,9.15
98.28,9.12
99.26,9.08
100.25,9.04
101.25,8.99
102.27,8.96
103.29,8.92
104.32,8.89
105.37,8.84
106.42,8.80
107.48,8.76
108.56,8.72
109.64,8.68
110.74,8.64
111.85,8.61
112.97,8.57
114.10,8.53
115.24,8.48
116.39,8.46
117.55,8.43
118.73,8.40
119.92,8.37
121.12,8.35
122.33,8.32
123.55,8.30
124.79,8.28
126.03,8.26
127.29,8.24
128.57,8.22
129.85,8.19
131.15,8.16
132.46,8.12
133.79,8.08
135.12,8.05
136.48,8.00
137.84,7.97
139.22,7.93
140.61,7.88
142.02,7.84
143.44,7.80
144.87,7.75
146.32,7.71
147.78,7.66
149.26,7.62
150.75,7.58
152.26,7.54
153.78,7.50
155.32,7.47
156.88,7.42
158.44,7.39
160.03,7.36
161.63,7.31
163.24,7.28
164.88,7.25
166.53,7.20
168.19,7.16
169.87,7.13
171.57,7.08
173.29,7.06
175.02,7.02
176.77,6.98
178.54,6.94
180.32,6.90
182.13,6.86
183.95,6.82
185.79,6.78
187.65,6.74
189.52,6.70
191.42,6.65
193.33,6.62
195.27,6.57
197.22,6.54
199.19,6.48
201.18,6.44
203.19,6.41
205.23,6.36
207.28,6.33
209.35,6.28
211.44,6.24
213.56,6.20
215.69,6.16
217.85,6.11
220.03,6.07
222.23,6.02
224.45,5.98
226.70,5.92
228.96,5.88
231.25,5.84
233.57,5.79
235.90,5.75
238.26,5.70
240.64,5.66
243.05,5.62
245.48,5.56
247.93,5.51
250.41,5.46
252.92,5.42
255.45,5.36
258.00,5.31
260.58,5.27
263.19,5.22
265.82,5.18
268.48,5.12
271.16,5.08
273.87,5.02
276.61,4.98
279.38,4.92
282.17,4.88
284.99,4.83
287.84,4.78
290.72,4.74
293.63,4.69
296.57,4.64
299.53,4.59
302.53,4.53
305.55,4.49
308.61,4.42
311.69,4.37
314.81,4.32
317.96,4.26
321.14,4.20
324.35,4.15
327.59,4.09
330.87,4.04
334.18,3.99
337.52,3.92
