frequency,raw
20.00,5.58
20.20,5.66
20.40,5.75
20.61,5.82
20.81,5.91
21.02,5.98
21.23,6.05
21.44,6.12
21.66,6.20
21.87,6.26
22.09,6.34
22.31,6.40
22.54,6.46
22.76,6.54
22.99,6.60
23.22,6.67
23.45,6.73
23.69,6.78
23.92,6.85
24.16,6.90
24.40,6.95
24.65,7.00
24.89,7.05
25.14,7.10
25.39,7.14
25.65,7.19
25.91,7.23
26.16,7.27
26.43,7.30
26.69,7.35
26.96,7.38
27.23,7.41
27.50,7.44
27.77,7.47
28.05,7.51
28.33,7.53
28.62,7.55
28.90,7.58
29.19,7.60
29.48,7.62
29.78,7.65
30.08,7.66
30.38,7.68
30.68,7.69
30.99,7.71
31.30,7.72
31.61,7.73
31.93,7.74
32.24,7.75
32.57,7.77
32.89,7.78
33.22,7.79
33.55,7.79
33.89,7.81
34.23,7.82
34.57,7.83
34.92,7.85
35.27,7.86
35.62,7.88
35.97,7.87
36.33,7.88
36.70,7.90
37.06,7.92
37.43,7.93
37.81,7.94
38.19,7.94
38.57,7.95
38.95,7.96
39.34,7.97
39.74,7.96
40.14,7.97
40.54,7.96
40.94,7.96
41.35,7.96
41.76,7.95
42.18,7.94
42.60,7.93
43.03,7.93
43.46,7.92
43.90,7.91
44.33,7.88
44.78,7.86
45.23,7.85
45.68,7.83
46.13,7.82
46.60,7.81
47.06,7.80
47.53,7.79
48.01,7.78
48.49,7.78
48.97,7.77
49.46,7.76
49.96,7.77
50.46,7.75
50.96,7.75
51.47,7.74
51.99,7.74
52.51,7.73
53.03,7.71
53.56,7.70
54.10,7.69
54.64,7.67
55.18,7.66
55.74,7.63
56.29,7.61
56.86,7.59
57.42,7.58
58.00,7.56
58.58,7.55
59.16,7.52
59.76,7.51
60.35,7.49
60.96,7.48
61.57,7.46
62.18,7.44
62.80,7.43
63.43,7.41
64.07,7.40
64.71,7.38
65.35,7.35
66.01,7.33
66.67,7.32
67.33,7.29
68.01,7.27
68.69,7.25
69.37,7.22
70.07,7.20
70.77,7.18
71.48,7.17
72.19,7.14
72.91,7.12
73.64,7.09
74.38,7.05
75.12,7.03
75.87,7.00
76.63,6.98
77.40,6.95
78.17,6.93
78.95,6.89
79.74,6.87
80.54,6.84
81.35,6.81
82.16,6.77
82.98,6.74
83.81,6.71
84.65,6.68
85.50,6.64
86.35,6.61
87.22,6.57
88.09,6.55
88.97,6.51
89.86,6.48
90.76,6.44
91.66,6.41
92.58,6.37
93.51,6.33
94.44,6.30
95.39,6.27
96.34,6.24
97.30,6.20
98.28,6.18
99.26,6.15
100.25,6.12
101.25,6.08
102.27,6.05
103.29,6.02
104.32,6.00
105.37,5.96
106.42,5.92
107.48,5.89
108.56,5.86
109.64,5.82
110.74,5.79
111.85,5.77
112.97,5.73
114.10,5.71
115.24,5.67
116.39,5.67
117.55,5.64
118.73,5.62
119.92,5.59
121.12,5.57
122.33,5.55
123.55,5.53
124.79,5.50
126.03,5.48
127.29,5.46
128.57,5.44
129.85,5.41
131.15,5.38
132.46,5.35
133.79,5.32
135.12,5.29
136.48,5.25
137.84,5.22
139.22,5.18
140.61,5.13
142.02,5.09
143.44,5.05
144.87,5.01
146.32,4.97
147.78,4.92
149.26,4.89
150.75,4.84
152.26,4.81
153.78,4.76
155.32,4.73
156.88,4.68
158.44,4.65
160.03,4.61
161.63,4.56
163.24,4.52
164.88,4.48
166.53,4.43
168.19,4.38
169.87,4.34
171.57,4.29
173.29,4.25
175.02,4.20
176.77,4.15
178.54,4.10
180.32,4.05
182.13,4.00
183.95,3.96
185.79,3.91
187.65,3.87
189.52,3.83
191.42,3.78
193.33,3.75
195.27,3.71
197.22,3.68
199.19,3.64
201.18,3.61
203.19,3.58
205.23,3.55
207.28,3.52
209.35,3.49
211.44,3.46
213.56,3.43
215.69,3.40
217.85,3.36
220.03,3.32
222.23,3.28
224.45,3.24
226.70,3.19
228.96,3.15
231.25,3.10
233.57,3.06
235.90,3.01
238.26,2.96
240.64,2.92
243.05,2.88
245.48,2.83
247.93,2.78
250.41,2.74
252.92,2.70
255.45,2.66
258.00,2.62
260.58,2.60
263.19,2.57
265.82,2.55
268.48,2.51
271.16,2.49
273.87,2.45
276.61,2.44
279.38,2.40
282.17,2.39
284.99,2.36
287.84,2.34
290.72,2.32
293.63,2.28
296.57,2.26
299.53,2.23
302.53,2.19
