frequency,raw
20.00,13.15
20.20,13.16
20.40,13.18
20.61,13.20
20.81,13.22
21.02,13.23
21.23,13.24
21.44,13.25
21.66,13.27
21.87,13.27
22.09,13.29
22.31,13.30
22.54,13.31
22.76,13.32
22.99,13.33
23.22,13.35
23.45,13.35
23.69,13.36
23.92,13.37
24.16,13.38
24.40,13.37
24.65,13.37
24.89,13.39
25.14,13.39
25.39,13.39
25.65,13.39
25.91,13.39
26.16,13.39
26.43,13.39
26.69,13.40
26.96,13.40
27.23,13.40
27.50,13.39
27.77,13.40
28.05,13.41
28.33,13.40
28.62,13.40
28.90,13.40
29.19,13.40
29.48,13.38
29.78,13.39
30.08,13.38
30.38,13.36
30.68,13.35
30.99,13.34
31.30,13.33
31.61,13.31
31.93,13.29
32.24,13.28
32.57,13.27
32.89,13.26
33.22,13.25
33.55,13.23
33.89,13.22
34.23,13.21
34.57,13.20
34.92,13.20
35.27,13.19
35.62,13.19
35.97,13.16
36.33,13.16
36.70,13.16
37.06,13.15
37.43,13.14
37.81,13.14
38.19,13.12
38.57,13.10
38.95,13.09
39.34,13.08
39.74,13.06
40.14,13.05
40.54,13.01
40.94,13.00
41.35,12.97
41.76,12.95
42.18,12.92
42.60,12.89
43.03,12.87
43.46,12.84
43.90,12.81
44.33,12.77
44.78,12.74
45.23,12.71
45.68,12.68
46.13,12.65
46.60,12.62
47.06,12.60
47.53,12.56
48.01,12.53
48.49,12.51
48.97,12.48
49.46,12.45
49.96,12.43
50.46,12.39
50.96,12.36
51.47,12.33
51.99,12.31
52.51,12.27
53.03,12.23
53.56,12.20
54.10,12.17
54.64,12.13
55.18,12.10
55.74,12.04
56.29,12.01
56.86,11.97
57.42,11.93
58.00,11.90
58.58,11.86
59.16,11.81
59.76,11.77
60.35,11.73
60.96,11.70
61.57,11.66
62.18,11.61
62.80,11.58
63.43,11.54
64.07,11.50
64.71,11.46
65.35,11.41
66.01,11.37
66.67,11.33
67.33,11.28
68.01,11.24
68.69,11.19
69.37,11.15
70.07,11.10
70.77,11.06
71.48,11.02
72.19,10.97
72.91,10.92
73.64,10.87
74.38,10.81
75.12,10.76
75.87,10.71
76.63,10.66
77.40,10.61
78.17,10.56
78.95,10.51
79.74,10.46
80.54,10.40
81.35,10.35
82.16,10.29
82.98,10.24
83.81,10.18
84.65,10.13
85.50,10.07
86.35,10.01
87.22,9.95
88.09,9.90
88.97,9.83
89.86,9.78
90.76,9.72
91.66,9.66
92.58,9.60
93.51,9.54
94.44,9.49
95.39,9.43
96.34,9.37
97.30,9.32
98.28,9.27
99.26,9.21
100.25,9.16
101.25,9.10
102.27,9.05
103.29,9.00
104.32,8.95
105.37,8.89
106.42,8.84
107.48,8.78
108.56,8.73
109.64,8.67
110.74,8.61
111.85,8.57
112.97,8.51
114.10,8.46
115.24,8.39
116.39,8.35
117.55,8.30
118.73,8.25
119.92,8.21
121.12,8.17
122.33,8.13
123.55,8.10
124.79,8.06
126.03,8.03
127.29,7.99
128.57,7.95
129.85,7.91
131.15,7.86
132.46,7.81
133.79,7.76
135.12,7.71
136.48,7.65
137.84,7.60
139.22,7.54
140.61,7.47
142.02,7.42
143.44,7.36
144.87,7.29
146.32,7.23
147.78,7.16
149.26,7.10
150.75,7.04
152.26,6.98
153.78,6.92
155.32,6.86
156.88,6.79
158.44,6.74
160.03,6.68
161.63,6.61
163.24,6.55
164.88,6.50
166.53,6.43
168.19,6.36
169.87,6.31
171.57,6.23
173.29,6.18
175.02,6.12
176.77,6.05
178.54,5.99
180.32,5.92
182.13,5.85
183.95,5.79
185.79,5.72
187.65,5.66
189.52,5.60
191.42,5.53
193.33,5.47
195.27,5.40
197.22,5.35
199.19,5.27
201.18,5.21
203.19,5.16
205.23,5.10
207.28,5.04
209.35,4.98
211.44,4.93
213.56,4.87
215.69,4.82
217.85,4.76
220.03,4.71
222.23,4.66
224.45,4.60
226.70,4.54
228.96,4.49
231.25,4.45
233.57,4.40
235.90,4.35
238.26,4.30
240.64,4.26
243.05,4.21
245.48,4.16
247.93,4.10
250.41,4.05
252.92,4.00
255.45,3.95
258.00,3.89
260.58,3.84
263.19,3.79
265.82,3.74
268.48,3.68
271.16,3.64
273.87,3.57
276.61,3.53
279.38,3.46
282.17,3.42
284.99,3.37
287.84,3.32
290.72,3.28
293.63,3.22
296.57,3.18
299.53,3.13
302.53,3.07
305.55,3.03
308.61,2.97
311.69,2.92
314.81,2.88
317.96,2.82
321.14,2.77
324.35,2.72
327.59,2.67
330.87,2.62
334.18,2.58
337.52,2.52
340.90,2.48
344.30,2.42
347.75,2.38
351.23,2.34
354.74,2.30
358.28,2.24
361.87,2.20
365.49,2.16
369.14,2.11
372.83,2.07
376.56,2.02
380.33,1.97
384.13,1.93
387.97,1.88
391.85,1.83
395.77,1.79
399.73,1.74
403.72,1.69
407.76,1.64
411.84,1.60
415.96,1.55
420.12,1.50
424.32,1.46
428.56,1.42
432.85,1.37
437.18,1.32
441.55,1.29
445.96,1.25
450.42,1.20
454.93,1.16
459.48,1.12
464.07,1.08
468.71,1.04
473.40,1.01
478.13,0.97
482.91,0.94
487.74,0.90
492.62,0.86
497.55,0.83
502.52,0.80
507.55,0.77
512.62,0.74
