frequency,raw
20.00,-5.99
20.20,-5.94
20.40,-5.87
20.61,-5.82
20.81,-5.76
21.02,-5.70
21.23,-5.65
21.44,-5.60
21.66,-5.54
21.87,-5.49
22.09,-5.43
22.31,-5.38
22.54,-5.33
22.76,-5.27
22.99,-5.21
23.22,-5.15
23.45,-5.10
23.69,-5.05
23.92,-4.99
24.16,-4.94
24.40,-4.91
24.65,-4.86
24.89,-4.81
25.14,-4.76
25.39,-4.72
25.65,-4.67
25.91,-4.63
26.16,-4.58
26.43,-4.53
26.69,-4.48
26.96,-4.44
27.23,-4.39
27.50,-4.36
27.77,-4.32
28.05,-4.26
28.33,-4.23
28.62,-4.19
28.90,-4.15
29.19,-4.10
29.48,-4.07
29.78,-4.02
30.08,-3.99
30.38,-3.95
30.68,-3.92
30.99,-3.88
31.30,-3.84
31.61,-3.82
31.93,-3.78
32.24,-3.75
32.57,-3.71
32.89,-3.68
33.22,-3.64
33.55,-3.62
33.89,-3.58
34.23,-3.54
34.57,-3.50
34.92,-3.46
35.27,-3.42
35.62,-3.38
35.97,-3.36
36.33,-3.32
36.70,-3.27
37.06,-3.23
37.43,-3.20
37.81,-3.15
38.19,-3.12
38.57,-3.09
38.95,-3.05
39.34,-3.02
39.74,-2.99
40.14,-2.95
40.54,-2.94
40.94,-2.90
41.35,-2.88
41.76,-2.85
42.18,-2.83
42.60,-2.81
43.03,-2.78
43.46,-2.76
43.90,-2.74
44.33,-2.73
44.78,-2.71
45.23,-2.69
45.68,-2.67
46.13,-2.65
46.60,-2.63
47.06,-2.61
47.53,-2.59
48.01,-2.57
48.49,-2.54
48.97,-2.52
49.46,-2.50
49.96,-2.47
50.46,-2.46
50.96,-2.43
51.47,-2.41
51.99,-2.38
52.51,-2.36
53.03,-2.35
53.56,-2.32
54.10,-2.30
54.64,-2.29
55.18,-2.27
55.74,-2.27
56.29,-2.25
56.86,-2.24
57.42,-2.22
58.00,-2.20
58.58,-2.19
59.16,-2.18
59.76,-2.17
60.35,-2.16
60.96,-2.13
61.57,-2.12
62.18,-2.11
62.80,-2.08
63.43,-2.06
64.07,-2.04
64.71,-2.02
65.35,-2.02
66.01,-2.00
66.67,-1.99
67.33,-1.98
68.01,-1.97
68.69,-1.95
69.37,-1.95
70.07,-1.93
70.77,-1.92
71.48,-1.90
72.19,-1.89
72.91,-1.88
73.64,-1.87
74.38,-1.88
75.12,-1.86
75.87,-1.85
76.63,-1.84
77.40,-1.84
78.17,-1.83
78.95,-1.82
79.74,-1.81
80.54,-1.81
81.35,-1.80
82.16,-1.80
82.98,-1.79
83.81,-1.78
84.65,-1.78
85.50,-1.77
86.35,-1.77
87.22,-1.77
88.09,-1.76
88.97,-1.76
89.86,-1.75
90.76,-1.76
91.66,-1.75
92.58,-1.75
93.51,-1.75
94.44,-1.74
95.39,-1.73
96.34,-1.73
97.30,-1.72
98.28,-1.71
99.26,-1.70
100.25,-1.69
101.25,-1.69
102.27,-1.68
103.29,-1.67
104.32,-1.65
105.37,-1.65
106.42,-1.64
107.48,-1.64
108.56,-1.62
109.64,-1.62
110.74,-1.62
111.85,-1.60
112.97,-1.59
114.10,-1.58
115.24,-1.58
116.39,-1.55
117.55,-1.54
118.73,-1.53
119.92,-1.50
121.12,-1.48
122.33,-1.45
123.55,-1.43
124.79,-1.40
126.03,-1.38
127.29,-1.35
128.57,-1.32
129.85,-1.30
131.15,-1.29
132.46,-1.28
133.79,-1.27
135.12,-1.25
136.48,-1.25
137.84,-1.23
139.22,-1.23
140.61,-1.24
142.02,-1.23
143.44,-1.22
144.87,-1.23
146.32,-1.22
147.78,-1.23
149.26,-1.23
150.75,-1.23
152.26,-1.22
153.78,-1.22
155.32,-1.22
156.88,-1.22
158.44,-1.22
160.03,-1.21
161.63,-1.22
163.24,-1.21
164.88,-1.21
166.53,-1.21
168.19,-1.22
169.87,-1.22
171.57,-1.23
173.29,-1.22
175.02,-1.22
176.77,-1.23
178.54,-1.23
180.32,-1.23
182.13,-1.24
183.95,-1.24
185.79,-1.24
187.65,-1.24
189.52,-1.25
191.42,-1.25
193.33,-1.25
195.27,-1.25
197.22,-1.25
199.19,-1.26
201.18,-1.26
203.19,-1.25
205.23,-1.26
207.28,-1.25
209.35,-1.26
211.44,-1.25
213.56,-1.25
215.69,-1.25
217.85,-1.25
220.03,-1.25
222.23,-1.25
224.45,-1.25
226.70,-1.25
228.96,-1.25
231.25,-1.25
233.57,-1.24
235.90,-1.24
238.26,-1.24
240.64,-1.23
243.05,-1.23
245.48,-1.23
247.93,-1.23
250.41,-1.23
252.92,-1.22
255.45,-1.22
258.00,-1.22
260.58,-1.21
263.19,-1.21
265.82,-1.20
268.48,-1.20
271.16,-1.19
273.87,-1.20
276.61,-1.18
279.38,-1.19
282.17,-1.17
284.99,-1.17
287.84,-1.16
290.72,-1.14
293.63,-1.15
296.57,-1.14
299.53,-1.13
302.53,-1.13
305.55,-1.12
308.61,-1.13
311.69,-1.12
314.81,-1.11
317.96,-1.11
321.14,-1.11
324.35,-1.11
327.59,-1.11
330.87,-1.10
334.18,-1.09
337.52,-1.10
340.90,-1.09
344.30,-1.09
347.75,-1.08
351.23,-1.07
354.74,-1.06
358.28,-1.07
361.87,-1.05
365.49,-1.04
369.14,-1.04
372.83,-1.02
376.56,-1.02
380.33,-1.00
384.13,-1.00
387.97,-0.99
391.85,-0.98
395.77,-0.97
399.73,-0.96
403.72,-0.96
407.76,-0.95
411.84,-0.94
415.96,-0.93
420.12,-0.92
424.32,-0.91
428.56,-0.90
432.85,-0.89
437.18,-0.88
441.55,-0.87
445.96,-0.85
450.42,-0.84
454.93,-0.84
459.48,-0.82
464.07,-0.81
468.71,-0.80
473.40,-0.78
478.13,-0.77
482.91,-0.75
487.74,-0.74
492.62,-0.73
497.55,-0.72
502.52,-0.71
507.55,-0.69
512.62,-0.68
517.75,-0.67
522.93,-0.66
528.16,-0.64
533.44,-0.63
538.77,-0.62
544.16,-0.61
549.60,-0.61
555.10,-0.59
560.65,-0.59
566.25,-0.58
571.92,-0.57
577.64,-0.57
583.41,-0.56
589.25,-0.55
595.14,-0.54
601.09,-0.53
607.10,-0.52
613.17,-0.52
619.30,-0.51
625.50,-0.50
631.75,-0.48
638.07,-0.47
644.45,-0.46
650.89,-0.44
657.40,-0.44
663.98,-0.44
670.62,-0.42
677.32,-0.42
684.10,-0.41
690.94,-0.40
697.85,-0.40
704.83,-0.40
711.87,-0.39
718.99,-0.39
726.18,-0.39
733.44,-0.39
740.78,-0.39
748.19,-0.39
755.67,-0.39
763.23,-0.39
770.86,-0.38
778.57,-0.38
786.35,-0.38
794.22,-0.39
802.16,-0.39
810.18,-0.39
818.28,-0.41
826.46,-0.40
834.73,-0.41
843.08,-0.41
851.51,-0.42
860.02,-0.41
868.62,-0.42
877.31,-0.42
886.08,-0.41
894.94,-0.42
903.89,-0.41
912.93,-0.40
922.06,-0.38
931.28,-0.37
940.59,-0.35
950.00,-0.33
959.50,-0.30
969.09,-0.28
978.78,-0.25
988.57,-0.22
998.46,-0.16
1008.44,-0.12
1018.53,-0.06
1028.71,0.00
1039.00,0.05
1049.39,0.12
1059.88,0.20
1070.48,0.28
1081.19,0.36
1092.00,0.45
1102.92,0.54
1113.95,0.65
1125.09,0.75
1136.34,0.86
1147.70,0.97
1159.18,1.07
1170.77,1.18
1182.48,1.29
1194.30,1.39
1206.25,1.51
1218.31,1.62
1230.49,1.73
1242.80,1.85
1255.22,1.97
1267.78,2.07
1280.45,2.19
1293.26,2.31
1306.19,2.41
1319.25,2.53
1332.45,2.64
1345.77,2.75
1359.23,2.87
1372.82,2.98
1386.55,3.10
1400.41,3.22
1414.42,3.32
1428.56,3.43
1442.85,3.53
1457.28,3.65
1471.85,3.75
1486.57,3.85
1501.43,3.96
1516.45,4.06
1531.61,4.16
1546.93,4.26
1562.40,4.36
1578.02,4.46
1593.80,4.55
1609.74,4.65
1625.84,4.75
1642.10,4.85
1658.52,4.94
1675.10,5.03
1691.85,5.13
1708.77,5.22
1725.86,5.32
1743.12,5.41
1760.55,5.50
1778.15,5.60
1795.94,5.70
1813.90,5.80
1832.03,5.89
1850.36,5.99
1868.86,6.10
1887.55,6.19
1906.42,6.30
1925.49,6.40
1944.74,6.49
1964.19,6.60
1983.83,6.70
2003.67,6.81
2023.71,6.90
2043.94,7.00
2064.38,7.09
2085.03,7.19
2105.88,7.29
2126.94,7.38
2148.20,7.47
2169.69,7.56
2191.38,7.64
2213.30,7.74
2235.43,7.83
2257.78,7.92
2280.36,8.00
2303.17,8.08
2326.20,8.15
2349.46,8.23
2372.95,8.30
2396.68,8.36
2420.65,8.42
2444.86,8.48
2469.31,8.52
2494.00,8.57
2518.94,8.59
2544.13,8.63
2569.57,8.66
2595.27,8.65
2621.22,8.66
2647.43,8.66
2673.90,8.66
2700.64,8.65
2727.65,8.62
2754.93,8.61
2782.48,8.58
2810.30,8.53
2838.40,8.50
2866.79,8.46
2895.46,8.40
2924.41,8.35
2953.65,8.29
2983.19,8.24
3013.02,8.16
3043.15,8.11
3073.58,8.05
3104.32,7.98
3135.36,7.90
3166.72,7.84
3198.38,7.77
3230.37,7.69
3262.67,7.62
3295.30,7.55
3328.25,7.49
3361.53,7.41
3395.15,7.34
3429.10,7.28
3463.39,7.20
3498.03,7.13
3533.01,7.07
3568.34,7.01
3604.02,6.94
3640.06,6.88
3676.46,6.82
3713.22,6.75
3750.36,6.70
3787.86,6.65
3825.74,6.60
3864.00,6.55
3902.64,6.50
3941.66,6.45
3981.08,6.40
4020.89,6.35
4061.10,6.30
4101.71,6.25
4142.73,6.22
4184.15,6.17
4226.00,6.12
4268.26,6.08
4310.94,6.04
4354.05,5.99
4397.59,5.93
4441.56,5.87
4485.98,5.82
4530.84,5.73
4576.15,5.64
4621.91,5.55
4668.13,5.44
4714.81,5.32
4761.96,5.18
4809.58,5.03
4857.67,4.86
4906.25,4.68
4955.31,4.48
5004.87,4.28
5054.91,4.05
5105.46,3.82
5156.52,3.58
5208.08,3.32
5260.16,3.06
5312.77,2.79
5365.89,2.51
5419.55,2.24
5473.75,1.96
5528.49,1.68
5583.77,1.40
5639.61,1.11
5696.00,0.85
5752.96,0.59
5810.49,0.32
5868.60,0.08
5927.28,-0.17
5986.56,-0.40
6046.42,-0.61
6106.89,-0.83
6167.96,-1.03
6229.64,-1.20
6291.93,-1.38
6354.85,-1.54
6418.40,-1.67
6482.58,-1.79
6547.41,-1.89
6612.88,-1.98
6679.01,-2.03
6745.80,-2.06
6813.26,-2.07
6881.39,-2.05
6950.21,-2.01
7019.71,-1.97
7089.91,-1.91
7160.81,-1.84
7232.41,-1.78
7304.74,-1.70
7377.79,-1.65
7451.56,-1.61
7526.08,-1.56
7601.34,-1.52
7677.35,-1.50
7754.13,-1.47
7831.67,-1.45
7909.98,-1.41
7989.08,-1.37
8068.98,-1.30
8149.67,-1.22
8231.16,-1.11
8313.47,-1.03
8396.61,-0.96
8480.57,-0.94
8565.38,-1.01
8651.03,-1.17
8737.54,-1.43
8824.92,-1.89
8913.17,-2.45
9002.30,-3.11
9092.32,-3.93
9183.25,-4.82
9275.08,-5.74
9367.83,-6.69
9461.51,-7.63
9556.12,-8.55
9651.68,-9.41
9748.20,-10.21
9845.68,-10.95
9944.14,-11.62
10043.58,-12.22
10144.02,-12.76
10245.46,-13.24
10347.91,-13.65
10451.39,-14.01
10555.91,-14.35
10661.46,-14.63
10768.08,-14.88
10875.76,-15.10
10984.52,-15.29
11094.36,-15.46
11205.31,-15.58
11317.36,-15.68
11430.53,-15.73
11544.84,-15.77
11660.29,-15.76
11776.89,-15.67
11894.66,-15.54
12013.60,-15.34
12133.74,-15.06
12255.08,-14.70
12377.63,-14.30
12501.41,-13.81
12626.42,-13.24
12752.68,-12.64
12880.21,-11.97
13009.01,-11.25
13139.10,-10.50
13270.49,-9.74
13403.20,-8.97
13537.23,-8.21
13672.60,-7.48
13809.33,-6.79
13947.42,-6.18
14086.90,-5.62
14227.77,-5.19
14370.04,-4.85
14513.74,-4.60
14658.88,-4.43
14805.47,-4.35
14953.52,-4.34
15103.06,-4.41
15254.09,-4.65
15406.63,-5.01
15560.70,-5.55
15716.30,-6.42
15873.47,-7.49
16032.20,-8.78
16192.52,-10.43
16354.45,-12.28
16517.99,-14.29
16683.17,-16.48
16850.01,-18.71
17018.51,-20.96
17188.69,-23.21
17360.58,-25.48
17534.18,-27.80
17709.53,-30.18
17886.62,-32.63
18065.49,-35.00
18246.14,-37.42
18428.60,-39.85
18612.89,-42.26
18799.02,-44.63
18987.01,-46.87
19176.88,-48.94
19368.65,-50.84
19562.33,-52.40
19757.96,-53.72
19955.54,-54.84
