frequency,raw
20.00,16.06
20.20,16.00
20.40,15.95
20.61,15.89
20.81,15.84
21.02,15.77
21.23,15.71
21.44,15.65
21.66,15.60
21.87,15.54
22.09,15.49
22.31,15.44
22.54,15.38
22.76,15.33
22.99,15.27
23.22,15.23
23.45,15.17
23.69,15.12
23.92,15.07
24.16,15.02
24.40,14.96
24.65,14.91
24.89,14.87
25.14,14.82
25.39,14.77
25.65,14.73
25.91,14.68
26.16,14.64
26.43,14.59
26.69,14.56
26.96,14.52
27.23,14.48
27.50,14.43
27.77,14.39
28.05,14.37
28.33,14.32
28.62,14.29
28.90,14.26
29.19,14.23
29.48,14.19
29.78,14.17
30.08,14.13
30.38,14.09
30.68,14.06
30.99,14.02
31.30,13.99
31.61,13.95
31.93,13.92
32.24,13.89
32.57,13.86
32.89,13.84
33.22,13.81
33.55,13.77
33.89,13.75
34.23,13.73
34.57,13.71
34.92,13.69
35.27,13.67
35.62,13.66
35.97,13.63
36.33,13.61
36.70,13.60
37.06,13.59
37.43,13.57
37.81,13.56
38.19,13.54
38.57,13.52
38.95,13.50
39.34,13.49
39.74,13.46
40.14,13.45
40.54,13.41
40.94,13.39
41.35,13.37
41.76,13.34
42.18,13.31
42.60,13.28
43.03,13.25
43.46,13.22
43.90,13.20
44.33,13.15
44.78,13.12
45.23,13.09
45.68,13.05
46.13,13.02
46.60,12.98
47.06,12.96
47.53,12.92
48.01,12.88
48.49,12.86
48.97,12.82
49.46,12.79
49.96,12.76
50.46,12.72
50.96,12.69
51.47,12.65
51.99,12.63
52.51,12.59
53.03,12.54
53.56,12.51
54.10,12.47
54.64,12.42
55.18,12.39
55.74,12.33
56.29,12.28
56.86,12.23
57.42,12.19
58.00,12.15
58.58,12.10
59.16,12.04
59.76,12.00
60.35,11.95
60.96,11.92
61.57,11.87
62.18,11.81
62.80,11.78
63.43,11.73
64.07,11.69
64.71,11.64
65.35,11.58
66.01,11.53
66.67,11.48
67.33,11.42
68.01,11.37
68.69,11.32
69.37,11.26
70.07,11.20
70.77,11.15
71.48,11.11
72.19,11.05
72.91,10.99
73.64,10.94
74.38,10.87
75.12,10.81
75.87,10.76
76.63,10.70
77.40,10.65
78.17,10.59
78.95,10.53
79.74,10.48
80.54,10.42
81.35,10.36
82.16,10.30
82.98,10.24
83.81,10.18
84.65,10.13
85.50,10.06
86.35,10.01
87.22,9.94
88.09,9.89
88.97,9.82
89.86,9.78
90.76,9.71
91.66,9.65
92.58,9.60
93.51,9.54
94.44,9.49
95.39,9.43
96.34,9.38
97.30,9.33
98.28,9.28
99.26,9.23
100.25,9.19
101.25,9.13
102.27,9.09
103.29,9.04
104.32,9.00
105.37,8.95
106.42,8.90
107.48,8.85
108.56,8.81
109.64,8.76
110.74,8.71
111.85,8.68
112.97,8.63
114.10,8.59
115.24,8.53
116.39,8.51
117.55,8.47
118.73,8.43
119.92,8.40
121.12,8.37
122.33,8.34
123.55,8.31
124.79,8.28
126.03,8.26
127.29,8.23
128.57,8.20
129.85,8.16
131.15,8.12
132.46,8.07
133.79,8.02
135.12,7.97
136.48,7.91
137.84,7.87
139.22,7.80
140.61,7.73
142.02,7.67
143.44,7.60
144.87,7.53
146.32,7.46
147.78,7.38
149.26,7.30
150.75,7.21
152.26,7.13
153.78,7.04
155.32,6.96
156.88,6.86
158.44,6.77
160.03,6.69
161.63,6.58
163.24,6.49
164.88,6.40
166.53,6.29
168.19,6.19
169.87,6.10
171.57,6.00
173.29,5.92
175.02,5.83
176.77,5.74
178.54,5.67
180.32,5.59
182.13,5.52
183.95,5.46
185.79,5.40
187.65,5.35
189.52,5.31
191.42,5.26
193.33,5.23
195.27,5.20
197.22,5.19
199.19,5.16
201.18,5.15
203.19,5.15
205.23,5.14
207.28,5.14
209.35,5.13
211.44,5.14
213.56,5.14
215.69,5.14
217.85,5.15
220.03,5.15
222.23,5.15
224.45,5.15
226.70,5.14
228.96,5.14
231.25,5.14
233.57,5.14
235.90,5.14
238.26,5.13
240.64,5.13
243.05,5.13
245.48,5.11
247.93,5.10
250.41,5.09
252.92,5.08
255.45,5.06
258.00,5.04
260.58,5.04
263.19,5.02
265.82,5.00
268.48,4.98
271.16,4.96
273.87,4.93
276.61,4.91
279.38,4.88
282.17,4.87
284.99,4.85
287.84,4.82
290.72,4.81
293.63,4.78
296.57,4.75
299.53,4.73
302.53,4.69
305.55,4.67
308.61,4.63
311.69,4.59
314.81,4.57
317.96,4.53
321.14,4.49
324.35,4.46
327.59,4.42
330.87,4.39
334.18,4.35
337.52,4.31
340.90,4.28
344.30,4.23
347.75,4.20
351.23,4.18
354.74,4.14
358.28,4.10
361.87,4.07
365.49,4.03
369.14,4.00
372.83,3.97
376.56,3.93
380.33,3.90
384.13,3.86
387.97,3.83
391.85,3.79
395.77,3.75
399.73,3.72
403.72,3.67
407.76,3.64
411.84,3.60
415.96,3.56
420.12,3.52
424.32,3.48
428.56,3.44
432.85,3.40
437.18,3.36
441.55,3.32
445.96,3.28
450.42,3.24
454.93,3.19
459.48,3.15
464.07,3.11
468.71,3.06
473.40,3.02
478.13,2.98
482.91,2.94
487.74,2.89
492.62,2.83
497.55,2.79
502.52,2.74
507.55,2.70
512.62,2.66
517.75,2.61
522.93,2.56
528.16,2.52
533.44,2.47
538.77,2.42
544.16,2.37
549.60,2.30
555.10,2.26
560.65,2.21
566.25,2.15
571.92,2.09
577.64,2.04
583.41,1.98
589.25,1.93
595.14,1.87
601.09,1.82
607.10,1.77
613.17,1.70
619.30,1.64
625.50,1.58
631.75,1.52
638.07,1.45
644.45,1.36
650.89,1.29
657.40,1.19
663.98,1.09
670.62,0.99
677.32,0.88
684.10,0.76
690.94,0.65
697.85,0.53
704.83,0.40
711.87,0.28
718.99,0.15
726.18,0.03
733.44,-0.09
740.78,-0.20
748.19,-0.31
755.67,-0.42
763.23,-0.52
770.86,-0.62
778.57,-0.71
786.35,-0.79
794.22,-0.87
802.16,-0.93
810.18,-0.99
818.28,-1.04
826.46,-1.05
834.73,-1.06
843.08,-1.07
851.51,-1.05
860.02,-1.02
868.62,-0.99
877.31,-0.95
886.08,-0.90
894.94,-0.85
903.89,-0.80
912.93,-0.74
922.06,-0.67
931.28,-0.62
940.59,-0.55
950.00,-0.49
959.50,-0.43
969.09,-0.37
978.78,-0.31
988.57,-0.25
998.46,-0.17
1008.44,-0.10
1018.53,-0.02
1028.71,0.07
1039.00,0.15
1049.39,0.25
1059.88,0.36
1070.48,0.46
1081.19,0.57
1092.00,0.69
1102.92,0.81
1113.95,0.95
1125.09,1.07
1136.34,1.21
1147.70,1.34
1159.18,1.47
1170.77,1.60
1182.48,1.74
1194.30,1.85
1206.25,1.99
1218.31,2.12
1230.49,2.24
1242.80,2.38
1255.22,2.50
1267.78,2.62
1280.45,2.75
1293.26,2.87
1306.19,2.97
1319.25,3.10
1332.45,3.20
1345.77,3.31
1359.23,3.43
1372.82,3.53
1386.55,3.64
1400.41,3.75
1414.42,3.84
1428.56,3.94
1442.85,4.03
1457.28,4.14
1471.85,4.22
1486.57,4.31
1501.43,4.40
1516.45,4.48
1531.61,4.57
1546.93,4.66
1562.40,4.74
1578.02,4.83
1593.80,4.91
1609.74,4.99
1625.84,5.09
1642.10,5.18
1658.52,5.26
1675.10,5.35
1691.85,5.45
1708.77,5.54
1725.86,5.64
1743.12,5.74
1760.55,5.84
1778.15,5.95
1795.94,6.06
1813.90,6.19
1832.03,6.30
1850.36,6.42
1868.86,6.56
1887.55,6.69
1906.42,6.84
1925.49,6.98
1944.74,7.13
1964.19,7.28
1983.83,7.45
2003.67,7.62
2023.71,7.78
2043.94,7.96
2064.38,8.13
2085.03,8.31
2105.88,8.50
2126.94,8.69
2148.20,8.88
2169.69,9.08
2191.38,9.27
2213.30,9.48
2235.43,9.70
2257.78,9.92
2280.36,10.13
2303.17,10.35
2326.20,10.56
2349.46,10.77
2372.95,10.98
2396.68,11.19
2420.65,11.38
2444.86,11.57
2469.31,11.75
2494.00,11.93
2518.94,12.07
2544.13,12.22
2569.57,12.35
2595.27,12.44
2621.22,12.53
2647.43,12.60
2673.90,12.66
2700.64,12.70
2727.65,12.71
2754.93,12.72
2782.48,12.71
2810.30,12.66
2838.40,12.63
2866.79,12.58
2895.46,12.52
2924.41,12.45
2953.65,12.37
2983.19,12.29
3013.02,12.20
3043.15,12.13
3073.58,12.05
3104.32,11.97
3135.36,11.88
3166.72,11.81
3198.38,11.74
3230.37,11.66
3262.67,11.60
3295.30,11.54
3328.25,11.50
3361.53,11.44
3395.15,11.40
3429.10,11.37
3463.39,11.33
3498.03,11.30
3533.01,11.27
3568.34,11.26
3604.02,11.23
3640.06,11.21
3676.46,11.20
3713.22,11.18
3750.36,11.17
3787.86,11.15
3825.74,11.13
3864.00,11.11
3902.64,11.09
3941.66,11.07
3981.08,11.03
4020.89,10.99
4061.10,10.95
4101.71,10.89
4142.73,10.84
4184.15,10.77
4226.00,10.68
4268.26,10.59
4310.94,10.50
4354.05,10.39
4397.59,10.25
4441.56,10.11
4485.98,9.97
4530.84,9.80
4576.15,9.63
4621.91,9.46
4668.13,9.28
4714.81,9.10
4761.96,8.91
4809.58,8.72
4857.67,8.53
4906.25,8.35
4955.31,8.16
5004.87,7.97
5054.91,7.77
5105.46,7.59
5156.52,7.40
5208.08,7.20
5260.16,7.01
5312.77,6.81
5365.89,6.61
5419.55,6.42
5473.75,6.23
5528.49,6.04
5583.77,5.87
5639.61,5.70
5696.00,5.55
5752.96,5.42
5810.49,5.28
5868.60,5.19
5927.28,5.09
5986.56,5.02
6046.42,4.97
6106.89,4.93
6167.96,4.92
6229.64,4.97
6291.93,5.04
6354.85,5.16
6418.40,5.39
6482.58,5.68
6547.41,6.06
6612.88,6.57
6679.01,7.18
6745.80,7.85
6813.26,8.58
6881.39,9.27
6950.21,9.91
7019.71,10.39
7089.91,10.66
7160.81,10.77
7232.41,10.64
7304.74,10.28
7377.79,9.79
7451.56,9.15
7526.08,8.44
7601.34,7.71
7677.35,6.96
7754.13,6.25
7831.67,5.56
7909.98,4.92
7989.08,4.30
8068.98,3.75
8149.67,3.23
8231.16,2.79
8313.47,2.42
8396.61,2.14
8480.57,1.95
8565.38,1.94
8651.03,2.04
8737.54,2.24
8824.92,2.59
8913.17,2.99
9002.30,3.39
9092.32,3.71
9183.25,3.90
9275.08,3.98
9367.83,3.83
9461.51,3.48
9556.12,3.00
9651.68,2.39
9748.20,1.69
9845.68,1.01
9944.14,0.35
10043.58,-0.22
10144.02,-0.71
10245.46,-1.13
10347.91,-1.44
10451.39,-1.69
10555.91,-1.91
10661.46,-2.05
10768.08,-2.17
10875.76,-2.25
10984.52,-2.30
11094.36,-2.33
11205.31,-2.32
11317.36,-2.31
11430.53,-2.24
11544.84,-2.18
11660.29,-2.08
11776.89,-1.94
11894.66,-1.76
12013.60,-1.53
12133.74,-1.26
12255.08,-0.93
12377.63,-0.59
12501.41,-0.20
12626.42,0.24
12752.68,0.68
12880.21,1.16
13009.01,1.65
13139.10,2.15
13270.49,2.66
13403.20,3.20
13537.23,3.77
13672.60,4.37
13809.33,5.07
13947.42,5.81
14086.90,6.59
14227.77,7.35
14370.04,8.03
14513.74,8.58
14658.88,8.92
14805.47,8.97
14953.52,8.78
15103.06,8.30
15254.09,7.46
15406.63,6.45
15560.70,5.25
15716.30,3.90
15873.47,2.50
16032.20,1.06
16192.52,-0.41
16354.45,-1.91
16517.99,-3.44
16683.17,-5.00
16850.01,-6.60
17018.51,-8.21
17188.69,-9.88
17360.58,-11.67
17534.18,-13.54
17709.53,-15.53
17886.62,-17.43
18065.49,-19.10
18246.14,-20.63
18428.60,-21.70
18612.89,-22.48
18799.02,-22.94
18987.01,-22.92
19176.88,-22.62
19368.65,-22.12
19562.33,-21.40
19757.96,-20.68
19955.54,-20.06
