frequency,raw
20.00,-18.97
20.20,-18.81
20.40,-18.66
20.61,-18.53
20.81,-18.42
21.02,-18.34
21.23,-18.28
21.44,-18.23
21.66,-18.17
21.87,-18.11
22.09,-18.04
22.31,-17.96
22.54,-17.87
22.76,-17.76
22.99,-17.63
23.22,-17.48
23.45,-17.34
23.69,-17.19
23.92,-17.04
24.16,-16.91
24.40,-16.79
24.65,-16.66
24.89,-16.53
25.14,-16.41
25.39,-16.29
25.65,-16.17
25.91,-16.06
26.16,-15.95
26.43,-15.84
26.69,-15.71
26.96,-15.60
27.23,-15.49
27.50,-15.38
27.77,-15.27
28.05,-15.16
28.33,-15.06
28.62,-14.97
28.90,-14.87
29.19,-14.79
29.48,-14.71
29.78,-14.60
30.08,-14.52
30.38,-14.43
30.68,-14.33
30.99,-14.23
31.30,-14.13
31.61,-14.04
31.93,-13.94
32.24,-13.84
32.57,-13.74
32.89,-13.65
33.22,-13.55
33.55,-13.46
33.89,-13.36
34.23,-13.25
34.57,-13.15
34.92,-13.04
35.27,-12.92
35.62,-12.81
35.97,-12.72
36.33,-12.61
36.70,-12.50
37.06,-12.39
37.43,-12.29
37.81,-12.19
38.19,-12.10
38.57,-12.01
38.95,-11.91
39.34,-11.82
39.74,-11.73
40.14,-11.64
40.54,-11.57
40.94,-11.47
41.35,-11.39
41.76,-11.31
42.18,-11.22
42.60,-11.15
43.03,-11.06
43.46,-10.98
43.90,-10.90
44.33,-10.83
44.78,-10.75
45.23,-10.66
45.68,-10.59
46.13,-10.50
46.60,-10.42
47.06,-10.33
47.53,-10.25
48.01,-10.17
48.49,-10.08
48.97,-10.00
49.46,-9.92
49.96,-9.84
50.46,-9.77
50.96,-9.68
51.47,-9.60
51.99,-9.51
52.51,-9.43
53.03,-9.35
53.56,-9.27
54.10,-9.18
54.64,-9.10
55.18,-9.02
55.74,-8.95
56.29,-8.87
56.86,-8.78
57.42,-8.68
58.00,-8.58
58.58,-8.48
59.16,-8.40
59.76,-8.30
60.35,-8.22
60.96,-8.13
61.57,-8.06
62.18,-7.99
62.80,-7.90
63.43,-7.82
64.07,-7.73
64.71,-7.65
65.35,-7.57
66.01,-7.48
66.67,-7.40
67.33,-7.33
68.01,-7.24
68.69,-7.16
69.37,-7.09
70.07,-7.00
70.77,-6.92
71.48,-6.83
72.19,-6.76
72.91,-6.67
73.64,-6.60
74.38,-6.53
75.12,-6.44
75.87,-6.36
76.63,-6.27
77.40,-6.19
78.17,-6.10
78.95,-6.02
79.74,-5.93
80.54,-5.84
81.35,-5.76
82.16,-5.68
82.98,-5.59
83.81,-5.51
84.65,-5.43
85.50,-5.36
86.35,-5.29
87.22,-5.22
88.09,-5.15
88.97,-5.10
89.86,-5.04
90.76,-4.99
91.66,-4.94
92.58,-4.89
93.51,-4.85
94.44,-4.81
95.39,-4.76
96.34,-4.73
97.30,-4.70
98.28,-4.66
99.26,-4.63
100.25,-4.60
101.25,-4.58
102.27,-4.54
103.29,-4.52
104.32,-4.49
105.37,-4.47
106.42,-4.46
107.48,-4.44
108.56,-4.42
109.64,-4.42
110.74,-4.41
111.85,-4.40
112.97,-4.40
114.10,-4.40
115.24,-4.42
116.39,-4.42
117.55,-4.42
118.73,-4.43
119.92,-4.43
121.12,-4.42
122.33,-4.42
123.55,-4.41
124.79,-4.41
126.03,-4.40
127.29,-4.40
128.57,-4.40
129.85,-4.42
131.15,-4.44
132.46,-4.47
133.79,-4.50
135.12,-4.52
136.48,-4.56
137.84,-4.59
139.22,-4.64
140.61,-4.68
142.02,-4.72
143.44,-4.75
144.87,-4.80
146.32,-4.84
147.78,-4.88
149.26,-4.92
150.75,-4.95
152.26,-4.97
153.78,-5.00
155.32,-5.01
156.88,-5.04
158.44,-5.05
160.03,-5.07
161.63,-5.09
163.24,-5.11
164.88,-5.12
166.53,-5.15
168.19,-5.18
169.87,-5.20
171.57,-5.23
173.29,-5.24
175.02,-5.26
176.77,-5.28
178.54,-5.29
180.32,-5.30
182.13,-5.31
183.95,-5.31
185.79,-5.32
187.65,-5.33
189.52,-5.34
191.42,-5.36
193.33,-5.37
195.27,-5.38
197.22,-5.39
199.19,-5.42
201.18,-5.43
203.19,-5.42
205.23,-5.43
207.28,-5.44
209.35,-5.45
211.44,-5.45
213.56,-5.45
215.69,-5.45
217.85,-5.46
220.03,-5.47
222.23,-5.47
224.45,-5.48
226.70,-5.50
228.96,-5.50
231.25,-5.50
233.57,-5.51
235.90,-5.51
238.26,-5.52
240.64,-5.52
243.05,-5.51
245.48,-5.52
247.93,-5.52
250.41,-5.52
252.92,-5.50
255.45,-5.50
258.00,-5.49
260.58,-5.46
263.19,-5.45
265.82,-5.43
268.48,-5.42
271.16,-5.40
273.87,-5.39
276.61,-5.37
279.38,-5.36
282.17,-5.33
284.99,-5.30
287.84,-5.27
290.72,-5.23
293.63,-5.21
296.57,-5.18
299.53,-5.14
302.53,-5.10
305.55,-5.05
308.61,-5.01
311.69,-4.96
314.81,-4.88
317.96,-4.82
321.14,-4.75
324.35,-4.67
327.59,-4.60
330.87,-4.51
334.18,-4.43
337.52,-4.36
340.90,-4.27
344.30,-4.20
