frequency,raw
20.00,10.41
20.20,10.37
20.40,10.33
20.61,10.29
20.81,10.26
21.02,10.21
21.23,10.17
21.44,10.12
21.66,10.09
21.87,10.04
22.09,10.00
22.31,9.96
22.54,9.91
22.76,9.88
22.99,9.83
23.22,9.80
23.45,9.75
23.69,9.71
23.92,9.67
24.16,9.63
24.40,9.58
24.65,9.53
24.89,9.50
25.14,9.45
25.39,9.41
25.65,9.36
25.91,9.32
26.16,9.28
26.43,9.23
26.69,9.20
26.96,9.16
27.23,9.11
27.50,9.06
27.77,9.02
28.05,8.99
28.33,8.94
28.62,8.91
28.90,8.87
29.19,8.83
29.48,8.78
29.78,8.76
30.08,8.71
30.38,8.67
30.68,8.62
30.99,8.58
31.30,8.54
31.61,8.49
31.93,8.45
32.24,8.41
32.57,8.37
32.89,8.33
33.22,8.30
33.55,8.25
33.89,8.22
34.23,8.19
34.57,8.16
34.92,8.13
35.27,8.10
35.62,8.08
35.97,8.04
36.33,8.02
36.70,8.00
37.06,7.99
37.43,7.96
37.81,7.95
38.19,7.92
38.57,7.90
38.95,7.88
39.34,7.86
39.74,7.84
40.14,7.82
40.54,7.79
40.94,7.77
41.35,7.75
41.76,7.73
42.18,7.71
42.60,7.68
43.03,7.67
43.46,7.65
43.90,7.63
44.33,7.60
44.78,7.59
45.23,7.57
45.68,7.56
46.13,7.55
46.60,7.54
47.06,7.54
47.53,7.53
48.01,7.52
48.49,7.53
48.97,7.53
49.46,7.53
49.96,7.54
50.46,7.53
50.96,7.55
51.47,7.55
51.99,7.57
52.51,7.58
53.03,7.58
53.56,7.60
54.10,7.61
54.64,7.62
55.18,7.64
55.74,7.64
56.29,7.65
56.86,7.66
57.42,7.68
58.00,7.70
58.58,7.72
59.16,7.72
59.76,7.74
60.35,7.75
60.96,7.77
61.57,7.78
62.18,7.78
62.80,7.80
63.43,7.80
64.07,7.81
64.71,7.81
65.35,7.80
66.01,7.79
66.67,7.78
67.33,7.75
68.01,7.73
68.69,7.71
69.37,7.68
70.07,7.64
70.77,7.60
71.48,7.57
72.19,7.52
72.91,7.47
73.64,7.41
74.38,7.34
75.12,7.28
75.87,7.21
76.63,7.14
77.40,7.07
78.17,6.99
78.95,6.91
79.74,6.83
80.54,6.75
81.35,6.66
82.16,6.57
82.98,6.48
83.81,6.39
84.65,6.31
85.50,6.21
86.35,6.12
87.22,6.03
88.09,5.95
88.97,5.85
89.86,5.77
90.76,5.67
91.66,5.58
92.58,5.50
93.51,5.41
94.44,5.33
95.39,5.25
96.34,5.17
97.30,5.09
98.28,5.01
99.26,4.94
100.25,4.87
101.25,4.79
102.27,4.73
103.29,4.66
104.32,4.60
105.37,4.53
106.42,4.47
107.48,4.40
108.56,4.35
109.64,4.28
110.74,4.22
111.85,4.18
112.97,4.12
114.10,4.07
115.24,4.01
116.39,3.97
117.55,3.93
118.73,3.88
119.92,3.85
121.12,3.81
122.33,3.78
123.55,3.75
124.79,3.73
126.03,3.70
127.29,3.67
128.57,3.65
129.85,3.62
131.15,3.58
132.46,3.54
133.79,3.51
135.12,3.48
136.48,3.44
137.84,3.42
139.22,3.38
140.61,3.34
142.02,3.31
143.44,3.28
144.87,3.24
146.32,3.21
147.78,3.17
149.26,3.14
150.75,3.11
152.26,3.08
153.78,3.05
155.32,3.02
156.88,2.99
158.44,2.97
160.03,2.94
161.63,2.91
163.24,2.88
164.88,2.86
166.53,2.82
168.19,2.79
169.87,2.77
171.57,2.74
173.29,2.72
175.02,2.69
176.77,2.66
178.54,2.63
180.32,2.61
182.13,2.57
183.95,2.55
185.79,2.52
187.65,2.50
189.52,2.47
191.42,2.44
193.33,2.42
195.27,2.39
197.22,2.38
199.19,2.34
201.18,2.32
203.19,2.30
205.23,2.27
207.28,2.25
209.35,2.21
211.44,2.19
213.56,2.16
215.69,2.14
217.85,2.11
220.03,2.08
222.23,2.05
224.45,2.02
226.70,1.99
228.96,1.96
231.25,1.93
233.57,1.91
235.90,1.88
238.26,1.85
240.64,1.83
243.05,1.81
245.48,1.78
247.93,1.75
250.41,1.72
252.92,1.70
255.45,1.67
258.00,1.65
260.58,1.63
263.19,1.61
265.82,1.59
268.48,1.57
271.16,1.55
273.87,1.52
276.61,1.51
279.38,1.49
282.17,1.48
284.99,1.46
287.84,1.45
290.72,1.45
293.63,1.43
296.57,1.41
299.53,1.40
302.53,1.38
305.55,1.37
308.61,1.35
311.69,1.33
314.81,1.32
317.96,1.30
321.14,1.28
324.35,1.27
327.59,1.25
330.87,1.24
334.18,1.23
337.52,1.20
340.90,1.20
344.30,1.17
347.75,1.16
351.23,1.16
354.74,1.14
358.28,1.12
361.87,1.11
365.49,1.10
369.14,1.08
372.83,1.08
376.56,1.06
380.33,1.05
384.13,1.03
387.97,1.01
391.85,0.99
395.77,0.98
399.73,0.97
403.72,0.94
407.76,0.92
411.84,0.91
415.96,0.89
420.12,0.87
424.32,0.85
428.56,0.83
432.85,0.82
437.18,0.79
441.55,0.78
445.96,0.77
450.42,0.75
454.93,0.72
459.48,0.71
464.07,0.69
468.71,0.68
473.40,0.66
478.13,0.64
482.91,0.63
487.74,0.61
492.62,0.59
497.55,0.57
502.52,0.55
507.55,0.54
512.62,0.52
517.75,0.50
522.93,0.47
528.16,0.46
533.44,0.43
538.77,0.41
544.16,0.39
549.60,0.35
555.10,0.34
560.65,0.31
566.25,0.28
571.92,0.26
577.64,0.23
583.41,0.20
589.25,0.19
595.14,0.15
601.09,0.13
607.10,0.11
613.17,0.07
619.30,0.05
625.50,0.02
631.75,0.01
638.07,-0.02
644.45,-0.05
650.89,-0.07
657.40,-0.10
663.98,-0.14
670.62,-0.17
677.32,-0.20
684.10,-0.24
690.94,-0.26
697.85,-0.30
704.83,-0.34
711.87,-0.38
718.99,-0.43
726.18,-0.47
733.44,-0.51
740.78,-0.55
748.19,-0.59
755.67,-0.63
763.23,-0.67
770.86,-0.71
778.57,-0.75
786.35,-0.79
794.22,-0.83
802.16,-0.87
810.18,-0.90
818.28,-0.94
826.46,-0.96
834.73,-0.97
843.08,-0.99
851.51,-0.99
860.02,-0.98
868.62,-0.97
877.31,-0.96
886.08,-0.92
894.94,-0.89
903.89,-0.84
912.93,-0.79
922.06,-0.73
931.28,-0.67
940.59,-0.61
950.00,-0.53
959.50,-0.47
969.09,-0.40
978.78,-0.33
988.57,-0.26
998.46,-0.17
1008.44,-0.09
1018.53,-0.00
1028.71,0.09
1039.00,0.17
1049.39,0.27
1059.88,0.38
1070.48,0.47
1081.19,0.58
1092.00,0.70
1102.92,0.80
1113.95,0.93
1125.09,1.04
1136.34,1.17
1147.70,1.29
1159.18,1.41
1170.77,1.53
1182.48,1.66
1194.30,1.77
1206.25,1.89
1218.31,2.01
1230.49,2.12
1242.80,2.25
1255.22,2.36
1267.78,2.47
1280.45,2.59
1293.26,2.69
1306.19,2.79
1319.25,2.90
1332.45,2.99
1345.77,3.09
1359.23,3.20
1372.82,3.29
1386.55,3.39
1400.41,3.49
1414.42,3.58
1428.56,3.67
1442.85,3.75
1457.28,3.85
1471.85,3.93
1486.57,4.00
1501.43,4.09
1516.45,4.16
1531.61,4.24
1546.93,4.32
1562.40,4.40
1578.02,4.47
1593.80,4.55
1609.74,4.62
1625.84,4.71
1642.10,4.78
1658.52,4.85
1675.10,4.92
1691.85,5.01
1708.77,5.09
1725.86,5.17
1743.12,5.26
1760.55,5.34
1778.15,5.43
1795.94,5.52
1813.90,5.62
1832.03,5.71
1850.36,5.81
1868.86,5.92
1887.55,6.02
1906.42,6.14
1925.49,6.25
1944.74,6.37
1964.19,6.49
1983.83,6.62
2003.67,6.74
2023.71,6.87
2043.94,7.00
2064.38,7.13
2085.03,7.26
2105.88,7.40
2126.94,7.53
2148.20,7.67
2169.69,7.80
2191.38,7.93
2213.30,8.07
2235.43,8.22
2257.78,8.35
2280.36,8.48
2303.17,8.61
2326.20,8.73
2349.46,8.85
2372.95,8.96
2396.68,9.07
2420.65,9.16
2444.86,9.26
2469.31,9.33
2494.00,9.41
2518.94,9.46
2544.13,9.51
2569.57,9.56
2595.27,9.57
2621.22,9.59
2647.43,9.60
2673.90,9.61
2700.64,9.60
2727.65,9.58
2754.93,9.56
2782.48,9.55
2810.30,9.50
2838.40,9.46
2866.79,9.43
2895.46,9.38
2924.41,9.34
2953.65,9.29
2983.19,9.24
3013.02,9.18
3043.15,9.14
3073.58,9.09
3104.32,9.04
3135.36,8.97
3166.72,8.93
3198.38,8.87
3230.37,8.81
3262.67,8.76
3295.30,8.70
3328.25,8.66
3361.53,8.60
3395.15,8.55
3429.10,8.50
3463.39,8.45
3498.03,8.39
3533.01,8.34
3568.34,8.30
3604.02,8.24
3640.06,8.20
3676.46,8.15
3713.22,8.10
3750.36,8.07
3787.86,8.03
3825.74,7.99
3864.00,7.96
3902.64,7.93
3941.66,7.91
3981.08,7.89
4020.89,7.87
4061.10,7.86
4101.71,7.85
4142.73,7.86
4184.15,7.87
4226.00,7.88
4268.26,7.90
4310.94,7.93
4354.05,7.97
4397.59,8.01
4441.56,8.05
4485.98,8.11
4530.84,8.15
4576.15,8.20
4621.91,8.26
4668.13,8.30
4714.81,8.36
4761.96,8.40
4809.58,8.44
4857.67,8.47
4906.25,8.50
4955.31,8.52
5004.87,8.53
5054.91,8.53
5105.46,8.53
5156.52,8.52
5208.08,8.49
5260.16,8.46
5312.77,8.42
5365.89,8.36
5419.55,8.31
5473.75,8.24
5528.49,8.16
5583.77,8.08
5639.61,7.97
5696.00,7.88
5752.96,7.78
5810.49,7.66
5868.60,7.55
5927.28,7.43
5986.56,7.31
6046.42,7.20
6106.89,7.07
6167.96,6.95
6229.64,6.84
6291.93,6.71
6354.85,6.60
6418.40,6.50
6482.58,6.40
6547.41,6.32
6612.88,6.24
6679.01,6.19
6745.80,6.15
6813.26,6.12
6881.39,6.12
6950.21,6.13
7019.71,6.14
7089.91,6.16
7160.81,6.18
7232.41,6.18
7304.74,6.21
7377.79,6.22
7451.56,6.20
7526.08,6.18
7601.34,6.14
7677.35,6.08
7754.13,5.98
7831.67,5.84
7909.98,5.68
7989.08,5.47
8068.98,5.22
8149.67,4.92
8231.16,4.59
8313.47,4.19
8396.61,3.76
8480.57,3.30
8565.38,2.81
8651.03,2.30
8737.54,1.80
8824.92,1.29
8913.17,0.84
9002.30,0.41
9092.32,0.04
9183.25,-0.27
9275.08,-0.49
9367.83,-0.64
9461.51,-0.70
9556.12,-0.69
9651.68,-0.59
9748.20,-0.43
9845.68,-0.21
9944.14,0.06
10043.58,0.35
10144.02,0.65
10245.46,0.95
10347.91,1.20
10451.39,1.39
10555.91,1.52
10661.46,1.55
10768.08,1.47
10875.76,1.32
10984.52,1.07
11094.36,0.70
11205.31,0.29
11317.36,-0.19
11430.53,-0.70
11544.84,-1.25
11660.29,-1.81
11776.89,-2.35
11894.66,-2.87
12013.60,-3.35
12133.74,-3.79
12255.08,-4.17
12377.63,-4.53
12501.41,-4.82
12626.42,-5.06
12752.68,-5.28
12880.21,-5.45
13009.01,-5.59
13139.10,-5.72
13270.49,-5.83
13403.20,-5.94
13537.23,-6.03
13672.60,-6.13
13809.33,-6.19
13947.42,-6.24
14086.90,-6.29
14227.77,-6.32
14370.04,-6.34
14513.74,-6.36
14658.88,-6.34
14805.47,-6.28
14953.52,-6.20
15103.06,-6.08
15254.09,-5.91
15406.63,-5.69
15560.70,-5.45
15716.30,-5.12
15873.47,-4.76
16032.20,-4.36
16192.52,-3.92
16354.45,-3.51
16517.99,-3.13
16683.17,-2.81
16850.01,-2.57
17018.51,-2.40
17188.69,-2.35
17360.58,-2.53
