frequency,raw
20.00,10.22
20.20,10.25
20.40,10.29
20.61,10.32
20.81,10.36
21.02,10.39
21.23,10.42
21.44,10.44
21.66,10.48
21.87,10.51
22.09,10.55
22.31,10.57
22.54,10.60
22.76,10.64
22.99,10.66
23.22,10.70
23.45,10.73
23.69,10.75
23.92,10.79
24.16,10.81
24.40,10.83
24.65,10.85
24.89,10.88
25.14,10.91
25.39,10.93
25.65,10.95
25.91,10.97
26.16,10.99
26.43,11.01
26.69,11.04
26.96,11.05
27.23,11.07
27.50,11.08
27.77,11.10
28.05,11.13
28.33,11.14
28.62,11.16
28.90,11.18
29.19,11.20
29.48,11.21
29.78,11.24
30.08,11.25
30.38,11.26
30.68,11.27
30.99,11.28
31.30,11.29
31.61,11.30
31.93,11.31
32.24,11.32
32.57,11.33
32.89,11.34
33.22,11.35
33.55,11.36
33.89,11.37
34.23,11.39
34.57,11.40
34.92,11.42
35.27,11.43
35.62,11.45
35.97,11.45
36.33,11.46
36.70,11.49
37.06,11.51
37.43,11.52
37.81,11.54
38.19,11.55
38.57,11.55
38.95,11.57
39.34,11.58
39.74,11.58
40.14,11.59
40.54,11.58
40.94,11.59
41.35,11.59
41.76,11.59
42.18,11.59
42.60,11.58
43.03,11.59
43.46,11.59
43.90,11.58
44.33,11.57
44.78,11.56
45.23,11.56
45.68,11.55
46.13,11.55
46.60,11.53
47.06,11.53
47.53,11.52
48.01,11.52
48.49,11.52
48.97,11.51
49.46,11.51
49.96,11.51
50.46,11.49
50.96,11.50
51.47,11.49
51.99,11.49
52.51,11.48
53.03,11.47
53.56,11.46
54.10,11.46
54.64,11.44
55.18,11.43
55.74,11.41
56.29,11.39
56.86,11.38
57.42,11.37
58.00,11.35
58.58,11.34
59.16,11.32
59.76,11.31
60.35,11.29
60.96,11.29
61.57,11.27
62.18,11.25
62.80,11.24
63.43,11.22
64.07,11.22
64.71,11.20
65.35,11.17
66.01,11.15
66.67,11.14
67.33,11.11
68.01,11.09
68.69,11.07
69.37,11.05
70.07,11.02
70.77,11.00
71.48,10.99
72.19,10.96
72.91,10.94
73.64,10.91
74.38,10.88
75.12,10.85
75.87,10.83
76.63,10.80
77.40,10.77
78.17,10.74
78.95,10.71
79.74,10.69
80.54,10.65
81.35,10.62
82.16,10.58
82.98,10.55
83.81,10.52
84.65,10.49
85.50,10.45
86.35,10.41
87.22,10.37
88.09,10.35
88.97,10.30
89.86,10.27
90.76,10.22
91.66,10.19
92.58,10.15
93.51,10.11
94.44,10.07
95.39,10.04
96.34,10.00
97.30,9.96
98.28,9.93
99.26,9.89
100.25,9.86
101.25,9.82
102.27,9.79
103.29,9.75
104.32,9.72
105.37,9.68
106.42,9.64
107.48,9.60
108.56,9.57
109.64,9.52
110.74,9.48
111.85,9.45
112.97,9.41
114.10,9.38
115.24,9.33
116.39,9.31
117.55,9.28
118.73,9.24
119.92,9.21
121.12,9.19
122.33,9.16
123.55,9.14
124.79,9.12
126.03,9.09
127.29,9.06
128.57,9.04
129.85,9.01
131.15,8.97
132.46,8.93
133.79,8.89
135.12,8.85
136.48,8.80
137.84,8.76
139.22,8.71
140.61,8.65
142.02,8.61
143.44,8.56
144.87,8.50
146.32,8.45
147.78,8.39
149.26,8.34
150.75,8.28
152.26,8.23
153.78,8.17
155.32,8.12
156.88,8.06
158.44,8.00
160.03,7.95
161.63,7.89
163.24,7.83
164.88,7.78
166.53,7.71
168.19,7.65
169.87,7.59
171.57,7.52
173.29,7.47
175.02,7.40
176.77,7.34
178.54,7.27
180.32,7.21
182.13,7.14
183.95,7.08
185.79,7.02
187.65,6.95
189.52,6.89
191.42,6.82
193.33,6.76
195.27,6.69
197.22,6.64
199.19,6.56
201.18,6.50
203.19,6.45
205.23,6.38
207.28,6.33
209.35,6.26
211.44,6.21
213.56,6.15
215.69,6.10
217.85,6.04
220.03,5.98
222.23,5.93
224.45,5.87
226.70,5.81
228.96,5.76
231.25,5.71
233.57,5.66
235.90,5.61
238.26,5.56
240.64,5.51
243.05,5.47
245.48,5.42
247.93,5.36
250.41,5.31
252.92,5.27
255.45,5.21
258.00,5.16
260.58,5.11
263.19,5.06
265.82,5.02
268.48,4.96
271.16,4.92
273.87,4.86
276.61,4.81
279.38,4.75
282.17,4.72
284.99,4.67
287.84,4.62
290.72,4.58
293.63,4.52
296.57,4.47
299.53,4.43
302.53,4.36
305.55,4.32
308.61,4.25
311.69,4.19
314.81,4.15
317.96,4.08
321.14,4.02
324.35,3.96
327.59,3.90
330.87,3.84
334.18,3.79
337.52,3.72
340.90,3.67
344.30,3.60
347.75,3.55
351.23,3.50
354.74,3.44
358.28,3.37
361.87,3.33
365.49,3.27
369.14,3.21
372.83,3.17
376.56,3.11
380.33,3.06
384.13,3.00
387.97,2.95
391.85,2.89
395.77,2.84
399.73,2.79
403.72,2.73
407.76,2.68
411.84,2.63
415.96,2.58
420.12,2.52
424.32,2.47
428.56,2.42
432.85,2.37
437.18,2.32
441.55,2.27
445.96,2.23
450.42,2.18
454.93,2.13
459.48,2.09
464.07,2.04
468.71,1.99
473.40,1.94
478.13,1.90
482.91,1.86
487.74,1.81
492.62,1.76
497.55,1.72
502.52,1.67
507.55,1.63
512.62,1.59
517.75,1.55
522.93,1.50
528.16,1.46
533.44,1.42
538.77,1.37
544.16,1.33
549.60,1.27
555.10,1.23
560.65,1.19
566.25,1.14
571.92,1.09
577.64,1.05
583.41,0.99
589.25,0.96
595.14,0.91
601.09,0.87
607.10,0.83
613.17,0.78
619.30,0.74
625.50,0.70
631.75,0.67
638.07,0.62
644.45,0.58
650.89,0.55
657.40,0.50
663.98,0.44
670.62,0.40
677.32,0.35
684.10,0.31
690.94,0.29
697.85,0.26
704.83,0.26
711.87,0.26
718.99,0.27
726.18,0.28
733.44,0.30
740.78,0.32
748.19,0.33
755.67,0.33
763.23,0.32
770.86,0.30
778.57,0.28
786.35,0.26
794.22,0.24
802.16,0.22
810.18,0.20
818.28,0.17
826.46,0.16
834.73,0.14
843.08,0.11
851.51,0.07
860.02,0.04
868.62,-0.03
877.31,-0.10
886.08,-0.17
894.94,-0.25
903.89,-0.31
912.93,-0.36
922.06,-0.39
931.28,-0.41
940.59,-0.41
950.00,-0.38
959.50,-0.35
969.09,-0.31
978.78,-0.28
988.57,-0.23
998.46,-0.17
1008.44,-0.11
1018.53,-0.05
1028.71,0.02
1039.00,0.08
1049.39,0.15
1059.88,0.24
1070.48,0.32
1081.19,0.41
1092.00,0.51
1102.92,0.61
1113.95,0.73
1125.09,0.83
1136.34,0.96
1147.70,1.08
1159.18,1.20
1170.77,1.33
1182.48,1.47
1194.30,1.59
1206.25,1.74
1218.31,1.88
1230.49,2.02
1242.80,2.18
1255.22,2.33
1267.78,2.48
1280.45,2.64
1293.26,2.80
1306.19,2.95
1319.25,3.11
1332.45,3.27
1345.77,3.43
1359.23,3.60
1372.82,3.76
1386.55,3.92
1400.41,4.09
1414.42,4.25
1428.56,4.41
1442.85,4.57
1457.28,4.74
1471.85,4.90
1486.57,5.05
1501.43,5.22
1516.45,5.38
1531.61,5.55
1546.93,5.72
1562.40,5.88
1578.02,6.05
1593.80,6.22
1609.74,6.39
1625.84,6.58
1642.10,6.75
1658.52,6.93
1675.10,7.10
1691.85,7.30
1708.77,7.48
1725.86,7.68
1743.12,7.88
1760.55,8.07
1778.15,8.27
1795.94,8.48
1813.90,8.70
1832.03,8.90
1850.36,9.12
1868.86,9.35
1887.55,9.56
1906.42,9.80
1925.49,10.03
1944.74,10.25
1964.19,10.49
1983.83,10.73
2003.67,10.97
2023.71,11.20
2043.94,11.43
2064.38,11.65
2085.03,11.88
2105.88,12.10
2126.94,12.32
2148.20,12.52
2169.69,12.72
2191.38,12.91
2213.30,13.10
2235.43,13.28
2257.78,13.45
2280.36,13.60
2303.17,13.74
2326.20,13.85
2349.46,13.96
2372.95,14.05
2396.68,14.13
2420.65,14.19
2444.86,14.24
2469.31,14.26
2494.00,14.29
2518.94,14.28
2544.13,14.27
2569.57,14.26
2595.27,14.21
2621.22,14.16
2647.43,14.12
2673.90,14.07
2700.64,14.01
2727.65,13.94
2754.93,13.88
2782.48,13.82
2810.30,13.74
2838.40,13.68
2866.79,13.62
2895.46,13.56
2924.41,13.50
2953.65,13.45
2983.19,13.41
3013.02,13.36
3043.15,13.34
3073.58,13.32
3104.32,13.31
3135.36,13.28
3166.72,13.29
3198.38,13.30
3230.37,13.32
3262.67,13.35
3295.30,13.39
3328.25,13.45
3361.53,13.50
3395.15,13.58
3429.10,13.67
3463.39,13.76
3498.03,13.86
3533.01,13.98
3568.34,14.12
3604.02,14.25
3640.06,14.40
3676.46,14.56
3713.22,14.71
3750.36,14.88
3787.86,15.04
3825.74,15.21
3864.00,15.36
3902.64,15.51
3941.66,15.64
3981.08,15.74
4020.89,15.82
4061.10,15.87
4101.71,15.87
4142.73,15.86
4184.15,15.80
4226.00,15.70
4268.26,15.57
4310.94,15.43
4354.05,15.26
4397.59,15.08
4441.56,14.91
4485.98,14.75
4530.84,14.59
4576.15,14.44
4621.91,14.33
4668.13,14.21
4714.81,14.10
4761.96,13.97
4809.58,13.80
4857.67,13.59
4906.25,13.34
4955.31,13.00
5004.87,12.61
5054.91,12.16
5105.46,11.66
5156.52,11.11
5208.08,10.53
5260.16,9.94
5312.77,9.35
5365.89,8.77
5419.55,8.22
5473.75,7.69
5528.49,7.18
5583.77,6.71
