frequency,raw
20.00,5.94
20.20,5.96
20.40,5.99
20.61,6.02
20.81,6.05
21.02,6.08
21.23,6.10
21.44,6.13
21.66,6.16
21.87,6.19
22.09,6.23
22.31,6.25
22.54,6.28
22.76,6.32
22.99,6.34
23.22,6.37
23.45,6.40
23.69,6.42
23.92,6.45
24.16,6.47
24.40,6.49
24.65,6.50
24.89,6.53
25.14,6.55
25.39,6.56
25.65,6.57
25.91,6.58
26.16,6.59
26.43,6.60
26.69,6.62
26.96,6.63
27.23,6.65
27.50,6.65
27.77,6.66
28.05,6.69
28.33,6.69
28.62,6.70
28.90,6.71
29.19,6.72
29.48,6.72
29.78,6.74
30.08,6.74
30.38,6.74
30.68,6.74
30.99,6.74
31.30,6.73
31.61,6.72
31.93,6.72
32.24,6.72
32.57,6.72
32.89,6.71
33.22,6.71
33.55,6.70
33.89,6.70
34.23,6.70
34.57,6.70
34.92,6.69
35.27,6.69
35.62,6.70
35.97,6.68
36.33,6.68
36.70,6.68
37.06,6.68
37.43,6.68
37.81,6.68
38.19,6.67
38.57,6.66
38.95,6.66
39.34,6.66
39.74,6.64
40.14,6.64
40.54,6.61
40.94,6.61
41.35,6.60
41.76,6.58
42.18,6.57
42.60,6.55
43.03,6.54
43.46,6.53
43.90,6.51
44.33,6.48
44.78,6.47
45.23,6.45
45.68,6.43
46.13,6.42
46.60,6.40
47.06,6.39
47.53,6.37
48.01,6.35
48.49,6.35
48.97,6.33
49.46,6.32
49.96,6.32
50.46,6.30
50.96,6.30
51.47,6.28
51.99,6.28
52.51,6.27
53.03,6.26
53.56,6.25
54.10,6.25
54.64,6.23
55.18,6.22
55.74,6.19
56.29,6.18
56.86,6.17
57.42,6.16
58.00,6.15
58.58,6.13
59.16,6.11
59.76,6.10
60.35,6.08
60.96,6.08
61.57,6.06
62.18,6.04
62.80,6.04
63.43,6.01
64.07,6.00
64.71,5.98
65.35,5.95
66.01,5.93
66.67,5.91
67.33,5.87
68.01,5.85
68.69,5.82
69.37,5.78
70.07,5.74
70.77,5.71
71.48,5.68
72.19,5.63
72.91,5.58
73.64,5.53
74.38,5.47
75.12,5.41
75.87,5.35
76.63,5.29
77.40,5.22
78.17,5.15
78.95,5.07
79.74,4.99
80.54,4.91
81.35,4.82
82.16,4.73
82.98,4.63
83.81,4.53
84.65,4.42
85.50,4.31
86.35,4.19
87.22,4.07
88.09,3.95
88.97,3.81
89.86,3.69
90.76,3.55
91.66,3.43
92.58,3.30
93.51,3.16
94.44,3.04
95.39,2.91
96.34,2.79
97.30,2.67
98.28,2.56
99.26,2.45
100.25,2.35
101.25,2.24
102.27,2.14
103.29,2.04
104.32,1.95
105.37,1.84
106.42,1.74
107.48,1.64
108.56,1.55
109.64,1.45
110.74,1.35
111.85,1.27
112.97,1.17
114.10,1.09
115.24,1.00
116.39,0.93
117.55,0.86
118.73,0.77
119.92,0.70
121.12,0.62
122.33,0.54
123.55,0.45
124.79,0.37
126.03,0.29
127.29,0.20
128.57,0.12
129.85,0.03
131.15,-0.06
132.46,-0.15
133.79,-0.24
135.12,-0.33
136.48,-0.42
137.84,-0.49
139.22,-0.58
140.61,-0.67
142.02,-0.75
143.44,-0.83
144.87,-0.91
146.32,-0.98
147.78,-1.07
149.26,-1.14
150.75,-1.22
152.26,-1.28
153.78,-1.35
155.32,-1.42
156.88,-1.49
158.44,-1.55
160.03,-1.60
161.63,-1.67
163.24,-1.72
164.88,-1.77
166.53,-1.83
168.19,-1.89
169.87,-1.93
171.57,-1.99
173.29,-2.02
175.02,-2.07
176.77,-2.11
178.54,-2.15
180.32,-2.19
182.13,-2.23
183.95,-2.26
185.79,-2.29
187.65,-2.32
189.52,-2.35
191.42,-2.38
193.33,-2.40
195.27,-2.42
197.22,-2.43
199.19,-2.46
201.18,-2.48
203.19,-2.48
205.23,-2.50
207.28,-2.50
209.35,-2.52
211.44,-2.52
213.56,-2.52
215.69,-2.53
217.85,-2.53
220.03,-2.54
222.23,-2.54
224.45,-2.55
226.70,-2.55
228.96,-2.55
231.25,-2.55
233.57,-2.55
235.90,-2.55
238.26,-2.56
240.64,-2.55
243.05,-2.55
245.48,-2.55
247.93,-2.56
250.41,-2.55
252.92,-2.55
255.45,-2.55
258.00,-2.55
260.58,-2.54
263.19,-2.54
265.82,-2.53
268.48,-2.54
271.16,-2.53
273.87,-2.54
276.61,-2.53
279.38,-2.54
282.17,-2.52
284.99,-2.52
287.84,-2.52
290.72,-2.51
293.63,-2.52
296.57,-2.51
299.53,-2.51
302.53,-2.52
305.55,-2.52
308.61,-2.53
311.69,-2.54
314.81,-2.54
317.96,-2.55
321.14,-2.56
324.35,-2.56
327.59,-2.57
330.87,-2.58
334.18,-2.58
337.52,-2.59
340.90,-2.59
344.30,-2.60
347.75,-2.59
351.23,-2.58
354.74,-2.58
358.28,-2.58
361.87,-2.57
365.49,-2.56
369.14,-2.55
372.83,-2.54
376.56,-2.53
380.33,-2.51
384.13,-2.50
387.97,-2.48
391.85,-2.46
395.77,-2.44
399.73,-2.42
403.72,-2.41
407.76,-2.38
411.84,-2.36
415.96,-2.34
420.12,-2.32
424.32,-2.30
428.56,-2.28
432.85,-2.26
437.18,-2.25
441.55,-2.24
445.96,-2.22
450.42,-2.21
454.93,-2.21
459.48,-2.19
464.07,-2.19
468.71,-2.18
473.40,-2.17
478.13,-2.16
482.91,-2.15
487.74,-2.16
492.62,-2.16
497.55,-2.16
502.52,-2.17
507.55,-2.17
512.62,-2.18
517.75,-2.19
522.93,-2.22
528.16,-2.23
533.44,-2.25
538.77,-2.27
544.16,-2.30
549.60,-2.34
555.10,-2.36
560.65,-2.39
566.25,-2.43
571.92,-2.46
577.64,-2.49
583.41,-2.53
589.25,-2.55
595.14,-2.59
601.09,-2.61
607.10,-2.65
613.17,-2.69
619.30,-2.71
625.50,-2.74
631.75,-2.76
638.07,-2.79
644.45,-2.82
650.89,-2.84
657.40,-2.87
663.98,-2.90
670.62,-2.92
677.32,-2.95
684.10,-2.97
690.94,-2.98
697.85,-3.01
704.83,-3.03
711.87,-3.04
718.99,-3.06
726.18,-3.07
733.44,-3.07
740.78,-3.06
748.19,-3.05
755.67,-3.04
763.23,-3.01
770.86,-2.98
778.57,-2.93
786.35,-2.88
794.22,-2.83
802.16,-2.75
810.18,-2.68
818.28,-2.60
826.46,-2.49
834.73,-2.38
843.08,-2.27
851.51,-2.15
860.02,-2.01
868.62,-1.89
877.31,-1.76
886.08,-1.62
894.94,-1.50
903.89,-1.36
912.93,-1.24
922.06,-1.10
931.28,-0.98
940.59,-0.86
950.00,-0.74
959.50,-0.62
969.09,-0.51
978.78,-0.41
988.57,-0.30
998.46,-0.17
1008.44,-0.06
1018.53,0.05
1028.71,0.17
1039.00,0.27
1049.39,0.39
1059.88,0.52
1070.48,0.63
1081.19,0.76
1092.00,0.88
1102.92,1.00
1113.95,1.15
1125.09,1.27
1136.34,1.41
1147.70,1.55
1159.18,1.68
1170.77,1.82
1182.48,1.96
1194.30,2.09
1206.25,2.24
1218.31,2.38
1230.49,2.53
1242.80,2.69
1255.22,2.84
1267.78,2.99
1280.45,3.16
1293.26,3.32
1306.19,3.47
1319.25,3.64
1332.45,3.80
1345.77,3.96
1359.23,4.14
1372.82,4.30
1386.55,4.48
1400.41,4.66
1414.42,4.82
1428.56,5.00
1442.85,5.16
1457.28,5.34
1471.85,5.50
1486.57,5.67
1501.43,5.84
1516.45,6.00
1531.61,6.17
1546.93,6.33
1562.40,6.50
1578.02,6.66
1593.80,6.82
1609.74,6.97
1625.84,7.14
1642.10,7.29
1658.52,7.44
1675.10,7.59
1691.85,7.74
1708.77,7.89
1725.86,8.03
1743.12,8.16
1760.55,8.29
1778.15,8.42
1795.94,8.53
1813.90,8.66
1832.03,8.76
1850.36,8.86
1868.86,8.97
1887.55,9.05
1906.42,9.14
1925.49,9.22
1944.74,9.28
1964.19,9.34
1983.83,9.40
2003.67,9.44
2023.71,9.47
2043.94,9.49
2064.38,9.50
2085.03,9.50
2105.88,9.49
2126.94,9.47
2148.20,9.44
2169.69,9.39
2191.38,9.34
2213.30,9.28
2235.43,9.21
2257.78,9.13
2280.36,9.04
2303.17,8.94
2326.20,8.83
2349.46,8.73
2372.95,8.62
2396.68,8.51
2420.65,8.39
2444.86,8.30
2469.31,8.19
2494.00,8.10
2518.94,8.00
2544.13,7.93
2569.57,7.86
2595.27,7.76
2621.22,7.68
2647.43,7.60
2673.90,7.52
2700.64,7.44
2727.65,7.35
2754.93,7.26
2782.48,7.18
2810.30,7.07
2838.40,6.97
2866.79,6.88
2895.46,6.78
2924.41,6.68
2953.65,6.58
2983.19,6.48
3013.02,6.37
3043.15,6.28
3073.58,6.19
3104.32,6.09
3135.36,5.98
3166.72,5.90
3198.38,5.80
3230.37,5.71
3262.67,5.63
