frequency,raw
20.00,-4.34
20.20,-4.31
20.40,-4.26
20.61,-4.22
20.81,-4.18
21.02,-4.14
21.23,-4.10
21.44,-4.07
21.66,-4.03
21.87,-3.99
22.09,-3.95
22.31,-3.92
22.54,-3.89
22.76,-3.85
22.99,-3.82
23.22,-3.79
23.45,-3.76
23.69,-3.73
23.92,-3.69
24.16,-3.66
24.40,-3.64
24.65,-3.61
24.89,-3.57
25.14,-3.54
25.39,-3.51
25.65,-3.48
25.91,-3.45
26.16,-3.42
26.43,-3.39
26.69,-3.35
26.96,-3.32
27.23,-3.29
27.50,-3.27
27.77,-3.24
28.05,-3.20
28.33,-3.18
28.62,-3.15
28.90,-3.12
29.19,-3.09
29.48,-3.07
29.78,-3.03
30.08,-3.01
30.38,-2.98
30.68,-2.96
30.99,-2.94
31.30,-2.91
31.61,-2.90
31.93,-2.87
32.24,-2.85
32.57,-2.82
32.89,-2.80
33.22,-2.78
33.55,-2.76
33.89,-2.73
34.23,-2.70
34.57,-2.67
34.92,-2.64
35.27,-2.61
35.62,-2.58
35.97,-2.56
36.33,-2.53
36.70,-2.49
37.06,-2.46
37.43,-2.43
37.81,-2.40
38.19,-2.37
38.57,-2.35
38.95,-2.32
39.34,-2.29
39.74,-2.27
40.14,-2.24
40.54,-2.23
40.94,-2.20
41.35,-2.18
41.76,-2.16
42.18,-2.15
42.60,-2.13
43.03,-2.11
43.46,-2.09
43.90,-2.07
44.33,-2.07
44.78,-2.06
45.23,-2.04
45.68,-2.03
46.13,-2.01
46.60,-2.00
47.06,-1.98
47.53,-1.97
48.01,-1.95
48.49,-1.93
48.97,-1.91
49.46,-1.90
49.96,-1.87
50.46,-1.87
50.96,-1.84
51.47,-1.83
51.99,-1.80
52.51,-1.79
53.03,-1.78
53.56,-1.76
54.10,-1.74
54.64,-1.74
55.18,-1.72
55.74,-1.72
56.29,-1.71
56.86,-1.70
57.42,-1.69
58.00,-1.67
58.58,-1.66
59.16,-1.66
59.76,-1.65
60.35,-1.64
60.96,-1.61
61.57,-1.60
62.18,-1.60
62.80,-1.57
63.43,-1.57
64.07,-1.55
64.71,-1.54
65.35,-1.54
66.01,-1.52
66.67,-1.51
67.33,-1.51
68.01,-1.50
68.69,-1.49
69.37,-1.49
70.07,-1.48
70.77,-1.47
71.48,-1.45
72.19,-1.45
72.91,-1.44
73.64,-1.44
74.38,-1.45
75.12,-1.44
75.87,-1.43
76.63,-1.43
77.40,-1.42
78.17,-1.42
78.95,-1.42
79.74,-1.41
80.54,-1.41
81.35,-1.41
82.16,-1.41
82.98,-1.42
83.81,-1.42
84.65,-1.42
85.50,-1.42
86.35,-1.42
87.22,-1.43
88.09,-1.42
88.97,-1.44
89.86,-1.43
90.76,-1.44
91.66,-1.44
92.58,-1.44
93.51,-1.45
94.44,-1.45
95.39,-1.45
96.34,-1.45
97.30,-1.45
98.28,-1.45
99.26,-1.45
100.25,-1.44
101.25,-1.45
102.27,-1.44
103.29,-1.44
104.32,-1.43
105.37,-1.43
106.42,-1.43
107.48,-1.44
108.56,-1.43
109.64,-1.43
110.74,-1.44
111.85,-1.42
112.97,-1.42
114.10,-1.42
115.24,-1.43
116.39,-1.41
117.55,-1.40
118.73,-1.39
119.92,-1.38
121.12,-1.36
122.33,-1.34
123.55,-1.33
124.79,-1.31
126.03,-1.29
127.29,-1.27
128.57,-1.25
129.85,-1.24
131.15,-1.23
132.46,-1.23
133.79,-1.22
135.12,-1.22
136.48,-1.22
137.84,-1.21
139.22,-1.22
140.61,-1.24
142.02,-1.24
143.44,-1.24
144.87,-1.26
146.32,-1.26
147.78,-1.28
149.26,-1.29
150.75,-1.30
152.26,-1.30
153.78,-1.31
