frequency,raw
20.00,14.41
20.20,14.44
20.40,14.49
20.61,14.52
20.81,14.56
21.02,14.59
21.23,14.62
21.44,14.65
21.66,14.68
21.87,14.71
22.09,14.75
22.31,14.79
22.54,14.82
22.76,14.86
22.99,14.89
23.22,14.94
23.45,14.97
23.69,15.00
23.92,15.04
24.16,15.07
24.40,15.08
24.65,15.10
24.89,15.13
25.14,15.14
25.39,15.15
25.65,15.16
25.91,15.16
26.16,15.16
26.43,15.15
26.69,15.15
26.96,15.13
27.23,15.11
27.50,15.08
27.77,15.05
28.05,15.03
28.33,14.98
28.62,14.94
28.90,14.89
29.19,14.83
29.48,14.76
29.78,14.71
30.08,14.63
30.38,14.54
30.68,14.46
30.99,14.37
31.30,14.27
31.61,14.16
31.93,14.06
32.24,13.95
32.57,13.84
32.89,13.73
33.22,13.62
33.55,13.49
33.89,13.38
34.23,13.27
34.57,13.15
34.92,13.04
35.27,12.94
35.62,12.84
35.97,12.72
36.33,12.63
36.70,12.55
37.06,12.48
37.43,12.40
37.81,12.33
38.19,12.27
38.57,12.21
38.95,12.16
39.34,12.13
39.74,12.09
40.14,12.06
40.54,12.03
40.94,12.02
41.35,12.00
41.76,11.99
42.18,11.99
42.60,11.98
43.03,11.99
43.46,11.99
43.90,12.00
44.33,11.99
44.78,12.00
45.23,12.02
45.68,12.02
46.13,12.04
46.60,12.04
47.06,12.06
47.53,12.07
48.01,12.08
48.49,12.10
48.97,12.11
49.46,12.12
49.96,12.13
50.46,12.13
50.96,12.14
51.47,12.15
51.99,12.16
52.51,12.16
53.03,12.15
53.56,12.14
54.10,12.14
54.64,12.12
55.18,12.10
55.74,12.07
56.29,12.04
56.86,12.01
57.42,11.98
58.00,11.95
58.58,11.91
59.16,11.86
59.76,11.81
60.35,11.76
60.96,11.72
61.57,11.66
62.18,11.60
62.80,11.55
63.43,11.48
64.07,11.42
64.71,11.35
65.35,11.26
66.01,11.19
66.67,11.11
67.33,11.01
68.01,10.93
68.69,10.84
69.37,10.75
70.07,10.65
70.77,10.56
71.48,10.48
72.19,10.38
72.91,10.29
73.64,10.19
74.38,10.08
75.12,9.99
75.87,9.90
76.63,9.81
77.40,9.71
78.17,9.63
78.95,9.53
79.74,9.45
80.54,9.37
81.35,9.28
82.16,9.20
82.98,9.12
83.81,9.04
84.65,8.97
85.50,8.89
86.35,8.82
87.22,8.75
88.09,8.69
88.97,8.61
89.86,8.56
90.76,8.49
91.66,8.43
92.58,8.37
93.51,8.30
94.44,8.24
95.39,8.18
96.34,8.12
97.30,8.05
98.28,7.99
99.26,7.93
100.25,7.87
101.25,7.79
102.27,7.72
103.29,7.65
104.32,7.58
105.37,7.50
106.42,7.42
107.48,7.34
108.56,7.27
109.64,7.20
110.74,7.12
111.85,7.06
112.97,6.99
114.10,6.93
115.24,6.86
116.39,6.82
117.55,6.78
118.73,6.74
119.92,6.70
121.12,6.68
122.33,6.66
123.55,6.64
124.79,6.62
126.03,6.59
127.29,6.57
128.57,6.54
129.85,6.49
131.15,6.44
132.46,6.37
133.79,6.30
135.12,6.23
136.48,6.14
137.84,6.07
139.22,5.98
140.61,5.89
142.02,5.81
143.44,5.72
144.87,5.64
146.32,5.56
147.78,5.48
149.26,5.41
150.75,5.33
152.26,5.27
153.78,5.20
155.32,5.15
156.88,5.08
158.44,5.03
160.03,4.98
161.63,4.92
163.24,4.87
164.88,4.82
166.53,4.76
168.19,4.71
169.87,4.66
171.57,4.60
173.29,4.55
175.02,4.50
176.77,4.44
178.54,4.39
180.32,4.34
182.13,4.29
183.95,4.24
185.79,4.19
187.65,4.15
189.52,4.09
191.42,4.04
193.33,4.00
195.27,3.94
197.22,3.90
199.19,3.84
201.18,3.79
203.19,3.74
205.23,3.69
207.28,3.64
209.35,3.58
211.44,3.53
213.56,3.48
215.69,3.43
217.85,3.37
220.03,3.32
222.23,3.26
224.45,3.20
226.70,3.14
228.96,3.09
231.25,3.03
233.57,2.98
235.90,2.92
238.26,2.86
240.64,2.81
243.05,2.76
245.48,2.70
247.93,2.65
250.41,2.60
252.92,2.55
255.45,2.50
258.00,2.44
260.58,2.40
263.19,2.35
265.82,2.31
268.48,2.26
271.16,2.22
273.87,2.17
276.61,2.13
279.38,2.08
282.17,2.04
284.99,2.00
287.84,1.96
290.72,1.93
293.63,1.88
296.57,1.84
299.53,1.80
302.53,1.75
305.55,1.72
308.61,1.67
311.69,1.63
314.81,1.60
317.96,1.55
321.14,1.51
324.35,1.47
327.59,1.43
330.87,1.39
334.18,1.36
337.52,1.31
340.90,1.29
344.30,1.24
347.75,1.21
351.23,1.19
354.74,1.16
358.28,1.12
361.87,1.11
365.49,1.08
369.14,1.05
372.83,1.04
376.56,1.01
380.33,0.99
384.13,0.97
387.97,0.94
391.85,0.92
395.77,0.90
399.73,0.88
403.72,0.84
407.76,0.82
411.84,0.80
415.96,0.78
420.12,0.75
424.32,0.73
428.56,0.72
432.85,0.70
437.18,0.68
441.55,0.66
445.96,0.65
450.42,0.62
454.93,0.59
459.48,0.57
464.07,0.53
468.71,0.49
473.40,0.44
478.13,0.39
482.91,0.34
487.74,0.27
492.62,0.20
497.55,0.14
502.52,0.07
507.55,0.00
512.62,-0.07
517.75,-0.15
522.93,-0.24
528.16,-0.31
533.44,-0.39
538.77,-0.48
544.16,-0.56
549.60,-0.64
555.10,-0.70
560.65,-0.77
566.25,-0.82
571.92,-0.87
577.64,-0.91
583.41,-0.94
589.25,-0.95
595.14,-0.97
601.09,-0.97
607.10,-0.97
613.17,-0.98
619.30,-0.97
625.50,-0.97
631.75,-0.95
638.07,-0.96
644.45,-0.96
650.89,-0.96
657.40,-0.98
663.98,-1.01
670.62,-1.03
677.32,-1.07
684.10,-1.11
690.94,-1.14
697.85,-1.20
704.83,-1.26
711.87,-1.32
718.99,-1.39
726.18,-1.46
733.44,-1.53
740.78,-1.60
748.19,-1.68
755.67,-1.75
763.23,-1.82
770.86,-1.88
778.57,-1.94
786.35,-1.99
794.22,-2.04
802.16,-2.06
810.18,-2.09
818.28,-2.10
826.46,-2.08
834.73,-2.05
843.08,-2.01
851.51,-1.95
860.02,-1.85
868.62,-1.76
877.31,-1.65
886.08,-1.53
894.94,-1.41
903.89,-1.27
912.93,-1.14
922.06,-1.00
931.28,-0.87
940.59,-0.75
950.00,-0.64
959.50,-0.53
969.09,-0.43
978.78,-0.35
988.57,-0.27
998.46,-0.17
1008.44,-0.09
1018.53,-0.01
1028.71,0.07
1039.00,0.13
1049.39,0.21
1059.88,0.30
1070.48,0.36
1081.19,0.44
1092.00,0.52
1102.92,0.59
1113.95,0.68
1125.09,0.76
1136.34,0.84
1147.70,0.93
1159.18,1.00
1170.77,1.09
1182.48,1.17
1194.30,1.24
1206.25,1.32
1218.31,1.40
1230.49,1.47
1242.80,1.56
1255.22,1.64
1267.78,1.71
1280.45,1.79
1293.26,1.86
1306.19,1.93
1319.25,2.01
1332.45,2.08
1345.77,2.15
1359.23,2.23
1372.82,2.30
1386.55,2.38
1400.41,2.46
1414.42,2.52
1428.56,2.60
1442.85,2.66
1457.28,2.74
1471.85,2.80
1486.57,2.87
1501.43,2.94
1516.45,3.00
1531.61,3.07
1546.93,3.14
1562.40,3.21
1578.02,3.27
1593.80,3.33
1609.74,3.39
1625.84,3.45
1642.10,3.51
1658.52,3.56
1675.10,3.61
1691.85,3.68
1708.77,3.73
1725.86,3.79
1743.12,3.84
1760.55,3.89
1778.15,3.94
1795.94,3.99
1813.90,4.05
1832.03,4.08
1850.36,4.13
1868.86,4.19
1887.55,4.22
1906.42,4.27
1925.49,4.31
1944.74,4.35
1964.19,4.38
1983.83,4.42
2003.67,4.46
2023.71,4.49
2043.94,4.52
2064.38,4.55
2085.03,4.57
2105.88,4.60
2126.94,4.62
2148.20,4.64
2169.69,4.66
2191.38,4.68
2213.30,4.70
2235.43,4.72
2257.78,4.74
2280.36,4.76
2303.17,4.77
2326.20,4.77
2349.46,4.78
2372.95,4.79
2396.68,4.79
2420.65,4.79
2444.86,4.79
2469.31,4.79
2494.00,4.79
2518.94,4.77
2544.13,4.77
2569.57,4.77
2595.27,4.73
2621.22,4.72
2647.43,4.70
2673.90,4.68
2700.64,4.66
2727.65,4.63
2754.93,4.61
2782.48,4.59
2810.30,4.55
2838.40,4.52
2866.79,4.49
2895.46,4.46
2924.41,4.42
2953.65,4.38
2983.19,4.35
3013.02,4.31
3043.15,4.28
3073.58,4.25
3104.32,4.21
3135.36,4.17
3166.72,4.14
3198.38,4.10
3230.37,4.06
3262.67,4.02
3295.30,3.98
3328.25,3.95
3361.53,3.90
3395.15,3.86
3429.10,3.83
3463.39,3.78
3498.03,3.73
3533.01,3.68
3568.34,3.64
3604.02,3.59
3640.06,3.54
3676.46,3.49
