frequency,raw
20.00,9.36
20.20,9.38
20.40,9.42
20.61,9.44
20.81,9.47
21.02,9.50
21.23,9.52
21.44,9.54
21.66,9.58
21.87,9.60
22.09,9.63
22.31,9.65
22.54,9.67
22.76,9.69
22.99,9.71
23.22,9.73
23.45,9.75
23.69,9.76
23.92,9.79
24.16,9.80
24.40,9.80
24.65,9.82
24.89,9.84
25.14,9.85
25.39,9.86
25.65,9.87
25.91,9.88
26.16,9.89
26.43,9.89
26.69,9.91
26.96,9.91
27.23,9.92
27.50,9.92
27.77,9.92
28.05,9.94
28.33,9.93
28.62,9.94
28.90,9.95
29.19,9.95
29.48,9.95
29.78,9.96
30.08,9.96
30.38,9.95
30.68,9.95
30.99,9.95
31.30,9.95
31.61,9.93
31.93,9.93
32.24,9.93
32.57,9.92
32.89,9.92
33.22,9.91
33.55,9.89
33.89,9.89
34.23,9.89
34.57,9.88
34.92,9.88
35.27,9.87
35.62,9.87
35.97,9.85
36.33,9.85
36.70,9.85
37.06,9.85
37.43,9.84
37.81,9.84
38.19,9.83
38.57,9.81
38.95,9.80
39.34,9.80
39.74,9.78
40.14,9.77
40.54,9.74
40.94,9.72
41.35,9.70
41.76,9.68
42.18,9.66
42.60,9.63
43.03,9.61
43.46,9.58
43.90,9.55
44.33,9.51
44.78,9.48
45.23,9.46
45.68,9.42
46.13,9.39
46.60,9.36
47.06,9.33
47.53,9.30
48.01,9.27
48.49,9.24
48.97,9.21
49.46,9.17
49.96,9.15
50.46,9.11
50.96,9.08
51.47,9.05
51.99,9.02
52.51,8.99
53.03,8.95
53.56,8.92
54.10,8.89
54.64,8.84
55.18,8.81
55.74,8.76
56.29,8.72
56.86,8.68
57.42,8.64
58.00,8.60
58.58,8.56
59.16,8.51
59.76,8.47
60.35,8.43
60.96,8.40
61.57,8.35
62.18,8.30
62.80,8.27
63.43,8.22
64.07,8.19
64.71,8.14
65.35,8.09
66.01,8.05
66.67,8.00
67.33,7.95
68.01,7.90
68.69,7.86
69.37,7.81
70.07,7.76
70.77,7.71
71.48,7.67
72.19,7.62
72.91,7.57
73.64,7.52
74.38,7.45
75.12,7.41
75.87,7.36
76.63,7.30
77.40,7.25
78.17,7.20
78.95,7.14
79.74,7.09
80.54,7.04
81.35,6.98
82.16,6.92
82.98,6.87
83.81,6.81
84.65,6.76
85.50,6.70
86.35,6.64
87.22,6.58
88.09,6.53
88.97,6.46
89.86,6.41
90.76,6.35
91.66,6.29
92.58,6.23
93.51,6.17
94.44,6.12
95.39,6.06
96.34,6.01
97.30,5.95
98.28,5.90
99.26,5.84
100.25,5.80
101.25,5.73
102.27,5.68
103.29,5.63
104.32,5.58
105.37,5.52
106.42,5.46
107.48,5.40
108.56,5.36
109.64,5.30
110.74,5.24
111.85,5.20
112.97,5.15
114.10,5.10
115.24,5.03
116.39,4.99
117.55,4.95
118.73,4.90
119.92,4.85
121.12,4.82
122.33,4.78
123.55,4.75
124.79,4.71
126.03,4.68
127.29,4.64
128.57,4.61
129.85,4.56
131.15,4.52
132.46,4.46
133.79,4.42
135.12,4.38
136.48,4.34
137.84,4.31
139.22,4.27
140.61,4.23
142.02,4.21
143.44,4.19
144.87,4.16
146.32,4.15
147.78,4.13
149.26,4.11
150.75,4.10
152.26,4.09
153.78,4.07
155.32,4.06
156.88,4.04
158.44,4.03
160.03,4.02
161.63,4.00
163.24,3.98
164.88,3.97
