frequency,raw
20.00,10.10
20.20,10.11
20.40,10.13
20.61,10.14
20.81,10.15
21.02,10.16
21.23,10.17
21.44,10.17
21.66,10.18
21.87,10.19
22.09,10.20
22.31,10.20
22.54,10.20
22.76,10.22
22.99,10.22
23.22,10.23
23.45,10.24
23.69,10.24
23.92,10.25
24.16,10.26
24.40,10.25
24.65,10.25
24.89,10.26
25.14,10.26
25.39,10.26
25.65,10.25
25.91,10.25
26.16,10.24
26.43,10.24
26.69,10.24
26.96,10.24
27.23,10.23
27.50,10.22
27.77,10.22
28.05,10.22
28.33,10.21
28.62,10.21
28.90,10.20
29.19,10.20
29.48,10.18
29.78,10.19
30.08,10.17
30.38,10.16
30.68,10.15
30.99,10.14
31.30,10.13
31.61,10.11
31.93,10.11
32.24,10.10
32.57,10.09
32.89,10.08
33.22,10.07
33.55,10.05
33.89,10.04
34.23,10.04
34.57,10.03
34.92,10.02
35.27,10.02
35.62,10.01
35.97,9.99
36.33,9.98
36.70,9.99
37.06,9.98
37.43,9.97
37.81,9.97
38.19,9.96
38.57,9.94
38.95,9.94
39.34,9.93
39.74,9.91
40.14,9.90
40.54,9.87
40.94,9.86
41.35,9.84
41.76,9.82
42.18,9.80
42.60,9.77
43.03,9.76
43.46,9.74
43.90,9.72
44.33,9.68
44.78,9.65
45.23,9.62
45.68,9.59
46.13,9.57
46.60,9.54
47.06,9.52
47.53,9.49
48.01,9.47
48.49,9.45
48.97,9.43
49.46,9.40
49.96,9.39
50.46,9.36
50.96,9.34
51.47,9.32
51.99,9.30
52.51,9.28
53.03,9.25
53.56,9.23
54.10,9.20
54.64,9.17
55.18,9.14
55.74,9.10
56.29,9.06
56.86,9.03
57.42,9.00
58.00,8.97
58.58,8.94
59.16,8.90
59.76,8.87
60.35,8.84
60.96,8.82
61.57,8.79
62.18,8.76
62.80,8.74
63.43,8.71
64.07,8.68
64.71,8.65
65.35,8.61
66.01,8.58
66.67,8.55
67.33,8.51
68.01,8.48
68.69,8.44
69.37,8.40
70.07,8.37
70.77,8.33
71.48,8.30
72.19,8.26
72.91,8.22
73.64,8.18
74.38,8.13
75.12,8.10
75.87,8.06
76.63,8.02
77.40,7.98
78.17,7.94
78.95,7.90
79.74,7.86
80.54,7.82
81.35,7.77
82.16,7.73
82.98,7.68
83.81,7.64
84.65,7.60
85.50,7.55
86.35,7.50
87.22,7.45
88.09,7.41
88.97,7.35
89.86,7.32
90.76,7.26
91.66,7.21
92.58,7.17
93.51,7.12
94.44,7.07
95.39,7.03
96.34,6.98
97.30,6.93
98.28,6.89
99.26,6.85
100.25,6.81
101.25,6.75
102.27,6.71
103.29,6.66
104.32,6.63
105.37,6.58
106.42,6.53
107.48,6.48
108.56,6.43
109.64,6.38
110.74,6.33
111.85,6.30
112.97,6.24
114.10,6.20
115.24,6.14
116.39,6.11
117.55,6.06
118.73,6.01
119.92,5.97
121.12,5.94
122.33,5.90
123.55,5.87
124.79,5.83
126.03,5.80
127.29,5.77
128.57,5.73
129.85,5.70
131.15,5.66
132.46,5.62
133.79,5.58
135.12,5.54
136.48,5.50
137.84,5.47
139.22,5.44
140.61,5.40
142.02,5.37
143.44,5.35
144.87,5.33
146.32,5.32
147.78,5.31
149.26,5.30
150.75,5.29
152.26,5.30
153.78,5.30
155.32,5.30
156.88,5.30
158.44,5.30
160.03,5.29
161.63,5.27
163.24,5.25
164.88,5.23
166.53,5.19
168.19,5.15
169.87,5.11
171.57,5.06
173.29,5.02
175.02,4.97
176.77,4.92
178.54,4.87
180.32,4.82
182.13,4.77
183.95,4.72
185.79,4.67
187.65,4.62
189.52,4.56
191.42,4.50
193.33,4.46
195.27,4.40
197.22,4.35
199.19,4.28
201.18,4.22
203.19,4.18
205.23,4.12
207.28,4.07
209.35,4.01
211.44,3.96
213.56,3.90
215.69,3.85
217.85,3.80
220.03,3.74
222.23,3.69
224.45,3.63
226.70,3.57
228.96,3.52
231.25,3.47
233.57,3.42
235.90,3.36
238.26,3.31
240.64,3.26
243.05,3.22
245.48,3.16
247.93,3.10
250.41,3.06
252.92,3.01
255.45,2.95
258.00,2.90
260.58,2.86
263.19,2.81
265.82,2.77
268.48,2.72
271.16,2.68
273.87,2.62
276.61,2.59
279.38,2.53
282.17,2.50
284.99,2.45
287.84,2.41
290.72,2.38
293.63,2.33
296.57,2.29
299.53,2.25
302.53,2.20
305.55,2.17
308.61,2.11
311.69,2.07
314.81,2.04
317.96,1.98
321.14,1.94
324.35,1.90
327.59,1.85
330.87,1.81
334.18,1.77
337.52,1.72
340.90,1.68
344.30,1.63
347.75,1.59
351.23,1.56
354.74,1.52
358.28,1.47
361.87,1.44
365.49,1.40
369.14,1.35
372.83,1.32
376.56,1.28
380.33,1.25
384.13,1.21
387.97,1.17
391.85,1.13
395.77,1.09
399.73,1.06
403.72,1.01
407.76,0.97
411.84,0.94
415.96,0.90
420.12,0.86
424.32,0.82
428.56,0.79
432.85,0.75
437.18,0.71
441.55,0.68
445.96,0.65
450.42,0.61
454.93,0.57
459.48,0.54
464.07,0.50
468.71,0.47
473.40,0.43
478.13,0.40
482.91,0.37
487.74,0.34
492.62,0.30
497.55,0.27
502.52,0.24
507.55,0.21
512.62,0.18
517.75,0.15
522.93,0.11
528.16,0.09
533.44,0.06
538.77,0.03
544.16,0.00
549.60,-0.04
555.10,-0.06
560.65,-0.09
566.25,-0.13
571.92,-0.16
577.64,-0.19
583.41,-0.23
589.25,-0.25
595.14,-0.28
601.09,-0.30
607.10,-0.33
613.17,-0.37
619.30,-0.39
625.50,-0.41
631.75,-0.43
638.07,-0.45
644.45,-0.48
650.89,-0.49
657.40,-0.52
663.98,-0.55
670.62,-0.57
677.32,-0.59
684.10,-0.62
690.94,-0.63
697.85,-0.66
704.83,-0.69
711.87,-0.71
718.99,-0.74
726.18,-0.77
733.44,-0.79
740.78,-0.81
748.19,-0.83
755.67,-0.85
763.23,-0.86
770.86,-0.87
778.57,-0.89
786.35,-0.89
794.22,-0.90
802.16,-0.89
810.18,-0.89
818.28,-0.90
826.46,-0.87
834.73,-0.86
843.08,-0.84
851.51,-0.82
860.02,-0.79
868.62,-0.76
877.31,-0.74
886.08,-0.70
894.94,-0.67
903.89,-0.64
912.93,-0.60
922.06,-0.55
931.28,-0.51
940.59,-0.47
950.00,-0.42
959.50,-0.37
969.09,-0.33
978.78,-0.29
988.57,-0.24
