frequency,raw
20.00,4.62
20.20,4.66
20.40,4.71
20.61,4.76
20.81,4.81
21.02,4.85
21.23,4.90
21.44,4.94
21.66,4.99
21.87,5.03
22.09,5.08
22.31,5.12
22.54,5.16
22.76,5.21
22.99,5.25
23.22,5.30
23.45,5.33
23.69,5.37
23.92,5.42
24.16,5.46
24.40,5.48
24.65,5.52
24.89,5.57
25.14,5.60
25.39,5.64
25.65,5.67
25.91,5.70
26.16,5.74
26.43,5.77
26.69,5.81
26.96,5.85
27.23,5.88
27.50,5.90
27.77,5.94
28.05,5.98
28.33,6.00
28.62,6.04
28.90,6.07
29.19,6.10
29.48,6.13
29.78,6.17
30.08,6.19
30.38,6.22
30.68,6.24
30.99,6.27
31.30,6.30
31.61,6.31
31.93,6.34
32.24,6.36
32.57,6.39
32.89,6.41
33.22,6.44
33.55,6.46
33.89,6.48
34.23,6.52
34.57,6.54
34.92,6.57
35.27,6.60
35.62,6.63
35.97,6.65
36.33,6.68
36.70,6.72
37.06,6.75
37.43,6.78
37.81,6.81
38.19,6.83
38.57,6.85
38.95,6.88
39.34,6.91
39.74,6.93
40.14,6.95
40.54,6.96
40.94,6.99
41.35,7.00
41.76,7.01
42.18,7.03
42.60,7.04
43.03,7.06
43.46,7.07
43.90,7.09
44.33,7.08
44.78,7.09
45.23,7.11
45.68,7.11
46.13,7.13
46.60,7.13
47.06,7.15
47.53,7.15
48.01,7.16
48.49,7.18
48.97,7.19
49.46,7.20
49.96,7.22
50.46,7.22
50.96,7.24
51.47,7.25
51.99,7.27
52.51,7.28
53.03,7.28
53.56,7.29
54.10,7.31
54.64,7.31
55.18,7.32
55.74,7.31
56.29,7.32
56.86,7.32
57.42,7.33
58.00,7.33
58.58,7.34
59.16,7.33
59.76,7.34
60.35,7.34
60.96,7.36
61.57,7.36
62.18,7.35
62.80,7.37
63.43,7.37
64.07,7.38
64.71,7.38
65.35,7.37
66.01,7.37
66.67,7.38
67.33,7.37
68.01,7.37
68.69,7.37
69.37,7.36
70.07,7.36
70.77,7.36
71.48,7.37
72.19,7.36
72.91,7.36
73.64,7.35
74.38,7.34
75.12,7.33
75.87,7.33
76.63,7.32
77.40,7.32
78.17,7.31
78.95,7.30
79.74,7.30
80.54,7.29
81.35,7.28
82.16,7.26
82.98,7.25
83.81,7.24
84.65,7.23
85.50,7.22
86.35,7.20
87.22,7.18
88.09,7.18
88.97,7.15
89.86,7.15
90.76,7.12
91.66,7.11
92.58,7.09
93.51,7.07
94.44,7.06
95.39,7.04
96.34,7.03
97.30,7.01
98.28,7.00
99.26,6.99
100.25,6.98
101.25,6.95
102.27,6.94
103.29,6.93
104.32,6.92
105.37,6.90
106.42,6.88
107.48,6.86
108.56,6.85
109.64,6.82
110.74,6.80
111.85,6.79
112.97,6.77
114.10,6.76
115.24,6.73
116.39,6.73
117.55,6.71
118.73,6.69
119.92,6.68
121.12,6.68
122.33,6.67
123.55,6.66
124.79,6.66
126.03,6.65
127.29,6.64
128.57,6.63
129.85,6.61
131.15,6.59
132.46,6.56
133.79,6.54
135.12,6.51
136.48,6.48
137.84,6.45
139.22,6.41
140.61,6.37
142.02,6.34
143.44,6.29
144.87,6.25
146.32,6.21
147.78,6.16
149.26,6.11
150.75,6.06
152.26,6.02
153.78,5.97
155.32,5.92
156.88,5.87
158.44,5.83
160.03,5.78
161.63,5.72
163.24,5.68
164.88,5.63
166.53,5.58
168.19,5.53
169.87,5.49
171.57,5.44
173.29,5.41
175.02,5.37
176.77,5.33
178.54,5.29
180.32,5.26
182.13,5.22
183.95,5.19
185.79,5.16
187.65,5.13
189.52,5.09
191.42,5.05
193.33,5.02
195.27,4.98
197.22,4.94
199.19,4.89
201.18,4.84
203.19,4.80
205.23,4.75
207.28,4.70
209.35,4.64
211.44,4.59
213.56,4.53
215.69,4.47
217.85,4.40
220.03,4.34
222.23,4.27
224.45,4.19
226.70,4.12
228.96,4.04
231.25,3.97
233.57,3.89
235.90,3.81
238.26,3.73
240.64,3.65
243.05,3.57
245.48,3.48
247.93,3.38
250.41,3.30
252.92,3.21
255.45,3.11
258.00,3.01
260.58,2.93
263.19,2.83
265.82,2.74
268.48,2.63
271.16,2.54
273.87,2.43
276.61,2.34
279.38,2.22
282.17,2.13
284.99,2.03
287.84,1.92
290.72,1.82
293.63,1.71
296.57,1.60
299.53,1.49
302.53,1.37
305.55,1.27
308.61,1.14
311.69,1.02
314.81,0.91
317.96,0.78
321.14,0.66
324.35,0.53
327.59,0.41
330.87,0.28
334.18,0.16
337.52,0.02
340.90,-0.10
344.30,-0.24
347.75,-0.36
351.23,-0.48
354.74,-0.61
358.28,-0.76
361.87,-0.88
365.49,-1.01
369.14,-1.15
372.83,-1.27
376.56,-1.41
380.33,-1.54
384.13,-1.67
387.97,-1.81
391.85,-1.94
395.77,-2.07
399.73,-2.21
403.72,-2.35
407.76,-2.48
411.84,-2.61
415.96,-2.74
420.12,-2.88
424.32,-3.01
428.56,-3.14
432.85,-3.26
437.18,-3.40
441.55,-3.52
445.96,-3.63
450.42,-3.76
454.93,-3.88
459.48,-3.99
464.07,-4.10
468.71,-4.21
473.40,-4.32
478.13,-4.42
482.91,-4.51
487.74,-4.61
492.62,-4.70
497.55,-4.78
502.52,-4.87
507.55,-4.93
512.62,-5.00
517.75,-5.05
522.93,-5.12
528.16,-5.16
533.44,-5.20
538.77,-5.23
544.16,-5.26
549.60,-5.29
555.10,-5.29
560.65,-5.30
566.25,-5.30
571.92,-5.30
577.64,-5.29
583.41,-5.28
589.25,-5.24
595.14,-5.22
601.09,-5.18
607.10,-5.14
613.17,-5.11
619.30,-5.05
625.50,-4.99
631.75,-4.92
638.07,-4.85
644.45,-4.78
650.89,-4.70
657.40,-4.62
663.98,-4.54
670.62,-4.45
677.32,-4.36
684.10,-4.26
690.94,-4.16
697.85,-4.07
704.83,-3.97
711.87,-3.86
718.99,-3.76
726.18,-3.65
733.44,-3.54
740.78,-3.42
748.19,-3.30
755.67,-3.19
763.23,-3.07
770.86,-2.95
778.57,-2.84
786.35,-2.72
794.22,-2.62
802.16,-2.51
810.18,-2.40
818.28,-2.31
826.46,-2.20
834.73,-2.09
843.08,-1.99
851.51,-1.89
860.02,-1.78
868.62,-1.68
877.31,-1.58
886.08,-1.46
894.94,-1.36
903.89,-1.25
912.93,-1.14
922.06,-1.02
931.28,-0.91
940.59,-0.80
950.00,-0.68
959.50,-0.57
969.09,-0.47
978.78,-0.38
988.57,-0.28
998.46,-0.17
1008.44,-0.08
1018.53,0.01
1028.71,0.11
1039.00,0.19
1049.39,0.28
1059.88,0.38
1070.48,0.47
1081.19,0.56
1092.00,0.65
1102.92,0.74
1113.95,0.84
