frequency,raw
20.00,2.88
20.20,2.91
20.40,2.95
20.61,2.98
20.81,3.03
21.02,3.06
21.23,3.09
21.44,3.13
21.66,3.17
21.87,3.21
22.09,3.26
22.31,3.29
22.54,3.33
22.76,3.38
22.99,3.41
23.22,3.46
23.45,3.49
23.69,3.53
23.92,3.57
24.16,3.60
24.40,3.63
24.65,3.66
24.89,3.71
25.14,3.74
25.39,3.78
25.65,3.81
25.91,3.84
26.16,3.88
26.43,3.91
26.69,3.96
26.96,3.99
27.23,4.03
27.50,4.05
27.77,4.08
28.05,4.12
28.33,4.14
28.62,4.17
28.90,4.20
29.19,4.22
29.48,4.24
29.78,4.29
30.08,4.31
30.38,4.35
30.68,4.38
30.99,4.42
31.30,4.45
31.61,4.48
31.93,4.52
32.24,4.56
32.57,4.59
32.89,4.63
33.22,4.66
33.55,4.69
33.89,4.74
34.23,4.78
34.57,4.83
34.92,4.87
35.27,4.92
35.62,4.97
35.97,5.00
36.33,5.04
36.70,5.10
37.06,5.15
37.43,5.19
37.81,5.24
38.19,5.28
38.57,5.32
38.95,5.37
39.34,5.42
39.74,5.45
40.14,5.50
40.54,5.53
40.94,5.57
41.35,5.61
41.76,5.64
42.18,5.68
42.60,5.71
43.03,5.75
43.46,5.78
43.90,5.82
44.33,5.83
44.78,5.86
45.23,5.89
45.68,5.91
46.13,5.94
46.60,5.95
47.06,5.98
47.53,6.00
48.01,6.02
48.49,6.04
48.97,6.06
49.46,6.08
49.96,6.10
50.46,6.10
50.96,6.13
51.47,6.14
51.99,6.16
52.51,6.16
53.03,6.16
53.56,6.17
54.10,6.19
54.64,6.18
55.18,6.19
55.74,6.17
56.29,6.18
56.86,6.17
57.42,6.17
58.00,6.18
58.58,6.17
59.16,6.16
59.76,6.16
60.35,6.16
60.96,6.18
61.57,6.17
62.18,6.17
62.80,6.19
63.43,6.19
64.07,6.21
64.71,6.21
65.35,6.21
66.01,6.22
66.67,6.23
67.33,6.23
68.01,6.24
68.69,6.25
69.37,6.25
70.07,6.26
70.77,6.27
71.48,6.29
72.19,6.29
72.91,6.31
73.64,6.32
74.38,6.31
75.12,6.33
75.87,6.34
76.63,6.35
77.40,6.36
78.17,6.37
78.95,6.38
79.74,6.39
80.54,6.40
81.35,6.40
82.16,6.40
82.98,6.41
83.81,6.41
84.65,6.41
85.50,6.41
86.35,6.41
87.22,6.40
88.09,6.40
88.97,6.39
89.86,6.39
90.76,6.38
91.66,6.37
92.58,6.37
93.51,6.35
94.44,6.34
95.39,6.33
96.34,6.32
97.30,6.30
98.28,6.29
99.26,6.28
100.25,6.27
101.25,6.25
102.27,6.24
103.29,6.22
104.32,6.21
105.37,6.19
106.42,6.16
107.48,6.13
108.56,6.11
109.64,6.08
110.74,6.05
111.85,6.03
112.97,5.99
114.10,5.97
115.24,5.92
116.39,5.90
117.55,5.87
118.73,5.84
119.92,5.81
121.12,5.79
122.33,5.76
123.55,5.74
124.79,5.71
126.03,5.69
127.29,5.67
128.57,5.64
129.85,5.61
131.15,5.58
132.46,5.55
133.79,5.52
135.12,5.49
136.48,5.45
137.84,5.43
139.22,5.39
140.61,5.35
142.02,5.32
143.44,5.28
144.87,5.23
146.32,5.19
147.78,5.14
149.26,5.09
150.75,5.04
152.26,5.00
153.78,4.95
155.32,4.91
156.88,4.85
158.44,4.81
160.03,4.77
161.63,4.72
163.24,4.68
164.88,4.63
166.53,4.58
168.19,4.52
169.87,4.48
171.57,4.42
173.29,4.38
175.02,4.33
176.77,4.28
178.54,4.23
180.32,4.19
182.13,4.14
183.95,4.10
185.79,4.05
187.65,4.01
189.52,3.97
191.42,3.92
193.33,3.88
195.27,3.84
197.22,3.80
199.19,3.75
201.18,3.71
203.19,3.68
205.23,3.63
207.28,3.60
209.35,3.56
211.44,3.53
213.56,3.49
215.69,3.46
217.85,3.42
220.03,3.39
222.23,3.36
224.45,3.32
226.70,3.28
228.96,3.25
231.25,3.22
233.57,3.19
235.90,3.15
238.26,3.12
240.64,3.09
243.05,3.07
245.48,3.03
247.93,3.00
250.41,2.97
252.92,2.94
255.45,2.91
258.00,2.87
260.58,2.85
263.19,2.81
265.82,2.78
268.48,2.74
271.16,2.71
273.87,2.67
276.61,2.64
279.38,2.59
282.17,2.57
284.99,2.53
287.84,2.49
290.72,2.47
293.63,2.42
