frequency,raw
20.00,18.19
20.20,18.23
20.40,18.27
20.61,18.31
20.81,18.35
21.02,18.38
21.23,18.42
21.44,18.45
21.66,18.49
21.87,18.52
22.09,18.56
22.31,18.59
22.54,18.62
22.76,18.66
22.99,18.68
23.22,18.72
23.45,18.74
23.69,18.76
23.92,18.80
24.16,18.82
24.40,18.83
24.65,18.85
24.89,18.88
25.14,18.90
25.39,18.91
25.65,18.93
25.91,18.95
26.16,18.97
26.43,18.99
26.69,19.01
26.96,19.03
27.23,19.04
27.50,19.04
27.77,19.06
28.05,19.08
28.33,19.08
28.62,19.09
28.90,19.10
29.19,19.11
29.48,19.11
29.78,19.14
30.08,19.14
30.38,19.14
30.68,19.13
30.99,19.13
31.30,19.12
31.61,19.11
31.93,19.10
32.24,19.10
32.57,19.09
32.89,19.08
33.22,19.08
33.55,19.06
33.89,19.06
34.23,19.05
34.57,19.03
34.92,19.01
35.27,18.99
35.62,18.97
35.97,18.93
36.33,18.91
36.70,18.89
37.06,18.88
37.43,18.86
37.81,18.86
38.19,18.84
38.57,18.82
38.95,18.81
39.34,18.81
39.74,18.78
40.14,18.77
40.54,18.74
40.94,18.73
41.35,18.71
41.76,18.68
42.18,18.66
42.60,18.62
43.03,18.59
43.46,18.56
43.90,18.52
44.33,18.47
44.78,18.42
45.23,18.37
45.68,18.31
46.13,18.26
46.60,18.20
47.06,18.15
47.53,18.09
48.01,18.03
48.49,17.98
48.97,17.92
49.46,17.86
49.96,17.81
50.46,17.74
50.96,17.68
51.47,17.62
51.99,17.57
52.51,17.52
53.03,17.45
53.56,17.39
54.10,17.32
54.64,17.23
55.18,17.15
55.74,17.05
56.29,16.97
56.86,16.90
57.42,16.82
58.00,16.71
58.58,16.61
59.16,16.55
59.76,16.52
60.35,16.47
60.96,16.38
61.57,16.27
62.18,16.16
62.80,16.09
63.43,16.02
64.07,15.97
64.71,15.91
65.35,15.84
66.01,15.76
66.67,15.70
67.33,15.63
68.01,15.57
68.69,15.51
69.37,15.43
70.07,15.36
70.77,15.28
71.48,15.21
72.19,15.12
72.91,15.05
73.64,14.98
74.38,14.88
75.12,14.79
75.87,14.71
76.63,14.65
77.40,14.56
78.17,14.43
78.95,14.30
79.74,14.24
80.54,14.19
81.35,14.14
82.16,14.10
82.98,14.03
83.81,13.94
84.65,13.87
85.50,13.78
86.35,13.68
87.22,13.57
88.09,13.48
88.97,13.36
89.86,13.26
90.76,13.14
91.66,13.04
92.58,12.93
93.51,12.80
94.44,12.69
95.39,12.59
96.34,12.47
97.30,12.36
98.28,12.25
99.26,12.15
100.25,12.07
101.25,12.00
102.27,11.94
103.29,11.86
104.32,11.79
105.37,11.70
106.42,11.62
107.48,11.54
108.56,11.47
109.64,11.39
110.74,11.31
111.85,11.24
112.97,11.16
114.10,11.08
115.24,10.97
116.39,10.90
117.55,10.82
118.73,10.73
119.92,10.66
121.12,10.58
122.33,10.48
123.55,10.38
124.79,10.28
126.03,10.19
127.29,10.11
128.57,10.03
129.85,9.94
131.15,9.84
132.46,9.74
133.79,9.65
135.12,9.53
136.48,9.42
137.84,9.34
139.22,9.25
140.61,9.18
142.02,9.15
143.44,9.11
144.87,9.06
146.32,9.02
147.78,8.98
149.26,8.94
150.75,8.91
152.26,8.90
153.78,8.88
155.32,8.87
156.88,8.84
158.44,8.80
160.03,8.76
161.63,8.70
163.24,8.64
164.88,8.57
166.53,8.50
168.19,8.41
169.87,8.34
171.57,8.25
173.29,8.17
175.02,8.08
176.77,7.98
178.54,7.90
180.32,7.83
182.13,7.77
183.95,7.70
185.79,7.63
187.65,7.57
189.52,7.49
191.42,7.41
193.33,7.34
195.27,7.25
197.22,7.17
199.19,7.07
201.18,7.00
203.19,6.94
205.23,6.87
207.28,6.81
209.35,6.74
211.44,6.68
213.56,6.62
215.69,6.55
217.85,6.48
220.03,6.40
222.23,6.32
224.45,6.25
226.70,6.16
228.96,6.09
231.25,6.01
233.57,5.94
235.90,5.86
238.26,5.78
240.64,5.72
243.05,5.65
245.48,5.56
247.93,5.47
250.41,5.39
252.92,5.31
255.45,5.22
258.00,5.13
260.58,5.05
263.19,4.95
265.82,4.87
268.48,4.77
271.16,4.70
273.87,4.61
276.61,4.53
279.38,4.44
282.17,4.36
284.99,4.28
287.84,4.19
290.72,4.11
293.63,4.01
296.57,3.93
299.53,3.84
302.53,3.74
305.55,3.65
308.61,3.55
311.69,3.46
314.81,3.38
317.96,3.27
321.14,3.18
324.35,3.09
327.59,2.99
330.87,2.91
334.18,2.83
337.52,2.73
340.90,2.66
344.30,2.56
347.75,2.49
351.23,2.42
354.74,2.35
358.28,2.26
361.87,2.21
365.49,2.15
369.14,2.09
372.83,2.03
376.56,1.97
380.33,1.91
384.13,1.86
387.97,1.81
391.85,1.76
395.77,1.72
399.73,1.69
403.72,1.65
407.76,1.62
411.84,1.59
415.96,1.58
420.12,1.55
424.32,1.54
428.56,1.53
432.85,1.52
437.18,1.51
441.55,1.51
445.96,1.51
450.42,1.50
454.93,1.49
459.48,1.49
464.07,1.47
468.71,1.45
473.40,1.43
478.13,1.40
482.91,1.37
487.74,1.33
492.62,1.28
497.55,1.24
502.52,1.19
507.55,1.15
512.62,1.10
517.75,1.05
522.93,0.99
528.16,0.95
533.44,0.90
538.77,0.86
544.16,0.81
549.60,0.75
555.10,0.72
560.65,0.68
566.25,0.64
571.92,0.62
577.64,0.59
583.41,0.58
589.25,0.59
595.14,0.59
601.09,0.61
607.10,0.63
613.17,0.64
619.30,0.64
625.50,0.64
631.75,0.65
638.07,0.66
644.45,0.68
650.89,0.71
657.40,0.74
663.98,0.77
670.62,0.81
677.32,0.85
684.10,0.90
690.94,0.95
697.85,0.97
704.83,0.94
711.87,0.89
718.99,0.85
726.18,0.87
733.44,0.91
740.78,0.95
748.19,0.98
755.67,1.00
763.23,1.02
