frequency,raw
20.00,14.48
20.20,14.48
20.40,14.50
20.61,14.51
20.81,14.52
21.02,14.52
21.23,14.53
21.44,14.53
21.66,14.54
21.87,14.55
22.09,14.56
22.31,14.56
22.54,14.56
22.76,14.58
22.99,14.58
23.22,14.59
23.45,14.58
23.69,14.58
23.92,14.59
24.16,14.58
24.40,14.57
24.65,14.57
24.89,14.57
25.14,14.56
25.39,14.56
25.65,14.55
25.91,14.54
26.16,14.53
26.43,14.53
26.69,14.53
26.96,14.52
27.23,14.51
27.50,14.49
27.77,14.48
28.05,14.48
28.33,14.46
28.62,14.46
28.90,14.45
29.19,14.44
29.48,14.42
29.78,14.42
30.08,14.40
30.38,14.38
30.68,14.36
30.99,14.34
31.30,14.32
31.61,14.29
31.93,14.27
32.24,14.26
32.57,14.24
32.89,14.22
33.22,14.20
33.55,14.17
33.89,14.15
34.23,14.14
34.57,14.12
34.92,14.11
35.27,14.09
35.62,14.08
35.97,14.04
36.33,14.03
36.70,14.03
37.06,14.01
37.43,13.99
37.81,13.98
38.19,13.96
38.57,13.93
38.95,13.92
39.34,13.90
39.74,13.87
40.14,13.85
40.54,13.81
40.94,13.79
41.35,13.76
41.76,13.72
42.18,13.69
42.60,13.65
43.03,13.63
43.46,13.59
43.90,13.56
44.33,13.51
44.78,13.47
45.23,13.44
45.68,13.40
46.13,13.36
46.60,13.32
47.06,13.29
47.53,13.25
48.01,13.21
48.49,13.18
48.97,13.14
49.46,13.10
49.96,13.07
50.46,13.02
50.96,12.99
51.47,12.96
51.99,12.93
52.51,12.89
53.03,12.84
53.56,12.80
54.10,12.77
54.64,12.72
55.18,12.68
55.74,12.62
56.29,12.58
56.86,12.53
57.42,12.49
58.00,12.45
58.58,12.40
59.16,12.35
59.76,12.31
60.35,12.26
60.96,12.23
61.57,12.18
62.18,12.13
62.80,12.10
63.43,12.05
64.07,12.01
64.71,11.96
65.35,11.91
66.01,11.87
66.67,11.82
67.33,11.76
68.01,11.72
68.69,11.67
69.37,11.62
70.07,11.57
70.77,11.53
71.48,11.49
72.19,11.43
72.91,11.39
73.64,11.33
74.38,11.27
75.12,11.22
75.87,11.17
76.63,11.11
77.40,11.06
78.17,11.01
78.95,10.95
79.74,10.89
80.54,10.83
81.35,10.77
82.16,10.71
82.98,10.65
83.81,10.59
84.65,10.52
85.50,10.45
86.35,10.39
87.22,10.32
88.09,10.25
88.97,10.17
89.86,10.11
90.76,10.03
91.66,9.96
92.58,9.89
93.51,9.81
94.44,9.74
95.39,9.66
96.34,9.59
