frequency,raw
20.00,13.09
20.20,13.09
20.40,13.10
20.61,13.10
20.81,13.11
21.02,13.11
21.23,13.10
21.44,13.10
21.66,13.10
21.87,13.10
22.09,13.10
22.31,13.09
22.54,13.09
22.76,13.09
22.99,13.08
23.22,13.08
23.45,13.07
23.69,13.07
23.92,13.07
24.16,13.06
24.40,13.04
24.65,13.03
24.89,13.03
25.14,13.02
25.39,13.00
25.65,12.99
25.91,12.98
26.16,12.97
26.43,12.96
26.69,12.96
26.96,12.94
27.23,12.93
27.50,12.91
27.77,12.90
28.05,12.90
28.33,12.87
28.62,12.86
28.90,12.85
29.19,12.84
29.48,12.81
29.78,12.81
30.08,12.79
30.38,12.77
30.68,12.74
30.99,12.72
31.30,12.70
31.61,12.67
31.93,12.65
32.24,12.63
32.57,12.61
32.89,12.58
33.22,12.56
33.55,12.53
33.89,12.51
34.23,12.49
34.57,12.47
34.92,12.45
35.27,12.44
35.62,12.42
35.97,12.39
36.33,12.37
36.70,12.36
37.06,12.35
37.43,12.33
37.81,12.31
38.19,12.29
38.57,12.26
38.95,12.24
39.34,12.22
39.74,12.19
40.14,12.17
40.54,12.13
40.94,12.11
41.35,12.07
41.76,12.04
42.18,12.00
42.60,11.96
43.03,11.94
43.46,11.90
43.90,11.86
44.33,11.81
44.78,11.77
45.23,11.74
45.68,11.69
46.13,11.66
46.60,11.61
47.06,11.58
47.53,11.54
48.01,11.50
48.49,11.47
48.97,11.43
49.46,11.39
49.96,11.36
50.46,11.31
50.96,11.28
51.47,11.24
51.99,11.21
52.51,11.17
53.03,11.12
53.56,11.09
54.10,11.05
54.64,11.00
55.18,10.96
55.74,10.90
56.29,10.86
56.86,10.81
57.42,10.77
58.00,10.73
58.58,10.68
59.16,10.63
59.76,10.58
60.35,10.53
60.96,10.50
61.57,10.45
62.18,10.40
62.80,10.37
63.43,10.32
64.07,10.28
64.71,10.23
65.35,10.17
66.01,10.13
66.67,10.08
67.33,10.02
68.01,9.98
68.69,9.93
69.37,9.88
70.07,9.83
70.77,9.78
71.48,9.74
72.19,9.68
72.91,9.63
73.64,9.58
74.38,9.51
75.12,9.46
75.87,9.41
76.63,9.36
77.40,9.31
78.17,9.26
78.95,9.20
79.74,9.15
80.54,9.09
81.35,9.03
82.16,8.98
82.98,8.92
83.81,8.86
84.65,8.81
85.50,8.74
86.35,8.69
87.22,8.62
88.09,8.58
88.97,8.51
89.86,8.46
90.76,8.39
91.66,8.33
92.58,8.28
93.51,8.22
94.44,8.16
95.39,8.10
96.34,8.05
97.30,7.99
98.28,7.94
99.26,7.89
100.25,7.84
101.25,7.78
102.27,7.73
103.29,7.67
104.32,7.63
105.37,7.57
106.42,7.52
107.48,7.46
108.56,7.41
109.64,7.35
110.74,7.29
111.85,7.26
112.97,7.20
114.10,7.15
115.24,7.09
116.39,7.05
117.55,7.01
118.73,6.96
119.92,6.92
121.12,6.88
122.33,6.85
123.55,6.81
124.79,6.78
126.03,6.75
127.29,6.71
128.57,6.68
129.85,6.64
131.15,6.60
132.46,6.54
133.79,6.50
135.12,6.45
136.48,6.39
137.84,6.35
139.22,6.29
140.61,6.23
142.02,6.18
143.44,6.12
144.87,6.06
146.32,6.01
147.78,5.94
149.26,5.88
150.75,5.82
152.26,5.77
153.78,5.71
155.32,5.66
156.88,5.59
158.44,5.54
160.03,5.49
161.63,5.42
163.24,5.37
164.88,5.32
166.53,5.25
168.19,5.19
169.87,5.14
171.57,5.08
173.29,5.03
175.02,4.97
176.77,4.91
178.54,4.86
180.32,4.80
182.13,4.75
183.95,4.70
185.79,4.65
187.65,4.60
189.52,4.55
191.42,4.50
193.33,4.47
195.27,4.42
197.22,4.39
199.19,4.34
201.18,4.30
203.19,4.27
205.23,4.23
207.28,4.20
209.35,4.16
211.44,4.13
213.56,4.09
215.69,4.06
217.85,4.02
220.03,3.98
222.23,3.95
224.45,3.91
226.70,3.87
228.96,3.84
231.25,3.81
233.57,3.78
235.90,3.75
238.26,3.71
240.64,3.69
243.05,3.66
245.48,3.62
247.93,3.58
250.41,3.55
252.92,3.53
255.45,3.49
258.00,3.46
260.58,3.44
263.19,3.40
265.82,3.38
268.48,3.35
271.16,3.33
273.87,3.29
276.61,3.27
279.38,3.23
282.17,3.21
284.99,3.18
287.84,3.15
290.72,3.12
293.63,3.08
296.57,3.05
299.53,3.01
302.53,2.97
305.55,2.93
308.61,2.88
311.69,2.84
314.81,2.81
317.96,2.75
321.14,2.71
324.35,2.67
327.59,2.62
330.87,2.58
334.18,2.54
337.52,2.49
340.90,2.46
344.30,2.41
347.75,2.37
351.23,2.34
354.74,2.30
358.28,2.25
361.87,2.23
365.49,2.19
369.14,2.15
372.83,2.12
376.56,2.08
380.33,2.05
384.13,2.02
387.97,1.98
391.85,1.95
395.77,1.91
399.73,1.88
403.72,1.84
407.76,1.81
411.84,1.78
415.96,1.75
420.12,1.71
424.32,1.68
428.56,1.65
432.85,1.62
437.18,1.58
441.55,1.56
445.96,1.53
450.42,1.50
454.93,1.46
459.48,1.44
464.07,1.41
468.71,1.38
473.40,1.35
478.13,1.32
482.91,1.30
487.74,1.26
492.62,1.23
497.55,1.20
502.52,1.17
507.55,1.14
512.62,1.11
517.75,1.08
522.93,1.04
528.16,1.02
533.44,0.99
538.77,0.96
544.16,0.92
549.60,0.88
555.10,0.86
560.65,0.82
566.25,0.78
571.92,0.75
577.64,0.72
583.41,0.68
589.25,0.66
595.14,0.62
601.09,0.60
607.10,0.56
613.17,0.53
619.30,0.50
625.50,0.48
631.75,0.46
638.07,0.44
644.45,0.41
650.89,0.40
657.40,0.37
